,serial,init_equity,equity,leverage,contract,qty,entry_price,losscut_price,exit_price,limit_price,pl,pred,tradetype,stage,losscut,entrytime,exittime,direction,startup_flag
0,339120,1000.0,1083.2053000000003,3.0,BTCUSDT,0.069,43570.1,42117.76333333333,44823.8,29077.346376811594,83.20530000000026,1,LONG_EXIT,0,0,2024-01-01 19:00:00,2024-01-02 20:00:00,upper,1
1,339121,1000.0,1060.162,3.0,BTCUSDT,0.07,42797.1,41370.53,43703.7,28511.385714285716,60.16199999999999,1,LONG_EXIT,0,0,2024-01-03 12:00:00,2024-01-04 14:00:00,lower,0
2,339122,1000.0,1045.4832,3.0,BTCUSDT,0.068,43941.8,45406.52666666667,43224.4,58647.68235294118,45.483199999999854,0,SHORT_EXIT,0,0,2024-01-04 16:00:00,2024-01-05 16:00:00,upper,0
3,339123,1000.0,1034.4876000000006,3.0,BTCUSDT,0.068,44418.9,45899.53,43863.2,59124.782352941176,34.48760000000057,0,SHORT_EXIT,0,0,2024-01-07 14:00:00,2024-01-07 22:00:00,upper,0
4,339124,1000.0,1061.4151,3.0,BTCUSDT,0.069,43716.0,42258.8,44653.9,29223.246376811596,61.415099999999896,1,LONG_EXIT,0,0,2024-01-08 01:00:00,2024-01-08 11:00:00,lower,0
5,339125,1000.0,896.3654900000004,3.0,BTCUSDT,0.067,44925.9,46423.43,46423.43,59851.27313432836,-103.63450999999968,0,SHORT_EXIT,0,losscut,2024-01-08 13:00:00,2024-01-08 18:00:00,upper,0
6,339126,1000.0,1082.7352000000003,3.0,BTCUSDT,0.064,46799.9,48359.89666666667,45455.6,62424.9,82.73520000000026,0,SHORT_EXIT,0,0,2024-01-08 20:00:00,2024-01-09 21:00:00,upper,0
7,339127,1000.0,1081.8465999999996,3.0,BTCUSDT,0.066,45135.9,43631.37,46426.0,29984.38484848485,81.84659999999958,1,LONG_EXIT,0,0,2024-01-10 13:00:00,2024-01-10 17:00:00,lower,0
8,339128,1000.0,897.1588799999997,3.0,BTCUSDT,0.064,46659.9,48215.23,48215.23,62284.9,-102.84112000000032,0,SHORT_EXIT,0,losscut,2024-01-10 23:00:00,2024-01-11 14:00:00,upper,0
9,339129,1000.0,897.3133166666669,3.0,BTCUSDT,0.067,44501.5,43018.11666666667,43018.11666666667,29576.126865671642,-102.68668333333316,1,LONG_EXIT,0,losscut,2024-01-12 15:00:00,2024-01-12 22:00:00,lower,0
10,339130,1000.0,979.4170000000001,3.0,BTCUSDT,0.07,42769.6,44195.253333333334,43016.5,57055.31428571428,-20.582999999999902,0,SHORT_EXIT,0,0,2024-01-14 05:00:00,2024-01-14 06:00:00,lower,0
11,339131,1000.0,1032.4556,3.0,BTCUSDT,0.071,42511.3,41094.25666666667,43014.9,28426.792957746482,32.45559999999996,1,LONG_EXIT,0,0,2024-01-14 20:00:00,2024-01-15 18:00:00,lower,0
12,339132,1000.0,998.5689999999997,3.0,BTCUSDT,0.07,42801.1,44227.80333333333,42774.4,57086.81428571428,-1.4310000000003131,0,SHORT_EXIT,0,0,2024-01-16 13:00:00,2024-01-17 05:00:00,upper,0
13,339133,1000.0,997.2688,3.0,BTCUSDT,0.072,41823.0,43217.1,41815.1,55711.88888888889,-2.73119999999999,0,SHORT_EXIT,0,0,2024-01-18 17:00:00,2024-01-19 18:00:00,lower,0
14,339134,1000.0,1006.1319999999998,3.0,BTCUSDT,0.072,41731.1,43122.136666666665,41600.1,55619.98888888889,6.131999999999788,0,SHORT_EXIT,0,0,2024-01-20 21:00:00,2024-01-21 16:00:00,upper,0
15,339135,1000.0,1131.9032999999997,3.0,BTCUSDT,0.073,41324.0,42701.46666666667,39471.9,55022.63013698631,131.90329999999966,0,SHORT_EXIT,0,0,2024-01-22 02:00:00,2024-01-23 22:00:00,lower,0
16,339136,1000.0,896.2926366666663,3.0,BTCUSDT,0.073,41263.3,42638.74333333334,42638.74333333334,54961.93013698631,-103.7073633333337,0,SHORT_EXIT,0,losscut,2024-01-26 11:00:00,2024-01-28 04:00:00,upper,0
17,339137,1000.0,1004.9799999999998,3.0,BTCUSDT,0.069,43182.1,41742.69666666666,43302.1,28689.346376811594,4.979999999999745,1,LONG_EXIT,0,0,2024-01-29 16:00:00,2024-01-30 22:00:00,upper,0
18,339138,1000.0,1026.2189999999998,3.0,BTCUSDT,0.07,42908.3,41478.02333333334,43330.0,28622.58571428572,26.218999999999777,1,LONG_EXIT,0,0,2024-01-31 00:00:00,2024-01-31 15:00:00,lower,0
19,339139,1000.0,929.2938999999999,3.0,BTCUSDT,0.069,43493.4,42043.62,42516.5,29000.646376811597,-70.70610000000015,1,LONG_EXIT,0,0,2024-01-31 18:00:00,2024-01-31 20:00:00,upper,0
20,339140,1000.0,1030.7942,3.0,BTCUSDT,0.071,42146.0,40741.13333333333,42626.2,28061.49295774648,30.7942,1,LONG_EXIT,0,0,2024-02-01 02:00:00,2024-02-01 16:00:00,lower,0
21,339141,1000.0,1018.1830000000002,3.0,BTCUSDT,0.07,42985.9,44418.763333333336,42679.0,57271.614285714284,18.183000000000174,0,SHORT_EXIT,0,0,2024-02-01 20:00:00,2024-02-02 13:00:00,upper,0
22,339142,1000.0,1010.8656999999996,3.0,BTCUSDT,0.069,43197.1,44637.003333333334,42991.8,57689.853623188406,10.86569999999956,0,SHORT_EXIT,0,0,2024-02-02 16:00:00,2024-02-03 23:00:00,upper,0
23,339143,1000.0,1009.097,3.0,BTCUSDT,0.07,42870.1,41441.096666666665,43047.2,28584.385714285716,9.096999999999934,1,LONG_EXIT,0,0,2024-02-04 05:00:00,2024-02-05 07:00:00,lower,0
