Serial,Date,Message,serial,date,message
,,,1605703.0,2024-01-04 07:00:00,continue Position state pandl:13.205999999999857
,,,1605704.0,2024-01-04 08:00:00,continue Position state pandl:19.058000000000174
,,,1605705.0,2024-01-04 09:00:00,continue Position state pandl:30.257999999999992
,,,1605706.0,2024-01-04 10:00:00,continue Position state pandl:34.814999999999785
,,,1605707.0,2024-01-04 11:00:00,continue Position state pandl:41.88499999999995
,,,1605708.0,2024-01-04 12:00:00,continue Position state pandl:55.52799999999998
,,,1605709.0,2024-01-04 13:00:00,continue Position state pandl:53.83399999999956
,,,1605717.0,2024-01-04 14:00:00,go to IdleState
,,,1605718.0,2024-01-04 14:00:00,アイドル状態に遷移します。
,,,1605719.0,2024-01-04 15:00:00,go to EntryPreparationState
,,,1605720.0,2024-01-04 15:00:00,エントリー準備状態に遷移します。
,,,1605721.0,2024-01-04 16:00:00,Prediction: 0
,,,1605723.0,2024-01-04 16:00:00,go to PositionState
,,,1605724.0,2024-01-04 16:00:00,エントリーイベントが発生。ポジション状態に遷移します。
,,,1605725.0,2024-01-04 17:00:00,continue Position state pandl:-7.99880000000012
,,,1605726.0,2024-01-04 18:00:00,continue Position state pandl:-12.350799999999982
,,,1605727.0,2024-01-04 19:00:00,continue Position state pandl:-4.728000000000339
,,,1605728.0,2024-01-04 20:00:00,losscut price: 44820.636000000006
,,,1605736.0,2024-01-04 20:00:00,go to IdleState
,,,1605737.0,2024-01-04 20:00:00,アイドル状態に遷移します。
,,,1605738.0,2024-01-04 21:00:00,
,,,1605739.0,2024-01-04 22:00:00,
,,,1605740.0,2024-01-04 23:00:00,
,,,1605741.0,2024-01-05 00:00:00,
,,,1605742.0,2024-01-05 01:00:00,
,,,1605743.0,2024-01-05 02:00:00,
,,,1605744.0,2024-01-05 03:00:00,
,,,1605745.0,2024-01-05 04:00:00,
,,,1605746.0,2024-01-05 05:00:00,
,,,1605747.0,2024-01-05 06:00:00,
,,,1605748.0,2024-01-05 07:00:00,
,,,1605749.0,2024-01-05 08:00:00,
,,,1605750.0,2024-01-05 09:00:00,
,,,1605751.0,2024-01-05 10:00:00,
,,,1605752.0,2024-01-05 11:00:00,
,,,1605753.0,2024-01-05 12:00:00,
,,,1605754.0,2024-01-05 13:00:00,
,,,1605755.0,2024-01-05 14:00:00,
,,,1605756.0,2024-01-05 15:00:00,
,,,1605757.0,2024-01-05 16:00:00,
,,,1605758.0,2024-01-05 17:00:00,
,,,1605759.0,2024-01-05 18:00:00,
,,,1605760.0,2024-01-05 19:00:00,
,,,1605761.0,2024-01-05 20:00:00,
,,,1605762.0,2024-01-05 21:00:00,
,,,1605763.0,2024-01-05 22:00:00,
,,,1605764.0,2024-01-05 23:00:00,
,,,1605765.0,2024-01-06 00:00:00,
,,,1605766.0,2024-01-06 01:00:00,
,,,1605767.0,2024-01-06 02:00:00,
,,,1605768.0,2024-01-06 03:00:00,
,,,1605769.0,2024-01-06 04:00:00,
,,,1605770.0,2024-01-06 05:00:00,
,,,1605771.0,2024-01-06 06:00:00,
,,,1605772.0,2024-01-06 07:00:00,
,,,1605773.0,2024-01-06 08:00:00,
,,,1605774.0,2024-01-06 09:00:00,
,,,1605775.0,2024-01-06 10:00:00,
,,,1605776.0,2024-01-06 11:00:00,
,,,1605777.0,2024-01-06 12:00:00,
,,,1605778.0,2024-01-06 13:00:00,
,,,1605779.0,2024-01-06 14:00:00,
,,,1605780.0,2024-01-06 15:00:00,
,,,1605781.0,2024-01-06 16:00:00,
,,,1605782.0,2024-01-06 17:00:00,
,,,1605783.0,2024-01-06 18:00:00,
,,,1605784.0,2024-01-06 19:00:00,
,,,1605785.0,2024-01-06 20:00:00,
,,,1605786.0,2024-01-06 21:00:00,
,,,1605787.0,2024-01-06 22:00:00,
,,,1605788.0,2024-01-06 23:00:00,
,,,1605789.0,2024-01-07 00:00:00,
,,,1605790.0,2024-01-07 01:00:00,
,,,1605791.0,2024-01-07 02:00:00,
,,,1605792.0,2024-01-07 03:00:00,
,,,1605793.0,2024-01-07 04:00:00,
,,,1605794.0,2024-01-07 05:00:00,
,,,1605795.0,2024-01-07 06:00:00,
,,,1605796.0,2024-01-07 07:00:00,
,,,1605797.0,2024-01-07 08:00:00,
,,,1605798.0,2024-01-07 09:00:00,
,,,1605799.0,2024-01-07 10:00:00,
,,,1605800.0,2024-01-07 11:00:00,
,,,1605801.0,2024-01-07 12:00:00,
,,,1605802.0,2024-01-07 13:00:00,go to EntryPreparationState
,,,1605803.0,2024-01-07 13:00:00,エントリー準備状態に遷移します。
,,,1605804.0,2024-01-07 14:00:00,Prediction: 1
,,,1605806.0,2024-01-07 14:00:00,go to PositionState
,,,1605807.0,2024-01-07 14:00:00,エントリーイベントが発生。ポジション状態に遷移します。
,,,1605808.0,2024-01-07 15:00:00,continue Position state pandl:-27.637200000000394
,,,1605816.0,2024-01-07 16:00:00,go to IdleState
,,,1605817.0,2024-01-07 16:00:00,アイドル状態に遷移します。
,,,1605818.0,2024-01-07 17:00:00,
,,,1605819.0,2024-01-07 18:00:00,
,,,1605820.0,2024-01-07 19:00:00,
,,,1605821.0,2024-01-07 20:00:00,
,,,1605822.0,2024-01-07 21:00:00,
,,,1605823.0,2024-01-07 22:00:00,
,,,1605824.0,2024-01-07 23:00:00,
,,,1605825.0,2024-01-08 00:00:00,go to EntryPreparationState
,,,1605826.0,2024-01-08 00:00:00,エントリー準備状態に遷移します。
,,,1605827.0,2024-01-08 01:00:00,Prediction: 1
,,,1605829.0,2024-01-08 01:00:00,go to PositionState
