,serial,date,cash_in,cash_out,amount,startup_flag
75,677581,2024-02-24 05:00:00,978.6872999999998,0,1635.632923333333,0
76,677582,2024-02-24 18:00:00,0.0,1000,635.6329233333331,0
77,677583,2024-02-25 16:00:00,1001.3342,0,1636.9671233333331,0
78,677584,2024-02-25 22:00:00,0.0,1000,636.9671233333331,0
79,677585,2024-02-26 01:00:00,1011.1883999999998,0,1648.155523333333,0
80,677586,2024-02-26 08:00:00,0.0,1000,648.1555233333329,0
81,677587,2024-02-26 14:00:00,1022.9962999999996,0,1671.1518233333325,0
82,677588,2024-02-26 16:00:00,0.0,1000,671.1518233333325,0
83,677589,2024-02-29 17:00:00,1423.9464,0,2095.0982233333325,0
84,677590,2024-03-01 21:00:00,0.0,1000,1095.0982233333325,0
85,677591,2024-03-02 22:00:00,1035.5176,0,2130.6158233333326,0
86,677592,2024-03-03 08:00:00,0.0,1000,1130.6158233333326,0
87,677593,2024-03-03 12:00:00,1026.2078000000004,0,2156.8236233333328,0
88,677594,2024-03-03 14:00:00,0.0,1000,1156.8236233333328,0
89,677595,2024-03-04 00:00:00,897.25584,0,2054.0794633333326,0
90,677596,2024-03-04 09:00:00,0.0,1000,1054.0794633333326,0
91,677597,2024-03-04 17:00:00,896.4397799999999,0,1950.5192433333325,0
92,677598,2024-03-05 15:00:00,0.0,1000,950.5192433333325,0
93,677599,2024-03-05 16:00:00,1052.3559999999995,0,2002.875243333332,0
94,677600,2024-03-05 19:00:00,0.0,1000,1002.875243333332,0
95,677601,2024-03-06 11:00:00,1285.9372,0,2288.8124433333323,0
96,677602,2024-03-08 07:00:00,0.0,1000,1288.8124433333323,0
97,677603,2024-03-08 15:00:00,895.7222500000005,0,2184.534693333333,0
98,677604,2024-03-08 18:00:00,0.0,1000,1184.534693333333,0
99,677605,2024-03-10 22:00:00,1004.2767999999999,0,2188.8114933333327,0
100,677606,2024-03-11 01:00:00,0.0,1000,1188.8114933333327,0
101,677607,2024-03-11 06:00:00,1042.2356000000002,0,2231.0470933333327,0
102,677608,2024-03-11 08:00:00,0.0,1000,1231.0470933333327,0
103,677609,2024-03-12 03:00:00,1012.6683999999998,0,2243.7154933333322,0
104,677610,2024-03-12 17:00:00,0.0,1000,1243.7154933333322,0
105,677611,2024-03-13 01:00:00,1035.4702,0,2279.185693333332,0
106,677612,2024-03-14 07:00:00,0.0,1000,1279.185693333332,0
107,677613,2024-03-14 13:00:00,1051.3284,0,2330.5140933333323,0
108,677614,2024-03-14 15:00:00,0.0,1000,1330.5140933333323,0
109,677615,2024-03-15 02:00:00,897.4482599999999,0,2227.9623533333324,0
110,677616,2024-03-15 04:00:00,0.0,1000,1227.9623533333324,0
111,677617,2024-03-15 18:00:00,897.7209733333336,0,2125.6833266666663,0
112,677618,2024-03-16 18:00:00,0.0,1000,1125.6833266666663,0
113,677619,2024-03-17 10:00:00,988.78,0,2114.463326666666,0
114,677620,2024-03-18 15:00:00,0.0,1000,1114.463326666666,0
115,677621,2024-03-18 21:00:00,990.6587999999995,0,2105.1221266666653,0
116,677622,2024-03-19 02:00:00,0.0,1000,1105.1221266666653,0
117,677623,2024-03-19 07:00:00,895.65318,0,2000.7753066666653,0
118,677624,2024-03-19 09:00:00,0.0,1000,1000.7753066666653,0
119,677625,2024-03-19 16:00:00,956.9004000000002,0,1957.6757066666655,0
120,677626,2024-03-19 23:00:00,0.0,1000,957.6757066666655,0
121,677627,2024-03-20 14:00:00,1105.7607999999998,0,2063.436506666665,0
122,677628,2024-03-20 19:00:00,0.0,1000,1063.436506666665,0
123,677629,2024-03-20 22:00:00,895.7939400000002,0,1959.2304466666653,0
124,677630,2024-03-21 19:00:00,0.0,1000,959.2304466666653,0
125,677631,2024-03-22 13:00:00,896.6412600000001,0,1855.8717066666654,0
126,677632,2024-03-22 15:00:00,0.0,1000,855.8717066666654,0
127,677633,2024-03-23 01:00:00,985.9746000000002,0,1841.8463066666657,0
128,677634,2024-03-25 14:00:00,0.0,1000,841.8463066666657,0
129,677635,2024-03-26 16:00:00,1012.4895999999997,0,1854.3359066666653,0
130,677636,2024-03-27 09:00:00,0.0,1000,854.3359066666653,0
131,677637,2024-03-28 06:00:00,1009.6817000000003,0,1864.0176066666656,0
132,677638,2024-03-29 08:00:00,0.0,1000,864.0176066666656,0
133,677639,2024-03-30 12:00:00,1008.4476000000002,0,1872.4652066666658,0
134,677640,2024-03-30 22:00:00,0.0,1000,872.4652066666658,0
135,677641,2024-03-31 04:00:00,1013.771,0,1886.2362066666658,0
136,677642,2024-03-31 06:00:00,0.0,1000,886.2362066666658,0
137,677643,2024-04-01 05:00:00,1044.1204000000005,0,1930.3566066666663,0
138,677644,2024-04-02 03:00:00,0.0,1000,930.3566066666663,0
139,677645,2024-04-03 03:00:00,1018.1200000000001,0,1948.4766066666664,0
140,677646,2024-04-04 13:00:00,0.0,1000,948.4766066666664,0
141,677647,2024-04-05 11:00:00,1029.9595000000006,0,1978.436106666667,0
142,677648,2024-04-06 18:00:00,0.0,1000,978.436106666667,0
143,677649,2024-04-07 21:00:00,964.7252000000005,0,1943.1613066666675,0
144,677650,2024-04-08 08:00:00,0.0,1000,943.1613066666675,0
145,677651,2024-04-09 01:00:00,968.6902000000007,0,1911.8515066666682,0
146,677652,2024-04-09 15:00:00,0.0,1000,911.8515066666682,0
147,677653,2024-04-10 16:00:00,1006.3320000000001,0,1918.1835066666683,0
148,677654,2024-04-10 20:00:00,0.0,1000,918.1835066666683,0
149,677655,2024-04-11 11:00:00,1003.7520000000002,0,1921.9355066666685,0
150,677656,2024-04-12 04:00:00,0.0,1000,921.9355066666685,0
151,677657,2024-04-12 13:00:00,1048.8262000000002,0,1970.7617066666687,0
152,677658,2024-04-12 15:00:00,0.0,1000,970.7617066666687,0
153,677659,2024-04-12 18:00:00,897.2612099999999,0,1868.0229166666686,0
154,677660,2024-04-13 18:00:00,0.0,1000,868.0229166666686,0
155,677661,2024-04-14 22:00:00,1080.6789999999999,0,1948.7019166666685,0
156,677662,2024-04-15 00:00:00,0.0,1000,948.7019166666685,0
157,677663,2024-04-15 14:00:00,1054.4576000000004,0,2003.1595166666689,0
158,677664,2024-04-15 19:00:00,0.0,1000,1003.1595166666689,0
159,677665,2024-04-16 18:00:00,1009.6578999999999,0,2012.8174166666688,0
160,677666,2024-04-16 22:00:00,0.0,1000,1012.8174166666688,0
161,677667,2024-04-17 11:00:00,1052.818,0,2065.635416666669,0
162,677668,2024-04-17 15:00:00,0.0,1000,1065.6354166666688,0
163,677669,2024-04-18 03:00:00,911.9149999999997,0,1977.5504166666685,0
164,677670,2024-04-18 14:00:00,0.0,1000,977.5504166666685,0
165,677671,2024-04-19 00:00:00,945.5968999999998,0,1923.1473166666683,0
166,677672,2024-04-19 07:00:00,0.0,1000,923.1473166666683,0
167,677673,2024-04-20 09:00:00,1040.0918,0,1963.2391166666682,0
168,677674,2024-04-20 16:00:00,0.0,1000,963.2391166666682,0
169,677675,2024-04-21 16:00:00,1004.2209999999998,0,1967.460116666668,0
170,677676,2024-04-22 04:00:00,0.0,1000,967.460116666668,0
171,677677,2024-04-24 09:00:00,968.6308000000001,0,1936.0909166666681,0
172,677678,2024-04-24 14:00:00,0.0,1000,936.0909166666681,0
173,677679,2024-04-25 13:00:00,896.71118,0,1832.8020966666681,0
174,677680,2024-04-25 15:00:00,0.0,1000,832.8020966666681,0
175,677681,2024-04-25 16:00:00,981.7540000000001,0,1814.5560966666683,0
176,677682,2024-04-26 15:00:00,0.0,1000,814.5560966666683,0
177,677683,2024-04-27 17:00:00,1000.5962999999999,0,1815.1523966666682,0
178,677684,2024-04-28 03:00:00,0.0,1000,815.1523966666682,0
179,677685,2024-04-28 11:00:00,971.8652,0,1787.0175966666682,0
180,677686,2024-04-28 23:00:00,0.0,1000,787.0175966666682,0
181,677687,2024-04-29 14:00:00,1010.0344000000002,0,1797.0519966666684,0
182,677688,2024-04-29 23:00:00,0.0,1000,797.0519966666684,0
183,677689,2024-04-30 08:00:00,1088.3218000000004,0,1885.3737966666688,0
184,677690,2024-04-30 10:00:00,0.0,1000,885.3737966666688,0
185,677691,2024-04-30 19:00:00,895.8346433333334,0,1781.2084400000022,0
186,677692,2024-05-01 07:00:00,0.0,1000,781.2084400000022,0
187,677693,2024-05-02 11:00:00,1051.3156000000006,0,1832.5240400000027,0
188,677694,2024-05-02 15:00:00,0.0,1000,832.5240400000027,0
189,677695,2024-05-03 13:00:00,896.01682,0,1728.5408600000028,0
190,677696,2024-05-03 15:00:00,0.0,1000,728.5408600000028,0
191,677697,2024-05-04 10:00:00,895.9996100000001,0,1624.5404700000029,0
192,677698,2024-05-04 13:00:00,0.0,1000,624.5404700000029,0
193,677699,2024-05-06 12:00:00,1002.0156999999997,0,1626.5561700000026,0
194,677700,2024-05-06 15:00:00,0.0,1000,626.5561700000026,0
195,677701,2024-05-07 08:00:00,1025.6989999999998,0,1652.2551700000024,0
196,677702,2024-05-08 00:00:00,0.0,1000,652.2551700000024,0
197,677703,2024-05-08 17:00:00,997.1368,0,1649.3919700000024,0
198,677704,2024-05-08 21:00:00,0.0,1000,649.3919700000024,0
199,677705,2024-05-09 15:00:00,1028.5205999999996,0,1677.912570000002,0
200,677706,2024-05-09 23:00:00,0.0,1000,677.912570000002,0
201,677707,2024-05-10 14:00:00,1092.5176,0,1770.430170000002,0
202,677708,2024-05-10 16:00:00,0.0,1000,770.4301700000019,0
203,677709,2024-05-11 15:00:00,1001.4579000000001,0,1771.888070000002,0
204,677710,2024-05-12 16:00:00,0.0,1000,771.888070000002,0
205,677711,2024-05-13 02:00:00,1011.9733000000003,0,1783.8613700000024,0
206,677712,2024-05-13 08:00:00,0.0,1000,783.8613700000024,0
207,677713,2024-05-14 06:00:00,1030.8184000000003,0,1814.6797700000027,0
208,677714,2024-05-15 10:00:00,0.0,1000,814.6797700000027,0
209,677715,2024-05-16 14:00:00,1138.2280000000003,0,1952.907770000003,0
210,677716,2024-05-16 17:00:00,0.0,1000,952.907770000003,0
211,677717,2024-05-17 06:00:00,1039.9032,0,1992.810970000003,0
212,677718,2024-05-17 08:00:00,0.0,1000,992.810970000003,0
213,677719,2024-05-18 13:00:00,1029.0325,0,2021.843470000003,0
214,677720,2024-05-19 03:00:00,0.0,1000,1021.843470000003,0
215,677721,2024-05-19 12:00:00,1011.6129999999996,0,2033.4564700000026,0
216,677722,2024-05-19 17:00:00,0.0,1000,1033.4564700000026,0
217,677723,2024-05-20 02:00:00,998.4505000000006,0,2031.9069700000032,0
218,677724,2024-05-20 17:00:00,0.0,1000,1031.9069700000032,0
219,677725,2024-05-21 14:00:00,1081.6771999999999,0,2113.584170000003,0
220,677726,2024-05-22 16:00:00,0.0,1000,1113.5841700000028,0
221,677727,2024-05-22 18:00:00,1024.3446999999999,0,2137.9288700000025,0
222,677728,2024-05-22 23:00:00,0.0,1000,1137.9288700000025,0
223,677729,2024-05-23 11:00:00,1031.2505000000003,0,2169.1793700000026,0
224,677730,2024-05-23 14:00:00,0.0,1000,1169.1793700000026,0
225,677731,2024-05-24 14:00:00,993.0524000000003,0,2162.231770000003,0
226,677732,2024-05-24 18:00:00,0.0,1000,1162.231770000003,0
227,677733,2024-05-26 12:00:00,994.9714000000006,0,2157.2031700000034,0
228,677734,2024-05-26 15:00:00,0.0,1000,1157.2031700000034,0
229,677735,2024-05-26 16:00:00,995.2524000000005,0,2152.4555700000037,0
230,677736,2024-05-26 22:00:00,0.0,1000,1152.4555700000037,0
231,677737,2024-05-27 13:00:00,1014.2955999999997,0,2166.751170000003,0
232,677738,2024-05-27 15:00:00,0.0,1000,1166.7511700000032,0
233,677739,2024-05-28 01:00:00,1074.4095999999997,0,2241.160770000003,0
234,677740,2024-05-30 14:00:00,0.0,1000,1241.1607700000031,0
235,677741,2024-05-30 22:00:00,993.4043999999997,0,2234.5651700000026,0
236,677742,2024-05-31 15:00:00,0.0,1000,1234.5651700000026,0
