close,volume,turnover,rsi,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,bb_diff,exit_price,up_ratio,dw_ratio,rsi_up_ratio
27175.6,11609.049,316466711.8,34.63,4862.077071428573,564.45,-49.2,-72.15,-8.85,-339.3,27514.9,0.44,0.56,0.3469
26936.7,34748.338,949732594.6,24.99,6221.700000000002,2253.15,-99.8,500.7,-26.51,-117.1,27053.8,0.24,0.76,0.3667
26870,5106.192,137382788.2,37.35,4100.655285714287,5.6,-67.61,-1221.65,0.57,-452.7,27322.7,0.27,0.73,0.3469
27829.9,22234.482,619983612.1,34.49,8357.062071428572,-634.49,-101.18,248.06,-21.65,-404.4,28234.3,0.43,0.5700000000000001,0.3469
28254.7,5745.63,162532612.4,40.53,2290.754357142858,297.93,-25.3,24.26,-7.75,98.79999999999927,28155.9,0.24,0.76,0.375
27927.7,8078.386,225945419.3,27.79,4820.759714285715,478.02,-82.7,206.93,-13.67,157.70000000000073,27770,0.44,0.56,0.3667
27702.4,13915.534,386183441.4,29.13,6276.753785714287,767.98,-70.35,97.26,-13.87,-615.6,28318,0.44,0.56,0.3667
27883.4,2498.593,69843793.76,37.92,3228.8802142857157,-541.48,-68.37,-500.41,-2.22,-198.8,28082.2,0.43,0.5700000000000001,0.3469
27823.7,6135.432,170805638,36.52,2918.3418571428588,211.56,-27.72,1.67,-11.13,-109,27932.7,0.27,0.73,0.3469
30247,3888.119,117577647.5,40.01,1986.9318571428578,191.33,-31.84,-101.2,-8.4,-106.3,30353.3,0.24,0.76,0.375
30218.6,3137.791,94909276.74,40.71,1618.2872857142863,160.86,-11.74,-63.13,-2.46,-89.6,30308.2,0.27,0.73,0.375
29836.4,19068.747,571514892.1,29.18,4666.139000000001,1257.26,-42.97,299.89,-22.31,272.3000000000029,29564.1,0.43,0.5700000000000001,0.3667
29156.9,65702.828,1929407693,26.61,8438.470357142858,3711.71,-108.26,232.1,-35.82,-58,29214.9,0.43,0.5700000000000001,0.3667
28489.9,12715.924,363527838.1,31.96,7343.2100714285725,625.55,-92.49,-275.13,-5.64,246,28243.9,0.27,0.73,0.3469
27890,15339.225,427782989.2,34.82,8110.193714285715,903.33,-73.77,-149.45,-1.24,555,27335,0.44,0.56,0.3469
27174.9,16626.106,453978855.2,31.59,5518.384785714287,756.34,-63.45,231.7,-22.88,-361.2,27536.1,0.43,0.5700000000000001,0.3469
29140,6281.152,182907337.8,40.51,2459.8785714285727,298.58,-19.75,-9.59,-17.07,-57.8,29197.8,0.43,0.5700000000000001,0.375
28489.5,26488.191,761234439.4882998,25.79,9822.334785714285,1766.05,-100.34,322.89,-44.25,-91.1,28580.6,0.43,0.5700000000000001,0.3667
27833.4,21582.031,602780665.9,24.62,8862.198429,692.06,-178.56,-708.02,-6.3,-148.4,27981.8,0.27,0.73,0.3667
28297.3,14492.907,411292514.3,40.85,4498.003285714287,709.48,-1.45,-368.64,-12.74,-167.7,28465,0.43,0.5700000000000001,0.375
28941.2,10385.453,300915606.6,34.32,4652.787357142858,606,-77.38,59.17,-18.82,14.299999999999272,28926.9,0.43,0.5700000000000001,0.3469
28750.1,3185.569,91812509.84,40.05,3424.9594285714297,116.16,-19.77,64.11,-8.57,1050,27700.1,0.43,0.5700000000000001,0.375
27329.5,9320.209,255206250.9,25.53,8636.770785714287,382.57,-207.2,-424.23,-6.23,-203.5,27533,0.44,0.56,0.3667
27381.9,6942.704,190547169.7,36.05,4073.5422857142867,182.23,-36.52,-241.52,-2.83,-310.3,27692.2,0.27,0.73,0.3469
27195.2,14497.977,395705216.1,36.07,4535.700000000002,751,-67.59,-564.27,2.44,177.40000000000146,27017.8,0.43,0.5700000000000001,0.3469
26259.8,16063.648,423159728.4,25.04,7365.283285714287,602.85,-199,157.02,-12.22,-14.3,26274.1,0.44,0.56,0.3667
27148.4,5837.301,158782122.7,42.79,4726.541714285716,138.64,-12.19,-364.6,-9.89,-97.6,27246,0.24,0.76,0.375
26918.7,3016.415,81286742.77339998,38.48,4389.572500000001,23.67,-29.69,-284.81,-2.58,-171.6,27090.3,0.27,0.73,0.3469
26836.5,9085.505,243998944.1,36.12,2723.8304285714294,387.89,-33.52,3.33,-11.14,-59.9,26896.4,0.27,0.73,0.3469
27070.6,9261.851,251465501,42.09,5179.576500000001,519.63,-22.19,-386.52,-21.36,274.6999999999971,26795.9,0.43,0.5700000000000001,0.375
26822.3,9197.123,246993364.9,36.07,2956.7510000000007,527.08,-30.06,-47.95,-30.86,76.89999999999782,26745.4,0.43,0.5700000000000001,0.3469
26772.5,22639.278,607729222.2,29.83,3920.6143571428584,1227.45,-49.56,73.06,-28.46,525.5999999999985,26246.9,0.24,0.76,0.3667
27244.4,16965.357,464510604.3,28.34,4231.884642857143,543.7,-64.16,217.32,-22.24,344.7000000000007,26899.7,0.43,0.5700000000000001,0.3667
26711.6,16029.215,429564061.7,29.35,5766.937857142859,937.36,-57.31,-462.69,-12.6,-168.4,26880,0.44,0.56,0.3667
26999.9,3485.431,94042198.3,38.42,1997.7688571428585,177.46,-31.87,86.84,-19.79,-119.5,27119.4,0.43,0.5700000000000001,0.3469
27014.3,5210.459,140883180.6,37.44,2966.3955714285726,293.43,-14.75,-30.27,-5.12,248.29999999999927,26766,0.27,0.73,0.3469
25985,47277.477,1248097797,17.74,7328.489357142857,3145.22,-131.64,262.79,-23.44,235.09999999999854,25749.9,0.44,0.56,0.5714
25674.8,2575.519,66142303.55,30.83,2191.3672142857154,-151.44,-72.23,-1602.02,-0.09,-339.5,26014.3,0.44,0.56,0.3469
25755.4,28624.272,742327414.5,17.16,4571.178857142858,1540.2,-107.15,423.43,-33.36,139.90000000000146,25615.5,0.43,0.5700000000000001,0.5714
25748.1,12196.424,314791543.4,35.05,6902.717929,621.27,-28.19,49.63,-6.55,-172.4,25920.5,0.43,0.5700000000000001,0.3469
24924,57155.198,1441925786,16.62,7601.713000000002,3974.52,-104.99,675.97,-53.98,-48.8,24972.8,0.27,0.73,0.5714
24947,3060.909,76462139.15,35.67,3975.8700714285724,-64.58,-67.48,-1481.45,6.41,-187.4,25134.4,0.27,0.73,0.3469
26400,2209.553,58412687.31,42.21,2531.4945714285723,-121.24,-0.19,112.11,-16.03,-7.3,26407.3,0.43,0.5700000000000001,0.375
30397.5,12922.333,393534438.7,43.24,3404.427928571429,534.28,-9.05,-549.3,-10.57,-232.1,30629.6,0.24,0.76,0.375
30165.7,19745.408,595408013.9,30.68,4727.690142857144,1248.59,-65.63,40.09,-12.23,-302.9,30468.6,0.43,0.5700000000000001,0.3469
30089.7,14189.275,427372319.6,39.02,5172.371500000001,795.09,-5.02,-8.04,-6.83,-258.5,30348.2,0.43,0.5700000000000001,0.3469
30179.9,10376.727,313787735.3,36.6,3475.9228571428584,439.55,-64.25,1.31,-13.19,-223.5,30403.4,0.24,0.76,0.3469
30118.1,88325.065,2662864722,36.86,14127.170500000002,6166.73,21.88,356.25,-39.7,-353.7,30471.8,0.43,0.5700000000000001,0.3469
30429.1,3279.146,99977764.46,42.2,2788.2489285714296,136.75,-2.72,-7.38,-13.89,-90.1,30519.2,0.24,0.76,0.375
30415.2,18312.605,559082913.5,23.9,2780.093357142858,1114.22,-71.29,23.27,-21.01,-41.3,30456.5,0.24,0.76,0.3667
30096.3,3892.937,117159330.9,39.23,1447.1223571428582,173.36,-11.52,-15.39,-8.73,-115.2,30211.5,0.43,0.5700000000000001,0.3469
30180.2,3388.356,102235890.5,41.27,1830.5162142857153,186.46,-12.97,-39.99,-18.04,79.40000000000146,30100.8,0.43,0.5700000000000001,0.375
30273.8,11463.716,347327565.8,34.76,7934.905428571429,680.9,-70.03,178.01,-18.44,-98.3,30372.1,0.43,0.5700000000000001,0.3469
30675.8,20415.479,630522794.1,35.13,4994.234214285716,1058.36,-30.52,-48.09,-21.28,396.7999999999993,30279,0.24,0.76,0.3469
30268.5,694.523,21032503.56,36.56,1014.2590000000016,-66.42,-45.75,-1346.3,1.43,14.5,30254,0.44,0.56,0.3469
30287.8,585.999,17751678.09,39.97,1003.6116428571443,-8.04,-25.88,-248.1,0.33,35.599999999998545,30252.2,0.44,0.56,0.3469
30240,9531.209,287605174.5,36.69,1379.460571428573,632.12,-24.13,-6.63,-11.63,-40.7,30280.7,0.44,0.56,0.3469
30015,10084.182,302770520.1,31.97,3792.695714285716,671.31,-35.53,57.12,-8.03,-209.7,30224.7,0.43,0.5700000000000001,0.3469
29760.1,30460.087,908813912,35.81,5644.946000000002,2070.63,6.07,308.87,-32.72,-101.3,29861.4,0.43,0.5700000000000001,0.3469
29158.2,27237.17,796654913.4,24.13,4742.232785714287,1276.24,-100.24,345.96,-33.65,24.400000000001455,29133.8,0.43,0.5700000000000001,0.3667
29074,1311.582,38136588.92,34.69,2822.8819285714303,-595.49,-63.84,-971.76,6.57,-186,29260,0.44,0.56,0.3469
29128.5,6657.259,194041259.1,34.3,3201.9880000000016,359.73,-64.37,137.72,-22.54,-43.2,29171.7,0.43,0.5700000000000001,0.3469
29192.2,7640.229,222974277.7,36.77,2381.5524285714305,508.61,2.56,75.39,-23.31,-252.4,29444.6,0.43,0.5700000000000001,0.3469
