,Unnamed: 0.1,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,state,bb_direction,enter_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,profit_ma
852,852,984,1644508800000.0,44913.5,45600.0,44827.0,45379.0,7299.795,329821929.227,2022-02-10 16:00:00,-0.00010229,19702.918,63.94,44816.0,43911.19,44363.59,45268.4,43458.79,45720.8,43006.39,225.25,138.99,86.25,29.84,19.51,17.56,16.6,5482.483714285715,358.49,106.87,369.58,12.14,44563.5,44982.8,PositionState,upper,45379.0,44336.0,0.0,-1043.0,0.0,-1043.0,-332.0,-235.7000000000044
958,958,1090,1644890400000.0,43419.5,43649.0,43356.0,43508.5,3081.441,134002857.6445,2022-02-15 02:00:00,0.0001,18500.687,71.08,42936.52,42170.28,42553.4,43319.64,41787.16,43702.76,41404.03,212.33,94.26,118.06,35.74,17.06,20.08,22.08,3002.994285714286,-131.37,100.54,566.84,13.47,42606.38,43241.13,PositionState,upper,43508.5,43880.5,0.0,372.0,1016.0,-68.5,475.22222222222223,717.8300000000017
1156,1156,1288,1645603200000.0,38133.0,38780.0,38070.0,38644.5,7489.904,288448932.9155,2022-02-23 08:00:00,-0.000165,20557.68999999,64.41,38163.78,37689.05,37926.41,38401.14,37451.68,38638.51,37214.32,140.14,77.61,62.53,30.15,12.81,20.65,19.04,2974.1152857142865,256.48,75.58,221.75,8.73,38022.44,38339.97,PositionState,upper,38644.5,38069.0,0.0,-575.5,339.0,-575.5,39.2,9.459999999999129
1192,1192,1324,1645732800000.0,37275.0,40000.0,37267.0,38398.0,22861.509,882062884.7539998,2022-02-24 20:00:00,-0.00027387,19782.934,69.32,37232.16,35453.9,36343.03,38121.29,34564.76,39010.43,33675.63,-11.72,-383.06,371.33,42.14,12.45,32.08,35.97,8230.472785714286,1275.04,216.3,901.87,24.84,36242.5,37546.71,PositionState,upper,38398.0,39000.5,0.0,602.5,1345.5,-550.0,481.1029411764706,1657.5
1283,1283,1415,1646060400000.0,39795.0,40927.0,39563.0,40798.5,15893.516,641580138.982,2022-02-28 15:00:00,-0.00021537,20325.765,73.38,39340.18,37796.22,38568.2,40112.16,37024.24,40884.14,36252.26,220.95,-62.61,283.57,39.15,12.77,17.63,20.07,5085.063714285715,707.58,234.76,1555.69,23.04,38687.38,39881.85,PositionState,upper,40798.5,43814.0,0.0,3015.5,3814.5,0.0,2533.1071428571427,4038.220000000001
1330,1330,1462,1646229600000.0,43507.0,44850.0,43473.5,44803.0,10540.835,466655819.9625,2022-03-02 14:00:00,-0.00010436,19141.775,63.92,44227.31,43682.44,43954.87,44499.74,43410.0,44772.18,43137.57,264.94,332.79,-67.84,26.66,15.5,33.78,38.23,3509.3943571428576,433.85,89.27,198.45,8.25,44007.94,44281.09,PositionState,upper,44803.0,43741.0,0.0,-1062.0,0.0,-1062.0,-585.25,-307.07999999999447
1487,1487,1619,1646794800000.0,39360.0,41446.5,39328.5,41194.5,20793.06,840743225.171,2022-03-09 03:00:00,0.0001,20235.857,77.41,39568.04,38415.05,38991.54,40144.54,37838.55,40721.04,37262.05,314.69,131.36,183.33,44.64,8.9,19.88,18.14,5819.983714285715,1108.7,231.88,1378.13,23.11,39077.88,40180.44,PositionState,upper,41194.5,40923.5,0.0,-271.0,1325.0,-271.0,705.1304347826087,1221.5999999999983
1627,1627,1759,1647298800000.0,39318.5,39770.5,39318.0,39645.5,3880.073,153632788.994,2022-03-14 23:00:00,0.0001,19038.845,68.16,39172.01,38624.98,38898.5,39445.53,38351.47,39719.05,38077.95,118.36,53.8,64.55,35.43,17.16,16.53,19.13,3467.1607142857147,-14.24,78.62,20.59,15.59,38934.11,39334.27,PositionState,upper,39645.5,38834.0,0.0,-811.5,0.0,-811.5,-303.6666666666667,-197.20999999999916
1716,1716,1848,1647619200000.0,40897.0,41447.0,40873.5,41379.5,8305.226,341926663.119,2022-03-18 16:00:00,-0.00015262,21269.995,67.74,40941.68,40431.55,40686.62,41196.75,40176.49,41451.82,39921.42,38.77,-26.3,65.08,29.11,18.21,15.85,16.58,3414.7912857142865,501.69,72.94,290.93,12.25,40627.61,41044.84,PositionState,upper,41379.5,41810.0,0.0,430.5,801.0,0.0,434.5857142857143,861.2200000000012
1799,1799,1931,1647918000000.0,41822.0,42573.0,41822.0,42215.0,8161.426,344429735.6455,2022-03-22 03:00:00,9.647e-05,22071.468,69.38,41586.24,40973.66,41279.95,41892.53,40667.37,42198.83,40361.08,93.38,-24.13,117.51,35.73,15.6,26.04,25.95,3637.492714285715,143.78,98.41,606.22,25.88,41320.22,41840.08,PositionState,upper,42215.0,42268.0,0.0,53.0,769.5,-4.5,381.6764705882353,578.3199999999997
1843,1843,1975,1648076400000.0,42457.5,42987.0,42366.0,42851.5,4125.429,176172632.8795,2022-03-23 23:00:00,9.503e-05,20728.36899999,62.38,42556.34,42111.86,42334.1,42778.58,41889.62,43000.82,41667.37,73.47,28.67,44.79,27.86,15.55,12.87,15.78,2980.080071428572,148.37,54.47,213.15,11.06,42391.61,42616.07,PositionState,upper,42851.5,44150.5,0.0,1299.0,2074.0,-161.0,831.2619047619048,1734.1100000000006
