close,volume,turnover,rsi,upper,middle,lower,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,bb_diff,up_ratio,dw_ratio,rsi_up_ratio
22233.4,35572.653,779896111.3884999,71.1,22039.56,21780.96,21522.37,60.43,21.59,38.83,29.94,19.98,15.34,18.12,6872.306857142858,2148.83,66.22,206.16,7.8,-139.6,0.44,0.56,0.4048
22222,4738.868,105191881.7,63.1,22216.08,22081.75,21947.42,72.08,80.31,-8.22,23.97,12.7,19.52,20.5,2648.9545,143.14,32.22,-354.46,5.71,1953.2000000000007,0.44,0.56,0.3898
23308.2,25824.33,598927644.8,83.47,23280.21,22535.04,21789.87,269.47,193.06,76.41,47.67,5.72,43.08,31.2,10499.027,1719.75,217.36,1024.09,16.43,1287.2000000000007,0.48,0.52,0.75
25100.5,27494.681,681967793.3,79.52,24773.99,24336.05,23898.11,435.45,495.98,-60.52,41.91,12.85,60.68,61.41,7569.173000000001,1539.56,166.31,-1913.87,-5.12,-1096.7,0.48,0.52,0.4048
24832.9,27979.592,694868713.3,70.73,24762.56,24143.02,23523.48,109.68,0.21,109.46,33.2,11.08,29.38,33.44,13820.475428571428,1703.47,188.92,-80.09,19.31,-317.4,0.45,0.55,0.4048
24700.1,5346.238,131719895.5,59.59,24685.8,24518.04,24350.27,103.91,117,-13.08,21.58,17.98,14.35,20.65,3149.0086428571426,-83.83,47.52,-652.3,3.48,13.100000000002183,0.44,0.56,0.3714
24924.9,20292.076,504977588.7,67.44,24839.61,24682.19,24524.76,53.06,41.7,11.35,37.07,11.52,18.5,15.39,3933.811142857143,1222.66,44.56,102.69,18.54,-566.5,0.48,0.52,0.3898
25034.9,3312.537,82754943.37,64.27,24994.89,24849.38,24703.87,79.33,71.86,7.46,25.15,13.66,15.31,15.56,3502.1875,-864.64,54.53,-299.77,9.13,-343.8,0.3,0.7,0.3898
24529.9,15564.218,379937132.4,64.78,24518.99,24083.73,23648.48,-22.65,-109.43,86.78,32.05,16.5,33.54,36.81,9441.457928571428,747.04,90.5,32.94,28.36,-749.7,0.3,0.7,0.3898
23477.1,16521.26,386565679.4,66.41,23365.02,23205.61,23046.2,41.07,16.98,24.09,35.38,17.06,18.51,25.27,3851.8629285714283,1018.59,43.84,-46.93,16.07,-92.4,0.3,0.7,0.3898
23700,19496.395,461030622.7,66.99,23606.38,23429.09,23251.8,51.93,52.02,-0.09,35.58,16.6,15.1,18.53,4043.7075,937.71,28.68,-219.82,19.51,-312.1,0.44,0.56,0.3898
23778.7,14443.548,341771814.3,68.12,23679.02,23355.02,23031.02,8.15,-27.91,36.07,31.91,17.61,19.31,16.42,7003.4432857142865,14.48,53.52,130.93,24.7,-80.2,0.3,0.7,0.3898
22575.7,15746.396,354841290.9,66.77,22485.65,22343.83,22202.01,-11.3,-43.02,31.72,36.88,19.13,38.88,42.3,3368.3965,1070.12,29.6,131.06,37.03,-243.2,0.3,0.7,0.3898
22479,8043.251,180544922.6,58.38,22474.58,22404.01,22333.44,16.61,12.34,4.27,29.56,15.75,17.67,21.82,1965.9369285714288,450.77,10.46,-122.16,3.52,-105.9,0.44,0.56,0.3714
22538.9,9037.321,203467490.2,66.32,22499.08,22410.11,22321.13,14.6,2.86,11.74,27.67,13.23,13.61,15.92,2930.295857142857,239.34,21.11,46.22,13.96,-152.3,0.44,0.56,0.3898
20571.3,28040.844,574237484.6,60.38,20531.06,20141.09,19751.13,-80.72,-194.54,113.82,26.63,19.84,41.19,56.21,16403.17842857143,1032.6,63.9,142.07,15.45,-721.2,0.45,0.55,0.3898
20776.5,29338.317,606402541.6,73.72,20574.7,20385.95,20197.2,63.88,45.24,18.63,37.39,15.79,16.46,18.72,4849.533357142857,1854.4,45.9,61.65,17.09,1533.0999999999985,0.44,0.56,0.4048
21978.9,23915.152,522734071.8,81.77,21823.62,20843.03,19862.44,327.52,179.28,148.23,41.19,4.94,34.92,26.86,15189.92742857143,1521.22,361.57,1651.32,25.68,137,0.48,0.52,0.75
23473.2,69449.805,1607612042,79.92,23132.58,22044.65,20956.71,468.86,436.7,32.16,45.14,10.23,47.19,44.36,15682.60257142857,2478.63,271.25,-675.59,10.97,934.5999999999985,0.48,0.52,0.4048
24580,12336.078,301444220.5,74.6,24275.42,23992.39,23709.35,486.69,571.14,-84.45,37.99,8.68,59.59,58.55,8171.743642857144,276.92,175.09,-2512.86,0.06,-3.6,0.48,0.52,0.4048
24928.5,16150.941,401395516,63.63,24885.91,24523.32,24160.73,26.5,-38.6,65.11,26.3,13.93,14.88,16.63,6986.9931428571435,806.53,91.02,-150.37,13.77,-242.1,0.45,0.55,0.3898
25654.5,27092.997,687240705.8,70.89,25314.84,24860.36,24405.88,158.9,99.89,59,36.55,11.54,22.3,19.44,10198.5465,1210.11,145.83,79.53,19.4,979.2999999999993,0.44,0.56,0.4048
27503.9,36273.78,994497164.4,76.54,27325.66,26413.38,25501.1,477.13,431.04,46.08,37.79,8.73,46.2,42.96,19293.51357142857,1762.18,326.33,-357.98,11.31,-110.5,0.48,0.52,0.4048
27546,23687.789,652078406.7,65.77,27483.97,27172.74,26861.52,55.97,21.22,34.75,30.63,15.58,20.78,24.2,6134.218142857143,1399.5,77.33,-51.34,21.54,-119,0.3,0.7,0.3898
28333,18913.349,534777985.5,61.06,28306.18,27926.14,27546.1,83.66,43.85,39.81,24.96,16.64,10.96,11.93,9613.918142857143,1179.66,73.52,210.72,13.03,-188,0.44,0.56,0.3898
28273.4,10776.601,304917138.9,59.63,28252.34,28105.99,27959.65,63.5,59.65,3.85,24.46,15.03,11.93,11.18,4221.6351428571425,579.55,40.43,-83.21,4.49,-261.8,0.44,0.56,0.3714
28567.9,48897.809,1389890539,67.13,28366.95,27700.47,27033.99,33.72,-76.85,110.58,37.28,17.3,23.27,26.43,9911.188714285716,3181.7,101.9,-726.45,27.31,-394.1,0.3,0.7,0.3898
27848,6832.837,189807154.2,65.13,27843.86,27569.66,27295.46,39.12,-2.74,41.86,29.54,15.37,23.28,27.87,2765.856857142858,299.15,71.79,148.68,19.7,176.5,0.3,0.7,0.3898
27322.7,16538.284,448992812,57.71,27258.65,27025.98,26793.31,-74.67,-121.03,46.35,26.19,19.97,25.15,27.93,8075.784929,994.86,-1.45,48.06,16.11,200.70000000000073,0.3,0.7,0.3714
28037.8,25780.947,720222150.1,73.54,27886.33,27324.26,26762.2,137.78,53.55,84.22,39.62,10.35,26.75,26.4,7745.357571428572,1520.39,155.76,452.17,22.36,209.10000000000218,0.48,0.52,0.4048
28952.9,34208.525,987654141,73.46,28585.44,28254.3,27923.16,241,242.16,-1.15,38.92,9.14,45.56,43.9,8373.707071428573,1886.1,124.91,-790.86,13.21,-451.8,0.48,0.52,0.4048
28501.6,13616.498,388209340.7,62.37,28482.45,28108.91,27735.36,-9.75,-64.83,55.07,28.88,18.46,20.55,22.18,8206.659000000001,152.39,65.49,-144.73,20.17,101.40000000000146,0.3,0.7,0.3898
28657.2,18286.384,520513215.5,69.39,28458.3,28162.16,27866.03,86.61,53.34,33.26,33.17,15.22,12.76,14.38,6657.078285714287,705.66,72.97,-24.52,16.14,-111.9,0.3,0.7,0.3898
