close,volume,turnover,rsi,upper,middle,lower,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,bb_diff,up_ratio,dw_ratio,rsi_up_ratio
29287.6,3945.692,115463946,57.11,29283.54,29204.51,29125.48,0.96,-6.35,7.32,32.15,13.55,26.94,25.71,2112.6522142857157,234.07,4.98,-22.71,4.3,55.400000000001455,0.44,0.56,0.3714
29560,16597.179,490235331.1,71.28,29474.85,29283.83,29092.81,52.23,21.21,31.01,40.7,8.49,36.53,30.79,4489.426000000001,941.06,58.41,241.06,15.11,-162.6,0.48,0.52,0.4048
29472.9,13071.54,384507039.1,67.35,29404.17,29253.92,29103.67,3.07,-25.07,28.14,33.24,15.18,19.7,22.39,2782.009071428573,830.59,31.7,-26.75,23.75,-227.3,0.3,0.7,0.3898
29370.3,4862.834,142790576.8,62.34,29357.28,29302.45,29247.62,1.54,-2.02,3.56,33.82,22.6,13.89,13.88,1204.844214285716,283.57,6.38,4.65,24.24,-178.1,0.44,0.56,0.3898
29444.6,10091.714,296709716.2,60.56,29429.38,29294.01,29158.63,-3.33,-6.46,3.13,30.84,24.25,23.26,18.03,3890.1441428571447,601.61,-9.03,118.75,17.74,-50.3,0.3,0.7,0.3898
29700.1,22777.104,671894162.4,76.38,29572.61,29138.65,28704.69,67.54,-12.47,80.01,38.91,18.69,28.31,28.37,7710.302142857145,1510.41,113.06,305.93,38.56,-174.3,0.45,0.55,0.4048
29380.7,12078.779,353773884.3,61,29322.43,29188.53,29054.63,-18.78,-42.92,24.13,26.63,21.71,25.82,26.05,3338.373642857145,721.57,10.55,-144.39,16.45,-161.1,0.44,0.56,0.3898
29125,1851.727,53934755.87,59.59,29124.82,29065.55,29006.28,4.8,-2.5,7.31,25.28,17.84,19.73,19.98,1080.0800000000015,73.64,13.06,22.63,14.65,-81.1,0.3,0.7,0.3714
29184.9,1352.862,39460200.44,63.11,29165.38,29083.64,29001.89,15.4,5.36,10.04,23.53,16.37,16.35,17.7,1441.1601428571444,22.53,15,65.59,8.3,-149.8,0.44,0.56,0.3898
29425.6,11048.252,324289140.2,70.06,29393.52,29191.54,28989.55,53.83,36.15,17.68,38,13.5,21.57,20.43,2337.510785714287,393.37,42.38,21.24,20.33,329.5,0.3,0.7,0.4048
29791.3,9423.402,280507305.6,73.37,29749.91,29368.19,28986.47,138.61,87.1,51.5,39.38,5.46,38.04,27.14,7229.114428571431,623.18,130.31,423.92,16.17,-41.6,0.48,0.52,0.4048
29880.9,7371.067,220093264,63.9,29858.17,29722.9,29587.63,106.16,118.35,-12.18,31.48,12.34,48.33,49.16,3451.678214285716,-928.97,52.63,-453.65,1.1,-130.9,0.44,0.56,0.3898
29450.6,1194.934,35194872.38,56.25,29450.43,29415.53,29380.63,2.68,-3.33,6.01,22.56,17.44,12.52,15.02,649.8707857142872,39.75,6.45,-36.42,8.97,-49,0.3,0.7,0.3714
29587.4,11781.024,348481240.1,71.92,29568.03,29415.84,29263.66,27.47,8.41,19.05,33.24,20.22,26.39,27.32,3797.0395714285733,538.18,29.63,105.32,27.18,-266.9,0.3,0.7,0.4048
26219.1,5991.41,157082324.4,58.9,26197.71,26109.05,26020.39,8.36,-1.13,9.49,27.29,17.13,15.03,18.01,2624.512500000002,313.38,16.13,6.4,12.43,-93.3,0.3,0.7,0.3714
26186.8,4189.942,109686454.6,58.5,26185.05,26064.65,25944.26,0.64,-15.79,16.43,26.12,18.26,11.05,11.02,4553.936929,63.56,19.26,-59.99,11.41,-153.6,0.44,0.56,0.3714
26384.6,22662.175,596825220.3,68.66,26306.15,26030.84,25755.52,39.95,7.17,32.78,31.9,17.37,21.61,24.32,5584.861071428573,1534.86,60.93,75.4,25.69,40.5,0.3,0.7,0.3898
26069.9,18794.288,489530690,60.23,26067.58,26025.45,25983.33,1.63,-5.26,6.89,21.46,19.61,16.09,13.71,2550.3252142857164,1315.96,9.11,9.03,13.16,-18,0.3,0.7,0.3898
27481.7,130484.605,3524773467,89.53,26804.98,26161.59,25518.21,106.01,13.63,92.38,69.93,7.72,17.96,18.66,11081.533142857146,9217.89,136.79,1020,66.48,61.39999999999782,0.44,0.56,0.75
25940.8,1183.655,30675394.72,63.12,25927.25,25858.35,25789.45,11.06,-3.21,14.27,28.97,17.21,17.44,21.74,894.5670000000019,-17.67,20.96,24.27,7.62,-81.2,0.45,0.55,0.3898
25999.1,1765.007,45829759.5,63.19,25967.11,25889.14,25811.18,16.9,10.1,6.8,29.85,16.07,19.57,18.2,2420.291500000002,71,12.59,25.86,8.24,-99.4,0.44,0.56,0.3898
25917.2,4746.951,122793919.8,65.16,25870.64,25751.34,25632.03,18.99,3.8,15.18,25.67,10.11,29.46,31.17,2962.6812142857166,208.26,34.24,-36.2,10.21,411.59999999999854,0.3,0.7,0.3898
26135.7,11303.45,294485300.3,60.55,26133.65,25929.41,25725.18,48.78,56.86,-8.07,35.36,13.2,35.88,40.22,4178.742642857144,171.58,24.2,-127.22,10.03,66.70000000000073,0.45,0.55,0.3898
26512.7,9185.647,242179947.8,69.84,26447.38,26156.62,25865.86,98.66,82.06,16.59,32.25,10,38.09,37.8,6282.939785714288,246.91,71.34,50.56,7,-82.1,0.48,0.52,0.3898
26567.9,25122.439,668775710.9,66.25,26538.82,26293.61,26048.41,96.07,77.92,18.15,37.3,7.68,42.68,40.38,5854.261214285717,1699.3,77.68,168.48,17.22,-99.2,0.44,0.56,0.3898
26761.3,12903.515,343960796.3,66.12,26742.08,26457.16,26172.25,4.48,-12.97,17.45,37.33,13.98,25.85,36.39,4821.751928571431,755.25,27.61,45.11,24.11,-237.6,0.3,0.7,0.3898
26650.3,10124.854,269655687.2,63.12,26614.21,26509.03,26403.85,-1.43,-8.55,7.12,30.87,19.25,19.5,15.9,2300.5750714285737,663.81,6.86,45.77,21.27,591.1000000000022,0.3,0.7,0.3898
26858.3,14295.582,383602204.8,73.35,26824.38,26603.67,26382.96,58.38,26.75,31.62,38.51,10.7,24.78,18.96,3902.643428571431,989.43,62.44,268.8,31.79,-109.4,0.48,0.52,0.4048
26657.1,3287.427,87577632.01,66.63,26626.06,26577.75,26529.45,6.76,0.73,6.02,40.41,13.26,17.12,16.95,722.6887857142873,218.86,7.08,31.72,20.61,-218.6,0.3,0.7,0.3898
26383.6,5930.976,156118566.1,64.83,26357.67,26241.52,26125.37,13.96,-2.2,16.16,28.27,12.38,15.64,14.51,1858.0367142857158,245.35,20.65,57.9,9.94,-200.7,0.3,0.7,0.3898
26777.3,23873.373,638158594.3,70.22,26690.05,26456.46,26222.86,72.51,46.04,26.47,39.86,9.62,27.89,22.47,4687.019500000002,1109.22,61.34,2.38,16.28,253.70000000000073,0.44,0.56,0.4048
27117.1,3110.259,84266126.67,67.95,27097.93,27006.84,26915.75,35.09,27.37,7.71,30.52,12.76,21.17,19.23,1010.6350714285729,110.71,29.36,25.94,11.72,-58.9,0.48,0.52,0.3898
27980.4,42770.353,1189210948,87.28,27571.68,27182.33,26792.98,95.58,48.06,47.52,61.66,8.51,25.24,25.73,5205.163785714288,2935.03,91.29,476.63,48.76,290.7999999999993,0.44,0.56,0.75
27618.6,3936.577,108505940.6,59.56,27602.79,27447.61,27292.43,-15.88,-52.11,36.23,24.93,21.95,28.08,31.9,3713.0681428571443,-206.5,27.01,-95.19,19.25,-212.1,0.3,0.7,0.3714
27975.3,24495.818,684419006.4,71.09,27847.23,27679.19,27511.16,63.95,48.09,15.85,36.64,12.19,24.37,24.07,4158.203285714287,1534.57,55.5,-100.54,16.82,-438,0.44,0.56,0.4048
27931,21019.722,585628265,61.48,27879.8,27591.24,27302.69,28.17,-0.93,29.11,23.58,21.42,17.7,18.18,8077.539285714287,1279.97,9.32,125.83,-3.96,-72.4,0.3,0.7,0.3898
28000.7,1521.356,42560291.42,62.06,27989.6,27916.51,27843.42,32.62,33.4,-0.78,23.51,13.55,16.77,17.94,1326.544571428573,-10.96,22.23,14.75,4.74,-84.9,0.44,0.56,0.3898
26971.7,12072.954,325098837.3,61.16,26919.73,26795.82,26671.91,7.51,-3.55,11.06,35.5,13.22,22.74,21.05,4116.708214285715,743.25,10.65,14.34,10.97,-111.8,0.3,0.7,0.3898
26970,4265.585,115005222.3,67.04,26939.9,26878.1,26816.3,12.04,4.15,7.89,38.98,15.63,19.32,18.87,1417.277285714287,262.84,15.78,18.18,16.78,266.5,0.44,0.56,0.3898
27901.4,48549.167,1344955572,89.33,27616.95,27146.5,26676.06,144.73,84.66,60.07,57.19,4.42,46.17,31.84,7208.984571428572,3380.3,130.65,543.22,22.94,173.6999999999971,0.48,0.52,0.75
28567.9,4581.409,130633575.1,64.3,28546.92,28320.12,28093.31,137.65,156.31,-18.65,33.96,15.15,53.21,61.78,5918.125285714288,188.3,61.61,-20.79,-4.72,-203.9,0.48,0.52,0.3898
28714.4,16831.943,484094144.6,65.46,28626.56,28418.17,28209.77,88.32,88.11,0.21,36.83,12.44,36.53,45.44,4399.269500000002,634.61,49.11,17.9,14.3,-468.4,0.44,0.56,0.3898
28461.7,8636.859,245628386.8,59.49,28447.75,28322.03,28196.32,5.41,-14.94,20.35,23.8,17.72,12.71,15.29,2859.697214285716,387.58,25.88,-39.54,10.56,124.29999999999927,0.44,0.56,0.3714
28966.9,16370.124,473516245.1,69.91,28904.34,28597.29,28290.24,104.53,83.8,20.72,39.49,11.9,27.87,21.2,7264.1387142857175,645.45,72.26,68.46,17.69,667.1999999999971,0.48,0.52,0.3898
29716.6,30275.024,896179996.5,79.45,29606.65,28935.4,28264.16,256.33,177.46,78.86,43.04,7.16,40.04,31.4,8609.141714285715,1838.59,216.84,749.87,18.89,-166.9,0.48,0.52,0.4048
29694.9,3190.094,94617691.83,63.3,29680.88,29514.1,29347.33,122.83,153.7,-30.86,32.77,17.37,32.52,38.31,2324.5429285714304,-110.86,43.18,-273.11,6.53,440.5,0.44,0.56,0.3898
29868.3,5053.109,150727782,65.79,29865.71,29654.98,29444.25,126.49,129.84,-3.35,30.87,14.55,33.75,35.29,2661.7133571428594,219.87,69.06,143.04,-2.88,44.10000000000218,0.48,0.52,0.3898
30332.9,24709.929,750017730.1,68.16,30209.48,29947.44,29685.39,62.26,27.16,35.09,39.48,14.28,20.28,25.24,4309.980142857145,1573.07,87.02,185.34,26.37,321.5,0.48,0.52,0.3898
31343.5,19680.761,615294940,70.56,31300.89,30710.83,30120.77,279.94,228.12,51.82,28.82,13.66,34.05,33.33,11410.769,446.91,230.52,-60.31,-0.63,2638.199999999997,0.48,0.52,0.4048
34175.5,17091.01,577521029.7,85.22,34008.81,31760.61,29512.4,817.2,508.18,309.02,56.77,3.81,48.89,41.28,22544.696214285712,668.55,894.1,3485.86,33.39,409.1999999999971,0.48,0.52,0.75
34497.4,16063.711,553888667.9,62.53,34472.34,34087.63,33702.91,213.57,230.8,-17.23,28.66,12.33,35.56,40.63,6577.515285714288,597.6,125.4,-127.94,5.28,176.59999999999854,0.48,0.52,0.3898
34214.4,825.397,28221712.81,57.17,34204.98,34116.81,34028.65,39.91,33.36,6.54,30.51,15.35,25.38,22.91,2705.9840714285738,-15.67,25.61,-300.68,1.66,-117,0.3,0.7,0.3714
34265,2867.015,98073909.72,61.66,34235.95,34101.07,33966.2,12.28,6.06,6.21,29.5,15.6,18.75,21.62,1133.3852142857163,120.82,17.76,28.26,7.76,315,0.44,0.56,0.3898
34501.8,3363.303,115889501.9,68.42,34497.8,34217.36,33936.92,82.37,42.42,39.95,31.54,9.42,27.99,25.66,2147.584357142859,165.26,96.02,326.16,11.93,-57.3,0.48,0.52,0.3898
34824.9,13165.857,456700737.9,64.53,34702.86,34494.3,34285.75,31.99,15.73,16.25,30.33,12.12,11.29,12.49,2837.271357142859,772.55,31.81,-26.27,17.48,-632.4,0.44,0.56,0.3898
35500.2,22258.38,781224537.7,71.74,35094.35,34585.85,34077.34,96.85,28,68.84,42.21,9.04,24.42,17.49,10287.760642857145,1477.53,124.68,520.34,17.92,-194.8,0.3,0.7,0.4048
35169.3,9106.485,319082048.4,71.31,34978.65,34780.56,34582.46,55.13,28.9,26.23,33.41,12.54,13.87,14.53,2080.4122142857163,407.65,51.8,167.01,16.7,-52.4,0.44,0.56,0.4048
35408.9,28543.954,1006949039,66.7,35237.91,34909.63,34581.34,-11.34,-49.95,38.6,33.39,17.43,25.82,20.17,6061.929214285717,1912.41,23.7,128.78,29.56,-122.3,0.3,0.7,0.3898
35622.2,7190.205,255357236,61.9,35509.5,35343.35,35177.2,77.84,75.42,2.41,25.98,15.17,17.14,20.8,4193.820429,390.28,38.26,-284.2,3.98,977.7000000000044,0.44,0.56,0.3898
35885.7,8427.047,301151309.7,64.91,35880.85,35511.46,35142.08,141.47,109.11,32.35,22.62,10.37,23.94,21.23,8889.593357,376.22,113.79,453.11,4.43,959,0.48,0.52,0.3898
37928.2,49607.719,1868707645,82.2,37783.16,36568.26,35353.37,476.26,379.92,96.33,46.58,4.39,53.28,39.41,13084.408214285717,2941.47,343.77,605.52,13.68,-1568.2,0.48,0.52,0.75
37107.2,13887.055,513537225.7,60.65,37050.18,36692.47,36334.76,98.26,105.41,-7.15,28.79,18.02,20.03,27.83,4709.617214285717,308.42,43.77,-652.59,7.22,275,0.44,0.56,0.3898
37427.3,54659.539,2028484086,77.99,37155.87,36180.6,35205.33,185.61,14.57,171.03,44.36,14.19,35.36,45.33,9174.345071428574,3752.94,268.97,950.13,37.1,56.19999999999709,0.45,0.55,0.4048
36675.6,3578.883,131043345.7,59.83,36636.07,36457.84,36279.61,26.98,2.03,24.95,23.68,16.06,10.2,13.51,1855.3395714285737,170.02,39.02,-219.02,8.21,-144.4,0.48,0.52,0.3714
36854.9,6104.834,224615249.7,67.04,36760.1,36583.93,36407.76,32.51,15.17,17.33,34.68,17.5,12.91,11.92,2204.8272142857163,375.4,41.41,48.08,21.29,297.40000000000146,0.44,0.56,0.3898
37443.1,20834.694,772656773.4,65.25,37412.3,37134.94,36857.58,133.59,145,-11.41,18.13,20.92,33.33,31.37,4444.473571428573,1051.82,50.4,-514.25,-18.77,181.8000000000029,0.48,0.52,0.3898
37209.6,21643.188,801555105.4,62.95,37188.08,36632.17,36076.26,-27.21,-104.06,76.84,26.98,16.56,23.4,26.99,5755.873928571432,1327.29,44.02,-209.01,15.66,136.5,0.3,0.7,0.3898
37760.5,20029.116,758862841.1,66.72,37745.75,37429.73,37113.71,108.72,74.61,34.11,36.32,7.6,23.54,19.45,4914.030785714289,1288.23,97.84,144.4,20.77,-73.6,0.48,0.52,0.3898
37893.3,18193.606,686679425.3,70.62,37699.99,37267.4,36834.81,99.01,14.93,84.07,33.75,10.79,24.46,27.22,4816.930071428574,1181.23,149.63,335.56,23.97,57.69999999999709,0.45,0.55,0.4048
37945.1,6177.757,233916046.9,58.65,37936.24,37766.71,37597.18,-13.78,-28.92,15.13,21.01,17.55,15.94,14.13,3838.8814285714316,171.27,2.08,-124.75,9.6,434.09999999999854,0.48,0.52,0.3714
38732.2,19762.808,762841037.5,78.86,38633.43,38050.89,37468.35,164.42,79.77,84.64,37.07,9.84,24.98,20.6,4706.491571428574,1322.38,174.76,778.69,19.45,15.900000000001455,0.48,0.52,0.4048
38794.2,1177.815,45677440,61.11,38767.18,38693.62,38620.05,108.79,135.24,-26.44,28.87,14.99,35.95,36.37,1243.9702857142886,-39.3,38.88,-403.35,-1.55,660.8000000000029,0.48,0.52,0.3898
38876,5635.537,219073641.5,62.77,38836,38746.16,38656.32,86.02,102.68,-16.66,31.97,12.68,34.76,36.28,1761.4211428571455,303.11,32.06,-22.56,6.35,548.9000000000015,0.48,0.52,0.3898
39688.1,10861.043,430525151.9,67.61,39676.28,39370.73,39065.18,166.35,177.42,-11.07,36.16,11.91,45.09,45.89,2309.359071428574,658.45,84.15,-547.88,3.12,544.8000000000029,0.48,0.52,0.3898
40098.9,21680.486,868258681.9,71.41,39909.16,39570,39230.85,168.1,155.69,12.4,43.87,10.36,43.03,44.21,4942.062714285717,1472.9,100.43,371.01,14.39,1483.5999999999985,0.48,0.52,0.4048
41542.2,24198.412,999549252,85.92,41349.74,40178.06,39006.37,449.05,302.04,147,52.65,4.42,55.93,51.31,8866.676714285717,1256.53,415.14,1726.45,25.32,107.70000000000437,0.48,0.52,0.75
42206,11042.287,464953250.8,64.39,42076.33,41758.43,41440.53,168.7,192.87,-24.16,30.19,12.91,35.77,43.24,4856.608642857145,440.76,89.56,-98.93,7.75,1689.5,0.48,0.52,0.3898
44060.2,11460.973,504766677.9,66.28,44024.13,43626.26,43228.39,401.48,464.38,-62.89,25.45,15.6,45.87,48.92,6916.978357142861,-324.17,182.15,-2327.98,-7.36,-291.9,0.48,0.52,0.3898
43785.9,6122.778,267616788.5,59.44,43780.82,43461.14,43141.47,-5.81,-52.5,46.69,22.73,18.18,20.9,23.26,3580.243357,267.63,39.34,-1.32,13.73,423.79999999999563,0.3,0.7,0.3714
44403.6,8680.285,383859031.3,67.32,44327.71,43724.97,43122.24,151.49,70.97,80.52,30.77,13.11,20.92,20.97,5882.143857,466.48,145.98,544.09,9.4,-172.9,0.48,0.52,0.3898
41974.9,17833.738,745943250.3,62.58,41842.83,41330.1,40817.37,6.42,-97.46,103.88,25.12,18.78,28.59,31.3,5596.228642857146,690.95,117.18,9.32,16.76,818.5,0.3,0.7,0.3898
43245.3,17906.17,772148684,62.28,43136.4,42726.31,42316.22,197.74,252.9,-55.15,27.54,28.41,36.79,37.43,9907.366428571431,1165.82,22.69,-337.02,6.25,-417.8,0.48,0.52,0.3898
42648.3,17932.12,761233702.5,68.1,42424.04,41595.03,40766.02,98.55,-64.49,163.05,34.84,14.47,26.71,32.25,8259.071928571431,1011.8,224.65,380.41,22.93,467.29999999999563,0.45,0.55,0.3898
43807.4,25915.797,1124935665,72.69,43548.49,42815.99,42083.49,201.06,115.11,85.95,34.31,9.79,24.44,23.26,5380.558571428574,1628.46,184.05,437.5,15.02,-184.3,0.3,0.7,0.4048
43244.8,11060.528,476209756.8,66.77,43130.41,42614.58,42098.75,-5.32,-119.65,114.33,30.08,19.04,36.3,43.35,2965.1781428571458,635.24,115.87,127.84,25.29,146.5,0.45,0.55,0.3898
