,Unnamed: 0.1,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,state,bb_direction,enter_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,profit_ma
1079,1079,1211,1645326000000.0,39850.5,39882.0,39709.0,39789.0,2018.326,80325659.2035,2022-02-20 03:00:00,0.0001,20275.169,40.64,40092.48,39891.95,39992.22,40192.74,39791.69,40293.01,39691.42,-99.35,-108.58,9.22,13.16,24.09,26.54,34.27,1414.7530714285715,-95.51,-21.38,-110.74,-4.46,39950.61,39852.4,PositionState,lower,39789.0,38819.0,0.0,970.0,1656.5,0.0,1260.975,1307.3300000000015
1111,1111,1243,1645441200000.0,38277.5,38405.5,37257.0,37549.5,12552.766,474540461.279,2022-02-21 11:00:00,3.534e-05,20159.846,30.42,39186.29,38261.74,38724.02,39648.57,37799.47,40110.84,37337.19,-127.7,-63.68,-64.01,15.52,40.73,26.2,34.28,4546.464071428572,697.33,-123.63,203.88,-16.88,38845.0,38096.38,PositionState,lower,37549.5,38659.5,0.0,-1110.0,46.5,-1110.0,-260.625,-65.41000000000349
1174,1174,1306,1645668000000.0,36939.5,36983.0,35777.5,35896.0,8586.7,312347739.744,2022-02-24 02:00:00,-0.00016121,19469.037,25.22,38428.34,36770.65,37599.49,39257.18,35941.81,40086.02,35112.97,-370.06,-125.05,-245.01,9.68,34.46,28.45,28.82,4554.272357142858,369.18,-179.31,634.08,-10.19,37222.38,36455.24,PositionState,lower,35896.0,36115.0,0.0,-219.0,1255.0,-219.0,537.7333333333333,550.2699999999968
1245,1245,1377,1645923600000.0,38760.5,38807.5,38200.0,38214.5,4570.981,175691123.681,2022-02-27 01:00:00,-4.07e-05,19127.559,34.73,39268.5,38755.41,39011.95,39525.04,38498.86,39781.58,38242.32,-22.55,77.53,-100.08,18.31,27.99,21.16,22.67,2319.778785714286,168.8,-83.95,305.77,-10.97,39053.16,38587.27,PositionState,lower,38214.5,39068.5,0.0,-854.0,0.0,-854.0,-426.44444444444446,-319.8600000000006
1356,1356,1488,1646323200000.0,42519.5,42739.0,42227.0,42400.5,8040.643,341562132.292,2022-03-03 16:00:00,0.0001,19127.801,34.13,43819.91,42951.3,43385.6,44254.22,42516.99,44688.52,42082.68,-217.57,-118.07,-99.5,14.57,29.11,17.86,22.01,4225.700857142858,444.22,-103.7,369.58,-3.3,43235.94,42718.07,PositionState,lower,42400.5,39409.0,0.0,2991.5,3675.0,-80.0,1955.82,3405.760000000002
1421,1421,1553,1646557200000.0,39129.5,39162.5,38623.0,38686.5,5440.461,211509176.2585,2022-03-06 09:00:00,-0.00012523,19231.342,30.89,39504.93,39120.39,39312.66,39697.2,38928.12,39889.48,38735.85,-125.41,-109.54,-15.86,12.67,37.58,30.27,36.87,2190.591000000001,346.88,-65.9,143.11,-10.53,39305.61,38977.58,PositionState,lower,38686.5,39201.0,0.0,-514.5,426.0,-514.5,9.4375,-10.989999999997965
1438,1438,1570,1646618400000.0,38321.0,38363.5,37561.0,37771.0,7468.516,283126107.833,2022-03-07 02:00:00,9.72e-05,18085.525,29.64,39081.05,38332.48,38706.76,39455.33,37958.19,39829.62,37583.91,-257.88,-187.65,-70.22,15.26,41.69,25.65,29.6,3757.8338571428576,149.18,-98.5,52.59,-10.19,38574.22,38096.08,PositionState,lower,37771.0,38542.0,0.0,-771.0,0.0,-771.0,-294.77272727272725,-266.83000000000175
1455,1455,1587,1646679600000.0,37937.5,37996.0,37180.0,37284.5,8084.68,303370720.2165,2022-03-07 19:00:00,0.0001,19712.078,33.25,38812.49,37929.43,38370.96,39254.03,37487.89,39695.56,37046.36,-139.12,-102.15,-36.97,19.4,36.66,22.32,25.73,5304.568071428572,387.09,-114.36,148.88,-10.11,38486.83,37808.24,PositionState,lower,37284.5,38262.0,0.0,-977.5,0.0,-977.5,-614.7142857142857,-363.1200000000026
1513,1513,1645,1646888400000.0,39533.0,39533.0,38722.0,39173.0,9975.534,391139400.8215,2022-03-10 05:00:00,0.0001,18644.496,27.5,41933.53,40144.98,41039.26,42827.8,39250.71,43722.08,38356.43,-127.67,288.65,-416.33,14.17,40.06,40.16,44.93,4419.925642857143,295.39,-196.43,1028.19,-10.1,40961.72,39698.87,PositionState,lower,39173.0,39909.0,0.0,-736.0,914.0,-736.0,69.87096774193549,243.20999999999916
1592,1592,1724,1647172800000.0,38740.0,38769.0,38365.0,38518.0,5738.648,221149165.6105,2022-03-13 12:00:00,-3.731e-05,20454.7,31.89,39124.75,38819.06,38971.9,39277.59,38666.22,39430.43,38513.37,-68.45,-21.8,-46.65,14.08,31.14,11.5,9.82,1777.5700000000004,365.89,-47.77,201.15,-5.62,38964.16,38695.94,PositionState,lower,38518.0,38980.0,0.0,-462.0,0.0,-462.0,-312.92857142857144,-241.43999999999505
1603,1603,1735,1647212400000.0,37722.0,37887.0,37555.0,37756.0,3640.414,137415216.8815,2022-03-13 23:00:00,-1.752e-05,19620.16999999,24.8,39062.96,38298.2,38680.58,39445.33,37915.82,39827.71,37533.44,-213.69,-101.98,-111.71,10.71,41.22,19.01,13.42,2817.392571428572,157.1,-97.31,458.15,-2.5,38607.83,37998.32,PositionState,lower,37756.0,38505.0,0.0,-749.0,0.0,-749.0,-292.6666666666667,-289.25
