start_at,open,high,low,close,volume,turnover,date,upper,midle,lower,macd,macdsignal,macdhist,bb_diff,bb_flag,prev_macd,prev_macdsignal,macdhist_positive,macd_rising,macdsignal_rising,macd_positive,macdsignal_positive
1672689600000.0,16734.5,16735.0,16708.5,16728.5,940.082,15721476.677,2023-01-02 20:00:00,16785.47,16691.56,16597.65,38.52,41.99,-3.47,0.0,,,,False,False,False,True,True
1672693200000.0,16728.5,16799.0,16720.0,16752.0,3341.092,56003866.74,2023-01-02 21:00:00,16777.61,16697.31,16617.02,39.19,41.43,-2.24,0.0,,38.52,41.99,False,True,False,True,True
1672696800000.0,16752.0,16760.0,16675.5,16695.0,4471.953,74778983.76649998,2023-01-02 22:00:00,16760.77,16697.09,16633.42,34.72,40.09,-5.37,0.0,,39.19,41.43,False,False,False,True,True
1672700400000.0,16695.0,16721.0,16651.0,16668.0,3885.392,64820288.034,2023-01-02 23:00:00,16757.56,16694.32,16631.08,28.66,37.81,-9.14,0.0,,34.72,40.09,False,False,False,True,True
1672704000000.0,16668.0,16703.5,16644.5,16696.0,3139.191,52352409.8295,2023-01-03 00:00:00,16751.26,16694.48,16637.7,25.83,35.41,-9.58,0.0,,28.66,37.81,False,False,False,True,True
1672707600000.0,16696.0,16696.0,16650.0,16677.0,3033.997,50562081.789,2023-01-03 01:00:00,16744.18,16692.82,16641.46,21.8,32.69,-10.88,0.0,,25.83,35.41,False,False,False,True,True
1672711200000.0,16677.0,16683.5,16671.0,16674.5,811.217,13529610.742,2023-01-03 02:00:00,16734.38,16691.07,16647.76,18.19,29.79,-11.59,0.0,,21.8,32.69,False,False,False,True,True
1672714800000.0,16674.5,16697.5,16669.5,16691.0,1038.234,17325347.019,2023-01-03 03:00:00,16735.15,16691.06,16646.98,16.47,27.13,-10.65,0.0,,18.19,29.79,False,False,False,True,True
1672718400000.0,16691.0,16699.5,16684.0,16689.0,882.5,14729970.3745,2023-01-03 04:00:00,16734.85,16690.87,16646.88,14.78,24.66,-9.87,0.0,,16.47,27.13,False,False,False,True,True
1672722000000.0,16689.0,16722.0,16686.5,16719.5,2371.107,39610879.226,2023-01-03 05:00:00,16737.75,16693.59,16649.44,15.72,22.87,-7.14,0.0,,14.78,24.66,False,True,False,True,True
1672725600000.0,16719.5,16774.0,16716.5,16719.0,5857.101,98059662.73,2023-01-03 06:00:00,16739.97,16696.01,16652.06,16.24,21.54,-5.3,0.0,,15.72,22.87,False,True,False,True,True
1672729200000.0,16719.0,16729.5,16702.5,16726.0,2033.512,33992150.78,2023-01-03 07:00:00,16742.35,16698.87,16655.38,17.01,20.64,-3.62,0.0,,16.24,21.54,False,True,False,True,True
1672732800000.0,16726.0,16730.0,16693.0,16712.0,2329.786,38925619.6495,2023-01-03 08:00:00,16743.23,16700.12,16657.01,16.31,19.77,-3.45,0.0,,17.01,20.64,False,False,False,True,True
1672736400000.0,16712.0,16750.0,16711.5,16735.5,1888.578,31601057.031,2023-01-03 09:00:00,16747.82,16703.49,16659.16,17.45,19.31,-1.85,0.0,,16.31,19.77,False,True,False,True,True
1672740000000.0,16735.5,16741.5,16722.0,16722.5,1367.184,22873201.299,2023-01-03 10:00:00,16749.72,16705.3,16660.88,17.11,18.87,-1.75,0.0,,17.45,19.31,False,False,False,True,True
1672743600000.0,16722.5,16733.5,16707.0,16715.5,1313.39,21960624.891,2023-01-03 11:00:00,16749.71,16706.27,16662.83,16.09,18.31,-2.22,0.0,,17.11,18.87,False,False,False,True,True
1672747200000.0,16715.5,16722.5,16701.0,16706.0,1651.955,27607063.2785,2023-01-03 12:00:00,16749.71,16706.24,16662.78,14.34,17.52,-3.17,0.0,,16.09,18.31,False,False,False,True,True
1672750800000.0,16706.0,16735.0,16706.0,16724.0,1423.366,23801296.1355,2023-01-03 13:00:00,16751.85,16707.93,16664.02,14.25,16.86,-2.61,0.0,,14.34,17.52,False,False,False,True,True
1672754400000.0,16724.0,16770.0,16631.0,16658.0,10268.536,171543521.538,2023-01-03 14:00:00,16752.3,16703.18,16654.05,8.75,15.24,-6.49,0.0,,14.25,16.86,False,False,False,True,True
1672758000000.0,16658.0,16680.0,16616.0,16679.5,8501.428,141545257.4075,2023-01-03 15:00:00,16749.78,16700.92,16652.06,6.06,13.41,-7.34,0.0,,8.75,15.24,False,False,False,True,True
1672761600000.0,16679.5,16686.0,16606.0,16621.5,4999.237,83211016.8495,2023-01-03 16:00:00,16752.79,16693.36,16633.93,-0.74,10.57,-11.32,-18.599999999998545,lower,6.06,13.41,False,False,False,False,True
1672765200000.0,16621.5,16641.5,16605.0,16630.5,2831.586,47075250.082,2023-01-03 17:00:00,16748.73,16687.37,16626.01,-5.35,7.39,-12.74,0.0,,-0.74,10.57,False,False,False,False,True
1672768800000.0,16630.5,16653.0,16630.5,16642.0,1802.374,29994983.6585,2023-01-03 18:00:00,16748.29,16683.05,16617.81,-7.98,4.31,-12.29,0.0,,-5.35,7.39,False,False,False,False,True
