start_at,open,high,low,close,volume,turnover,date
1676419200000.0,22184.1,24428.9,22032,24330.3,250860.078,5808725359.1470003128,2023-02-15
1676505600000.0,24330.3,25296.1,23505,23515.5,286770.916,7046553002.1884002686,2023-02-16
1676592000000.0,23515.5,25043.9,23340,24578,285178.286,6883618742.5789003372,2023-02-17
1676678400000.0,24578,24886.6,24427.4,24637.9,80547.124,1983493608.6373999119,2023-02-18
1676764800000.0,24637.9,25197.5,24168.8,24266.9,157719.502,3889843124.8681001663,2023-02-19
1676851200000.0,24266.9,25149.6,23816.7,24853.5,182022.465,4490657723.095700264,2023-02-20
1676937600000.0,24853.5,25295,24152,24455.5,207542.391,5117621335.5789003372,2023-02-21
1677024000000.0,24455.5,24476,23570.3,24180.2,205335.381,4922122712.9251003265,2023-02-22
1677110400000.0,24180.2,24602.9,23590.5,23936.4,205216.569,4938993866.4703998566,2023-02-23
1677196800000.0,23936.4,24130,22800,23185.1,197117.907,4623706697.7721004486,2023-02-24
1677283200000.0,23185.1,23212.8,22712.3,23154.8,81103.536,1865580631.8989999294,2023-02-25
1677369600000.0,23154.8,23685.7,23060.1,23548.3,104193.601,2432141542.9590997696,2023-02-26
1677456000000.0,23548.3,23889,23083.8,23484.1,158482.927,3720091263.7793002129,2023-02-27
1677542400000.0,23484.1,23592.9,23010,23129.9,120864.711,2821616351.4580998421,2023-02-28
1677628800000.0,23129.9,24028.4,23015,23630,174329.331,4117360651.6266999245,2023-03-01
1677715200000.0,23630,23788.2,23186.4,23462.5,108167.574,2532181221.8875999451,2023-03-02
1677801600000.0,23462.5,23469.9,21905,22345.8,190990.043,4281190469.5500998497,2023-03-03
1677888000000.0,22345.8,22394.8,22152,22336.6,45459.139,1013653605.756000042,2023-03-04
1677974400000.0,22336.6,22672.9,22173,22419,72836.932,1633583086.6180999279,2023-03-05
1678060800000.0,22419,22594.7,22234.4,22398.5,75489.874,1692261008.007600069,2023-03-06
1678147200000.0,22398.5,22541.2,21919,22188.9,153476.577,3411630936.9025001526,2023-03-07
1678233600000.0,22188.9,22280,21559,21702,159996.985,3517722602.3172001839,2023-03-08
1678320000000.0,21702,21837.5,20016,20355.6,292958.451,6157356157.8837995529,2023-03-09
1678406400000.0,20355.6,20358.1,19535,20141.4,359581.663,7172793273.1791000366,2023-03-10
1678492800000.0,20141.4,20671.2,19760,20450.1,189705.16,3837788916.852399826,2023-03-11
1678579200000.0,20450.1,22139,20260.9,21978.9,244700.456,5145954708.1153001785,2023-03-12
1678665600000.0,21978.9,24560,21804,24112.2,414361.488,9575542086.4036006927,2023-03-13
1678752000000.0,24112.2,26500,23966,24684.7,476325.135,11936024641.4316997528,2023-03-14
1678838400000.0,24684.7,25211,23868.1,24284.9,306935.436,7547672739.1841001511,2023-03-15
1678924800000.0,24284.9,25175,24123.2,24989.2,201971.596,4989955300.7133998871,2023-03-16
1679011200000.0,24989.2,27766,24878.6,27382.2,407579.872,10770697511.789899826,2023-03-17
1679097600000.0,27382.2,27720,26555,26898.2,198268.054,5403574171.1330003738,2023-03-18
1679184000000.0,26898.2,28417.1,26816.2,27962.1,215409.683,5956281052.0047998428,2023-03-19
1679270400000.0,27962.1,28480,27123,27703.6,251285.843,6997766227.8115997314,2023-03-20
1679356800000.0,27703.6,28471,27292.2,28090,189724.09,5299665860.1813001633,2023-03-21
1679443200000.0,28090,28897,26583.4,27233.8,319885.014,8940862673.1833992004,2023-03-22
1679529600000.0,27233.8,28780,27103.5,28278,238795.344,6673603396.2836999893,2023-03-23
1679616000000.0,28278,28353.2,26956,27437.2,198482.434,5519605986.329199791,2023-03-24
