index,start_at,open,high,low,close,volume,turnover,date
1711263600.0,1711263600.0,64233.7,64237.2,64107.5,64158.7,243.425,15613766.0368,2024-03-24 07:00:00
1711264500.0,1711264500.0,64158.7,64192,64089.3,64150.5,270.75,17366661.4694,2024-03-24 07:15:00
1711265400.0,1711265400.0,64150.5,64423.3,64028.5,64421.2,833.26,53508241.2878,2024-03-24 07:30:00
1711266300.0,1711266300.0,64421.2,64610.3,64298,64604.3,1012.472,65270961.932,2024-03-24 07:45:00
1711267200.0,1711267200.0,64604.3,65015,64491.2,64900.1,2977.542,192859729.6082,2024-03-24 08:00:00
1711268100.0,1711268100.0,64900.1,64988.8,64700.6,64733.6,1208.312,78307824.112,2024-03-24 08:15:00
1711269000.0,1711269000.0,64733.6,64976,64670,64975.9,630.344,40846031.4724,2024-03-24 08:30:00
1711269900.0,1711269900.0,64975.9,65279.3,64866,65258.8,1552.009,101039604.4473,2024-03-24 08:45:00
1711270800.0,1711270800.0,65258.8,65268,64943.9,64957.5,954.842,62144187.6549,2024-03-24 09:00:00
1711271700.0,1711271700.0,64957.5,65097.8,64794.7,64892.8,1074.922,69794680.141,2024-03-24 09:15:00
1711272600.0,1711272600.0,64892.8,65178.7,64866.4,64950.1,587.997,38224215.5198,2024-03-24 09:30:00
1711273500.0,1711273500.0,64950.1,65050.1,64852.5,64899.1,317.158,20602388.6267,2024-03-24 09:45:00
1711274400.0,1711274400.0,64899.1,65039.8,64890,64938.9,331.002,21505330.8569,2024-03-24 10:00:00
1711275300.0,1711275300.0,64938.9,65207.9,64906.8,65188.7,664.18,43243405.1976,2024-03-24 10:15:00
1711276200.0,1711276200.0,65188.7,65207.4,65009.6,65183,400.086,26051590.1604,2024-03-24 10:30:00
1711277100.0,1711277100.0,65183,65397.9,65110,65110.5,1136.05,74132946.2942,2024-03-24 10:45:00
1711278000.0,1711278000.0,65110.5,65143.5,64970,65125.9,583.684,37968695.3014,2024-03-24 11:00:00
1711278900.0,1711278900.0,65125.9,65179.9,65054,65059,241.609,15733338.1693,2024-03-24 11:15:00
1711279800.0,1711279800.0,65059,65166.6,64977.1,65146.7,385.405,25086876.4051,2024-03-24 11:30:00
1711280700.0,1711280700.0,65146.7,65361.8,65146.6,65350,688.207,44919155.3324,2024-03-24 11:45:00
1711281600.0,1711281600.0,65350,65681.1,65201.1,65238.3,2524.387,165242528.9566,2024-03-24 12:00:00
1711282500.0,1711282500.0,65238.3,65578.9,65238.3,65506.6,1083.574,70900342.2357,2024-03-24 12:15:00
1711283400.0,1711283400.0,65506.6,65678.9,65432.3,65530,935.945,61360908.1274,2024-03-24 12:30:00
1711284300.0,1711284300.0,65530,65824.2,65500,65660.2,1534.6,100844275.8551,2024-03-24 12:45:00
1711285200.0,1711285200.0,65660.2,65870,65460.2,65578,1558.581,102251323.7361,2024-03-24 13:00:00
1711286100.0,1711286100.0,65578,65751.2,65419,65499.9,1222.782,80214961.783,2024-03-24 13:15:00
1711287000.0,1711287000.0,65499.9,65539.1,65294.9,65391.9,992.994,64956587.6564,2024-03-24 13:30:00
1711287900.0,1711287900.0,65391.9,65456.6,65272.3,65369.4,927.379,60613577.3873,2024-03-24 13:45:00
1711288800.0,1711288800.0,65369.4,65564.5,65319.8,65564.5,558.773,36576441.2943,2024-03-24 14:00:00
1711289700.0,1711289700.0,65564.5,65956.8,65564.4,65774,2206.615,145163846.2851,2024-03-24 14:15:00
1711290600.0,1711290600.0,65774,65882.6,65520.9,65644.4,1094.64,71887558.0777,2024-03-24 14:30:00
1711291500.0,1711291500.0,65644.4,65701.9,65553,65658.3,363.779,23874599.3577,2024-03-24 14:45:00
1711292400.0,1711292400.0,65658.3,65775.5,65426.3,65513.4,858.494,56314994.8666,2024-03-24 15:00:00
1711293300.0,1711293300.0,65513.4,65713.5,65449.6,65713.4,627.731,41149026.5678,2024-03-24 15:15:00
1711294200.0,1711294200.0,65713.4,65713.5,65500.8,65565.1,431.941,28333578.6815,2024-03-24 15:30:00
1711295100.0,1711295100.0,65565.1,65746,65565.1,65685.9,643.635,42268520.2685,2024-03-24 15:45:00
1711296000.0,1711296000.0,65685.9,65857,65591.1,65622.1,752.56,49483517.3825,2024-03-24 16:00:00
1711296900.0,1711296900.0,65622.1,65650,65615.2,65625.2,15.33,1006102.9723,2024-03-24 16:15:00
