index,start_at,open,high,low,close,volume,turnover,date
1712083500.0,1712083500.0,65735.3,66131,65727.9,65868.1,1792.03,118189673.0382,2024-04-02 18:45:00
1712084400.0,1712084400.0,65868.1,66124.6,65859.7,66015.2,959.244,63339188.5326,2024-04-02 19:00:00
1712085300.0,1712085300.0,66015.2,66028,65793.4,65925.7,1229.908,81063711.0855,2024-04-02 19:15:00
1712086200.0,1712086200.0,65925.7,66219.2,65871.3,66181.8,1076.301,71160253.2157,2024-04-02 19:30:00
1712087100.0,1712087100.0,66181.8,66210.7,65920.4,65925,1595.828,105485410.9941,2024-04-02 19:45:00
1712088000.0,1712088000.0,65925,66132.2,65871.1,66105.2,1491.921,98457200.6655,2024-04-02 20:00:00
1712088900.0,1712088900.0,66105.2,66129,65954.5,66020,325.153,21474115.9378,2024-04-02 20:15:00
1712089800.0,1712089800.0,66020,66020,65802.6,65900.1,745.403,49114684.9084,2024-04-02 20:30:00
1712090700.0,1712090700.0,65900.1,65929.3,65493.4,65668.5,1610.291,105821976.3938,2024-04-02 20:45:00
1712091600.0,1712091600.0,65668.5,65800,65538.3,65742.6,834.809,54816337.8118,2024-04-02 21:00:00
1712092500.0,1712092500.0,65742.6,65848.7,65211.3,65412.1,2289.243,149843277.9954,2024-04-02 21:15:00
1712093400.0,1712093400.0,65412.1,65807.5,65209.8,65746.8,1246.154,81669184.0083,2024-04-02 21:30:00
1712094300.0,1712094300.0,65746.8,65746.8,65497.8,65699.9,470.101,30856284.6813,2024-04-02 21:45:00
1712095200.0,1712095200.0,65699.9,65765,65568.3,65743.9,436.345,28657519.7863,2024-04-02 22:00:00
1712096100.0,1712096100.0,65743.9,65817,65615.1,65728.6,458.377,30129202.7826,2024-04-02 22:15:00
1712097000.0,1712097000.0,65728.6,65823.7,65676.2,65802.8,377.854,24846684.7706,2024-04-02 22:30:00
1712097900.0,1712097900.0,65802.8,65947.2,65759.1,65837.6,596.896,39314678.6536,2024-04-02 22:45:00
1712098800.0,1712098800.0,65837.6,65855.7,65683.6,65740,244.604,16084644.3731,2024-04-02 23:00:00
1712099700.0,1712099700.0,65740,65849.5,65555,65607.8,605.631,39786941.3981,2024-04-02 23:15:00
1712100600.0,1712100600.0,65607.8,65616,65387.7,65503,745.709,48831936.0915,2024-04-02 23:30:00
1712101500.0,1712101500.0,65503,65573.9,65406,65484,740.477,48476685.9392,2024-04-02 23:45:00
1712102400.0,1712102400.0,65484,65624.8,65333.3,65357.6,1233.144,80775016.3664,2024-04-03 00:00:00
1712103300.0,1712103300.0,65357.6,65608.6,65030,65099.4,2687.033,175343363.657,2024-04-03 00:15:00
1712104200.0,1712104200.0,65099.4,65250,64406,65187.9,7522.854,487354903.2408,2024-04-03 00:30:00
1712105100.0,1712105100.0,65187.9,65488.7,65186.4,65426.2,2655.741,173555362.2132,2024-04-03 00:45:00
1712106000.0,1712106000.0,65426.2,65428.7,65122.3,65288.4,1710.652,111706822.4257,2024-04-03 01:00:00
1712106900.0,1712106900.0,65288.4,65606.5,65288.4,65456.2,1325.145,86762198.7798,2024-04-03 01:15:00
1712107800.0,1712107800.0,65456.2,65656.3,65394.2,65494.2,993.201,65095043.8545,2024-04-03 01:30:00
1712108700.0,1712108700.0,65494.2,65969.6,65475.1,65831.8,1590.668,104595727.4011,2024-04-03 01:45:00
1712109600.0,1712109600.0,65831.8,66099.2,65827.3,65848.4,1568.818,103493575.3549,2024-04-03 02:00:00
1712110500.0,1712110500.0,65848.4,65984.8,65733.5,65920.8,1104.498,72715989.1009,2024-04-03 02:15:00
1712111400.0,1712111400.0,65920.8,65940,65790,65827.6,409.71,26982099.5304,2024-04-03 02:30:00
1712112300.0,1712112300.0,65827.6,66002.3,65827.6,65943.2,402.315,26527835.2212,2024-04-03 02:45:00
1712113200.0,1712113200.0,65943.2,65960.3,65800.1,65883.9,384.314,25310636.0166,2024-04-03 03:00:00
1712114100.0,1712114100.0,65883.9,66160.8,65856.7,65875.2,985.43,65050626.0525,2024-04-03 03:15:00
1712115000.0,1712115000.0,65875.2,66101,65863.1,66097.1,380.58,25128662.6023,2024-04-03 03:30:00
1712115900.0,1712115900.0,66097.1,66345,66000,66255.3,2129.155,140966767.0901,2024-04-03 03:45:00
1712116800.0,1712116800.0,66255.3,66279.6,66235,66275.4,108.022,7157499.6417,2024-04-03 04:00:00
