,start_at,open,high,low,close,volume,turnover,date,funding_rate,oi
40,1641542400000.0,41707.5,43260,41620,42259,13006.027,550034843.0800000429,2022-01-07 08:00:00,0.0001,17231.82300000
41,1641556800000.0,42259,42774,40517.5,41339.5,26532.807,1105230797.9070000648,2022-01-07 12:00:00,0.0001,16915.42700000
42,1641571200000.0,41339.5,42404.5,40911,41763.5,14117.498,588231778.7460000515,2022-01-07 16:00:00,0.0001,16548.06499999
43,1641585600000.0,41763.5,42043,41327,41554.5,5019.09,209314820.1974999905,2022-01-07 20:00:00,0.0001,16516.38900000
44,1641600000000.0,41554.5,42242,41554.5,41800.5,6088.392,255080762.6035000086,2022-01-08 00:00:00,0.0001,16241.54200000
45,1641614400000.0,41800.5,41973.5,41753.5,41915.5,3368.961,141107896.9440000057,2022-01-08 04:00:00,0.0001,16252.76400000
46,1641628800000.0,41915.5,42150,41741,41943.5,6195.746,260057992.3045000136,2022-01-08 08:00:00,0.0001,16472.77400000
47,1641643200000.0,41943.5,42100,41358,41609.5,8609.122,359449295.7914999723,2022-01-08 12:00:00,0.0001,16527.20699999
48,1641657600000.0,41609.5,41715,40550,40871.5,19682.967,808307953.4420000315,2022-01-08 16:00:00,0.0001,16705.14300000
49,1641672000000.0,40871.5,42302,40770.5,41691,12152.051,506025407.9810000062,2022-01-08 20:00:00,0.0001,17668.91500000
50,1641686400000.0,41691,42136,41420,41845,7290.54,304724931.7724999785,2022-01-09 00:00:00,0.0001,16602.31600000
51,1641700800000.0,41845,42077,41700,41810.5,4053.614,169751386.8379999995,2022-01-09 04:00:00,0.0001,16853.30400000
52,1641715200000.0,41810.5,42000,41434.5,41844,7213.244,300747964.5874999762,2022-01-09 08:00:00,0.0001,16923.09100000
53,1641729600000.0,41844,41908.5,41076,41632,8315.687,345699997.7490000129,2022-01-09 12:00:00,0.0001,17173.66300000
54,1641744000000.0,41632,42744,41576,42683,10763.543,453642336.8299999833,2022-01-09 16:00:00,0.0001,17167.50999999
55,1641758400000.0,42683,42771,41777,41856,6400.61,270363887.9194999933,2022-01-09 20:00:00,0.0001,16860.01099999
56,1641772800000.0,41856,42030,41604,41940,6312.989,264022472.6450000107,2022-01-10 00:00:00,0.0001,16902.52600000
57,1641787200000.0,41940,42200,41831,42019.5,5526.503,232238919.800999999,2022-01-10 04:00:00,0.0001,17446.74500000
58,1641801600000.0,42019.5,42070,41483.5,41567.5,7770.335,324391945.9160000086,2022-01-10 08:00:00,0.0001,17475.22399999
59,1641816000000.0,41567.5,41614.5,39655,40986,40246.919,1635056734.2105000019,2022-01-10 12:00:00,0.0001,17726.58800000
60,1641830400000.0,40986,42121.5,40559.5,41272,26777.868,1108320870.2095000744,2022-01-10 16:00:00,0.0001,18894.23100000
61,1641844800000.0,41272,41972,41161.5,41809,6276.984,261328346.4009999931,2022-01-10 20:00:00,0.0001,17445.04499999
62,1641859200000.0,41809,42341,41554,42234,7210.97,302693766.5690000057,2022-01-11 00:00:00,0.0001,17321.63700000
63,1641873600000.0,42234,42380,41975,42178,6143.501,259047799.5579999983,2022-01-11 04:00:00,0.0001,17760.49100000
64,1641888000000.0,42178,42700,41589,41821.5,10784.347,453047093.7034999728,2022-01-11 08:00:00,0.0001,18304.47300000
65,1641902400000.0,41821.5,42170,41279,41732.5,14122.078,588960891.9889999628,2022-01-11 12:00:00,0.0001,18137.33400000
66,1641916800000.0,41732.5,43163,41687.5,42939.5,21383.43,910117512.9084999561,2022-01-11 16:00:00,0.00008221,17933.59400000
67,1641931200000.0,42939.5,43055,42600.5,42701.5,4450.174,190300658.8555000126,2022-01-11 20:00:00,0.00008221,17687.80300000
68,1641945600000.0,42701.5,42938.5,42360,42591.5,5125.959,218502781.951000005,2022-01-12 00:00:00,0.0001,17906.58600000
69,1641960000000.0,42591.5,42830,42463,42554,4124.162,175787877.3145000041,2022-01-12 04:00:00,0.0001,17841.73200000
70,1641974400000.0,42554,43407,42490,42897.5,11319.57,485979238.0435000062,2022-01-12 08:00:00,-0.00002945,17803.23800000
71,1641988800000.0,42897.5,44209,42850,43547.5,20131.904,877204431.3085000515,2022-01-12 12:00:00,-0.00002945,18593.52100000
72,1642003200000.0,43547.5,43857.5,43299,43730,6731.652,293639775.5954999924,2022-01-12 16:00:00,0.0001,17634.94700000
73,1642017600000.0,43730,44450,43602,43889.5,6771.253,297482462.9175000191,2022-01-12 20:00:00,0.0001,17110.34400000
74,1642032000000.0,43889.5,44014,43428,43495,4980.293,217352128.9745000005,2022-01-13 00:00:00,-0.00014544,17247.31399999
75,1642046400000.0,43495,43750,43495,43675.5,4022.907,175612829.8415000141,2022-01-13 04:00:00,-0.00014544,17350.91500000
76,1642060800000.0,43675.5,43995,43500,43619,6648.933,291095203.4610000253,2022-01-13 08:00:00,0.00009117,17484.72399999
77,1642075200000.0,43619,44366.5,42847.5,43197.5,19323.46,842961217.3984999657,2022-01-13 12:00:00,0.00009117,17742.95100000
78,1642089600000.0,43197.5,43477.5,42560,42720.5,15600.63,669915322.4774999619,2022-01-13 16:00:00,0.0001,17940.54200000
79,1642104000000.0,42720.5,42853,42303,42564,8027.175,342004683.0649999976,2022-01-13 20:00:00,0.0001,18498.35099999
80,1642118400000.0,42564,42745,42362.5,42626,5159.029,219817844.1725000143,2022-01-14 00:00:00,0.0001,18198.25500000
81,1642132800000.0,42626,42936,42591,42620.5,5195.021,222187996.7129999995,2022-01-14 04:00:00,0.0001,18286.21200000
82,1642147200000.0,42620.5,42680,41845,42031.5,12613.77,532828773.1794999838,2022-01-14 08:00:00,0.0001,18322.82100000
83,1642161600000.0,42031.5,43300,41743,43050,19538.456,832089276.2144999504,2022-01-14 12:00:00,0.0001,18987.97499999
84,1642176000000.0,43050,43704.5,42781,43075.5,8356.708,359945756.4754999876,2022-01-14 16:00:00,0.0001,18211.18000000
85,1642190400000.0,43075.5,43440,42979,43056.5,5109.795,220633780.1240000129,2022-01-14 20:00:00,0.0001,17718.07900000
86,1642204800000.0,43056.5,43158,42876,42928,3808.603,163823660.6484999955,2022-01-15 00:00:00,0.0001,17673.18300000
87,1642219200000.0,42928,43081,42734,43077.5,4596.244,197287701.851000011,2022-01-15 04:00:00,0.0001,17956.78000000
88,1642233600000.0,43077.5,43289,42888.5,42993,4470.722,192564394.6710000038,2022-01-15 08:00:00,0.00006753,18144.01300000
89,1642248000000.0,42993,43394.5,42563,43363.5,11309.065,485792614.7120000124,2022-01-15 12:00:00,0.00006753,18204.80800000
90,1642262400000.0,43363.5,43600,43205,43475,6975.517,302383308.3435000181,2022-01-15 16:00:00,0.0001,18407.12100000
91,1642276800000.0,43475,43779.5,43077,43083,6866.9,298234018.4919999838,2022-01-15 20:00:00,0.0001,18191.90000000
92,1642291200000.0,43083,43124.5,42790,43010,5016.18,215716939.6714999974,2022-01-16 00:00:00,0.0001,17572.26400000
93,1642305600000.0,43010,43230,42884,43184,3565.656,153592090.5379999876,2022-01-16 04:00:00,0.0001,17907.85400000
94,1642320000000.0,43184,43295,42777,42987.5,5107.702,219755948.8179999888,2022-01-16 08:00:00,0.0000427,18077.57400000
95,1642334400000.0,42987.5,43380,42601,43210,11382.21,489882339.3270000219,2022-01-16 12:00:00,0.0000427,18332.04000000
96,1642348800000.0,43210,43455,42810.5,42819,5143.464,221895387.8055000007,2022-01-16 16:00:00,0.0001,17931.87700000
97,1642363200000.0,42819,43227.5,42750,43051,3661.758,157536392.3359999955,2022-01-16 20:00:00,0.0001,17175.37600000
98,1642377600000.0,43051,43143,42652,42652.5,5152.344,220829194.5735000074,2022-01-17 00:00:00,0.0001,16987.14200000
99,1642392000000.0,42652.5,42929,42295,42655.5,8981.539,382844556.1955000162,2022-01-17 04:00:00,0.0001,17753.85900000
100,1642406400000.0,42655.5,42879,42576.5,42658,5016.417,214414431.2820000052,2022-01-17 08:00:00,0.0001,18550.70400000
101,1642420800000.0,42658,42786,42384.5,42483.5,7646.758,325674937.4629999995,2022-01-17 12:00:00,0.0001,18848.44600000
102,1642435200000.0,42483.5,42521.5,41861.5,42265,12153.862,512599391.7749999762,2022-01-17 16:00:00,0.0001,18914.41999999
103,1642449600000.0,42265,42382.5,41550,42200,9768.022,409879287.8755000234,2022-01-17 20:00:00,0.0001,19602.86699999
104,1642464000000.0,42200,42395.5,41965.5,42034,4412.943,186233287.3964999914,2022-01-18 00:00:00,0.0001,19263.57500000
105,1642478400000.0,42034,42304,41839,42045,6062.707,255057685.1994999945,2022-01-18 04:00:00,0.0001,19407.02600000
106,1642492800000.0,42045,42046,41400,41864,10486.217,438262929.3529999852,2022-01-18 08:00:00,0.0001,19346.15800000
107,1642507200000.0,41864,41927,41300,41592.5,14906.468,619641327.1169999838,2022-01-18 12:00:00,0.0001,19549.07300000
108,1642521600000.0,41592.5,41762,41402.5,41693.5,7494.312,311561377.4004999995,2022-01-18 16:00:00,0.0001,20055.77699999
109,1642536000000.0,41693.5,42650,41520,42332.5,8912.113,375989063.0214999914,2022-01-18 20:00:00,0.0001,19925.50999999
110,1642550400000.0,42332.5,42484.5,41566.5,41701,9097.318,382788249.2329999804,2022-01-19 00:00:00,0.0001,18831.95599999
111,1642564800000.0,41701,41822,41140,41287.5,9823.017,408069759.8615000248,2022-01-19 04:00:00,0.0001,19196.68300000
112,1642579200000.0,41287.5,42150,41155,42020,12460.362,518965211.2160000205,2022-01-19 08:00:00,0.0001,20174.14800000
113,1642593600000.0,42020,42546,41855,41989.5,15473.545,653079896.6755000353,2022-01-19 12:00:00,0.0001,20022.09600000
114,1642608000000.0,41989.5,42362,41700,41880,10348.656,434475787.1234999895,2022-01-19 16:00:00,0.0001,20098.12200000
115,1642622400000.0,41880,41988,41581.5,41683.5,5413.092,226070273.0870000124,2022-01-19 20:00:00,0.0001,19570.14300000
116,1642636800000.0,41683.5,42048.5,41628.5,41944.5,4934.752,206556365.0169999897,2022-01-20 00:00:00,0.0001,19628.12600000
117,1642651200000.0,41944.5,42125,41790,42049.5,3947.676,165653490.83950001,2022-01-20 04:00:00,0.0001,20027.88700000
118,1642665600000.0,42049.5,42199,41830.5,42128,5795.114,243565042.5855000019,2022-01-20 08:00:00,0.0001,20272.85400000
119,1642680000000.0,42128,43394.5,41946.5,43253.5,23585.312,1007693698.6849999428,2022-01-20 12:00:00,0.0001,20435.77899999
120,1642694400000.0,43253.5,43482,42812,42915,11944.643,514887590.7879999876,2022-01-20 16:00:00,0.0001,21478.16100000
121,1642708800000.0,42915,42963.5,40600,40702,31327.944,1300779408.1315000057,2022-01-20 20:00:00,0.0001,20105.39700000
122,1642723200000.0,40702,41111,38220,38469.5,42674.254,1690987479.2119998932,2022-01-21 00:00:00,0.0001,19525.18100000
123,1642737600000.0,38469.5,39150,38434.5,39099,12967.489,503058237.0189999938,2022-01-21 04:00:00,0.0001,19410.59400000
124,1642752000000.0,39099,39273,38680,38870.5,9450.65,368292264.97299999,2022-01-21 08:00:00,0.0001,19807.94800000
125,1642766400000.0,38870.5,38998,37605.5,38805,33674.456,1292416241.1960000992,2022-01-21 12:00:00,0.0001,20049.09200000
126,1642780800000.0,38805,39034,37813.5,37969.5,15683.024,602678740.1974999905,2022-01-21 16:00:00,0.0001,18936.05000000
127,1642795200000.0,37969.5,38459.5,35378,36442.5,47717.755,1758255097.6459999084,2022-01-21 20:00:00,0.0001,18314.37800000
128,1642809600000.0,36442.5,36790,35882,36311.5,13966.502,508145864.2394999862,2022-01-22 00:00:00,0.0001,17397.62100000
129,1642824000000.0,36311.5,36389,35098.5,35381,17125.96,611975587.6089999676,2022-01-22 04:00:00,0.0001,17380.60700000
130,1642838400000.0,35381,35901,33960,35379.5,35477.434,1243327477.3724999428,2022-01-22 08:00:00,0.0001,17918.53700000
131,1642852800000.0,35379.5,36189,34804,34825.5,22003.714,779961994.5635000467,2022-01-22 12:00:00,0.0001,17870.35900000
132,1642867200000.0,34825.5,35500,34227,34512,25159.593,875123005.4919999838,2022-01-22 16:00:00,0.00004864,17262.07100000
133,1642881600000.0,34512,35738,34444,35062,17650.588,620312904.0065000057,2022-01-22 20:00:00,0.00004864,16313.27000000
134,1642896000000.0,35062,35498,34827,35050.5,10026.906,352662493.3454999924,2022-01-23 00:00:00,-0.00004929,16929.56700000
135,1642910400000.0,35050.5,35725.5,34936,35559.5,10996.842,388572346.7254999876,2022-01-23 04:00:00,-0.00004929,17165.61200000
136,1642924800000.0,35559.5,36143,35328,35677,14964.546,535028203.4175000191,2022-01-23 08:00:00,0.0001,17932.30700000
137,1642939200000.0,35677,36028.5,35031,35283,14993.907,531729446.0065000057,2022-01-23 12:00:00,0.0001,18009.13599999
138,1642953600000.0,35283,35440,34601,34779.5,11115.691,389886079.5230000019,2022-01-23 16:00:00,0.00006928,17427.22399999
139,1642968000000.0,34779.5,36613,34708,36234.5,15785.489,564049835.6104999781,2022-01-23 20:00:00,0.00006928,17075.96000000
140,1642982400000.0,36234.5,36235,35161.5,35331,10347.025,368623173.9309999943,2022-01-24 00:00:00,0.00006391,17402.20599999
141,1642996800000.0,35331,35443,34821,34874,10873.551,382062902.9689999819,2022-01-24 04:00:00,0.00006391,17094.72100000
142,1643011200000.0,34874,35572.5,33022,33703.5,44857.619,1528515770.2444999218,2022-01-24 08:00:00,0.0001,17347.23800000
143,1643025600000.0,33703.5,34360,32906,34196,46609.193,1564246452.4579999447,2022-01-24 12:00:00,0.0001,17446.18600000
144,1643040000000.0,34196,36420,33755,36070,37147.969,1306447996.9409999847,2022-01-24 16:00:00,0.0001,18854.85200000
145,1643054400000.0,36070,37550,35926,36651.5,18969.077,696052581.9240000248,2022-01-24 20:00:00,0.0001,16404.89000000
146,1643068800000.0,36651.5,36651.5,35945,36410,7763.661,281332509.0830000043,2022-01-25 00:00:00,0.0001,15881.25600000
147,1643083200000.0,36410,36473,35701,36050,8706.963,313388326.3220000267,2022-01-25 04:00:00,0.0001,15853.38700000
148,1643097600000.0,36050,36767,36014.5,36382.5,13682.571,497194434.9054999948,2022-01-25 08:00:00,-0.0001063,16523.70200000
149,1643112000000.0,36382.5,37150,35944,36515,22677.819,827710862.6150000095,2022-01-25 12:00:00,-0.0001063,16562.74299999
150,1643126400000.0,36515,37500,36470,37036,14587.699,540829959.2215000391,2022-01-25 16:00:00,0.0001,16537.10900000
151,1643140800000.0,37036,37062,36406,36937.5,8498.144,312214737.5350000262,2022-01-25 20:00:00,0.0001,17689.86899999
152,1643155200000.0,36937.5,37479,36550,37354.5,9542.946,352912289.3460000157,2022-01-26 00:00:00,-0.0000818,17134.12600000
153,1643169600000.0,37354.5,37967,37129.5,37332,13865.462,520025361.8744999766,2022-01-26 04:00:00,-0.0000818,18459.95100000
154,1643184000000.0,37332,38200,37332,38041.5,15606.447,589476249.1069999933,2022-01-26 08:00:00,-0.00025298,18122.13599999
155,1643198400000.0,38041.5,38469,37599,37981,17957.156,683119487.1599999666,2022-01-26 12:00:00,-0.00025298,18255.24800000
156,1643212800000.0,37981,38888,37389,37549.5,30117.246,1147164436.4765000343,2022-01-26 16:00:00,-0.00011039,18181.66900000
157,1643227200000.0,37549.5,37550,36250,36770,19207.3,706918850.7599999905,2022-01-26 20:00:00,-0.00011039,16853.95000000
158,1643241600000.0,36770,37049,35490.5,35723.5,16695.561,603644128.7410000563,2022-01-27 00:00:00,-0.00016526,16385.29499999
159,1643256000000.0,35723.5,36250,35684,36132.5,8534.805,306948742.9844999909,2022-01-27 04:00:00,-0.00016526,16507.27300000
160,1643270400000.0,36132.5,36764,35795,36662,12489.058,454727189.9605000019,2022-01-27 08:00:00,0.00004393,17160.43600000
161,1643284800000.0,36662,37223,36471,36621.5,15355.378,564602637.2274999619,2022-01-27 12:00:00,0.00004393,17293.26400000
162,1643299200000.0,36621.5,36794.5,35870,36216.5,12926.959,468926105.6050000191,2022-01-27 16:00:00,-0.00019785,17920.10600000
163,1643313600000.0,36216.5,37199,35549,37140.5,18803.624,682364965.5520000458,2022-01-27 20:00:00,-0.00019785,16652.07100000
164,1643328000000.0,37140.5,37432.5,36607,37310,12589.378,466610237.0580000281,2022-01-28 00:00:00,-0.00004744,16040.68300000
165,1643342400000.0,37310,37497.5,36771,36780.5,11736.269,435753444.8140000105,2022-01-28 04:00:00,-0.00004744,16799.59500000
166,1643356800000.0,36780.5,36866.5,36320,36424.5,13146.01,480679908.3460000157,2022-01-28 08:00:00,0.0001,16657.07100000
167,1643371200000.0,36424.5,37284.5,36172.5,37173,19908.937,732357331.1799999475,2022-01-28 12:00:00,0.0001,16906.71600000
