,start_at,open,high,low,close,volume,turnover,date,funding_rate,oi
0,1609430400000.0,28736,29004.5,28327.5,28881,3579.321,103374369.800999999,2020-12-31 16:00:00,0.00107476,5856.16200000
1,1609444800000.0,28881,29152,28782.5,28921.5,2536.844,73369333.7460000068,2020-12-31 20:00:00,0.00107476,5470.44700000
2,1609459200000.0,28921.5,29505.5,28703.5,29303,4217.396,123582354.9880000055,2021-01-01 00:00:00,0.00034729,5505.04600000
3,1609473600000.0,29303,29397.5,28847,29097.5,1915.312,55730790.9200000018,2021-01-01 04:00:00,0.00034729,5886.42000000
4,1609488000000.0,29097.5,29453.5,28903,29343.5,1977.363,58022751.1904999986,2021-01-01 08:00:00,0.0001,5792.92200000
5,1609502400000.0,29343.5,29673.5,29070,29226,3224.743,94246338.9179999977,2021-01-01 12:00:00,0.0001,5806.89600000
6,1609516800000.0,29226,29374,28654,29038.5,4756.076,138109312.925999999,2021-01-01 16:00:00,0.0001,6257.43600000
7,1609531200000.0,29038.5,29330.5,28888.5,29325,3143.522,92183782.650000006,2021-01-01 20:00:00,0.0001,6071.28200000
8,1609545600000.0,29325,29468,28967.5,29357.5,2593.103,76127021.3225000054,2021-01-02 00:00:00,0.0006425,5547.22800000
9,1609560000000.0,29357.5,29849,29244,29777,3880.461,115548487.1969999969,2021-01-02 04:00:00,0.0006425,5534.95000000
10,1609574400000.0,29777,29930,29510,29782.5,3012.005,89705038.912499994,2021-01-02 08:00:00,0.00020649,5699.51800000
11,1609588800000.0,29782.5,31850,29771,31729,12795.305,405982232.3450000286,2021-01-02 12:00:00,0.00020649,6195.38600000
12,1609603200000.0,31729,33450,31728.5,33105,10690.881,353921615.5049999952,2021-01-02 16:00:00,0.0001,6135.23400000
13,1609617600000.0,33105,33141.5,30610,32230,14506.948,467558934.0400000215,2021-01-02 20:00:00,0.0001,6422.23400000
14,1609632000000.0,32230,32935,32016.5,32638.5,3894.116,127098105.0659999996,2021-01-03 00:00:00,0.00073898,5798.80600000
15,1609646400000.0,32638.5,34820,32501,34494.5,7944.905,274055525.5224999785,2021-01-03 04:00:00,0.00073898,6107.09000000
16,1609660800000.0,34494.5,34720.5,33545.5,34478.5,6487.044,223663546.5539999902,2021-01-03 08:00:00,0.00178299,6109.34600000
17,1609675200000.0,34478.5,34650,32806,33523,10455.052,350484708.19599998,2021-01-03 12:00:00,0.00178299,6502.62800000
18,1609689600000.0,33523,33810,32391,32828.5,9892.697,324762403.46450001,2021-01-03 16:00:00,0.00189752,6766.35200000
19,1609704000000.0,32828.5,33915,32650,32963,7359.363,242586682.5690000057,2021-01-03 20:00:00,0.00189752,6979.99400000
20,1609718400000.0,32963,33558,32408,33537,3641.273,122117372.6009999961,2021-01-04 00:00:00,0.00214106,6994.02600000
21,1609732800000.0,33537,33616.5,31772.5,32226.5,6753.083,217628229.2994999886,2021-01-04 04:00:00,0.00214106,6824.61600000
22,1609747200000.0,32226.5,32655.5,27923,30675,22688.276,695962866.2999999523,2021-01-04 08:00:00,0.00162051,6973.84200000
23,1609761600000.0,30675,32139.5,30409.5,31720,7688.604,243882518.8799999952,2021-01-04 12:00:00,0.00162051,4922.59400000
24,1609776000000.0,31720,31887,30634,31679.5,10873.944,344481108.9480000138,2021-01-04 16:00:00,0.00162248,5330.22800000
25,1609790400000.0,31679.5,32043.5,30906,32024,4290.603,137402270.4720000029,2021-01-04 20:00:00,0.00162248,5322.27800000
26,1609804800000.0,32024,32847.5,31185,31240,7408.193,231431949.3199999928,2021-01-05 00:00:00,0.00058171,5118.37200000
27,1609819200000.0,31240,31590.5,29905.5,30830.5,8600.516,265158208.5379999876,2021-01-05 04:00:00,0.00058171,5658.31800000
28,1609833600000.0,30830.5,31822,30830,31733.5,4312.304,136844498.9839999974,2021-01-05 08:00:00,0.00042043,6016.31600000
29,1609848000000.0,31733.5,32360,31114.5,32069,4393.849,140906343.5810000002,2021-01-05 12:00:00,0.00042043,6339.67200000
30,1609862400000.0,32069,34222,31762,33717.5,7698.338,259568711.5149999857,2021-01-05 16:00:00,0.00060075,6552.50400000
31,1609876800000.0,33717.5,34496.5,33364.5,34019.5,6969.393,237095265.163500011,2021-01-05 20:00:00,0.00060075,6185.46400000
32,1609891200000.0,34019.5,34180,33364.5,34160,3784.78,129288084.799999997,2021-01-06 00:00:00,0.0001,6648.28000000
33,1609905600000.0,34160,35867,34140,34744.5,7984.675,277423540.5375000238,2021-01-06 04:00:00,0.0001,6497.41400000
34,1609920000000.0,34744.5,35338,33623.5,35017,7452.189,260953302.2129999995,2021-01-06 08:00:00,0.00052376,6063.89600000
35,1609934400000.0,35017,35193,34184,34646.5,4144.391,143588642.7815000117,2021-01-06 12:00:00,0.00052376,6313.04000000
36,1609948800000.0,34646.5,35763,34410,34908.5,4273.863,149194146.53549999,2021-01-06 16:00:00,0.00140312,5748.54400000
37,1609963200000.0,34908.5,37027.5,34375.5,36775.5,7802.61,286944884.0550000072,2021-01-06 20:00:00,0.00140312,5655.28800000
38,1609977600000.0,36775.5,37739.5,36490,37537,4718.314,177111352.6180000007,2021-01-07 00:00:00,0.00277443,5522.67200000
39,1609992000000.0,37537,37724.5,36702,36842,3556.512,131029015.1040000021,2021-01-07 04:00:00,0.00277443,5277.53799999
40,1610006400000.0,36842,38049,36301,37936,4608.302,174820544.6719999909,2021-01-07 08:00:00,0.00287009,5495.23800000
41,1610020800000.0,37936,39040,37609,39040,5194.863,202807451.5200000107,2021-01-07 12:00:00,0.00287009,5698.84000000
42,1610035200000.0,39040,40560.5,36801,39200.5,17935.488,703080097.3439999819,2021-01-07 16:00:00,0.00223631,5917.48400000
43,1610049600000.0,39200.5,40100,38482.5,39513,6626.583,261836174.0789999962,2021-01-07 20:00:00,0.00223631,5506.68800000
