,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi
0,1640966400000.0,47973,48114,47432,47476.5,3278.214,156519027.2764999866,2021-12-31 16:00:00,0.0001,0.00025,16418.26099999
1,1640970000000.0,47476.5,47537.5,46850,46999.5,3780.44,178154142.6795000136,2021-12-31 17:00:00,0.0001,-0.00029,15737.97400000
2,1640973600000.0,46999.5,47000,46258,46649,3440.461,160708189.5090000033,2021-12-31 18:00:00,0.0001,-0.000593,15965.38700000
3,1640977200000.0,46649,46649,45634,45692,4717.711,217464412.9735000134,2021-12-31 19:00:00,0.0001,-0.000769,15769.43000000
4,1640980800000.0,45692,46187,45660,45869.5,3039.264,139705718.9025000036,2021-12-31 20:00:00,0.0001,0.000037,15522.27800000
5,1640984400000.0,45869.5,46490,45716.5,46318.5,2407.471,110998185.5205000043,2021-12-31 21:00:00,0.0001,-0.000346,15772.66300000
6,1640988000000.0,46318.5,46548.5,46240.5,46310.5,1384.077,64206280.688000001,2021-12-31 22:00:00,0.0001,0.000013,15727.88300000
7,1640991600000.0,46310.5,46517.5,46157.5,46200.5,1416.947,65708481.199500002,2021-12-31 23:00:00,0.0001,-0.000106,15827.30700000
8,1640995200000.0,46200.5,46736,46200.5,46657,1852.096,86108816.2794999927,2022-01-01 00:00:00,0.0001,0.000242,15863.15200000
9,1640998800000.0,46657,46929.5,46580,46779,1339.489,62675251.1384999976,2022-01-01 01:00:00,0.0001,-0.000234,15825.01700000
10,1641002400000.0,46779,46908,46726,46790.5,780.01,36515119.887500003,2022-01-01 02:00:00,0.0001,-0.000265,15836.24500000
11,1641006000000.0,46790.5,46871,46767,46811.5,551.929,25846344.9255000018,2022-01-01 03:00:00,0.0001,-0.000003,15991.57600000
12,1641009600000.0,46811.5,46843,46500,46703,1247.939,58257912.248499997,2022-01-01 04:00:00,0.0001,-0.000376,16107.55000000
13,1641013200000.0,46703,47552,46666,47183.5,3309.646,156301915.3160000145,2022-01-01 05:00:00,0.0001,-0.000188,16145.78000000
14,1641016800000.0,47183.5,47335.5,46932.5,46955.5,1551.589,73146330.1264999956,2022-01-01 06:00:00,0.0001,-0.000067,15720.30900000
15,1641020400000.0,46955.5,47324.5,46909,47209.5,1194.455,56195771.9855000004,2022-01-01 07:00:00,0.0001,0.000057,15457.80800000
16,1641024000000.0,47209.5,47351.5,47083,47110,1082.744,51108526.3329999968,2022-01-01 08:00:00,0.0001,-0.000268,15503.98700000
17,1641027600000.0,47110,47193.5,46930.5,47125.5,1162.271,54690302.0209999979,2022-01-01 09:00:00,0.0001,-0.000513,15595.95000000
18,1641031200000.0,47125.5,47300,46718.5,46877,2589.901,121622220.2269999981,2022-01-01 10:00:00,0.0001,-0.000058,15880.12400000
19,1641034800000.0,46877,46992,46768,46768.5,1182.206,55437874.6099999994,2022-01-01 11:00:00,0.0001,0.000054,15633.20800000
20,1641038400000.0,46768.5,47130,46768,47092.5,1310.761,61576218.1174999997,2022-01-01 12:00:00,0.0001,-0.000206,15814.34500000
21,1641042000000.0,47092.5,47200,46904.5,47015.5,1198.436,56401562.237499997,2022-01-01 13:00:00,0.0001,-0.000166,15889.08700000
22,1641045600000.0,47015.5,47083,46856,46917.5,1145.98,53801892.501500003,2022-01-01 14:00:00,0.0001,-0.000284,15806.46600000
23,1641049200000.0,46917.5,47480,46884,47176.5,2483.5,117293214.1085000038,2022-01-01 15:00:00,0.0001,-0.000832,15861.01100000
24,1641052800000.0,47176.5,47499.5,47176,47234,1877.492,88890843.6615000069,2022-01-01 16:00:00,0.0001,-0.00088,15760.12100000
25,1641056400000.0,47234,47915.5,47224.5,47720,2496.463,118979927.8005000055,2022-01-01 17:00:00,0.0001,-0.000563,15849.22200000
26,1641060000000.0,47720,47796,47385,47551.5,1625.521,77344975.5919999927,2022-01-01 18:00:00,0.0001,-0.000015,15803.86900000
27,1641063600000.0,47551.5,47596,47296,47334,992.105,47035599.2655000016,2022-01-01 19:00:00,0.0001,0.000174,15735.67400000
28,1641067200000.0,47334,47554.5,47262,47412,841.311,39879504.3280000016,2022-01-01 20:00:00,0.0001,0.000036,15571.39400000
29,1641070800000.0,47412,47532,47240.5,47300,909.876,43124956.4160000011,2022-01-01 21:00:00,0.0001,-0.000155,15444.50300000
30,1641074400000.0,47300,47469,47188.5,47427.5,649.161,30728554.4684999995,2022-01-01 22:00:00,0.0001,0.000004,15471.55700000
31,1641078000000.0,47427.5,47845,47280,47719.5,1202.649,57203073.2405000031,2022-01-01 23:00:00,0.0001,-0.000035,15474.64400000
32,1641081600000.0,47719.5,47719.5,47393,47617,1300.831,61872721.9795000032,2022-01-02 00:00:00,0.0001,-0.000429,15636.47400000
33,1641085200000.0,47617,47617.5,47327,47369.5,890.894,42271326.0539999977,2022-01-02 01:00:00,0.0001,0.000097,15769.04600000
34,1641088800000.0,47369.5,47416,47280,47381,648.478,30709394.3579999991,2022-01-02 02:00:00,0.0001,0.000076,15721.54900000
35,1641092400000.0,47381,47450.5,47294.5,47331,673.935,31921058.6295000017,2022-01-02 03:00:00,0.0001,0.000123,15770.59100000
36,1641096000000.0,47331,47393,46791.5,46911.5,2646.439,124507387.3040000051,2022-01-02 04:00:00,0.0001,0.000038,15919.51100000
37,1641099600000.0,46911.5,47080,46860,47080,1425.681,66956002.8400000036,2022-01-02 05:00:00,0.0001,-0.000206,15615.39100000
38,1641103200000.0,47080,47226,47035.5,47145,1019.592,48053645.3390000015,2022-01-02 06:00:00,0.0001,0.000373,15773.00100000
39,1641106800000.0,47145,47274,47096,47171,798.706,37679650.4540000036,2022-01-02 07:00:00,0.0001,0,15773.50600000
40,1641110400000.0,47171,47211,46990,47197.5,1124.881,53004460.8510000035,2022-01-02 08:00:00,0.0001,-0.000417,15883.91100000
41,1641114000000.0,47197.5,47552,47135.5,47267.5,1849.272,87538696.7569999993,2022-01-02 09:00:00,0.0001,-0.000105,15949.52900000
42,1641117600000.0,47267.5,47310,47105.5,47175.5,713.031,33685114.1955000013,2022-01-02 10:00:00,0.0001,-0.000258,15741.77000000
43,1641121200000.0,47175.5,47373,47152,47218.5,916.095,43294502.5139999986,2022-01-02 11:00:00,0.0001,-0.00034,15762.71100000
44,1641124800000.0,47218.5,47436.5,46990,47260.5,2338.661,110367870.6794999987,2022-01-02 12:00:00,0.0001,-0.0008,15906.02200000
45,1641128400000.0,47260.5,47261,47062,47137,1960.197,92453792.2734999955,2022-01-02 13:00:00,0.0001,-0.000196,16032.52600000
46,1641132000000.0,47137,47183.5,47002,47102.5,1191.757,56133002.8854999989,2022-01-02 14:00:00,0.0001,-0.000271,15931.31800000
