index,start_at,open,high,low,close,volume,turnover,date
1710334800.0,1710334800.0,72872.2,73125,72630,72781,3922.818,286024783.7232,2024-03-13 13:00:00
1710336600.0,1710336600.0,72781,72877.7,71673.6,72275.8,14110.991,1020208096.0945,2024-03-13 13:30:00
1710338400.0,1710338400.0,72275.8,72997,72071.1,72662.8,7650.253,555538449.584,2024-03-13 14:00:00
1710340200.0,1710340200.0,72662.8,72720,72255.7,72423,5760.216,417377084.7353,2024-03-13 14:30:00
1710342000.0,1710342000.0,72423,73200,72353.3,72720.1,6356.123,462803915.6031,2024-03-13 15:00:00
1710343800.0,1710343800.0,72720.1,72955.1,72444.5,72671.2,3669.209,266834032.1528,2024-03-13 15:30:00
1710345600.0,1710345600.0,72671.2,72800,72400.2,72779.3,2087.049,151551710.7723,2024-03-13 16:00:00
1710347400.0,1710347400.0,72779.3,73088.7,72621.9,73060.4,2091.285,152324679.5264,2024-03-13 16:30:00
1710349200.0,1710349200.0,73060.4,73260,72717.1,72853.8,3013.709,219994731.5428,2024-03-13 17:00:00
1710351000.0,1710351000.0,72853.8,73062.7,72750,72884.3,1079.441,78732471.4198,2024-03-13 17:30:00
1710352800.0,1710352800.0,72884.3,73073.1,72770.2,73053.5,821.416,59888571.4792,2024-03-13 18:00:00
1710354600.0,1710354600.0,73053.5,73360.7,73020.1,73210,2424.025,177436402.2429,2024-03-13 18:30:00
1710356400.0,1710356400.0,73210,73313.4,72830.2,72854.1,1467.849,107270023.3528,2024-03-13 19:00:00
1710358200.0,1710358200.0,72854.1,73436,72844.7,73400,2103.881,153749507.914,2024-03-13 19:30:00
1710360000.0,1710360000.0,73400,73490.9,73100.2,73216.3,2529.661,185522778.2047,2024-03-13 20:00:00
1710361800.0,1710361800.0,73216.3,73292.1,72980,73138.5,1654.872,120980779.3395,2024-03-13 20:30:00
1710363600.0,1710363600.0,73138.5,73287.8,72988,73081.9,767.952,56180175.9679,2024-03-13 21:00:00
1710365400.0,1710365400.0,73081.9,73446.3,72966.7,73311.5,2389.576,175067941.7486,2024-03-13 21:30:00
1710367200.0,1710367200.0,73311.5,73349,73029.4,73100,852.014,62366401.8966,2024-03-13 22:00:00
1710369000.0,1710369000.0,73100,73112.3,72889,72997.8,1101.548,80383645.8301,2024-03-13 22:30:00
1710370800.0,1710370800.0,72997.8,73179.4,72944.7,73014.6,879.169,64248541.9596,2024-03-13 23:00:00
1710372600.0,1710372600.0,73014.6,73197.1,72960,73133,614.777,44930991.7171,2024-03-13 23:30:00
1710374400.0,1710374400.0,73133,73249.5,72983.2,73184.2,713.314,52141582.5496,2024-03-14 00:00:00
1710376200.0,1710376200.0,73184.2,73184.2,72809.3,72900,969.849,70737786.7128,2024-03-14 00:30:00
1710378000.0,1710378000.0,72900,72900,72660.8,72796.2,1667.367,121341540.0057,2024-03-14 01:00:00
1710379800.0,1710379800.0,72796.2,73029.5,72550,72997.1,1649.439,120040138.1958,2024-03-14 01:30:00
1710381600.0,1710381600.0,72997.1,73217.3,72879.2,73199.9,1226.676,89592569.6203,2024-03-14 02:00:00
1710383400.0,1710383400.0,73199.9,73300,73008.4,73106.2,929.962,68040072.5774,2024-03-14 02:30:00
1710385200.0,1710385200.0,73106.2,73387.7,73088,73317.9,1125.527,82441414.1997,2024-03-14 03:00:00
1710387000.0,1710387000.0,73317.9,73375.9,73216.4,73348.8,791.034,57985177.6616,2024-03-14 03:30:00
