index,start_at,open,high,low,close,volume,turnover,date
1711788300.0,1711788300.0,69926.2,70056.5,69879,70032.6,240.298,16813629.5891,2024-03-30 08:45:00
1711789200.0,1711789200.0,70032.6,70060.1,69968.9,70050.1,167.858,11752820.6639,2024-03-30 09:00:00
1711790100.0,1711790100.0,70050.1,70216.5,70050,70136.6,557.784,39129842.7365,2024-03-30 09:15:00
1711791000.0,1711791000.0,70136.6,70187.7,70100.6,70161,215.719,15129835.2918,2024-03-30 09:30:00
1711791900.0,1711791900.0,70161,70161,70054.4,70079.8,194.08,13603733.6041,2024-03-30 09:45:00
1711792800.0,1711792800.0,70079.8,70092.2,70030,70040,131.698,9226169.8174,2024-03-30 10:00:00
1711793700.0,1711793700.0,70040,70099.5,69983.9,70086.9,171.128,11985251.3672,2024-03-30 10:15:00
1711794600.0,1711794600.0,70086.9,70169.7,70086.9,70095.7,176.798,12398210.1599,2024-03-30 10:30:00
1711795500.0,1711795500.0,70095.7,70108.5,70041.3,70091.8,94.446,6618406.8879,2024-03-30 10:45:00
1711796400.0,1711796400.0,70091.8,70194.8,70091.8,70140.9,300.973,21119469.7773,2024-03-30 11:00:00
1711797300.0,1711797300.0,70140.9,70201.2,70112.9,70143.7,142.34,9986232.3157,2024-03-30 11:15:00
1711798200.0,1711798200.0,70143.7,70243,70143.6,70183.8,354.09,24858819.1066,2024-03-30 11:30:00
1711799100.0,1711799100.0,70183.8,70254.5,70158,70250,216.037,15169466.5263,2024-03-30 11:45:00
1711800000.0,1711800000.0,70250,70287.1,70160.9,70204.5,317.351,22286519.9407,2024-03-30 12:00:00
1711800900.0,1711800900.0,70204.5,70260.4,70144.4,70176,176.98,12423559.7465,2024-03-30 12:15:00
1711801800.0,1711801800.0,70176,70240,70172.8,70221.8,174.643,12260738.6427,2024-03-30 12:30:00
1711802700.0,1711802700.0,70221.8,70287.6,70219.2,70281.9,197.87,13900728.7987,2024-03-30 12:45:00
1711803600.0,1711803600.0,70281.9,70331.1,70208.7,70212.5,467.784,32874104.904,2024-03-30 13:00:00
1711804500.0,1711804500.0,70212.5,70290,70211.8,70211.8,177.599,12476543.6385,2024-03-30 13:15:00
1711805400.0,1711805400.0,70211.8,70247.2,70130,70204.1,258.713,18157600.5254,2024-03-30 13:30:00
1711806300.0,1711806300.0,70204.1,70222.5,70177.2,70214,125.623,8819051.6159,2024-03-30 13:45:00
1711807200.0,1711807200.0,70214,70242.4,70160,70161,148.987,10458257.5269,2024-03-30 14:00:00
1711808100.0,1711808100.0,70161,70232.6,70161,70189.8,132.509,9301777.9348,2024-03-30 14:15:00
1711809000.0,1711809000.0,70189.8,70220,70063.6,70096.8,318.203,22313395.2203,2024-03-30 14:30:00
1711809900.0,1711809900.0,70096.8,70144.7,70033.8,70090.7,371.966,26066447.3198,2024-03-30 14:45:00
1711810800.0,1711810800.0,70090.7,70211,70090.6,70145.8,211.041,14805907.7087,2024-03-30 15:00:00
1711811700.0,1711811700.0,70145.8,70162.1,70031.1,70067.3,211.293,14806257.0008,2024-03-30 15:15:00
1711812600.0,1711812600.0,70067.3,70070.8,69967.2,70047.5,370.957,25971358.872,2024-03-30 15:30:00
1711813500.0,1711813500.0,70047.5,70071,69989.2,70052.9,133.201,9328414.8195,2024-03-30 15:45:00
1711814400.0,1711814400.0,70052.9,70106.4,69980,70008,270.154,18921128.44,2024-03-30 16:00:00
1711815300.0,1711815300.0,70008,70085,69953.8,70071.4,290.387,20329973.0267,2024-03-30 16:15:00
1711816200.0,1711816200.0,70071.4,70138.4,70007.6,70035.5,277.446,19445453.4035,2024-03-30 16:30:00
1711817100.0,1711817100.0,70035.5,70350,70027.7,70240.2,959.272,67385623.5431,2024-03-30 16:45:00
1711818000.0,1711818000.0,70240.2,70248.7,70087.8,70099.7,347.142,24364737.6759,2024-03-30 17:00:00
1711818900.0,1711818900.0,70099.7,70154.9,70064.1,70108.1,171.192,12000564.3135,2024-03-30 17:15:00
1711819800.0,1711819800.0,70108.1,70157.2,70072.5,70128,151.66,10632358.9085,2024-03-30 17:30:00
1711820700.0,1711820700.0,70128,70128,70085,70103.1,21.764,1525664.0337,2024-03-30 17:45:00
