index,start_at,open,high,low,close,volume,turnover,date
1672502400.0,1672502400.0,16595.5,16618,16594,16611.5,1043.657,17332406.1395,2022-12-31 16:00:00
1672506000.0,1672506000.0,16611.5,16612,16585,16595,1302.398,21614778.1985,2022-12-31 17:00:00
1672509600.0,1672509600.0,16595,16599.5,16585.5,16590,553.436,9182530.261,2022-12-31 18:00:00
1672513200.0,1672513200.0,16590,16601.5,16583.5,16583.5,841.656,13963920.9115,2022-12-31 19:00:00
1672516800.0,1672516800.0,16583.5,16585.5,16579.5,16581,870.458,14434342.4325,2022-12-31 20:00:00
1672520400.0,1672520400.0,16581,16584.5,16554.5,16560,1125.922,18657102.2525,2022-12-31 21:00:00
1672524000.0,1672524000.0,16560,16583.5,16480.5,16535.5,5442.037,89984982.17299999,2022-12-31 22:00:00
1672527600.0,1672527600.0,16535.5,16564,16504.5,16549.5,2312.83,38243101.703,2022-12-31 23:00:00
1672531200.0,1672531200.0,16549.5,16556,16524,16545,1202.025,19880815.8705,2023-01-01 00:00:00
1672534800.0,1672534800.0,16545,16570,16544,16570,620.348,10271418.0355,2023-01-01 01:00:00
1672538400.0,1672538400.0,16570,16577.5,16562,16563.5,774.636,12834955.961,2023-01-01 02:00:00
1672542000.0,1672542000.0,16563.5,16564,16540.5,16553,798.486,13214311.097,2023-01-01 03:00:00
1672545600.0,1672545600.0,16553,16553,16529,16534.5,704.972,11659182.8155,2023-01-01 04:00:00
1672549200.0,1672549200.0,16534.5,16547,16527.5,16547,584.254,9660401.335,2023-01-01 05:00:00
1672552800.0,1672552800.0,16547,16560,16546.5,16553.5,583.434,9658127.115,2023-01-01 06:00:00
1672556400.0,1672556400.0,16553.5,16554.5,16511,16537.5,1966.085,32501486.435,2023-01-01 07:00:00
1672560000.0,1672560000.0,16537.5,16539,16520,16522,900.463,14883786.2855,2023-01-01 08:00:00
1672563600.0,1672563600.0,16522,16553.5,16519,16553.5,996.254,16471811.1285,2023-01-01 09:00:00
1672567200.0,1672567200.0,16553.5,16560,16549.5,16559.5,742.65,12294321.6885,2023-01-01 10:00:00
1672570800.0,1672570800.0,16559.5,16569,16555.5,16568.5,920.362,15242575.394,2023-01-01 11:00:00
1672574400.0,1672574400.0,16568.5,16582,16563.5,16575,1399.989,23202369.935,2023-01-01 12:00:00
1672578000.0,1672578000.0,16575,16580,16554,16554.5,1196.817,19825109.2555,2023-01-01 13:00:00
1672581600.0,1672581600.0,16554.5,16569,16554,16560.5,726.342,12030296.9835,2023-01-01 14:00:00
1672585200.0,1672585200.0,16560.5,16575,16550.5,16574,637.612,10559185.93,2023-01-01 15:00:00
1672588800.0,1672588800.0,16574,16592.5,16569.5,16575.5,1581.48,26222666.2135,2023-01-01 16:00:00
1672592400.0,1672592400.0,16575.5,16609.5,16575,16589.5,1940.653,32200912.159,2023-01-01 17:00:00
1672596000.0,1672596000.0,16589.5,16609,16589,16595.5,1127.995,18725906.8655,2023-01-01 18:00:00
1672599600.0,1672599600.0,16595.5,16631,16595.5,16608,1883.485,31297920.703,2023-01-01 19:00:00
1672603200.0,1672603200.0,16608,16630.5,16607.5,16608,896.422,14897152.901,2023-01-01 20:00:00
1672606800.0,1672606800.0,16608,16611,16600,16611,616.115,10231501.2,2023-01-01 21:00:00
1672610400.0,1672610400.0,16611,16614.5,16587,16603.5,983.302,16322947.382,2023-01-01 22:00:00
1672614000.0,1672614000.0,16603.5,16625.5,16603,16622.5,1158.835,19254879.2055,2023-01-01 23:00:00
1672617600.0,1672617600.0,16622.5,16627,16587,16591.5,1676.436,27833308.0415,2023-01-02 00:00:00
1672621200.0,1672621200.0,16591.5,16592,16552,16573,2835.862,46984331.8485,2023-01-02 01:00:00
1672624800.0,1672624800.0,16573,16595,16562.5,16593,803.758,13326726.7855,2023-01-02 02:00:00
