,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi
0,1609430400.0,28736,29004.5,28327.5,28881,3579.321,103374369.801,2020-12-31 16:00:00,0.00107476,0.000044,5856.16200000
1,1609444800.0,28881,29152,28782.5,28921.5,2536.844,73369333.74600001,2020-12-31 20:00:00,0.00107476,0.000347,5470.44700000
2,1609459200.0,28921.5,29505.5,28703.5,29303,4217.396,123582354.98800001,2021-01-01 00:00:00,0.00034729,0.000499,5505.04600000
3,1609473600.0,29303,29397.5,28847,29097.5,1915.312,55730790.92,2021-01-01 04:00:00,0.00034729,0.000573,5886.42000000
4,1609488000.0,29097.5,29453.5,28903,29343.5,1977.363,58022751.1905,2021-01-01 08:00:00,0.0001,0.001087,5792.92200000
5,1609502400.0,29343.5,29673.5,29070,29226,3224.743,94246338.918,2021-01-01 12:00:00,0.0001,0.000969,5806.89600000
6,1609516800.0,29226,29374,28654,29038.5,4756.076,138109312.926,2021-01-01 16:00:00,0.0001,0.000401,6257.43600000
7,1609531200.0,29038.5,29330.5,28888.5,29325,3143.522,92183782.65000001,2021-01-01 20:00:00,0.0001,0.000582,6071.28200000
8,1609545600.0,29325,29468,28967.5,29357.5,2593.103,76127021.32250001,2021-01-02 00:00:00,0.0006425,0.000369,5547.22800000
9,1609560000.0,29357.5,29849,29244,29777,3880.461,115548487.197,2021-01-02 04:00:00,0.0006425,0.000923,5534.95000000
10,1609574400.0,29777,29930,29510,29782.5,3012.005,89705038.91249999,2021-01-02 08:00:00,0.00020649,0.000614,5699.51800000
11,1609588800.0,29782.5,31850,29771,31729,12795.305,405982232.34500003,2021-01-02 12:00:00,0.00020649,0.001284,6195.38600000
12,1609603200.0,31729,33450,31728.5,33105,10690.881,353921615.505,2021-01-02 16:00:00,0.0001,0.003219,6135.23400000
13,1609617600.0,33105,33141.5,30610,32230,14506.948,467558934.04000002,2021-01-02 20:00:00,0.0001,0.002305,6422.23400000
14,1609632000.0,32230,32935,32016.5,32638.5,3894.116,127098105.066,2021-01-03 00:00:00,0.00073898,0.002074,5798.80600000
15,1609646400.0,32638.5,34820,32501,34494.5,7944.905,274055525.52249998,2021-01-03 04:00:00,0.00073898,0.00337,6107.09000000
16,1609660800.0,34494.5,34720.5,33545.5,34478.5,6487.044,223663546.55399999,2021-01-03 08:00:00,0.00178299,0.00271,6109.34600000
17,1609675200.0,34478.5,34650,32806,33523,10455.052,350484708.19599998,2021-01-03 12:00:00,0.00178299,0.001983,6502.62800000
18,1609689600.0,33523,33810,32391,32828.5,9892.697,324762403.46450001,2021-01-03 16:00:00,0.00189752,0.002637,6766.35200000
19,1609704000.0,32828.5,33915,32650,32963,7359.363,242586682.56900001,2021-01-03 20:00:00,0.00189752,0.001559,6979.99400000
20,1609718400.0,32963,33558,32408,33537,3641.273,122117372.601,2021-01-04 00:00:00,0.00214106,0.002106,6994.02600000
21,1609732800.0,33537,33616.5,31772.5,32226.5,6753.083,217628229.29949999,2021-01-04 04:00:00,0.00214106,0.005701,6824.61600000
22,1609747200.0,32226.5,32655.5,27923,30675,22688.276,695962866.29999995,2021-01-04 08:00:00,0.00162051,-0.001397,6973.84200000
23,1609761600.0,30675,32139.5,30409.5,31720,7688.604,243882518.88,2021-01-04 12:00:00,0.00162051,0.000929,4922.59400000
24,1609776000.0,31720,31887,30634,31679.5,10873.944,344481108.94800001,2021-01-04 16:00:00,0.00162248,0.001043,5330.22800000
25,1609790400.0,31679.5,32043.5,30906,32024,4290.603,137402270.472,2021-01-04 20:00:00,0.00162248,0.001188,5322.27800000
26,1609804800.0,32024,32847.5,31185,31240,7408.193,231431949.31999999,2021-01-05 00:00:00,0.00058171,0.002234,5118.37200000
27,1609819200.0,31240,31590.5,29905.5,30830.5,8600.516,265158208.53799999,2021-01-05 04:00:00,0.00058171,0.00093,5658.31800000
28,1609833600.0,30830.5,31822,30830,31733.5,4312.304,136844498.984,2021-01-05 08:00:00,0.00042043,-0.000869,6016.31600000
29,1609848000.0,31733.5,32360,31114.5,32069,4393.849,140906343.581,2021-01-05 12:00:00,0.00042043,-0.000629,6339.67200000
30,1609862400.0,32069,34222,31762,33717.5,7698.338,259568711.51499999,2021-01-05 16:00:00,0.00060075,0.000675,6552.50400000
31,1609876800.0,33717.5,34496.5,33364.5,34019.5,6969.393,237095265.16350001,2021-01-05 20:00:00,0.00060075,0.002384,6185.46400000
32,1609891200.0,34019.5,34180,33364.5,34160,3784.78,129288084.8,2021-01-06 00:00:00,0.0001,0.000642,6648.28000000
33,1609905600.0,34160,35867,34140,34744.5,7984.675,277423540.53750002,2021-01-06 04:00:00,0.0001,0.002834,6497.41400000
34,1609920000.0,34744.5,35338,33623.5,35017,7452.189,260953302.213,2021-01-06 08:00:00,0.00052376,0.003746,6063.89600000
35,1609934400.0,35017,35193,34184,34646.5,4144.391,143588642.78150001,2021-01-06 12:00:00,0.00052376,0.003556,6313.04000000
36,1609948800.0,34646.5,35763,34410,34908.5,4273.863,149194146.53549999,2021-01-06 16:00:00,0.00140312,0.003766,5748.54400000
37,1609963200.0,34908.5,37027.5,34375.5,36775.5,7802.61,286944884.05500001,2021-01-06 20:00:00,0.00140312,0.004052,5655.28800000
38,1609977600.0,36775.5,37739.5,36490,37537,4718.314,177111352.618,2021-01-07 00:00:00,0.00277443,0.00392,5522.67200000
39,1609992000.0,37537,37724.5,36702,36842,3556.512,131029015.104,2021-01-07 04:00:00,0.00277443,0.002675,5277.53799999
40,1610006400.0,36842,38049,36301,37936,4608.302,174820544.67199999,2021-01-07 08:00:00,0.00287009,0.004361,5495.23800000
41,1610020800.0,37936,39040,37609,39040,5194.863,202807451.52000001,2021-01-07 12:00:00,0.00287009,0.004443,5698.84000000
42,1610035200.0,39040,40560.5,36801,39200.5,17935.488,703080097.34399998,2021-01-07 16:00:00,0.00223631,0.004408,5917.48400000
43,1610049600.0,39200.5,40100,38482.5,39513,6626.583,261836174.079,2021-01-07 20:00:00,0.00223631,0.003762,5506.68800000
44,1610064000.0,39513,39786,36524.5,38280.5,7972.431,305188644.8955,2021-01-08 00:00:00,0.00197821,-0.000201,5678.46000000
45,1610078400.0,38280.5,39068.5,37525.5,38841,2878.834,111816791.39399999,2021-01-08 04:00:00,0.00197821,0.002628,5529.40400000
46,1610092800.0,38841,41555,38217,41387.5,6997.76,289619792,2021-01-08 08:00:00,0.00375,0.002938,5666.20800000
47,1610107200.0,41387.5,42100,39814,40908.5,9659.752,395165964.69199997,2021-01-08 12:00:00,0.00375,0.003386,5328.72800000
48,1610121600.0,40908.5,41650.5,39824,40432,5859.81,236923837.91999999,2021-01-08 16:00:00,0.00094676,0.001991,5074.28200000
49,1610136000.0,40432,41014,38738,40641.5,9112.72,370354609.88,2021-01-08 20:00:00,0.00094676,0.00265,4813.62600000
50,1610150400.0,40641.5,41040.5,39584,40287,2812.456,113305414.87199999,2021-01-09 00:00:00,0.00106038,0.002217,5397.72999999
