start_at,open,high,low,close,volume,turnover,date
1622923200000.0,35752.5,35985,34824,35507.5,9605.306,341060402.7950000167,2021-06-05 20:00:00
1622937600000.0,35507.5,36243,35417.5,35975,6552.151,235713632.224999994,2021-06-06 00:00:00
1622952000000.0,35975,36447,35688.5,36107.5,5732.092,206971511.8899999857,2021-06-06 04:00:00
1622966400000.0,36107.5,36370,35820,35878,5382.514,193113837.2919999957,2021-06-06 08:00:00
1622980800000.0,35878,36435,35477,36151,9422.119,340619023.9689999819,2021-06-06 12:00:00
1622995200000.0,36151,36296.5,35723,35732,3882.394,138725702.4079999924,2021-06-06 16:00:00
1623009600000.0,35732,35990,35235.5,35801,5118.987,183264853.5870000124,2021-06-06 20:00:00
1623024000000.0,35801,36763,35522,36374,8913.731,324228051.3939999938,2021-06-07 00:00:00
1623038400000.0,36374,36504.5,35870,36127,6105.041,220556816.2069999874,2021-06-07 04:00:00
1623052800000.0,36127,36529,35911,36350.5,6196,225227698,2021-06-07 08:00:00
1623067200000.0,36350.5,36784,35902,36023,11116.074,400434333.7020000219,2021-06-07 12:00:00
1623081600000.0,36023,36075,35379,35682,7801.314,278366486.1480000019,2021-06-07 16:00:00
1623096000000.0,35682,35766.5,33240,33570.5,19225.98,645425761.5900000334,2021-06-07 20:00:00
1623110400000.0,33570.5,34050,32304,32756.5,21290.564,697404359.6660000086,2021-06-08 00:00:00
1623124800000.0,32756.5,33215,32035,32930,15546.371,511941997.0299999714,2021-06-08 04:00:00
1623139200000.0,32930,33324.5,32660,33048.5,12181.392,402576733.5120000243,2021-06-08 08:00:00
1623153600000.0,33048.5,33110,30980,31677,23953.517,758775558.0089999437,2021-06-08 12:00:00
1623168000000.0,31677,32963,31558.5,32835.5,13996.024,459566446.0519999862,2021-06-08 16:00:00
1623182400000.0,32835.5,33831.5,32645,33352.5,9895.419,330036962.1974999905,2021-06-08 20:00:00
1623196800000.0,33352.5,33507,32379,32839,11699.405,384196760.7950000167,2021-06-09 00:00:00
1623211200000.0,32839,34458.5,32531,34130.5,14735.085,502915818.5924999714,2021-06-09 04:00:00
1623225600000.0,34130.5,34936,33803,34879.5,14277.931,498007094.3144999743,2021-06-09 08:00:00
1623240000000.0,34879.5,36717,34555,36321,29300.234,1064213799.1139999628,2021-06-09 12:00:00
1623254400000.0,36321,37018.5,35688,36288,17903.728,649690481.6640000343,2021-06-09 16:00:00
1623268800000.0,36288,37556,36162.5,37414.5,8847.983,331042859.9534999728,2021-06-09 20:00:00
1623283200000.0,37414.5,37699,36766,36959.5,10525.549,389019028.2655000091,2021-06-10 00:00:00
1623297600000.0,36959.5,37212,36536.5,36946.5,9802.562,362170356.9330000281,2021-06-10 04:00:00
1623312000000.0,36946.5,38440.5,36241.5,37825.5,20394.342,771426183.32099998,2021-06-10 08:00:00
1623326400000.0,37825.5,38175,36636,36904.5,19911.131,734810333.9895000458,2021-06-10 12:00:00
1623340800000.0,36904.5,37150,36153.5,36673,12733.418,466972638.3140000105,2021-06-10 16:00:00
1623355200000.0,36673,37085.5,35819,36689.5,9609.919,352583123.1504999995,2021-06-10 20:00:00
1623369600000.0,36689.5,37240,35944.5,36738,12071.128,443469100.4639999866,2021-06-11 00:00:00
1623384000000.0,36738,37350,36410,37129,11415.338,423840084.6019999981,2021-06-11 04:00:00
1623398400000.0,37129,37656.5,36920,37366,11140.631,416280817.94599998,2021-06-11 08:00:00
1623412800000.0,37366,37579.5,36767,36843,11027.529,406287250.9470000267,2021-06-11 12:00:00
1623427200000.0,36843,37387,36530,37236.5,10018.926,373069737.9990000129,2021-06-11 16:00:00
1623441600000.0,37236.5,37459,36776,37294,7225.875,269481782.25,2021-06-11 20:00:00
1623456000000.0,37294,37412,35300,35599.5,17346.048,617510635.7760000229,2021-06-12 00:00:00
1623470400000.0,35599.5,35735.5,35022,35293.5,12727.907,449212385.7045000196,2021-06-12 04:00:00
1623484800000.0,35293.5,35869.5,34630,35578.5,17543.913,624186108.6705000401,2021-06-12 08:00:00
1623499200000.0,35578.5,36180,35337.5,35387,11878.337,420338711.4190000296,2021-06-12 12:00:00
1623513600000.0,35387,35949,35305,35703.5,5877.864,209860317.324000001,2021-06-12 16:00:00
1623528000000.0,35703.5,36072,35418,35525,5670.04,201428171,2021-06-12 20:00:00
1623542400000.0,35525,35875,34810.5,34886.5,9555.03,333341554.0950000286,2021-06-13 00:00:00
1623556800000.0,34886.5,35456.5,34761.5,35254.5,9720.292,342684034.3140000105,2021-06-13 04:00:00
1623571200000.0,35254.5,36050,35177,35855,9029.777,323762654.3349999785,2021-06-13 08:00:00
1623585600000.0,35855,36100.5,35656,36002,9080.057,326900212.1140000224,2021-06-13 12:00:00
1623600000000.0,36002,37755.5,35945,37649,17835.253,671479440.1970000267,2021-06-13 16:00:00
1623614400000.0,37649,39372,37641,39026,16353.095,638195885.4700000286,2021-06-13 20:00:00
1623628800000.0,39026,39815,38772,38995,11345.684,442424947.5799999833,2021-06-14 00:00:00
1623643200000.0,38995,39732,38819,39535,8592.114,339689226.9900000095,2021-06-14 04:00:00
1623657600000.0,39535,39610,38888,39189,8845.783,346657389.9869999886,2021-06-14 08:00:00
1623672000000.0,39189,40995,39076,40692.5,22668.633,922443348.3524999619,2021-06-14 12:00:00
1623686400000.0,40692.5,40727.5,39336,39695.5,14764.242,586073968.3109999895,2021-06-14 16:00:00
1623700800000.0,39695.5,40584,39612,40494.5,7660.308,310200342.3059999943,2021-06-14 20:00:00
1623715200000.0,40494.5,40832,39863,40389.5,10591.321,427778159.5295000076,2021-06-15 00:00:00
1623729600000.0,40389.5,40541,40117,40338.5,7455.678,300750867.003000021,2021-06-15 04:00:00
1623744000000.0,40338.5,40381,39560,39848.5,12000.938,478219377.8930000067,2021-06-15 08:00:00
1623758400000.0,39848.5,40434,39730,40069.5,12355.783,495090046.9185000062,2021-06-15 12:00:00
1623772800000.0,40069.5,41300,39798,39989,16682.238,667106015.3819999695,2021-06-15 16:00:00
1623787200000.0,39989,40341,39540,40140.5,6859.332,275337016.1460000277,2021-06-15 20:00:00
1623801600000.0,40140.5,40140.5,39640,40010,7044.38,281845643.8000000119,2021-06-16 00:00:00
1623816000000.0,40010,40471.5,39844,40120,7858.015,315263561.8000000119,2021-06-16 04:00:00
1623830400000.0,40120,40239,38912.5,39086.5,12363.424,483242972.175999999,2021-06-16 08:00:00
1623844800000.0,39086.5,39485,38566.5,38784.5,15270.544,592260413.7680000067,2021-06-16 12:00:00
1623859200000.0,38784.5,39691,38300.5,38706.5,24100.854,932859705.3509999514,2021-06-16 16:00:00
1623873600000.0,38706.5,38944,38173.5,38393,6547.315,251371064.7949999869,2021-06-16 20:00:00
1623888000000.0,38393,38949,38266,38850,6483.333,251877487.0500000119,2021-06-17 00:00:00
1623902400000.0,38850,39350,38653,39191,9491.708,371989528.2279999852,2021-06-17 04:00:00
1623916800000.0,39191,39532.5,39074.5,39181,8303.958,325357378.3980000019,2021-06-17 08:00:00
1623931200000.0,39181,39198.5,38470,39013.5,13896.948,542168580.7979999781,2021-06-17 12:00:00
1623945600000.0,39013.5,39099,37532,37724,16451.946,620633210.9040000439,2021-06-17 16:00:00
1623960000000.0,37724,38210,37400,38097,8753.656,333488032.6320000291,2021-06-17 20:00:00
1623974400000.0,38097,38223,37259.5,37895.5,10110.338,383136313.67900002,2021-06-18 00:00:00
1623988800000.0,37895.5,38100,37425,37686.5,8425.823,317539778.4894999862,2021-06-18 04:00:00
1624003200000.0,37686.5,38006,37113.5,37784,13230.66,499907257.4399999976,2021-06-18 08:00:00
1624017600000.0,37784,37910,36373,36395.5,15983.906,581742250.8229999542,2021-06-18 12:00:00
1624032000000.0,36395.5,36718,35159,35334.5,17322.302,612074880.0190000534,2021-06-18 16:00:00
1624046400000.0,35334.5,35933,35256.5,35822,8626.52,309019199.4399999976,2021-06-18 20:00:00
1624060800000.0,35822,36270,34800,35104,14499.694,508997258.175999999,2021-06-19 00:00:00
1624075200000.0,35104,35827.5,34959,35740.5,11883.036,424705648.1579999924,2021-06-19 04:00:00
1624089600000.0,35740.5,35961,35556,35899,8426.192,302491866.6079999804,2021-06-19 08:00:00
1624104000000.0,35899,36425,35545,36097.5,16472.152,594603506.8200000525,2021-06-19 12:00:00
1624118400000.0,36097.5,36181.5,35364.5,35914,10794.168,387661749.5519999862,2021-06-19 16:00:00
1624132800000.0,35914,36155.5,35431,35528,7123.126,253070420.5279999971,2021-06-19 20:00:00
1624147200000.0,35528,35785,35160,35523,8663.79,307763812.1700000167,2021-06-20 00:00:00
1624161600000.0,35523,35889,35400,35634.5,7267.306,258966815.6570000052,2021-06-20 04:00:00
1624176000000.0,35634.5,35670,33728,33857,24002.476,812651829.932000041,2021-06-20 08:00:00
1624190400000.0,33857,34618,33338,34391,22705.652,780870077.932000041,2021-06-20 12:00:00
1624204800000.0,34391,35637,34261.5,35470.5,13399.033,475270400.0264999866,2021-06-20 16:00:00
1624219200000.0,35470.5,36149,35364,35608.5,10297.522,366679312.1370000243,2021-06-20 20:00:00
1624233600000.0,35608.5,35737.5,34622.5,34666.5,12277.669,425623812.3884999752,2021-06-21 00:00:00
1624248000000.0,34666.5,34722,32228.5,32970.5,40875.774,1347694706.6670000553,2021-06-21 04:00:00
1624262400000.0,32970.5,33529,31710,32510,44975.025,1462138062.75,2021-06-21 08:00:00
1624276800000.0,32510,33189,31934,32675.5,22143.23,723541111.8650000095,2021-06-21 12:00:00
1624291200000.0,32675.5,32952.5,32050,32565.5,15370.134,500536098.77700001,2021-06-21 16:00:00
1624305600000.0,32565.5,32784.5,31265.5,31613.5,20299.986,641753607.4110000134,2021-06-21 20:00:00
1624320000000.0,31613.5,33232,31180,32999.5,20877.231,688938184.3845000267,2021-06-22 00:00:00
1624334400000.0,32999.5,33080,32468,32633,10066.753,328508350.648999989,2021-06-22 04:00:00
1624348800000.0,32633,32647,31100.5,31232,28507.142,890335058.9440000057,2021-06-22 08:00:00
1624363200000.0,31232,31904.5,28774,31654.5,80416.076,2545530677.742000103,2021-06-22 12:00:00
1624377600000.0,31654.5,33246,31584.5,32389,35039.183,1134884098.1870000362,2021-06-22 16:00:00
1624392000000.0,32389,32936,32132,32480,8771.079,284884645.9200000167,2021-06-22 20:00:00
1624406400000.0,32480,34372,31704,33957.5,24357.01,827103167.0750000477,2021-06-23 00:00:00
1624420800000.0,33957.5,34355.5,33588,33975,14507.438,492890206.0500000119,2021-06-23 04:00:00
1624435200000.0,33975,34482.5,33650,33920,14771.529,501050263.6800000072,2021-06-23 08:00:00
1624449600000.0,33920,34794.5,33412,33485.5,22657.256,758689545.7879999876,2021-06-23 12:00:00
1624464000000.0,33485.5,33939,32879.5,32887.5,15832.172,520680556.6499999762,2021-06-23 16:00:00
1624478400000.0,32887.5,33737,32750,33642,9412.063,316640623.44599998,2021-06-23 20:00:00
1624492800000.0,33642,33836.5,32351.5,32594.5,14899.754,485650031.753000021,2021-06-24 00:00:00
1624507200000.0,32594.5,33228.5,32330.5,32822,12509.127,410574566.3939999938,2021-06-24 04:00:00
1624521600000.0,32822,33871,32795,33812,13187.925,445910120.1000000238,2021-06-24 08:00:00
1624536000000.0,33812,34544.5,33727,33861,20075.366,679771968.1260000467,2021-06-24 12:00:00
1624550400000.0,33861,35300,33744.5,34830,21084.101,734359237.8300000429,2021-06-24 16:00:00
1624564800000.0,34830,34970,34530,34656.5,6516.326,225833052.0189999938,2021-06-24 20:00:00
1624579200000.0,34656.5,35466,34252,35058.5,15605.277,547097603.7044999599,2021-06-25 00:00:00
1624593600000.0,35058.5,35089,33968,34287,12958.205,444297974.8349999785,2021-06-25 04:00:00
1624608000000.0,34287,34458,33256,33291.5,17548.141,584203936.1015000343,2021-06-25 08:00:00
1624622400000.0,33291.5,33558.5,32375,32593.5,28000.168,912623475.7079999447,2021-06-25 12:00:00
1624636800000.0,32593.5,32897.5,31505,32221,27630.384,890278602.8639999628,2021-06-25 16:00:00
1624651200000.0,32221,32347.5,31300,31580,13757.244,434453765.5199999809,2021-06-25 20:00:00
1624665600000.0,31580,32243,31305.5,31969.5,14276.838,456423372.4409999847,2021-06-26 00:00:00
1624680000000.0,31969.5,32700,30613,30680,22762.202,698344357.3600000143,2021-06-26 04:00:00
1624694400000.0,30680,31874,30101,31761.5,31310.092,994455487.0579999685,2021-06-26 08:00:00
1624708800000.0,31761.5,31975,30487,31520.5,29763.783,938169322.0514999628,2021-06-26 12:00:00
1624723200000.0,31520.5,31888,30775.5,31585,17028.546,537846625.4099999666,2021-06-26 16:00:00
1624737600000.0,31585,32265.5,30914.5,32249.5,10728.435,345986664.5325000286,2021-06-26 20:00:00
1624752000000.0,32249.5,33178,31972,33104,19341.28,640273733.1200000048,2021-06-27 00:00:00
1624766400000.0,33104,33400,32779,33224.5,12471.785,414368820.7325000167,2021-06-27 04:00:00
1624780800000.0,33224.5,33388,32339,33207.5,19832.796,658597573.1699999571,2021-06-27 08:00:00
1624795200000.0,33207.5,33549,32700,33198.5,19953.656,662431448.7159999609,2021-06-27 12:00:00
1624809600000.0,33198.5,33372,32573,32800.5,12121.376,397587193.4879999757,2021-06-27 16:00:00
1624824000000.0,32800.5,34755,32438,34690.5,21509.829,746186722.9244999886,2021-06-27 20:00:00
1624838400000.0,34690.5,34976,34257,34384.5,12005.126,412790254.9470000267,2021-06-28 00:00:00
1624852800000.0,34384.5,35223,34293.5,34969,12207.986,426901062.4340000153,2021-06-28 04:00:00
1624867200000.0,34969,35100,33960,34119.5,17504.389,597241000.4854999781,2021-06-28 08:00:00
1624881600000.0,34119.5,34934,33905,34931.5,19147.04,668834827.7599999905,2021-06-28 12:00:00
1624896000000.0,34931.5,34981,33969,34441,13530.242,465995064.7220000029,2021-06-28 16:00:00
1624910400000.0,34441,34794,34132.5,34493.5,7802.638,269140293.8529999852,2021-06-28 20:00:00
1624924800000.0,34493.5,35142.5,34240,34576.5,13546.191,468379873.1115000248,2021-06-29 00:00:00
1624939200000.0,34576.5,35400,34541.5,34866,15955.33,556298535.7799999714,2021-06-29 04:00:00
1624953600000.0,34866,35725.5,34744,35554,17018.368,605071055.871999979,2021-06-29 08:00:00
1624968000000.0,35554,36397,35344,36225.5,22632.381,819869317.9155000448,2021-06-29 12:00:00
1624982400000.0,36225.5,36573,36062.5,36370,10728.43,390192999.1000000238,2021-06-29 16:00:00
1624996800000.0,36370,36450,35789,35918.5,8578.894,308141004.1389999986,2021-06-29 20:00:00
1625011200000.0,35918.5,36073.5,34987.5,35133,13215.154,464288005.4819999933,2021-06-30 00:00:00
1625025600000.0,35133,35274,34666,35232.5,14962.506,527166492.6449999809,2021-06-30 04:00:00
1625040000000.0,35232.5,35320,34425,34835.5,16940.391,590126990.6805000305,2021-06-30 08:00:00
1625054400000.0,34835.5,34986.5,34100,34188,15855.388,542064004.9440000057,2021-06-30 12:00:00
1625068800000.0,34188,34882.5,34050,34751.5,11005.37,382453115.5550000072,2021-06-30 16:00:00
1625083200000.0,34751.5,35173.5,34391,35018,9694.274,339474086.9319999814,2021-06-30 20:00:00
1625097600000.0,35018,35021.5,34152,34152,10407.415,355434037.0799999833,2021-07-01 00:00:00
1625112000000.0,34152,34450,33312,33314,23597.133,786114888.7619999647,2021-07-01 04:00:00
1625126400000.0,33314,33718,33000,33698,15409.775,519278597.9499999881,2021-07-01 08:00:00
1625140800000.0,33698,33800.5,33051,33431,16067.468,537151522.7079999447,2021-07-01 12:00:00
1625155200000.0,33431,33623,32710,33086.5,14331.347,474174112.5155000091,2021-07-01 16:00:00
1625169600000.0,33086.5,33612,33086,33490,7975.88,267112221.1999999881,2021-07-01 20:00:00
1625184000000.0,33490,33924,32766,32890,12645.305,415904081.4499999881,2021-07-02 00:00:00
1625198400000.0,32890,33466.5,32695,33319,13405.63,446662185.9700000286,2021-07-02 04:00:00
1625212800000.0,33319,33570,32774.5,33033,16907.82,558516018.0599999428,2021-07-02 08:00:00
1625227200000.0,33033,33696.5,32887,33673.5,17681.765,595406913.7274999619,2021-07-02 12:00:00
1625241600000.0,33673.5,33751.5,33121,33316,8103.386,269972407.976000011,2021-07-02 16:00:00
1625256000000.0,33316,33848,33050,33753.5,7834.589,264444799.8115000129,2021-07-02 20:00:00
1625270400000.0,33753.5,33863.5,33339,33516,8045.653,269658105.9480000138,2021-07-03 00:00:00
1625284800000.0,33516,34626.5,33450,34449,15434.223,531693548.1269999743,2021-07-03 04:00:00
1625299200000.0,34449,34746,34360,34569.5,12083.064,417705480.9480000138,2021-07-03 08:00:00
1625313600000.0,34569.5,34780,34477,34597,8857.885,306456247.3450000286,2021-07-03 12:00:00
1625328000000.0,34597,34900,34462,34713.5,7486.374,259878243.8490000069,2021-07-03 16:00:00
1625342400000.0,34713.5,34865.5,34266.5,34649.5,8824.874,305777471.6629999876,2021-07-03 20:00:00
1625356800000.0,34649.5,34746.5,34370,34613.5,6177.155,213812954.5925000012,2021-07-04 00:00:00
1625371200000.0,34613.5,35662.5,34600,35553.5,15577.429,553832121.9515000582,2021-07-04 04:00:00
1625385600000.0,35553.5,35639,35372.5,35504.5,8602.946,305443296.2570000291,2021-07-04 08:00:00
1625400000000.0,35504.5,35530,35250,35487,8641.892,306674821.4039999843,2021-07-04 12:00:00
