,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi
0,1609430400.0,28736,28772,28327.5,28406.5,1445.109,41050488.8085,2020-12-31 16:00:00,0.00107476,0.000508,5856.16200000
1,1609434000.0,28406.5,28715,28374,28567.5,789.589,22556583.7575,2020-12-31 17:00:00,0.00107476,0.000058,5440.35200000
2,1609437600.0,28567.5,28885,28487.5,28865,518.639,14970514.735,2020-12-31 18:00:00,0.00107476,0.000134,5384.62600000
3,1609441200.0,28865,29004.5,28747.5,28881,825.984,23855243.904,2020-12-31 19:00:00,0.00107476,0.000044,5280.69400000
4,1609444800.0,28881,29142.5,28881,29132.5,801.248,23342357.36,2020-12-31 20:00:00,0.00107476,0.000373,5470.44700000
5,1609448400.0,29132.5,29152,28913,28957.5,458.175,13267602.5625,2020-12-31 21:00:00,0.00107476,-0.000182,5419.51200000
6,1609452000.0,28957.5,29130,28901,29083,427.936,12445662.688,2020-12-31 22:00:00,0.00107476,0.000016,5550.75800000
7,1609455600.0,29083,29098,28782.5,28921.5,849.485,24568380.4275,2020-12-31 23:00:00,0.00107476,0.000347,5487.52200000
8,1609459200.0,28921.5,29026,28703.5,28990,917.494,26598151.06,2021-01-01 00:00:00,0.00034729,-0.000184,5505.04600000
9,1609462800.0,28990,29505.5,28956.5,29411,1927.83,56699408.13,2021-01-01 01:00:00,0.00034729,0.000507,5454.53200000
10,1609466400.0,29411,29462,29150,29218,931.537,27217648.066,2021-01-01 02:00:00,0.00034729,0.000938,5956.61600000
11,1609470000.0,29218,29358.5,29171.5,29303,440.535,12908997.105,2021-01-01 03:00:00,0.00034729,0.000499,5920.19200000
12,1609473600.0,29303,29397.5,29078,29229.5,711.549,20798221.4955,2021-01-01 04:00:00,0.00034729,0.000325,5886.42000000
13,1609477200.0,29229.5,29232,29120.5,29204.5,313.622,9159173.699,2021-01-01 05:00:00,0.00034729,0.000639,5854.11400000
14,1609480800.0,29204.5,29276.5,29123,29175.5,237.292,6923112.746,2021-01-01 06:00:00,0.00034729,0.000784,5803.39400000
15,1609484400.0,29175.5,29200,28847,29097.5,652.849,18996273.7775,2021-01-01 07:00:00,0.00034729,0.000573,5805.04400000
16,1609488000.0,29097.5,29186,28903,29045,479.384,13923708.28,2021-01-01 08:00:00,0.0001,0.000867,5792.92200000
17,1609491600.0,29045,29312,29021.5,29243.5,539.991,15791226.8085,2021-01-01 09:00:00,0.0001,0.001446,5644.35200000
18,1609495200.0,29243.5,29383.5,29219,29270.5,555.235,16252006.0675,2021-01-01 10:00:00,0.0001,0.00176,5760.17400000
19,1609498800.0,29270.5,29453.5,29270.5,29343.5,402.753,11818182.6555,2021-01-01 11:00:00,0.0001,0.001087,5855.91600000
20,1609502400.0,29343.5,29673.5,29199,29276,1495.5,43782258,2021-01-01 12:00:00,0.0001,0.001628,5806.89600000
21,1609506000.0,29276,29502,29264.5,29494.5,456.379,13460670.4155,2021-01-01 13:00:00,0.0001,0.000964,5994.54600000
22,1609509600.0,29494.5,29567.5,29311,29360,452.269,13278617.84,2021-01-01 14:00:00,0.0001,0.001082,5948.60000000
23,1609513200.0,29360,29407.5,29070,29226,820.595,23982709.47,2021-01-01 15:00:00,0.0001,0.000969,6106.26800000
24,1609516800.0,29226,29374,29171.5,29325,640.163,18772779.975,2021-01-01 16:00:00,0.0001,0.001216,6257.43600000
25,1609520400.0,29325,29353,28962,29087.5,1217.397,35411035.2375,2021-01-01 17:00:00,0.0001,0.000525,6063.33800000
