index,start_at,open,high,low,close,volume,turnover,date,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,pandl,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,prediction,profit_ma,entry_type,entry_volume
83,2024-01-04 11:00:00,43104.0,43268.9,42955.9,43205.0,3750.629,161837582.7244,2024-01-04 11:00:00,47.96,43406.48,42940.93,43173.71,43639.26,42708.16,43872.03,42475.38,-222.1,-316.99,94.88,15.43,30.24,39.52,41.02,3706.6194285714314,-48.06,-31.290000000000873,-68.59,2.05,43083.55,43103.84,434.26000000000204,-496.8399999999965,-101.16000000000349,-121.44999999999709,-22.04,17.96,-14.809999999999999,94.89000000000001,931.0999999999985,0.0,PositionState,lower,42797.1,43205.0,407.90000000000146,0.0,0,0.0,None,0
84,2024-01-04 12:00:00,43205.0,43490.0,43121.4,43399.9,7727.44,334733764.8608,2024-01-04 12:00:00,51.72,43448.32,42942.18,43195.25,43701.39,42689.11,43954.46,42436.04,-179.01,-289.39,110.37,18.11,28.42,38.27,40.66,4022.553214285718,315.93,-204.65000000000146,99.2,6.01,43112.27,43222.26,301.48999999999796,-710.7900000000009,-177.63999999999942,-287.63000000000466,-18.28,21.72,-10.310000000000002,110.38,1012.2799999999988,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
85,2024-01-04 13:00:00,43399.9,43532.8,43183.3,43375.7,5487.558,238041331.2821,2024-01-04 13:00:00,51.23,43481.26,42943.61,43212.44,43750.09,42674.78,44018.91,42405.96,-145.15,-260.54,115.39,17.77,26.77,36.98,40.07,4258.959928571431,236.4,-163.25999999999476,125.15,3.99,43133.07,43283.64,374.3899999999994,-700.9199999999983,-92.05999999999767,-242.62999999999738,-18.770000000000003,21.229999999999997,-9.0,115.39000000000001,1075.3099999999977,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
86,2024-01-04 14:00:00,43375.7,43800.0,43269.9,43703.7,9383.868,408471855.1397,2024-01-04 14:00:00,57.2,43521.87,42996.57,43259.22,43784.53,42733.92,44047.18,42471.26,-90.79,-226.59,135.79,20.59,24.46,34.95,39.17,4705.13985714286,446.17,-444.4799999999959,24.0,4.78,43187.44,43451.66,80.83000000000175,-969.7799999999988,-252.0399999999936,-516.2599999999948,-12.799999999999997,27.200000000000003,-3.870000000000001,135.8,1050.6100000000006,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
87,2024-01-04 15:00:00,43703.7,44390.0,43622.8,44089.9,20745.342,913625150.2705,2024-01-04 15:00:00,62.96,43667.19,43009.48,43338.33,43996.04,42680.63,44324.89,42351.78,-16.37,-184.55,168.18,27.27,21.56,33.29,38.05,5950.603928571431,1245.46,-751.5699999999997,299.24,12.4,43287.92,43706.95,-93.86000000000058,-1409.270000000004,-382.95000000000437,-801.9800000000032,-7.039999999999999,32.96,5.710000000000001,168.18,1315.4100000000035,0.0,IdleState,upper,0.0,0.0,0.0,0.0,0,0.0,None,0
88,2024-01-04 16:00:00,44089.9,44175.5,43806.1,43941.8,9417.534,413865589.0349,2024-01-04 16:00:00,59.64,43757.63,43033.98,43395.81,44119.45,42672.16,44481.28,42310.34,30.31,-141.58,171.89,25.69,20.31,31.75,37.01,6305.717000000003,355.11,-545.9900000000052,343.38,6.35,43415.31,43800.89,177.64999999999418,-1269.6399999999994,-140.9100000000035,-526.4900000000052,-10.36,29.64,5.380000000000003,171.89000000000001,1447.2899999999936,0.0,EntryPreparationState,upper,43941.8,43389.5,0.0,-552.3000000000029,0,0.0,None,0
151,2024-01-07 07:00:00,44031.4,44112.8,43996.1,44092.0,1401.213,61743994.2904,2024-01-07 07:00:00,58.0,44048.21,43818.77,43933.49,44162.93,43704.04,44277.66,43589.32,59.37,49.85,9.51,16.63,15.82,8.24,9.93,2194.957285714289,-21.46,-158.51000000000204,-9.63,-0.31,43998.27,44025.05,70.93000000000029,-387.9599999999991,-66.94999999999709,-93.7300000000032,-12.0,28.0,0.8099999999999987,9.519999999999996,458.8899999999994,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
152,2024-01-07 08:00:00,44092.0,44182.5,44020.0,44031.4,1967.53,86795666.8867,2024-01-07 08:00:00,55.09,44037.04,43848.58,43942.81,44131.27,43754.35,44225.5,43660.13,59.78,51.84,7.94,17.92,15.04,8.27,9.83,2080.7102857142886,-114.24,-88.59000000000378,-73.19,1.53,44004.83,44027.59,99.86999999999534,-277.0500000000029,-3.8100000000049477,-26.56999999999971,-14.909999999999997,25.090000000000003,2.8800000000000026,7.939999999999998,376.91999999999825,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
153,2024-01-07 09:00:00,44031.4,44082.0,43885.6,43945.7,2320.086,102021751.9512,2024-01-07 09:00:00,51.17,44021.8,43864.37,43943.09,44100.52,43785.66,44179.23,43706.95,52.59,51.99,0.59,16.84,18.26,7.97,9.66,2107.924928571432,27.21,-2.610000000000582,-93.72,-3.01,43984.44,43994.83,154.8199999999997,-160.0399999999936,49.13000000000466,38.74000000000524,-18.83,21.17,-1.4200000000000017,0.6000000000000014,314.8599999999933,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
154,2024-01-07 10:00:00,43945.7,44008.5,43922.3,43974.0,977.617,42980742.9347,2024-01-07 10:00:00,52.38,44020.4,43871.67,43946.03,44094.76,43797.3,44169.13,43722.94,48.61,51.31,-2.7,16.37,17.76,7.69,9.49,1881.666142857146,-226.25,-27.970000000001164,-48.14,-1.05,43984.8,43986.5,120.76000000000204,-176.6999999999971,12.5,10.80000000000291,-17.619999999999997,22.380000000000003,-1.3900000000000006,-2.700000000000003,297.4599999999991,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
155,2024-01-07 11:00:00,43974.0,44138.9,43973.6,44076.9,1732.855,76358956.6012,2024-01-07 11:00:00,56.57,44034.23,43882.76,43958.49,44109.96,43807.03,44185.69,43731.3,53.15,51.68,1.46,19.76,16.79,7.72,9.48,1870.8295000000032,-10.83,-118.41000000000349,-0.28,3.89,43999.94,44022.66,33.05999999999767,-269.8700000000026,-54.23999999999796,-76.95999999999913,-13.43,26.57,2.9700000000000024,1.4699999999999989,302.9300000000003,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
