start_at,open,high,low,close,volume,turnover,date,wclprice,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,bbvi,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,ema_sma,sma_ema,ema_sma_500,sma_ema_500,rsi_buy,dmi_diff,macd_diff,bol_diff,aroon,adline,pandl,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,prediction,profit_ma,entry_type,max_pandl,min_pandl,exit_reason,entry_volume
2020-04-01 16:00:00,6223.5,6223.5,6145.0,6178.0,698.787,4317106.086,2020-04-01 16:00:00,6181.12,31.25,6356.83,6221.04,6288.93,6424.72,6153.14,6492.62,6085.25,4.31,-46.42,-34.41,-12.01,11.75,34.25,29.77,27.76,600.9727142857143,19.64,107.8100000000004,-25.98,-7.09,6247.56,6211.74,243.60000000000036,-27.979999999999563,30.61999999999989,66.44000000000051,-38.75,-35.82000000000062,35.82000000000062,0.0,0.0,1.25,-22.5,-12.010000000000005,271.5799999999999,-92.85,295.56,0.0,PositionState,lower,6282.0,6330.0,-52.965711556829135,0.0,0,0.0,None,-31.23696275071625,-68.72502387774584,None,0
2020-04-01 17:00:00,6178.0,6203.5,6160.0,6188.0,603.201,3732607.788,2020-04-01 17:00:00,6184.87,32.02,6343.39,6214.66,6279.02,6407.75,6150.29,6472.12,6085.93,4.1,-48.75,-37.27,-11.47,11.14,32.47,31.13,27.9,610.0587857142857,9.08,94.15000000000055,-31.75,-0.0,6234.76,6200.99,222.8800000000001,-34.57999999999993,16.11999999999989,49.89000000000033,-37.98,-33.77000000000044,33.77000000000044,0.0,0.0,2.020000000000003,-21.33,-11.479999999999997,257.46000000000004,-92.85,468.89,0.0,PositionState,lower,6282.0,6330.0,-48.19016236867246,0.0,0,0.0,None,-40.78806112702959,-61.56170009551106,None,0
2020-04-01 18:00:00,6188.0,6210.0,6177.5,6178.0,493.361,3047984.258,2020-04-01 18:00:00,6185.87,32.24,6329.71,6210.59,6270.15,6389.27,6151.03,6448.83,6091.47,3.79,-49.94,-39.81,-10.12,11.49,31.17,32.2,28.28,608.5327142857143,-1.52,84.27999999999975,-36.18,1.03,6223.69,6194.94,203.40000000000055,-34.840000000000146,9.069999999999709,37.81999999999971,-37.76,-28.75,28.75,0.0,0.0,2.240000000000002,-19.68,-10.129999999999995,238.2400000000007,-85.71,-9.28,0.0,PositionState,lower,6282.0,6330.0,-52.965711556829135,0.0,0,0.0,None,-37.68395415472769,-53.204489016236764,None,0
2020-04-01 19:00:00,6178.0,6204.5,6160.0,6201.0,706.807,4382910.207,2020-04-01 19:00:00,6191.62,33.56,6316.62,6208.72,6262.67,6370.57,6154.77,6424.52,6100.82,3.44,-49.84,-41.81,-8.02,10.85,31.63,33.4,28.88,618.4793571428571,9.94,71.05000000000018,-40.92,-0.75,6212.76,6193.61,178.94999999999982,-36.849999999999454,1.9899999999997817,21.140000000000327,-36.44,-19.150000000000546,19.150000000000546,0.0,0.0,3.5600000000000023,-20.78,-8.030000000000001,215.79999999999927,-78.57,586.33,0.0,PositionState,lower,6282.0,6330.0,-41.98194842406865,0.0,0,0.0,None,-40.31050620821388,-61.56170009551106,None,0
2020-04-01 20:00:00,6201.0,6373.5,6189.0,6330.0,1433.332,9072991.56,2020-04-01 20:00:00,6305.62,53.05,6320.25,6213.27,6266.76,6373.73,6159.79,6427.22,6106.3,3.41,-40.1,-41.47,1.37,26.96,25.32,31.24,27.62,685.2963571428571,66.81,-38.85999999999967,-20.56,21.78,6215.24,6238.41,68.10999999999967,-145.82999999999993,-67.21000000000004,-90.38000000000011,-16.950000000000003,23.170000000000073,-23.170000000000073,0.0,0.0,23.049999999999997,1.6400000000000006,1.3699999999999974,213.9399999999996,28.57,1343.79,0.0,PositionState,lower,6282.0,6330.0,0.0,0.0,0,0.0,None,40.39627507163341,-47.71260744985675,None,0
2020-04-01 21:00:00,6330.0,6395.0,6330.0,6345.0,1065.205,6758725.725,2020-04-01 21:00:00,6353.75,58.58,6331.76,6218.33,6275.04,6388.48,6161.61,6445.2,6104.89,3.61,-28.17,-38.81,10.63,27.39,23.53,29.54,26.65,726.5781428571428,41.28,-78.71000000000004,16.09,18.32,6228.34,6284.54,34.72999999999956,-192.14000000000033,-69.21000000000004,-125.40999999999985,-11.420000000000002,56.19999999999982,-56.19999999999982,0.0,0.0,28.58,3.8599999999999994,10.64,226.8699999999999,35.71,770.21,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
2020-04-01 22:00:00,6345.0,6592.5,6345.0,6511.5,1501.895,9779589.2925,2020-04-01 22:00:00,6490.12,69.52,6369.98,6221.08,6295.53,6444.43,6146.62,6518.88,6072.17,4.73,-7.63,-32.58,24.94,39.12,18.26,30.03,26.92,799.3819285714286,72.8,-194.59000000000015,85.69,17.42,6261.13,6366.77,-45.6899999999996,-343.5,-123.34999999999945,-228.98999999999978,-0.480000000000004,105.64000000000033,-105.64000000000033,0.0,0.0,39.519999999999996,20.859999999999996,24.95,297.8100000000004,42.85,1289.05,0.0,IdleState,upper,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
2020-04-01 23:00:00,6511.5,6687.0,6492.5,6642.0,1362.759,9051445.278,2020-04-01 23:00:00,6615.87,75.86,6430.2,6221.87,6326.04,6534.36,6117.71,6638.52,6013.55,6.58,18.57,-22.34,40.92,40.63,15.35,31.11,27.42,865.4895,66.1,-289.8299999999999,174.78,16.15,6303.99,6466.41,-81.51000000000022,-498.15999999999985,-149.46000000000004,-311.8800000000001,5.859999999999999,162.42000000000007,-162.42000000000007,0.0,0.0,45.86,25.28,40.91,416.64999999999964,50.0,2021.23,0.0,EntryPreparationState,upper,6642.0,6839.5,0.0,85.90505871725391,1,0.0,None,262.5084914182473,-47.789611562782554,None,0
2020-04-04 03:00:00,6676.0,6708.5,6665.0,6695.0,228.062,1526875.09,2020-04-04 03:00:00,6690.87,41.95,6857.66,6656.77,6757.22,6958.1,6556.33,7058.55,6455.88,5.94,-16.64,-2.66,-13.97,17.87,22.99,18.67,27.6,373.69757142857145,-69.21,66.35000000000036,0.86,-1.9,6730.4,6712.77,267.2300000000005,-134.53999999999996,21.900000000000546,39.529999999999745,-28.049999999999997,-17.6299999999992,17.6299999999992,0.0,0.0,11.950000000000003,-5.119999999999997,-13.98,401.77000000000044,-21.42,5449.47,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
2020-04-04 04:00:00,6695.0,6727.5,6685.0,6715.0,194.872,1308565.48,2020-04-04 04:00:00,6710.62,44.6,6850.25,6655.3,6752.78,6947.73,6557.83,7045.2,6460.36,5.77,-17.86,-5.7,-12.15,18.81,22.18,17.93,25.98,349.3513571428571,-24.34,42.159999999999854,-17.96,1.1,6724.56,6711.91,237.10999999999967,-152.78999999999996,1.2899999999999636,13.94000000000051,-25.4,-12.650000000000546,12.650000000000546,0.0,0.0,14.600000000000001,-3.370000000000001,-12.16,389.89999999999964,-14.28,5529.71,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
