,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction,profit_ma,entry_type
10,2020-08-25 08:00:00,11598.0,11661.0,11535.0,11628.0,1107.973,12883510.044,2020-08-25 08:00:00,0.00010167,0.001149,4708.518,44.52,11764.1,11613.16,11688.63,11839.57,11537.68,11915.05,11462.21,-16.67,-19.86,3.18,16.01,28.49,20.03,25.18,601.6534285714287,36.69,60.6299999999992,-51.37,-2.79,11713.5,11655.01,211.5699999999997,-90.31999999999971,27.01000000000022,85.5,-25.479999999999997,14.520000000000003,-12.479999999999997,3.1899999999999977,301.8899999999994,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None
11,2020-08-25 12:00:00,11628.0,11628.0,11350.0,11438.5,3831.648,43828305.648,2020-08-25 12:00:00,0.00010167,0.001638,4661.256,34.55,11752.85,11576.77,11664.81,11840.89,11488.72,11928.93,11400.68,-34.83,-22.85,-11.97,13.3,34.91,21.8,26.16,853.5757857142856,251.92,226.3099999999995,26.45,-10.61,11687.05,11568.41,402.3899999999994,50.219999999999345,129.90999999999985,248.54999999999927,-35.45,4.549999999999997,-21.609999999999996,-11.979999999999997,352.1700000000001,EntryPreparationState,lower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None
12,2020-08-25 16:00:00,11438.5,11452.0,11125.0,11305.5,3788.401,42829767.5055,2020-08-25 16:00:00,0.0001,0.001192,4941.05199999,29.55,11745.29,11515.88,11630.59,11860.0,11401.17,11974.71,11286.46,-59.27,-30.14,-29.13,10.96,40.88,24.37,27.14,1068.3037142857142,214.72,325.09000000000015,107.97,-11.02,11636.22,11463.24,554.5,95.67000000000007,157.73999999999978,330.71999999999935,-40.45,-0.4499999999999993,-29.92,-29.130000000000003,458.8299999999999,PositionState,lower,11305.5,11472.0,0.0,-166.5,55.5,-175.0,-70.97058823529412,0,59.95999999999913,None
13,2020-08-25 20:00:00,11305.5,11389.0,11237.0,11325.0,967.353,10955272.725,2020-08-25 20:00:00,0.0001,0.000929,5163.648,31.12,11734.74,11468.22,11601.48,11868.0,11334.96,12001.26,11201.71,-76.18,-39.35,-36.83,10.07,37.57,26.75,27.9,1062.072642857143,-6.23,276.47999999999956,93.32,0.08,11583.77,11407.94,543.0,9.959999999999127,82.94000000000051,258.77000000000044,-38.879999999999995,1.120000000000001,-27.5,-36.830000000000005,533.0400000000009,PositionState,lower,11305.5,11472.0,-19.5,0.0,0.0,0.0,0.0,0,0.0,None
14,2020-08-26 00:00:00,11325.0,11398.5,11262.0,11361.5,506.009,5749021.2535,2020-08-26 00:00:00,0.00053705,-0.000293,5053.298,34.09,11723.69,11433.57,11578.63,11868.75,11288.5,12013.81,11143.44,-85.65,-48.61,-37.04,9.84,34.84,28.83,28.37,1079.2865,17.21,217.1299999999992,55.2,1.6,11538.61,11389.36,507.25,-73.0,27.860000000000582,177.11000000000058,-35.91,4.090000000000003,-25.000000000000004,-37.040000000000006,580.25,PositionState,lower,11305.5,11472.0,-56.0,0.0,0.0,0.0,0.0,0,0.0,None
15,2020-08-26 04:00:00,11361.5,11390.5,11305.5,11353.0,533.847,6060764.991,2020-08-26 04:00:00,0.00053705,0.000863,5040.46,33.72,11712.17,11402.1,11557.14,11867.21,11247.07,12022.24,11092.03,-92.78,-57.44,-35.33,9.39,33.22,30.77,29.03,1081.7769285714287,2.49,204.13999999999942,40.63,0.94,11494.22,11374.82,514.2099999999991,-105.93000000000029,21.81999999999971,141.21999999999935,-36.28,3.719999999999999,-23.83,-35.34,620.1399999999994,PositionState,lower,11305.5,11472.0,-47.5,0.0,0.0,0.0,0.0,0,0.0,None
16,2020-08-26 08:00:00,11353.0,11445.0,11338.5,11385.0,635.09,7230499.65,2020-08-26 08:00:00,0.00056153,0.000415,5030.468,36.48,11702.53,11378.96,11540.74,11864.31,11217.18,12026.09,11055.39,-94.75,-64.9,-29.84,11.85,31.26,31.79,28.62,1097.707357142857,15.93,155.73999999999978,25.44,3.96,11451.88,11378.89,479.3099999999995,-167.8199999999997,-6.110000000000582,66.8799999999992,-33.52,6.479999999999997,-19.410000000000004,-29.849999999999994,647.1299999999992,PositionState,lower,11305.5,11472.0,-79.5,0.0,0.0,0.0,0.0,0,0.0,None
17,2020-08-26 12:00:00,11385.0,11507.0,11257.0,11480.5,2129.106,24443201.433,2020-08-26 12:00:00,0.00056153,0.000415,5035.32,43.96,11698.25,11371.77,11535.01,11861.48,11208.53,12024.72,11045.29,-87.6,-69.44,-18.15,10.31,31.43,33.13,28.54,1188.8712857142857,91.16,54.51000000000022,2.92,0.75,11430.55,11419.53,380.97999999999956,-271.96999999999935,-60.969999999999345,-49.95000000000073,-26.04,13.96,-21.119999999999997,-18.159999999999997,652.9499999999989,PositionState,lower,11305.5,11472.0,-175.0,0.0,0.0,0.0,0.0,0,0.0,None
18,2020-08-26 16:00:00,11480.5,11541.5,11443.5,11467.0,745.002,8542937.934,2020-08-26 16:00:00,0.0001,0.000546,4777.916,43.19,11693.32,11363.73,11528.53,11858.12,11198.94,12022.91,11034.15,-82.07,-71.97,-10.1,11.6,29.8,33.9,28.09,1186.8067857142855,-2.06,61.530000000000655,3.4,1.37,11416.0,11438.52,391.1200000000008,-268.0599999999995,-28.479999999999563,-51.0,-26.810000000000002,13.189999999999998,-18.200000000000003,-10.099999999999994,659.1800000000003,PositionState,lower,11305.5,11472.0,-161.5,0.0,0.0,0.0,0.0,0,0.0,None
19,2020-08-26 20:00:00,11467.0,11505.0,11441.5,11461.0,522.396,5987180.556,2020-08-26 20:00:00,0.0001,0.00049,4677.74399999,42.82,11687.7,11356.49,11522.1,11853.31,11190.89,12018.91,11025.28,-77.28,-73.03,-4.25,11.2,28.87,34.63,27.78,1182.3512857142857,-4.45,61.100000000000364,-0.11,1.82,11397.44,11447.51,392.3099999999995,-270.1100000000006,-13.489999999999782,-63.55999999999949,-27.18,12.82,-17.67,-4.25,662.4200000000001,PositionState,lower,11305.5,11472.0,-155.5,0.0,0.0,0.0,0.0,0,0.0,None
