,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction,profit_ma,entry_type
2048,2021-07-31 00:00:00,42209.5,42421.5,41584.0,41812.5,11152.382,466308972.375,2021-07-31 00:00:00,0.0001,2.1e-05,12411.14,66.6,40459.19,38879.0,39669.1,41249.28,38088.91,42039.38,37298.82,979.04,978.64,0.4,35.32,13.09,41.83,47.38,11926.321285714284,-998.15,-2143.4000000000015,460.33,11.08,40101.33,41069.44,-563.2200000000012,-3723.5899999999965,-743.0599999999977,-1711.1699999999983,-3.4000000000000057,36.599999999999994,22.23,0.39999999999997726,3160.3699999999953,PositionState,upper,41812.5,39836.5,0.0,-1976.0,610.5,-1976.0,-366.75,0,-273.3600000000006,None
2083,2021-08-05 20:00:00,40677.5,41275.0,40664.5,40848.5,7425.313,303312898.0805,2021-08-05 20:00:00,0.0001,-0.000221,12614.11,61.39,40179.12,38491.49,39335.31,41022.94,37647.68,41866.75,36803.86,51.76,-188.74,240.5,24.29,22.07,17.71,21.04,12521.163357142857,-729.3,-1513.1900000000023,782.37,10.35,39480.55,40043.17,174.44000000000233,-3200.8199999999997,-805.3300000000017,-1367.949999999997,-8.61,31.39,2.219999999999999,240.5,3375.260000000002,PositionState,upper,40848.5,45305.0,0.0,4456.5,5597.0,-625.5,3508.923076923077,0,5646.220000000001,None
2132,2021-08-14 00:00:00,47790.0,47800.0,47428.0,47555.0,5082.181,241683117.455,2021-08-14 00:00:00,-1.027e-05,0.000432,13263.613,67.07,46790.66,44933.59,45862.12,47719.19,44005.06,48647.72,43076.52,634.67,474.23,160.44,29.8,13.22,21.52,22.69,9449.723857142857,27.57,-1692.8799999999974,860.29,6.88,46032.33,47097.11,164.19000000000233,-3549.9400000000023,-457.8899999999994,-1522.6699999999983,-2.930000000000007,37.06999999999999,16.58,160.43999999999994,3714.1300000000047,PositionState,upper,47555.0,45819.5,0.0,-1735.5,102.5,-1735.5,-609.375,0,-583.760000000002,None
2172,2021-08-20 16:00:00,48699.5,49137.0,48307.0,48672.5,10977.903,534321983.7675,2021-08-20 16:00:00,0.0001,4.6e-05,14676.495,66.91,47754.46,45140.88,46447.67,49061.26,43834.09,50368.05,42527.3,520.6,113.89,406.7,32.51,11.25,22.01,18.39,10359.3925,167.35,-2224.8300000000017,1273.81,8.25,46846.88,47985.73,388.76000000000204,-4838.4100000000035,-686.7699999999968,-1825.6200000000026,-3.0900000000000034,36.91,21.259999999999998,406.71000000000004,5227.1700000000055,PositionState,upper,48672.5,48383.5,0.0,-289.0,1670.0,-289.0,524.0416666666666,0,1092.0999999999985,None
2247,2021-09-02 04:00:00,49557.5,50300.0,49322.0,49838.0,12255.135,610771418.13,2021-09-02 04:00:00,0.0001,-0.000361,16090.736,67.03,48953.99,47427.25,48190.62,49717.35,46663.89,50480.72,45900.52,212.03,-55.21,267.24,32.38,12.08,15.68,14.65,9317.21542857143,-71.75,-1647.3799999999974,757.95,7.59,48115.11,49171.43,-120.65000000000146,-3174.1100000000006,-666.5699999999997,-1722.8899999999994,-2.969999999999999,37.03,20.300000000000004,267.24,3053.459999999999,PositionState,upper,49838.0,51001.0,0.0,1163.0,2771.5,-526.5,711.015625,0,2605.6200000000026,None
2344,2021-09-18 08:00:00,48588.0,48730.0,48305.0,48321.0,4219.344,203882921.424,2021-09-18 08:00:00,0.0001,-0.000327,16973.097,60.28,47962.66,47209.87,47586.27,48339.06,46833.48,48715.45,46457.08,392.3,388.54,3.76,23.6,14.2,22.83,28.41,6057.1605714285715,-126.81,-734.7300000000032,105.48,5.99,47791.94,48133.74,18.05999999999767,-1487.5199999999968,-187.26000000000204,-529.0599999999977,-9.719999999999999,30.28,9.400000000000002,3.759999999999991,1505.5799999999945,PositionState,upper,48321.0,47370.0,0.0,-951.0,88.5,-951.0,-232.92857142857142,0,-319.59999999999854,None
2423,2021-10-01 12:00:00,47486.5,47890.0,46788.0,47330.0,15720.447,744048756.51,2021-10-01 12:00:00,-7.744e-05,-0.000641,16519.713,73.11,45534.82,42036.59,43785.7,47283.93,40287.48,49033.04,38538.37,859.76,296.01,563.75,37.65,11.28,26.26,27.46,11596.113499999998,637.62,-3544.300000000003,2525.65,12.54,44427.0,46162.27,-46.06999999999971,-7042.519999999997,-1167.7300000000032,-2903.0,3.1099999999999994,43.11,26.369999999999997,563.75,6996.449999999997,PositionState,upper,47330.0,55380.5,0.0,8050.5,10157.5,0.0,5124.904411764706,0,10104.61,None
2505,2021-10-15 04:00:00,59425.0,60371.5,59151.0,59300.5,9552.909,569453863.922,2021-10-15 04:00:00,0.00022649,0.001557,12997.292,64.72,58458.06,56075.19,57266.62,59649.49,54883.75,60840.93,53692.32,838.54,669.78,168.75,29.39,13.51,23.7,29.24,8017.885571428572,-204.37,-2033.8799999999974,1008.47,10.12,57981.05,58683.2,348.98999999999796,-4416.75,-617.3000000000029,-1319.449999999997,-5.280000000000001,34.72,15.88,168.76,4765.739999999998,PositionState,upper,59300.5,63029.5,0.0,3729.0,7634.0,0.0,3104.5128205128203,0,5641.870000000003,None
2615,2021-11-02 12:00:00,62990.5,64258.5,62990.5,63969.5,9498.46,603259105.1255,2021-11-02 12:00:00,0.00038595,0.00028,17679.791,64.86,62551.75,60839.0,61695.37,63408.12,59982.63,64264.49,59126.25,337.8,106.47,231.33,25.79,18.43,15.73,14.51,6640.9455,444.06,-2274.1299999999974,1195.12,11.41,61966.77,62791.88,-561.3799999999974,-3986.8700000000026,-1177.6200000000026,-2002.7300000000032,-5.140000000000001,34.86,7.359999999999999,231.33,3425.4900000000052,PositionState,upper,63969.5,62194.5,0.0,-1775.0,0.0,-1775.0,-697.5714285714286,0,31.700000000004366,None
2648,2021-11-08 00:00:00,63264.0,65690.5,63263.5,65195.5,11774.652,761472414.409,2021-11-08 00:00:00,0.00013249,0.000336,18404.486,73.46,63167.89,61088.37,62128.13,64207.65,60048.6,65247.41,59008.84,398.97,28.79,370.18,36.75,14.67,24.07,26.17,3872.5945714285713,646.89,-3067.3700000000026,1879.09,20.23,62362.61,63594.16,-987.8499999999985,-5146.9000000000015,-1601.3399999999965,-2832.8899999999994,3.4599999999999937,43.459999999999994,22.08,370.18,4159.050000000003,PositionState,upper,65195.5,64893.5,0.0,-302.0,3336.5,-302.0,1551.75,0,2613.5099999999948,None
2908,2021-12-21 08:00:00,48561.5,49318.0,48440.0,48851.5,7701.096,375175997.8165,2021-12-21 08:00:00,0.0001,-0.000153,16791.007,64.96,47998.09,46521.91,47260.0,48736.18,45783.82,49474.27,45045.72,118.6,-157.09,275.7,28.23,15.48,17.68,20.22,7129.8177857142855,75.96,-1591.5,820.29,6.47,47111.22,48159.9,-115.31999999999971,-3067.6800000000003,-691.5999999999985,-1740.2799999999988,-5.040000000000006,34.959999999999994,12.75,275.69,2952.3600000000006,PositionState,upper,48851.5,48134.0,0.0,-717.5,368.5,-717.5,-76.83333333333333,0,314.36999999999534,None
2923,2021-12-23 20:00:00,51077.5,51141.5,50444.5,50794.0,6033.138,306554924.3435,2021-12-23 20:00:00,0.0001,5e-06,16445.399,70.17,49770.03,47784.26,48777.14,50762.91,46791.38,51755.79,45798.5,627.74,441.16,186.58,35.02,10.96,25.65,22.21,6143.356000000001,-267.35,-2016.8600000000006,172.49,13.93,49123.55,50062.04,-31.089999999996508,-4002.6200000000026,-731.9599999999991,-1670.449999999997,0.1700000000000017,40.17,24.060000000000002,186.57999999999998,3971.530000000006,PositionState,upper,50794.0,49675.5,0.0,-1118.5,306.0,-1118.5,-34.035714285714285,0,196.97000000000116,None
2946,2021-12-27 16:00:00,51432.5,52119.0,51212.5,51221.0,7666.671,395961632.802,2021-12-27 16:00:00,0.0001,6.5e-05,17325.38599999,61.73,50978.5,50045.14,50511.82,51445.18,49578.45,51911.86,49111.77,409.0,400.53,8.46,29.07,12.06,27.52,32.95,5444.035285714286,346.57,-709.1800000000003,213.86,7.69,50661.66,51080.94,224.1800000000003,-1642.550000000003,-140.05999999999767,-559.3399999999965,-8.270000000000003,31.729999999999997,17.009999999999998,8.470000000000027,1866.7300000000032,PositionState,upper,51221.0,49841.5,0.0,-1379.5,0.0,-1379.5,-631.3333333333334,0,-585.6500000000015,None
