,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction
21,153,1641517200000.0,42800.0,43019.0,42800.0,43003.5,1060.635,45531713.293,2022-01-07 01:00:00,0.0001,16517.625,41.31,43427.39,43033.13,43230.26,43624.53,42836.0,43821.66,42638.86,-317.12,-414.54,97.41,10.21,27.58,46.34,49.41,1783.8260714285716,-86.78,226.76000000000204,-32.48,-0.07,43132.66,42988.57,621.0299999999988,-167.5,-14.930000000000291,129.1600000000035,-28.689999999999998,11.310000000000002,-17.369999999999997,97.42000000000002,PositionState,lower,43003.5,41953.0,0.0,1050.5,1664.0,0.0,1065.3275862068965,0
61,193,1641661200000.0,41349.0,41398.5,40808.0,40845.0,6225.291,256143278.531,2022-01-08 17:00:00,0.0001,16688.766,28.44,42024.6,41466.39,41745.5,42303.7,41187.29,42582.8,40908.19,-198.82,-133.36,-65.45,11.9,33.29,27.0,29.0,1961.8585714285714,374.83,900.5,421.61,-7.53,41700.16,41188.81,1458.699999999997,342.2900000000009,343.8099999999977,855.1600000000035,-41.56,-1.5599999999999987,-21.39,-65.45999999999998,PositionState,lower,40845.0,41782.0,0.0,-937.0,154.0,-937.0,-192.9,0
105,237,1641819600000.0,40968.0,41068.0,40750.0,40791.0,5279.071,215949177.579,2022-01-10 13:00:00,0.0001,17959.899,30.76,42120.56,41279.9,41700.23,42540.89,40859.57,42961.22,40439.24,-161.72,-31.4,-130.32,14.96,35.8,13.45,13.04,2192.7404285714288,194.26,909.2300000000032,400.43,-5.71,41629.72,41060.61,1749.8899999999994,68.56999999999971,269.6100000000006,838.7200000000012,-39.239999999999995,0.7600000000000016,-20.839999999999996,-130.32,PositionState,lower,40791.0,41899.0,0.0,-1108.0,2.0,-1108.0,-325.25,0
182,314,1642096800000.0,42830.0,42996.5,42669.0,42726.5,2080.857,89146299.8565,2022-01-13 18:00:00,0.0001,17989.025,35.37,43796.6,43113.95,43455.28,44137.93,42772.62,44479.26,42431.3,-47.21,102.32,-149.53,19.32,28.31,33.79,39.38,2992.8070714285714,72.0,728.7799999999988,309.81,-2.21,43466.27,42924.52,1411.4300000000003,46.12000000000262,198.0199999999968,739.7699999999968,-34.63,5.369999999999997,-8.989999999999998,-149.53,PositionState,lower,42726.5,42951.5,0.0,-225.0,695.0,-225.0,147.02380952380952,0
225,357,1642251600000.0,42696.5,42951.0,42661.5,42909.5,2154.395,92278604.688,2022-01-15 13:00:00,6.753e-05,18459.347,48.56,43078.06,42842.32,42960.19,43195.93,42724.45,43313.8,42606.58,8.16,32.46,-24.3,21.96,24.2,19.29,23.52,1317.526642857143,69.76,50.69000000000233,16.56,-2.94,42990.61,42886.89,286.4300000000003,-185.0500000000029,-22.610000000000582,81.11000000000058,-21.439999999999998,18.560000000000002,-2.2399999999999984,-24.3,PositionState,lower,42909.5,43154.0,0.0,-244.5,0.0,-244.5,-122.25,0
256,388,1642363200000.0,42819.0,43081.0,42750.0,43005.5,1592.682,68400992.496,2022-01-16 20:00:00,0.0001,17175.376,47.51,43206.75,42953.59,43080.17,43333.33,42827.01,43459.92,42700.43,-17.34,1.9,-19.25,16.23,27.32,13.85,14.3,1718.6043571428575,45.88,74.66999999999825,2.15,-2.01,43102.83,42982.97,327.83000000000175,-178.48999999999796,-22.529999999998836,97.33000000000175,-22.490000000000002,17.509999999999998,-11.09,-19.24,PositionState,lower,43005.5,43175.5,0.0,-170.0,41.0,-170.0,-43.0,0
264,396,1642392000000.0,42652.5,42790.0,42614.5,42624.5,1756.348,74974569.523,2022-01-17 04:00:00,0.0001,17753.859,37.89,43138.35,42776.06,42957.21,43319.49,42594.92,43500.64,42413.78,-87.78,-42.11,-45.66,13.46,28.2,18.67,15.78,1224.1389285714288,-122.88,332.7099999999991,93.09,-1.84,42904.11,42704.8,694.989999999998,-29.580000000001746,80.30000000000291,279.6100000000006,-32.11,7.890000000000001,-14.739999999999998,-45.67,PositionState,lower,42624.5,42357.0,0.0,267.5,1178.5,-207.5,463.6309523809524,0
356,488,1642723200000.0,40702.0,41111.0,40333.5,40930.5,5603.659,228396289.4195,2022-01-21 00:00:00,0.0001,19525.181,33.78,42727.06,41273.13,42000.09,43454.02,40546.17,44180.98,39819.21,-176.71,55.08,-231.79,17.8,38.8,25.85,18.66,5281.578428571428,289.97,1069.5899999999965,255.5,-3.85,42092.83,41045.73,2523.519999999997,-384.33000000000175,115.2300000000032,1162.3300000000017,-36.22,3.780000000000001,-20.999999999999996,-231.79000000000002,PositionState,lower,40930.5,35438.5,0.0,5492.0,6557.0,0.0,4141.712962962963,0
439,571,1643022000000.0,33270.5,34165.0,33022.0,33703.5,13027.003,438226377.4445,2022-01-24 11:00:00,0.0001,17935.04,34.46,35555.74,34265.63,34910.68,36200.79,33620.58,36845.85,32975.52,-374.18,-186.96,-187.21,13.82,32.72,18.62,21.59,5438.338571428571,760.7,1207.1800000000003,535.06,-2.39,34687.16,33857.66,2497.290000000001,-82.91999999999825,154.1600000000035,983.6600000000035,-35.54,4.460000000000001,-18.9,-187.22,PositionState,lower,33703.5,35322.5,0.0,-1619.0,628.0,-1619.0,-238.35714285714286,0
498,630,1643234400000.0,36320.0,36582.0,36250.0,36488.0,2881.053,104833063.2955,2022-01-26 22:00:00,-0.00011039,16592.812,39.03,37874.5,36840.67,37357.58,38391.42,36323.75,38908.34,35806.83,32.46,257.16,-224.7,20.34,23.35,27.17,27.98,5482.147285714286,-33.96,869.5800000000017,125.94,-2.98,37527.61,36670.04,1903.4199999999983,-164.25,182.04000000000087,1039.6100000000006,-30.97,9.030000000000001,-3.0100000000000016,-224.70000000000002,PositionState,lower,36488.0,36662.0,0.0,-174.0,764.5,-467.0,219.85714285714286,0
