,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction
708,840,1643990400000.0,39479.5,40672.0,39451.5,40235.5,12192.224,488881514.423,2022-02-04 16:00:00,-0.00041531,-0.000401,19857.596,78.77,38739.71,37158.82,37949.27,39530.16,36368.37,40320.61,35577.92,499.73,267.49,232.24,47.59,9.69,38.12,32.44,5447.412214285715,737.2,-2286.230000000003,1166.59,23.91,38290.66,39436.93,-705.3399999999965,-3867.1299999999974,-798.5699999999997,-1944.8399999999965,8.769999999999996,48.769999999999996,37.900000000000006,232.24,PositionState,upper,40235.5,41283.0,0.0,1047.5,1494.5,0.0,1115.5425531914893,0
764,896,1644192000000.0,42350.0,42440.0,41595.0,41782.5,4464.501,187162812.268,2022-02-07 00:00:00,-7.551e-05,-0.000581,19335.215,54.67,41826.05,41430.48,41628.27,42023.83,41232.7,42221.61,41034.92,139.97,122.23,17.74,32.64,6.93,37.09,33.12,2549.2766428571435,261.37,-154.2300000000032,298.9,10.47,41697.05,41876.0,241.33000000000175,-549.8000000000029,93.5,-85.44999999999709,-15.329999999999998,24.67,25.71,17.739999999999995,PositionState,upper,41782.5,43830.0,0.0,2047.5,3079.0,0.0,1677.2058823529412,0
848,980,1644494400000.0,44809.0,44974.0,44560.0,44821.5,4284.342,191739716.518,2022-02-10 12:00:00,-2.443e-05,4.1e-05,19020.52,65.66,44567.93,43887.55,44227.74,44908.12,43547.37,45248.3,43207.18,179.9,106.92,72.98,30.16,12.58,18.38,18.3,2527.9581428571432,164.15,-593.760000000002,220.08,2.49,44255.61,44716.83,86.62000000000262,-1274.1299999999974,-104.66999999999825,-565.8899999999994,-4.340000000000003,35.66,17.58,72.98,PositionState,upper,44821.5,43632.0,0.0,-1189.5,0.0,-1189.5,-594.75,0
853,985,1644512400000.0,45379.0,45924.5,44956.5,45296.0,8013.928,363987410.6745,2022-02-10 17:00:00,-0.00010229,-0.000372,19387.467,62.63,44955.26,43949.53,44452.39,45458.13,43446.66,45961.0,42943.79,271.14,165.42,105.71,30.24,17.39,18.23,16.63,5837.495857142858,355.01,-843.6100000000006,431.66,-0.42,44687.55,45139.4,162.12999999999738,-1849.3399999999965,-156.59999999999854,-608.4499999999971,-7.369999999999997,32.63,12.849999999999998,105.72,PositionState,upper,45296.0,44336.0,0.0,-960.0,0.0,-960.0,-359.6666666666667,0
958,1090,1644890400000.0,43419.5,43649.0,43356.0,43508.5,3081.441,134002857.6445,2022-02-15 02:00:00,0.0001,-0.001022,18500.687,71.08,42936.52,42170.28,42553.4,43319.64,41787.16,43702.76,41404.03,212.33,94.26,118.06,35.74,17.06,20.08,22.08,3002.994285714286,-131.37,-955.0999999999985,566.84,13.47,42606.38,43241.13,-188.86000000000058,-1721.3399999999965,-267.3700000000026,-902.1200000000026,1.0799999999999983,41.08,18.680000000000003,118.07000000000001,PositionState,upper,43508.5,43880.5,0.0,372.0,1016.0,-68.5,475.22222222222223,0
1157,1289,1645606800000.0,38644.5,38983.0,38579.0,38843.0,4048.714,157167807.1695,2022-02-23 09:00:00,-0.000165,-0.000425,20398.114,66.91,38321.09,37706.32,38013.71,38628.48,37398.93,38935.87,37091.54,194.51,100.99,93.51,31.47,11.97,22.38,19.97,2982.3537857142865,8.23,-829.2900000000009,462.19,9.0,38103.88,38591.48,-214.5199999999968,-1444.0699999999997,-251.5199999999968,-739.1200000000026,-3.0900000000000034,36.91,19.5,93.52,PositionState,upper,38843.0,38069.0,0.0,-774.0,140.5,-774.0,-154.94444444444446,0
1193,1325,1645736400000.0,38398.0,38672.0,38178.5,38392.0,3397.845,130462708.974,2022-02-24 21:00:00,-0.00027387,-0.000135,17147.544,69.24,37568.83,35507.5,36538.17,38599.5,34476.83,39630.17,33446.17,147.16,-277.02,424.18,40.28,11.9,33.67,36.72,7811.7105,-418.76,-1853.8300000000017,1169.58,15.99,36593.16,37969.35,207.5,-3915.1699999999983,-422.65000000000146,-1798.8399999999965,-0.7600000000000051,39.239999999999995,28.380000000000003,424.17999999999995,PositionState,upper,38392.0,39000.5,0.0,608.5,1351.5,-544.0,501.6818181818182,0
1283,1415,1646060400000.0,39795.0,40927.0,39563.0,40798.5,15893.516,641580138.982,2022-02-28 15:00:00,-0.00021537,0.0,20325.765,73.38,39340.18,37796.22,38568.2,40112.16,37024.24,40884.14,36252.26,220.95,-62.61,283.57,39.15,12.77,17.63,20.07,5085.063714285715,707.58,-2230.300000000003,1555.69,23.04,38687.38,39881.85,-686.3399999999965,-3774.260000000002,-916.6500000000015,-2111.1200000000026,3.3799999999999955,43.379999999999995,26.38,283.56,PositionState,upper,40798.5,43814.0,0.0,3015.5,3814.5,0.0,2533.1071428571427,0
1331,1463,1646233200000.0,44803.0,45372.0,43800.0,44107.0,20725.422,922363238.0385,2022-03-02 15:00:00,-0.00010436,-0.000286,19672.51099999,53.78,44226.92,43711.8,43969.36,44484.48,43454.24,44742.03,43196.69,248.33,315.9,-67.57,27.82,12.76,34.02,38.23,4773.603142857143,1264.2,-137.63999999999942,134.5,11.0,44026.55,44194.04,377.4800000000032,-652.760000000002,87.04000000000087,-80.44999999999709,-16.22,23.78,15.06,-67.56999999999996,PositionState,upper,44107.0,43741.0,0.0,-366.0,113.0,-366.0,-84.33333333333333,0
1487,1619,1646794800000.0,39360.0,41446.5,39328.5,41194.5,20793.06,840743225.171,2022-03-09 03:00:00,0.0001,-0.00041,20235.857,77.41,39568.04,38415.05,38991.54,40144.54,37838.55,40721.04,37262.05,314.69,131.36,183.33,44.64,8.9,19.88,18.14,5819.983714285715,1108.7,-2202.959999999999,1378.13,23.11,39077.88,40180.44,-1049.9599999999991,-3355.949999999997,-1014.0599999999977,-2116.6200000000026,7.409999999999997,47.41,35.74,183.32999999999998,PositionState,upper,41194.5,40923.5,0.0,-271.0,1325.0,-271.0,705.1304347826087,0
