start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction,profit_ma,entry_volume
2020-08-17 09:00:00,11879.5,11899.0,11864.0,11868.0,220.308,2614615.344,2020-08-17 09:00:00,0.00047435,0.001131,6351.454,52.74,11880.56,11824.29,11852.42,11908.69,11796.16,11936.82,11768.03,-1.21,-1.25,0.04,20.78,18.45,10.5,12.01,223.29457142857146,3.89,-15.579999999999927,-4.35,4.92,11846.11,11855.66,40.69000000000051,-71.84000000000015,-12.340000000000146,-21.889999999999418,-17.259999999999998,22.740000000000002,2.330000000000002,0.040000000000000036,112.53000000000065,None,None,12170.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2852.957
2020-08-17 10:00:00,11868.0,11906.0,11866.5,11872.0,127.019,1507969.568,2020-08-17 10:00:00,0.00047435,0.001105,6368.994,53.4,11881.43,11827.14,11854.29,11908.58,11800.0,11935.73,11772.85,0.53,-0.89,1.43,20.62,17.46,10.34,11.57,222.22564285714287,-1.06,-17.709999999999127,-3.26,0.78,11847.61,11862.19,36.57999999999993,-72.0,-9.80999999999949,-24.389999999999418,-16.6,23.4,3.16,1.42,108.57999999999993,None,None,12170.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2852.957
2020-08-17 11:00:00,11872.0,11925.0,11872.0,11921.0,338.98,4040980.58,2020-08-17 11:00:00,0.00047435,0.000899,6366.87,60.62,11891.08,11830.2,11860.64,11921.53,11799.76,11951.97,11769.31,5.79,0.44,5.35,21.71,16.21,10.64,11.56,235.1315,12.9,-60.36000000000058,13.07,2.17,11853.44,11885.71,0.5300000000006548,-121.23999999999978,-35.29000000000087,-67.55999999999949,-9.380000000000003,30.619999999999997,5.5,5.35,121.77000000000044,None,None,12170.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2852.957
2020-08-17 12:00:00,11921.0,11925.0,11878.0,11893.0,429.489,5107912.677,2020-08-17 12:00:00,0.00047435,0.001216,6348.976,55.34,11894.92,11832.53,11863.72,11926.11,11801.34,11957.3,11770.14,7.62,1.87,5.74,20.32,15.17,10.91,11.63,251.1765714285714,16.04,-29.280000000000655,15.95,0.74,11856.94,11888.63,33.11000000000058,-91.65999999999985,-4.3700000000008,-36.05999999999949,-14.659999999999997,25.340000000000003,5.15,5.75,124.77000000000044,None,None,12170.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2852.957
2020-08-17 13:00:00,11893.0,12222.5,11867.0,12127.0,12633.276,153203738.052,2020-08-17 13:00:00,0.00047435,0.001767,6372.974,74.96,11954.34,11823.25,11888.8,12019.89,11757.7,12085.44,11692.15,27.63,7.02,20.6,42.06,9.96,14.54,13.21,1137.5317857142857,886.35,-238.20000000000073,141.99,25.56,11890.55,11983.97,-107.11000000000058,-369.2999999999993,-143.03000000000065,-236.45000000000073,4.959999999999994,44.959999999999994,32.1,20.61,262.1899999999987,EntryPreparationState,upper,12170.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2852.957
2020-08-17 14:00:00,12127.0,12204.0,12107.0,12170.0,1956.067,23805335.39,2020-08-17 14:00:00,0.00047435,0.001614,5111.26,76.96,12006.86,11824.29,11915.58,12098.14,11733.01,12189.42,11641.73,46.43,14.9,31.52,38.2,9.05,17.91,14.86,1236.6911428571427,99.15,-254.42000000000007,196.71,18.79,11930.05,12058.38,-71.86000000000058,-436.9899999999998,-111.6200000000008,-239.95000000000073,6.959999999999994,46.959999999999994,29.150000000000002,31.53,365.1299999999992,PositionState,upper,12170.0,12241.0,0.0,71.0,269.5,0.0,147.65,0,201.11000000000058,2852.957
2020-08-24 00:00:00,11660.0,11660.0,11605.0,11641.0,157.873,1837799.593,2020-08-24 00:00:00,0.0001,0.000822,4943.588,52.25,11679.81,11590.58,11635.19,11724.43,11545.96,11769.04,11501.35,14.88,11.02,3.85,26.74,23.69,22.31,20.34,155.99771428571427,-16.04,-5.809999999999491,5.21,-11.32,11658.94,11653.82,83.43000000000029,-95.04000000000087,12.819999999999709,17.94000000000051,-17.75,22.25,3.049999999999997,3.860000000000001,178.47000000000116,None,None,11763.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,191.973
2020-08-24 01:00:00,11641.0,11641.0,11612.0,11639.5,121.014,1408542.453,2020-08-24 01:00:00,0.0001,0.000481,4924.698,51.92,11679.68,11591.53,11635.6,11723.75,11547.46,11767.82,11503.39,13.28,11.48,1.8,25.34,22.45,21.15,20.28,149.81935714285714,-6.17,-3.899999999999636,-1.22,-3.02,11659.38,11648.09,84.25,-92.04000000000087,8.590000000000146,19.8799999999992,-18.08,21.92,2.8900000000000006,1.799999999999999,176.29000000000087,None,None,11763.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,191.973
2020-08-24 02:00:00,11639.5,11665.0,11639.5,11650.0,63.141,735592.65,2020-08-24 02:00:00,0.0001,0.000334,4921.272,54.1,11681.21,11592.74,11636.97,11725.44,11548.51,11769.68,11504.27,12.72,11.72,0.99,28.58,21.39,20.67,19.85,145.38592857142856,-4.43,-13.030000000000655,-0.04,2.89,11660.55,11648.85,75.44000000000051,-101.48999999999978,-1.1499999999996362,10.549999999999272,-15.899999999999999,24.1,7.189999999999998,1.0,176.9300000000003,None,None,11763.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,191.973
2020-08-24 03:00:00,11650.0,11682.0,11650.0,11676.5,70.036,817775.354,2020-08-24 03:00:00,0.0001,-8.7e-05,4938.68999999,59.15,11686.27,11595.21,11640.74,11731.79,11549.68,11777.32,11504.16,14.25,12.23,2.01,30.05,20.11,20.6,19.63,100.43592857142858,-44.94,-35.76000000000022,6.87,5.99,11661.61,11659.91,55.29000000000087,-126.81999999999971,-16.590000000000146,-14.889999999999418,-10.850000000000001,29.15,9.940000000000001,2.0199999999999996,182.11000000000058,None,None,11763.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,191.973
