,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction,profit_ma,entry_type
1120,2021-02-26 08:00:00,44990.0,46880.5,44963.5,46403.0,6624.655,307403865.965,2021-02-26 08:00:00,0.00064056,-4e-06,5273.513,38.52,51103.2,47509.19,49306.2,52900.2,45712.19,54697.2,43915.19,-1484.17,-1173.11,-311.05,11.04,33.66,41.42,42.12,5540.229214285714,140.12,2903.199999999997,-716.75,-0.04,48579.83,46736.45,6497.199999999997,-690.8099999999977,333.4499999999971,2176.8300000000017,-31.479999999999997,8.520000000000003,-22.619999999999997,-311.0600000000002,7188.009999999995,PositionState,lower,46403.0,47722.5,0.0,-1319.5,2923.0,-1319.5,233.3684210526316,0,196.02999999999884,None
1259,2021-03-21 12:00:00,56286.5,57509.0,55931.5,57129.0,4309.052,246171831.708,2021-03-21 12:00:00,0.00090928,0.000595,6246.298,45.5,58750.78,57059.6,57905.19,59596.38,56214.0,60441.97,55368.41,-25.43,241.26,-266.69,16.81,24.67,20.35,21.33,3525.213714285714,66.72,776.1900000000023,253.81,-1.0,58106.16,57199.64,2467.3799999999974,-915.0,70.63999999999942,977.1600000000035,-24.5,15.5,-7.860000000000003,-266.69,3382.3799999999974,PositionState,lower,57129.0,56580.5,0.0,548.5,3018.0,-637.0,1236.861111111111,0,1596.4000000000015,None
1280,2021-03-25 00:00:00,52333.0,52842.0,51533.0,52186.5,4789.416,249942858.084,2021-03-25 00:00:00,0.0001,0.00055,5962.326,32.35,56799.76,53580.87,55190.32,58409.21,51971.43,60018.65,50361.98,-947.51,-733.08,-214.43,16.71,38.46,25.72,22.84,4312.0710714285715,54.61,3003.8199999999997,431.43,-2.68,54613.83,53393.3,6222.709999999999,-215.0699999999997,1206.800000000003,2427.3300000000017,-37.65,2.3500000000000014,-21.75,-214.42999999999995,6437.779999999999,PositionState,lower,52186.5,53749.0,0.0,-1562.5,1209.5,-1562.5,-262.8636363636364,0,134.31000000000495,None
1340,2021-04-04 00:00:00,57135.0,57622.5,56580.5,57574.0,3203.883,184460359.842,2021-04-04 00:00:00,0.00118324,0.001636,6391.989,41.92,59259.44,57986.48,58622.96,59895.92,57350.0,60532.4,56713.53,77.5,390.29,-312.78,11.81,28.26,18.19,19.25,2410.5535714285716,17.83,1048.9599999999991,549.06,-3.44,58679.11,57957.18,2321.9199999999983,-224.0,383.1800000000003,1105.1100000000006,-28.08,11.920000000000002,-16.450000000000003,-312.79,2545.9199999999983,PositionState,lower,57574.0,58965.5,0.0,-1391.5,274.0,-1391.5,-246.3,0,-241.44000000000233,None
1361,2021-04-07 12:00:00,56399.5,56899.0,55750.0,56450.0,3391.312,191439562.4,2021-04-07 12:00:00,0.00132814,0.000792,7068.078,34.2,58676.78,57186.64,57931.71,59421.85,56441.57,60166.92,55696.49,-308.34,-97.54,-210.8,12.69,28.67,19.36,21.03,2410.238285714285,90.01,1481.7099999999991,363.72,-2.25,57794.38,56993.46,2971.8499999999985,-8.430000000000291,543.4599999999991,1344.3799999999974,-35.8,4.200000000000003,-15.980000000000002,-210.79999999999995,2980.279999999999,PositionState,lower,56450.0,57703.5,0.0,-1253.5,493.0,-1253.5,-171.28571428571428,0,-55.200000000004366,None
1425,2021-04-18 04:00:00,54771.0,56428.5,53863.5,56097.5,12070.401,677119320.0975,2021-04-18 04:00:00,0.00148701,0.00113,8758.204,30.57,62681.14,58320.93,60501.04,64861.25,56140.83,67041.36,53960.72,-1064.43,-312.89,-751.53,7.52,50.24,30.91,29.09,5496.4922857142865,765.5,4403.540000000001,2414.68,-0.97,59890.38,57409.83,8763.75,43.330000000001746,1312.3300000000017,3792.8799999999974,-39.43,0.5700000000000003,-42.72,-751.5400000000001,8720.419999999998,PositionState,lower,56097.5,52338.0,0.0,3759.5,8056.5,-1158.0,2967.6458333333335,0,6807.870000000003,None
1524,2021-05-04 16:00:00,53876.5,54750.0,53262.0,54574.5,4484.359,244731650.2455,2021-05-04 16:00:00,0.00030831,0.000739,5776.89,40.81,57538.14,55114.15,56326.14,58750.14,53902.15,59962.13,52690.15,-141.29,343.29,-484.59,13.45,32.01,23.97,23.5,3065.7322142857142,117.99,1751.6399999999994,672.59,-3.25,56366.77,55043.75,4175.639999999999,-672.3499999999985,469.25,1792.2699999999968,-29.189999999999998,10.810000000000002,-18.56,-484.58000000000004,4847.989999999998,PositionState,lower,54574.5,57514.0,0.0,-2939.5,1322.5,-2939.5,-462.1666666666667,0,-880.4700000000012,None
1561,2021-05-10 20:00:00,55851.5,56195.5,53421.5,55801.0,9232.686,515193111.486,2021-05-10 20:00:00,0.00021739,0.001114,5856.35,40.15,58478.32,56684.74,57581.53,59375.12,55787.94,60271.91,54891.15,14.44,314.07,-299.63,13.32,32.88,16.18,16.6,3134.716,383.75,1780.5299999999988,525.61,-12.1,57672.27,56738.07,3574.1200000000026,-13.059999999997672,937.0699999999997,1871.2699999999968,-29.85,10.149999999999999,-19.560000000000002,-299.63,3587.1800000000003,PositionState,lower,55801.0,57732.5,0.0,-1931.5,649.5,-1931.5,-330.4375,0,-171.2300000000032,None
1574,2021-05-13 00:00:00,49617.0,50819.5,45719.0,50460.0,22434.502,1132044970.92,2021-05-13 00:00:00,0.00069602,0.000877,5901.238,28.9,57779.38,53014.28,55396.83,60161.93,50631.73,62544.48,48249.18,-1238.46,-555.09,-683.36,8.74,47.53,27.76,21.97,5166.758142857143,1262.45,4936.830000000002,2260.3,-7.67,54978.55,52103.3,9701.93,171.7300000000032,1643.300000000003,4518.550000000003,-41.1,-1.1000000000000014,-38.79,-683.37,9530.199999999997,PositionState,lower,50460.0,37596.0,0.0,12864.0,17412.5,-777.0,7616.224637681159,0,15764.510000000002,None
1667,2021-05-28 12:00:00,35370.0,37238.5,35199.5,36738.5,12015.036,441414400.086,2021-05-28 12:00:00,0.0001,-0.000167,5307.798,44.61,39217.39,36730.09,37973.74,40461.04,35486.44,41704.69,34242.79,-305.3,-2.92,-302.37,14.06,27.08,18.9,22.67,7439.062285714285,430.43,1235.239999999998,365.29,-0.31,38024.0,36847.51,3722.540000000001,-1252.0599999999977,109.01000000000204,1285.5,-25.39,14.61,-13.019999999999998,-302.38,4974.5999999999985,PositionState,lower,36738.5,36314.5,0.0,424.0,2687.0,0.0,1210.2083333333333,0,1185.6300000000047,None
