start_at,open,high,low,close,volume,turnover,date,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,bbvi,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,pandl,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,prediction,profit_ma,entry_type,max_pandl,min_pandl,exit_reason
2024-01-01 00:00:00,2283.88,2309.25,2271.92,2275.83,64164.32,147238594.9723,2024-01-01 00:00:00,42.27,2328.59,2278.56,2303.58,2353.61,2253.54,2378.63,2228.53,4.34,-7.05,-2.34,-4.71,16.4,23.42,18.21,19.31,79590.55285714284,-17395.96,27.75,-9.38,1.88,2293.96,2286.26,77.7800000000002,-22.289999999999964,10.430000000000291,18.13000000000011,-27.729999999999997,12.270000000000003,-7.020000000000003,-4.71,100.07000000000016,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None
2024-01-01 04:00:00,2275.83,2290.18,2266.66,2286.76,39262.29,89496755.7193,2024-01-01 04:00:00,45.45,2326.09,2277.86,2301.97,2350.21,2253.74,2374.33,2229.62,4.19,-7.4,-3.35,-4.05,15.61,23.37,18.33,19.21,67346.24428571429,-12244.3,15.209999999999582,-9.14,0.55,2292.27,2286.46,63.44999999999982,-33.02000000000044,-0.3000000000001819,5.5099999999997635,-24.549999999999997,15.450000000000003,-7.760000000000002,-4.050000000000001,96.47000000000025,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None
2024-01-01 08:00:00,2286.76,2307.8,2282.4,2307.09,40289.43,92615626.5983,2024-01-01 08:00:00,50.87,2324.08,2280.84,2302.46,2345.7,2259.23,2367.31,2237.61,3.75,-5.97,-3.87,-2.09,18.44,22.14,17.67,18.72,65772.84571428571,-1573.39,-4.630000000000109,-13.4,3.27,2293.81,2294.71,38.60999999999967,-47.86000000000013,-12.38000000000011,-13.2800000000002,-19.130000000000003,20.869999999999997,-3.6999999999999993,-2.0999999999999996,86.4699999999998,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None
2024-01-01 12:00:00,2307.09,2321.0,2297.36,2317.36,60031.85,138643377.5791,2024-01-01 12:00:00,53.39,2324.63,2283.13,2303.88,2345.38,2262.38,2366.13,2241.63,3.6,-3.96,-3.89,-0.07,20.31,21.03,16.54,18.34,67395.90142857142,1623.05,-13.480000000000018,-7.98,5.8,2297.34,2303.77,28.019999999999982,-54.98000000000002,-13.590000000000146,-20.019999999999982,-16.61,23.39,-0.7200000000000024,-0.06999999999999984,83.0,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None
2024-01-01 16:00:00,2317.36,2343.34,2308.46,2339.66,84149.59,195604826.5945,2024-01-01 16:00:00,58.38,2322.73,2291.84,2307.29,2338.18,2276.4,2353.62,2260.95,2.67,-0.57,-3.23,2.66,23.54,19.48,16.03,17.89,65600.77285714286,-1795.12,-32.36999999999989,-21.53,6.64,2302.1,2318.12,-1.4800000000000182,-63.25999999999976,-21.539999999999964,-37.559999999999945,-11.619999999999997,28.380000000000003,4.059999999999999,2.66,61.779999999999745,0.0,IdleState,upper,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None
2024-01-01 20:00:00,2339.66,2354.5,2325.52,2354.5,86702.66,203109783.6639,2024-01-01 20:00:00,61.35,2330.13,2293.43,2311.78,2348.48,2275.08,2366.83,2256.73,3.17,3.28,-1.92,5.21,24.46,18.28,15.92,17.54,65300.98499999999,-299.78,-42.7199999999998,4.42,5.35,2306.93,2332.67,-6.019999999999982,-79.42000000000007,-21.829999999999927,-47.570000000000164,-8.649999999999999,31.35,6.18,5.199999999999999,73.40000000000009,0.0,IdleState,upper,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None
2024-01-02 00:00:00,2354.5,2401.95,2349.77,2388.21,176809.88,420848853.536,2024-01-02 00:00:00,67.09,2344.94,2293.19,2319.06,2370.81,2267.31,2396.68,2241.44,4.46,8.95,0.24,8.7,31.59,16.32,17.05,18.15,71643.78857142858,6342.8,-69.15000000000009,40.4,10.01,2316.69,2354.88,-17.40000000000009,-120.90000000000009,-33.32999999999993,-71.51999999999998,-2.9099999999999966,37.09,15.27,8.709999999999999,103.5,0.0,IdleState,upper,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None
2024-01-02 04:00:00,2388.21,2393.93,2375.74,2387.82,61483.72,146602943.7665,2024-01-02 04:00:00,66.96,2356.81,2294.41,2325.61,2388.01,2263.2,2419.22,2232.0,5.36,13.26,2.84,10.41,30.36,15.69,18.11,18.72,71007.06000000001,-636.72,-62.210000000000036,43.64,6.52,2326.78,2368.06,0.19000000000005457,-124.62000000000035,-19.76000000000022,-61.039999999999964,-3.0400000000000063,36.959999999999994,14.67,10.42,124.8100000000004,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None
2024-01-02 08:00:00,2387.82,2434.96,2381.6,2394.66,171843.5,414598024.2098,2024-01-02 08:00:00,68.08,2368.1,2296.27,2332.18,2404.02,2260.35,2439.94,2224.43,6.16,17.03,5.68,11.34,35.43,13.98,19.92,19.65,80376.69428571429,9369.63,-62.48000000000002,36.05,5.54,2339.09,2378.7,9.360000000000127,-134.30999999999995,-15.960000000000036,-55.56999999999971,-1.9200000000000017,38.08,21.45,11.350000000000001,143.67000000000007,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None
2024-01-02 12:00:00,2394.66,2408.53,2353.45,2359.26,194942.66,463944420.1786,2024-01-02 12:00:00,57.31,2371.59,2297.93,2334.76,2408.42,2261.11,2445.25,2224.28,6.3,16.96,7.94,9.02,31.6,17.99,20.46,19.69,91205.28000000001,10828.58,-24.5,19.64,-2.76,2348.36,2370.92,49.159999999999854,-98.15000000000009,11.659999999999854,-10.900000000000091,-12.689999999999998,27.310000000000002,13.610000000000003,9.02,147.30999999999995,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None
