start_at,open,high,low,close,volume,turnover,date,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,bbvi,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,pandl,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,prediction,profit_ma,entry_type,max_pandl,min_pandl,exit_reason,entry_volume
2020-08-05 16:00:00,11662.5,11720.0,11628.0,11650.0,1315.552,15326180.8,2020-08-05 16:00:00,63.84,11498.91,11185.88,11342.39,11655.42,11029.37,11811.93,10872.86,5.51,73.96,40.9,33.05,27.52,21.32,23.8,29.2,1595.4147857142857,10.35,-307.6100000000006,196.25,7.16,11335.72,11534.92,5.420000000000073,-620.6299999999992,-115.07999999999993,-314.28000000000065,-6.159999999999997,33.84,6.199999999999999,33.059999999999995,626.0499999999993,0.0,EntryPreparationState,upper,11650.0,11496.5,0.0,-42.827896995708485,1,0.0,None,65.32660944205982,-84.80214592274687,None,0
2020-08-10 04:00:00,12020.0,12062.5,11941.0,11965.0,1335.133,15974866.345,2020-08-10 04:00:00,62.99,11842.77,11588.64,11715.7,11969.83,11461.58,12096.9,11334.51,4.33,79.34,64.97,14.37,28.76,19.34,16.4,16.75,1483.4227857142857,18.28,-249.29999999999927,123.02,12.7,11751.77,11868.67,4.829999999999927,-503.4200000000001,-96.32999999999993,-213.22999999999956,-7.009999999999998,32.99,9.420000000000002,14.370000000000005,508.25,0.0,EntryPreparationState,upper,11965.0,11754.5,0.0,-56.07893857083154,1,0.0,None,6.729251984956317,-120.26615127455061,None,0
2020-08-17 16:00:00,12439.5,12499.5,12300.0,12352.5,2758.136,34069874.94,2020-08-17 16:00:00,69.27,12097.84,11756.9,11927.37,12268.31,11586.43,12438.78,11415.96,5.71,120.15,74.29,45.86,33.42,13.91,21.61,20.95,2790.5698571428575,98.13,-425.1299999999992,342.38,18.45,11975.61,12202.59,-84.19000000000051,-766.0699999999997,-149.90999999999985,-376.8899999999994,-0.730000000000004,39.269999999999996,19.51,45.86,681.8799999999992,0.0,EntryPreparationState,upper,12352.5,11946.0,0.0,-102.0249544626593,1,0.0,None,14.186338797814368,-137.24049787492396,None,0
2020-09-01 08:00:00,11930.0,11958.0,11856.5,11884.0,1040.866,12369651.544,2020-09-01 08:00:00,65.91,11789.63,11551.85,11670.74,11908.52,11432.97,12027.41,11314.08,4.07,82.46,57.71,24.74,29.29,19.12,16.47,16.74,766.4541428571429,6.18,-213.26000000000022,113.1,12.73,11736.55,11825.21,24.520000000000437,-451.03000000000065,-58.79000000000087,-147.45000000000073,-4.090000000000003,35.91,10.169999999999998,24.749999999999993,475.5500000000011,0.0,EntryPreparationState,upper,11884.0,11732.0,0.0,-41.670918882530984,1,0.0,None,42.64412655671522,-42.68067990575564,None,0
2020-09-12 20:00:00,10453.5,10466.0,10405.0,10431.5,332.682,3470372.283,2020-09-12 20:00:00,56.6,10393.76,10265.96,10329.86,10457.66,10202.05,10521.57,10138.15,2.47,29.35,9.88,19.47,20.84,16.23,17.33,26.33,491.8889285714286,-82.0,-101.63999999999942,35.86,4.93,10366.66,10406.4,26.159999999999854,-229.45000000000073,-25.100000000000364,-64.84000000000015,-13.399999999999999,26.6,4.609999999999999,19.47,255.61000000000058,0.0,EntryPreparationState,upper,10431.5,10327.5,0.0,-33.20940900158148,1,0.0,None,37.25025643483714,-37.37947083353292,None,0
2020-09-14 16:00:00,10688.0,10740.0,10643.0,10659.5,1049.702,11189298.469,2020-09-14 16:00:00,64.68,10533.1,10305.52,10419.31,10646.89,10191.72,10760.69,10077.93,4.36,60.14,32.48,27.66,34.04,17.06,17.33,17.72,784.8143571428571,57.48,-240.1900000000005,122.63,10.54,10420.38,10573.26,-12.610000000000582,-467.78000000000065,-86.23999999999978,-239.1200000000008,-5.319999999999993,34.68000000000001,16.98,27.660000000000004,455.1700000000001,0.0,EntryPreparationState,upper,10659.5,10827.0,0.0,43.84104789155181,1,0.0,None,139.81177822599528,-17.23123504854839,None,0
2020-09-28 00:00:00,10770.0,10951.5,10770.0,10885.5,1567.425,17062204.8375,2020-09-28 00:00:00,64.82,10755.52,10642.39,10698.96,10812.09,10585.83,10868.65,10529.26,2.11,50.65,36.41,14.24,32.96,14.59,19.8,20.72,586.666,76.12,-186.54000000000087,46.93,9.51,10738.83,10796.75,-73.40999999999985,-299.6700000000001,-88.75,-146.67000000000007,-5.180000000000007,34.81999999999999,18.37,14.240000000000002,226.26000000000022,0.0,EntryPreparationState,upper,10885.5,10688.0,0.0,-57.730205319002195,1,0.0,None,10.342000826788261,-72.33679206283595,None,0
2020-10-08 16:00:00,10885.5,10937.5,10845.0,10869.5,776.496,8440123.272,2020-10-08 16:00:00,65.86,10767.86,10588.71,10678.28,10857.43,10499.14,10947.0,10409.57,3.35,27.21,5.26,21.95,35.33,17.37,16.29,16.97,922.6274285714286,-9.16,-191.21999999999935,105.42,19.85,10679.33,10780.52,-12.069999999999709,-370.3600000000006,-88.97999999999956,-190.17000000000007,-4.140000000000001,35.86,17.959999999999997,21.950000000000003,358.2900000000009,0.0,EntryPreparationState,upper,10869.5,11371.5,0.0,135.25283131698797,1,0.0,None,233.92342334054018,-15.306072036432216,None,0
2020-10-19 16:00:00,11788.0,11813.0,11665.0,11678.0,839.879,9808106.962,2020-10-19 16:00:00,64.52,11585.57,11351.86,11468.71,11702.42,11235.0,11819.28,11118.15,4.07,64.13,32.27,31.86,37.24,8.07,26.5,21.72,654.8462142857143,35.06,-209.29000000000087,192.45,10.78,11509.55,11624.27,24.420000000000073,-443.0,-53.72999999999956,-168.45000000000073,-5.480000000000004,34.519999999999996,29.17,31.859999999999992,467.4200000000001,0.0,EntryPreparationState,upper,11678.0,13217.5,0.0,392.1872409659192,1,0.0,None,556.7274019523895,-7.667186162013696,None,0
2020-10-31 12:00:00,13930.5,13932.5,13739.5,13848.5,2460.939,34080313.7415,2020-10-31 12:00:00,64.33,13700.24,13264.07,13482.15,13918.32,13045.99,14136.4,12827.9,6.47,142.41,104.37,38.04,33.9,11.43,27.2,28.57,2805.6157857142857,106.5,-366.35000000000036,146.03,9.38,13553.27,13749.82,69.81999999999971,-802.5100000000002,-98.68000000000029,-295.22999999999956,-5.670000000000002,34.33,22.47,38.03999999999999,872.3299999999999,0.0,EntryPreparationState,upper,13848.5,13414.0,0.0,-97.42571758674221,1,0.0,None,2.4406939379716275,-108.90710546268546,None,0
