,Unnamed: 0.1,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction,profit_ma,entry_volume
10,26,158,1617775200000.0,58271.0,58620.0,57913.5,58050.0,960.763,55772292.15,2021-04-07 06:00:00,0.00190543,0.001392,6517.176,47.74,58395.61,57810.19,58102.9,58688.31,57517.48,58981.02,57224.78,-148.36,-157.73,9.36,23.16,26.24,22.31,19.69,415.29685714285705,38.39,52.900000000001455,-105.49,10.2,57893.33,58036.17,638.3099999999977,-532.5199999999968,-13.830000000001746,-156.66999999999825,-22.26,17.740000000000002,-3.0799999999999983,9.369999999999976,1170.8299999999945,0,0,56399.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1314.536
11,27,159,1617778800000.0,58050.0,58070.0,57512.0,57834.5,990.435,57281313.0075,2021-04-07 07:00:00,0.00190543,0.000941,6511.43,43.96,58345.15,57809.53,58077.34,58612.96,57541.72,58880.77,57273.91,-151.21,-156.42,5.21,21.05,30.39,22.01,19.48,469.6085,54.31,242.8399999999965,-135.26,-2.93,57881.27,57935.33,778.4599999999991,-292.77999999999884,100.83000000000176,46.7699999999968,-26.04,13.96,-9.34,5.20999999999998,1071.239999999998,0,0,56399.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1314.536
12,28,160,1617782400000.0,57834.5,57931.5,57532.0,57810.0,525.255,30364991.55,2021-04-07 08:00:00,0.00132814,0.000731,6579.426,43.54,58291.99,57811.76,58051.87,58532.11,57571.64,58772.23,57331.52,-153.68,-155.87,2.19,19.67,28.4,21.73,19.28,493.0900714285714,23.48,241.87000000000265,-186.11,-1.49,57857.22,57872.66,722.1100000000006,-238.36000000000055,62.66000000000349,47.22000000000117,-26.46,13.54,-8.729999999999997,2.1899999999999977,960.4700000000012,0,0,56399.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1314.536
13,29,161,1617786000000.0,57809.5,57826.5,57050.0,57582.0,1622.341,93417639.462,2021-04-07 09:00:00,0.00132814,0.001982,6522.372,39.73,58231.5,57782.75,58007.12,58455.87,57558.38,58680.24,57334.01,-172.05,-159.11,-12.93,17.3,32.46,22.36,19.46,599.1923571428571,106.1,425.1200000000026,-143.82,-7.81,57840.88,57727.33,873.8700000000026,-23.62000000000262,145.33000000000175,258.8799999999974,-30.270000000000003,9.729999999999997,-15.16,-12.939999999999998,897.4900000000052,0,0,56399.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1314.536
14,30,162,1617789600000.0,57582.0,57679.0,56728.0,56920.0,910.398,51819854.16,2021-04-07 10:00:00,0.00132814,0.002581,6636.248,31.18,58222.9,57584.27,57903.59,58542.22,57264.96,58861.53,56945.65,-237.29,-174.74,-62.54,14.93,32.65,23.42,20.56,651.9082857142857,52.71,983.5899999999964,303.52,-4.93,57766.5,57323.66,1622.2200000000012,344.9599999999991,403.6600000000035,846.5,-38.82,1.1799999999999995,-17.72,-62.54999999999998,1277.260000000002,EnterPreparationState,lower,56399.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1314.536
15,31,163,1617793200000.0,56920.0,57284.0,55904.5,56399.5,1990.749,112277248.2255,2021-04-07 11:00:00,0.00132814,0.002026,6838.483,26.38,58219.37,57301.31,57760.34,58678.4,56842.28,59137.44,56383.25,-327.22,-205.24,-121.97,12.29,37.43,25.36,22.05,757.1097142857143,105.2,1360.8399999999965,645.2,-9.79,57610.61,56861.58,2278.900000000001,442.7799999999989,462.08000000000175,1211.1100000000006,-43.620000000000005,-3.620000000000001,-25.14,-121.98000000000002,1836.1200000000024,PositionState,lower,56399.5,56905.0,0.0,-505.5,499.5,-505.5,-5.333333333333333,0,160.5500000000029,1314.536
16,234,366,1618524000000.0,63450.5,63565.0,63324.0,63376.5,206.727,13101633.7155,2021-04-15 22:00:00,0.00086139,0.002646,6390.145,58.1,63328.52,62695.12,63011.82,63645.22,62378.42,63961.92,62061.73,85.77,-12.7,98.48,26.9,16.08,17.3,18.93,463.88014285714286,-67.8,-364.6800000000003,181.29,0.33,63047.77,63366.75,268.7200000000012,-998.0800000000016,-9.75,-328.7300000000032,-11.9,28.1,10.82,98.47,1266.800000000003,PositionState,upper,61951.5,62925.0,-52.5,0.0,0.0,0.0,0.0,0,0.0,1073.366
17,235,367,1618527600000.0,63376.5,63437.0,63105.0,63258.5,338.877,21436850.7045,2021-04-15 23:00:00,0.00086139,0.001998,6368.685,55.35,63359.29,62711.34,63035.31,63683.27,62387.36,64007.25,62063.38,93.65,8.56,85.08,25.52,18.65,17.17,18.99,438.1999285714286,-25.68,-223.19000000000236,104.48,-4.97,63107.94,63312.62,424.7699999999968,-871.1399999999994,54.12000000000262,-150.55999999999767,-14.65,25.35,6.870000000000001,85.09,1295.9099999999962,PositionState,upper,61951.5,62925.0,-170.5,0.0,0.0,0.0,0.0,0,0.0,1073.366
18,236,368,1618531200000.0,63258.5,63565.0,63168.5,63472.0,437.073,27741897.456,2021-04-16 00:00:00,0.00104972,0.001606,6275.679,59.12,63422.31,62731.5,63076.9,63767.71,62386.09,64113.12,62040.69,115.78,30.0,85.77,25.93,17.49,17.34,19.27,433.16978571428575,-5.03,-395.09999999999854,123.76,0.19,63183.33,63392.31,295.7099999999991,-1085.9100000000035,-79.69000000000233,-288.66999999999825,-10.880000000000004,29.12,8.440000000000001,85.78,1381.6200000000026,PositionState,upper,61951.5,62925.0,43.0,0.0,0.0,0.0,0.0,0,0.0,1073.366
19,237,369,1618534800000.0,63472.0,63556.0,62850.0,63160.0,489.298,30904061.68,2021-04-16 01:00:00,0.00104972,0.002265,6238.779,52.19,63431.87,62737.77,63084.82,63778.92,62390.72,64125.96,62043.67,106.92,45.39,61.52,23.18,20.43,16.55,18.73,433.5002857142857,0.33,-75.18000000000029,91.01,-5.28,63227.77,63276.15,618.9199999999983,-769.2799999999988,116.15000000000146,67.7699999999968,-17.810000000000002,22.19,2.75,61.53,1388.199999999997,PositionState,upper,61951.5,62925.0,-269.0,0.0,0.0,0.0,0.0,0,0.0,1073.366
