,Unnamed: 0.1,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction,entry_volume
30,208,340,1686772800000.0,25858.2,25865.0,24779.5,24924.0,57155.198,1441925786.4169,2023-06-14 20:00:00,-1.58e-05,-0.000355,62447.477,16.62,26076.27,25616.42,25846.34,26306.19,25386.5,26536.11,25156.57,-82.72,-13.28,-69.44,7.63,52.36,21.5,20.58,7601.712999999999,3974.52,922.34,702.96,-37.58,25844.4,25413.28,1382.1899999999987,462.5,489.2799999999989,920.4000000000016,-53.38,-13.38,-44.73,-69.44,919.6899999999988,EnterPreparationState,lower,25105.5,0.0,0.0,0.0,0.0,0.0,0.0,0,5498.915
31,209,341,1686776400000.0,24924.0,25173.0,24813.4,25105.5,11947.977,299247046.6372,2023-06-14 21:00:00,-1.58e-05,-0.000563,57881.826,26.08,26060.87,25490.7,25775.79,26345.95,25205.62,26631.04,24920.54,-130.81,-36.79,-94.02,6.65,45.63,25.28,21.92,8346.568642857143,744.85,670.2900000000009,475.71,0.35,25744.04,25259.39,1240.4500000000007,100.11999999999898,153.88999999999942,638.5400000000009,-43.92,-3.9200000000000017,-38.98,-94.02,1140.3300000000015,PositionState,lower,25105.5,25134.4,0.0,-28.90000000000145,193.59999999999852,-88.59999999999854,84.80952380952381,0,5498.915
32,299,431,1687100400000.0,26534.1,26549.3,26504.8,26547.1,1122.216,29774308.8348,2023-06-18 15:00:00,3.544e-05,-0.000534,62458.858,56.73,26531.18,26467.48,26499.33,26563.02,26435.64,26594.87,26403.79,36.16,47.11,-10.95,21.07,18.49,9.46,12.18,1939.8447142857144,6.09,-47.7699999999968,3.15,-1.92,26514.62,26530.01,15.920000000001892,-111.45999999999913,-17.090000000000146,-32.47999999999956,-13.270000000000003,26.73,2.580000000000002,-10.950000000000005,127.38000000000102,,,26384.2,0.0,0.0,0.0,0.0,0.0,0.0,0,9433.722
33,300,432,1687104000000.0,26547.1,26630.7,26512.7,26604.3,3685.501,97982492.8255,2023-06-18 16:00:00,4.409e-05,-0.000465,62742.796,60.8,26546.92,26471.74,26509.33,26584.51,26434.15,26622.1,26396.56,40.72,45.83,-5.11,25.13,16.92,10.18,12.07,2153.996642857143,214.15,-94.96999999999753,26.92,4.92,26518.31,26567.15,-19.790000000000877,-170.14999999999782,-37.14999999999782,-85.98999999999796,-9.200000000000005,30.8,8.209999999999997,-5.109999999999999,150.35999999999694,EnterPreparationState,upper,26384.2,0.0,0.0,0.0,0.0,0.0,0.0,0,9433.722
34,301,433,1687107600000.0,26604.3,26643.0,26552.9,26618.1,1913.499,50900637.1306,2023-06-18 17:00:00,4.409e-05,-0.00053,62873.373,61.73,26563.42,26475.95,26519.69,26607.16,26432.21,26650.89,26388.48,44.93,45.65,-0.71,24.38,15.82,10.97,12.0,2197.114642857143,43.11,-98.40999999999984,46.08,4.41,26533.1,26592.62,-10.93999999999869,-185.88999999999945,-25.479999999999563,-85.0,-8.270000000000003,31.73,8.559999999999999,-0.7199999999999989,174.95000000000073,PositionState,upper,26384.2,26464.1,0.0,-154.0,23.100000000002183,-154.0,-34.19999999999891,0,9433.722
35,302,434,1687111200000.0,26618.1,26626.9,26567.6,26612.2,1087.781,28927712.6477,2023-06-18 18:00:00,4.409e-05,-0.000267,63145.528,61.06,26575.83,26481.16,26528.5,26623.16,26433.83,26670.49,26386.5,47.25,45.97,1.27,23.31,15.12,11.71,12.32,2198.443071428572,1.32,-83.70000000000073,37.02,-1.11,26543.91,26602.41,10.959999999999129,-178.36999999999898,-9.790000000000871,-68.29000000000087,-8.939999999999998,31.06,8.19,1.2800000000000011,189.3299999999981,PositionState,upper,26384.2,26464.1,-5.899999999997817,0.0,0.0,0.0,0.0,0,9433.722
36,303,435,1687114800000.0,26612.2,26647.8,26587.5,26641.2,1220.9,32508774.2078,2023-06-18 19:00:00,4.409e-05,-0.000225,63706.847,63.18,26592.84,26485.62,26539.23,26646.45,26432.0,26700.07,26378.39,50.84,46.95,3.89,23.83,14.42,12.63,12.37,2051.188,-147.25,-101.97000000000116,41.12,0.14,26559.91,26621.8,5.25,-209.20000000000076,-19.40000000000145,-81.29000000000087,-6.82,33.18,9.409999999999998,3.890000000000001,214.45000000000076,PositionState,upper,26384.2,26464.1,23.100000000002183,0.0,0.0,0.0,0.0,0,9433.722
37,304,436,1687118400000.0,26641.2,26698.0,26335.3,26464.1,10243.425,271327703.0121,2023-06-18 20:00:00,4.409e-05,-0.00029,63755.979,46.54,26584.11,26480.04,26532.07,26636.14,26428.0,26688.18,26375.97,38.95,45.35,-6.39,18.34,27.1,13.1,12.66,2652.7391428571427,601.55,67.97000000000116,16.97,-17.64,26557.58,26542.95,172.04000000000087,-36.09999999999855,78.85000000000218,93.4800000000032,-23.46,16.54,-8.760000000000002,-6.399999999999999,208.13999999999945,IdleState,upper,26384.2,26464.1,-154.0,0.0,0.0,0.0,0.0,0,9433.722
38,305,437,1687122000000.0,26464.1,26475.3,26380.0,26400.0,2209.553,58412687.3127,2023-06-18 21:00:00,4.409e-05,-0.00067,62799.098,42.21,26577.91,26461.08,26519.49,26636.32,26402.67,26694.74,26344.25,24.07,41.09,-17.01,17.22,25.45,13.54,12.72,2531.494571428572,-121.24,119.4900000000016,15.2,-4.95,26543.92,26471.47,236.3199999999997,2.6699999999982538,71.47000000000116,143.91999999999825,-27.79,12.21,-8.23,-17.020000000000003,233.65000000000143,EnterPreparationState,lower,26384.2,0.0,0.0,0.0,0.0,0.0,0.0,0,9433.722
39,306,438,1687125600000.0,26400.0,26448.4,26363.9,26384.2,2351.893,62117993.7826,2023-06-18 22:00:00,4.409e-05,-0.000481,62873.501,41.19,26571.63,26441.58,26506.61,26636.66,26376.56,26701.68,26311.54,10.88,35.05,-24.16,16.27,25.09,14.1,12.63,2538.790142857143,7.29,122.40999999999984,26.62,-1.71,26533.92,26427.83,252.45999999999916,-7.639999999999418,43.63000000000102,149.71999999999753,-28.81,11.189999999999998,-8.82,-24.169999999999995,260.09999999999854,PositionState,lower,26384.2,26517.7,0.0,-133.5,50.70000000000073,-133.5,-27.219999999998983,0,9433.722
