start_at,open,high,low,close,volume,turnover,date,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,pandl,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,prediction,profit_ma,entry_type,entry_volume
2020-04-17 23:30:00,7126.5,7136.0,7013.5,7022.0,667.196,4685050.312,2020-04-17 23:30:00,45.35,7076.58,7030.07,7053.33,7099.84,7006.81,7123.1,6983.55,2.06,0.41,1.64,25.45,17.9,12.58,13.67,188.69185714285712,42.6,31.329999999999927,28.03,4.5,7059.05,7056.44,77.84000000000015,-15.1899999999996,34.4399999999996,37.05000000000018,-24.65,15.350000000000001,7.550000000000001,1.6500000000000001,93.02999999999975,0.0,EntryPreparationState,upper,7022.0,7040.5,0.0,18.5,0,0.0,None,0
2020-04-18 13:00:00,7125.0,7187.0,7119.5,7154.5,861.766,6165504.847,2020-04-18 13:00:00,65.42,7111.13,7070.59,7090.86,7131.4,7050.32,7151.67,7030.05,12.21,7.09,5.12,35.99,9.42,31.57,30.36,173.04478571428572,56.04,-63.64000000000033,36.65,12.83,7093.5,7122.43,-23.100000000000364,-104.18000000000029,-32.06999999999971,-61.0,-4.579999999999998,35.42,26.57,5.120000000000001,81.07999999999993,0.0,EntryPreparationState,upper,7154.5,7200.5,0.0,46.0,0,0.0,None,0
2020-04-20 04:30:00,7193.0,7200.0,7161.5,7169.5,134.593,964964.5135,2020-04-20 04:30:00,53.77,7174.97,7134.38,7154.67,7195.27,7114.08,7215.56,7093.79,6.76,3.03,3.73,25.75,17.16,17.93,21.74,203.04107142857146,-9.7,-14.829999999999927,10.75,6.42,7159.5,7170.79,25.770000000000437,-55.42000000000007,1.2899999999999636,-10.0,-16.229999999999997,23.770000000000003,8.59,3.73,81.19000000000051,0.0,EntryPreparationState,upper,7169.5,7155.0,0.0,-14.5,0,0.0,None,0
2020-04-21 18:00:00,6889.5,6900.0,6875.5,6889.0,323.757,2230361.973,2020-04-21 18:00:00,60.74,6871.25,6819.3,6845.28,6897.22,6793.33,6923.2,6767.36,1.1,-9.74,10.84,24.26,14.54,33.31,37.1,348.35164285714285,-2.7,-43.720000000000255,18.25,11.02,6846.38,6872.39,8.220000000000255,-95.67000000000007,-16.609999999999673,-42.61999999999989,-9.259999999999998,30.740000000000002,9.720000000000002,10.84,103.89000000000033,0.0,EntryPreparationState,upper,6889.0,6837.5,0.0,-51.5,0,0.0,None,0
2020-04-22 07:00:00,6928.5,6938.0,6912.5,6930.5,90.029,623945.9845,2020-04-22 07:00:00,68.29,6903.28,6847.84,6875.56,6930.99,6820.13,6958.71,6792.41,13.51,5.23,8.27,31.26,12.47,20.32,21.44,96.1425,-6.76,-54.9399999999996,30.11,1.87,6881.55,6912.88,0.4899999999997817,-110.36999999999989,-17.61999999999989,-48.94999999999982,-1.7099999999999937,38.290000000000006,18.79,8.28,110.85999999999967,0.0,EntryPreparationState,upper,6930.5,7097.5,0.0,167.0,0,0.0,None,0
2020-04-23 14:00:00,7230.0,7743.5,7230.0,7533.5,20463.639,154162824.4065,2020-04-23 14:00:00,86.25,7260.77,7050.7,7155.73,7365.8,6945.67,7470.83,6840.64,52.7,17.67,35.03,70.89,6.51,32.22,35.11,1731.6108571428572,1447.84,-377.77000000000044,270.22,46.0,7174.5,7319.9,-167.69999999999982,-587.8299999999999,-213.60000000000036,-359.0,16.25,56.25,64.38,35.03,420.1300000000001,0.0,EntryPreparationState,upper,7533.5,7500.0,0.0,-33.5,0,0.0,None,0
2020-04-24 08:00:00,7568.0,7576.0,7521.5,7557.0,306.264,2314437.048,2020-04-24 08:00:00,61.32,7542.22,7492.53,7517.37,7567.06,7467.69,7591.91,7442.84,28.53,32.26,-3.73,30.33,15.21,33.71,39.94,152.67685714285716,8.75,-39.63000000000011,2.67,0.95,7529.83,7548.02,10.0600000000004,-89.3100000000004,-8.979999999999563,-27.170000000000073,-8.68,31.32,15.119999999999997,-3.729999999999997,99.3700000000008,0.0,EntryPreparationState,upper,7557.0,7500.5,0.0,-56.5,0,0.0,None,0
2020-04-25 06:00:00,7561.5,7574.0,7536.0,7543.5,171.217,1291575.4395,2020-04-25 06:00:00,58.78,7536.17,7489.03,7512.6,7559.74,7465.46,7583.31,7441.89,8.15,1.13,7.01,26.86,15.46,16.72,14.91,103.48342857142858,7.29,-30.899999999999636,17.3,4.12,7516.72,7538.85,16.23999999999978,-78.03999999999996,-4.649999999999636,-26.779999999999745,-11.219999999999999,28.78,11.399999999999999,7.0200000000000005,94.27999999999975,0.0,EntryPreparationState,upper,7543.5,7528.5,0.0,-15.0,0,0.0,None,0
2020-04-26 10:00:00,7577.5,7592.0,7568.0,7575.0,159.427,1207659.525,2020-04-26 10:00:00,60.59,7564.73,7539.35,7552.04,7577.42,7526.66,7590.1,7513.97,5.01,1.94,3.07,30.71,13.63,16.63,17.99,75.77407142857143,10.65,-22.960000000000036,9.14,5.6,7552.77,7567.05,2.4200000000000728,-48.340000000000146,-7.949999999999818,-22.229999999999563,-9.409999999999997,30.590000000000003,17.08,3.07,50.76000000000022,0.0,EntryPreparationState,upper,7575.0,7548.5,0.0,-26.5,0,0.0,None,0
2020-04-27 00:30:00,7749.0,7760.0,7718.5,7742.5,117.613,910618.6525,2020-04-27 00:30:00,71.88,7701.07,7590.86,7645.97,7756.18,7535.76,7811.28,7480.66,30.35,18.26,12.09,43.16,16.98,22.56,25.72,257.54,0.93,-96.52999999999975,57.39,9.07,7662.55,7713.35,13.680000000000291,-206.73999999999978,-29.149999999999636,-79.94999999999982,1.8799999999999955,41.879999999999995,26.179999999999996,12.09,220.42000000000007,0.0,EntryPreparationState,upper,7742.5,7679.0,0.0,-63.5,0,0.0,None,0
