,Unnamed: 0.1,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction,entry_volume
10,128,260,1641902400000.0,41821.5,41952.5,41727.0,41816.5,1362.634,57030051.526,2022-01-11 12:00:00,0.0001,18137.334,49.73,42145.91,41556.8,41851.35,42440.46,41262.24,42735.01,40967.69,52.68,71.31,-18.62,18.54,15.63,13.75,18.1,1911.6175000000003,10.66,34.849999999998545,-111.57,-0.77,41981.38,41816.29,623.9599999999991,-554.260000000002,-0.2099999999991268,164.87999999999738,-20.270000000000003,19.73,2.9099999999999984,-18.630000000000003,,,42539.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2720.843
11,129,261,1641906000000.0,41816.5,41866.0,41602.5,41713.0,1500.144,62587543.5725,2022-01-11 13:00:00,0.0001,18094.83199999,47.72,42096.04,41580.31,41838.17,42353.9,41322.45,42611.76,41064.59,35.09,64.07,-28.97,17.71,17.06,12.9,17.67,1928.685428571429,17.06,125.16999999999824,-151.12,-2.57,41916.11,41764.64,640.9000000000015,-390.5500000000029,51.63999999999942,203.11000000000055,-22.28,17.72,0.6500000000000021,-28.97999999999999,,,42539.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2720.843
12,130,262,1641909600000.0,41713.0,41800.0,41279.0,41613.0,4678.516,194213139.3625,2022-01-11 14:00:00,0.0001,18097.084,45.79,42074.85,41558.61,41816.73,42332.97,41300.49,42591.08,41042.38,12.94,53.84,-40.9,16.15,21.01,12.91,17.28,2174.072142857143,245.38,203.7300000000032,-85.52,-6.34,41862.77,41688.82,719.9700000000012,-312.51000000000204,75.81999999999971,249.7699999999968,-24.21,15.79,-4.860000000000003,-40.900000000000006,,,42539.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2720.843
13,131,263,1641913200000.0,41613.0,42170.0,41430.0,41732.5,6580.784,275130157.528,2022-01-11 15:00:00,0.0001,17980.682,48.47,42031.8,41585.61,41808.71,42254.89,41362.52,42477.98,41139.43,4.96,44.06,-39.1,20.16,18.52,12.29,16.22,2500.746785714286,326.67,76.20999999999913,-161.04,4.94,41823.33,41710.66,522.3899999999994,-369.9800000000032,-21.839999999996508,90.83000000000176,-21.53,18.47,1.6400000000000006,-39.1,,,42539.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2720.843
14,132,264,1641916800000.0,41732.5,42949.0,41687.5,42671.0,9622.208,408095269.588,2022-01-11 16:00:00,8.221e-05,17933.594,63.67,42168.9,41612.76,41890.83,42446.97,41334.69,42725.03,41056.63,73.52,49.96,23.56,27.58,15.21,13.48,16.11,2987.844142857143,487.09,-780.1699999999983,141.82,14.73,41878.11,42190.83,-224.02999999999884,-1336.3099999999977,-480.1699999999983,-792.8899999999994,-6.329999999999998,33.67,12.369999999999996,23.559999999999995,EnterPreparationState,upper,42539.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2720.843
15,133,265,1641920400000.0,42671.0,43100.0,42280.0,42539.0,6539.983,278878340.3005,2022-01-11 17:00:00,8.221e-05,18368.65199999,60.95,42255.51,41649.61,41952.56,42558.45,41346.66,42861.4,41043.72,115.87,63.14,52.73,26.56,13.52,14.84,16.31,3372.294071428572,384.44,-586.4400000000023,291.58,8.09,41942.0,42364.91,19.44999999999709,-1192.3399999999965,-174.0899999999965,-597.0,-9.049999999999995,30.950000000000003,13.04,52.73,PositionState,upper,42539.0,43197.5,0.0,658.5,1583.0,-11.0,746.3510638297872,0,2720.843
16,221,353,1642237200000.0,42996.5,43060.0,42888.5,43059.5,863.316,37088855.841,2022-01-15 09:00:00,6.753e-05,18196.753,53.3,43078.29,42887.25,42982.77,43173.81,42791.73,43269.33,42696.21,47.27,43.4,3.87,23.64,18.8,21.53,24.6,1074.810785714286,-143.9,-76.7300000000032,-669.25,-2.44,43012.0,43042.38,114.30999999999769,-267.7699999999968,-17.12000000000262,-47.5,-16.700000000000003,23.3,4.84,3.870000000000005,,,43313.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2621.586
17,222,354,1642240800000.0,43059.5,43289.0,43000.0,43100.0,1956.294,84416089.62,2022-01-15 10:00:00,6.753e-05,18156.50999999,54.63,43087.08,42900.79,42993.93,43180.22,42807.65,43273.36,42714.51,50.39,44.8,5.59,27.92,17.35,21.66,24.88,1133.6025000000002,58.79,-106.06999999999972,-254.91,4.59,43026.83,43071.19,80.22000000000116,-292.34999999999854,-28.80999999999767,-73.16999999999825,-15.369999999999996,24.630000000000003,10.57,5.590000000000003,,,43313.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2621.586
18,223,355,1642244400000.0,43100.0,43100.5,42966.5,42993.0,981.719,42247588.739,2022-01-15 11:00:00,6.753e-05,18268.211,50.52,43088.11,42899.58,42993.84,43182.37,42805.32,43276.63,42711.06,43.72,44.58,-0.86,26.89,17.64,21.6,25.05,1079.6155714285717,-53.98,0.8399999999965075,10.89,2.96,43019.16,43032.09,189.37000000000265,-187.6800000000003,39.08999999999651,26.16000000000349,-19.48,20.520000000000003,9.25,-0.8599999999999994,,,43313.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2621.586
19,224,356,1642248000000.0,42993.0,43006.5,42563.0,42696.5,3415.409,146029169.0825,2022-01-15 12:00:00,6.753e-05,18204.808,41.27,43084.56,42846.49,42965.53,43203.59,42727.46,43322.63,42608.42,14.35,38.54,-24.18,23.75,26.18,20.4,24.34,1247.7660714285716,168.15,269.02999999999884,101.22,-12.71,42993.44,42864.29,507.0899999999965,30.959999999999127,167.79000000000087,296.9400000000023,-28.73,11.270000000000003,-2.43,-24.19,EnterPreparationState,lower,43313.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2621.586
