index,start_at,open,high,low,close,volume,turnover,date,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,pandl,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,prediction,profit_ma,entry_type,entry_volume
141,2020-04-01 23:00:00,6511.5,6687.0,6492.5,6642.0,1362.759,9051445.278,2020-04-01 23:00:00,74.94,6442.1,6220.46,6331.28,6552.92,6109.64,6663.74,5998.83,22.63,-20.82,43.45,40.63,15.35,31.11,27.42,865.4895,66.1,-310.72000000000025,190.48,16.15,6310.77,6483.09,-89.07999999999993,-532.3599999999997,-158.90999999999985,-331.22999999999956,4.939999999999998,44.94,25.28,43.45,443.27999999999975,0.0,EntryPreparationState,upper,6642.0,6839.5,0.0,197.5,0,0.0,None,0
200,2020-04-04 10:00:00,6832.5,6887.0,6806.0,6874.0,379.93,2611638.82,2020-04-04 10:00:00,61.39,6813.26,6722.94,6768.1,6858.42,6677.78,6903.58,6632.62,5.99,-7.28,13.27,29.07,17.04,15.56,20.05,225.6392857142857,-3.28,-105.89999999999964,45.03,7.02,6749.94,6817.37,-15.579999999999927,-196.22000000000025,-56.63000000000011,-124.0600000000004,-8.61,31.39,12.030000000000001,13.27,180.64000000000033,0.0,EntryPreparationState,upper,6874.0,6698.0,0.0,-176.0,0,0.0,None,0
239,2020-04-06 01:00:00,6866.0,6884.5,6828.0,6840.0,435.997,2982219.48,2020-04-06 01:00:00,58.01,6820.03,6768.1,6794.06,6846.0,6742.13,6871.97,6716.16,7.97,1.8,6.16,22.0,18.67,15.31,15.59,665.1854999999999,-12.53,-45.9399999999996,40.85,7.48,6794.72,6822.84,6.0,-97.86999999999989,-17.159999999999854,-45.279999999999745,-11.990000000000002,28.009999999999998,3.3299999999999983,6.17,103.86999999999989,0.0,EntryPreparationState,upper,6840.0,7278.0,0.0,438.0,0,0.0,None,0
395,2020-04-12 13:00:00,6905.0,6920.0,6883.0,6909.5,488.469,3375076.5555,2020-04-12 13:00:00,61.35,6882.43,6817.86,6850.15,6914.72,6785.58,6947.0,6753.29,0.55,-11.94,12.49,27.63,18.56,24.05,29.18,369.4271428571428,13.38,-59.350000000000364,24.25,5.78,6848.27,6882.54,5.220000000000255,-123.92000000000007,-26.960000000000036,-61.22999999999956,-8.649999999999999,31.35,9.07,12.49,129.14000000000033,0.0,EntryPreparationState,upper,6909.5,6901.0,0.0,-8.5,0,0.0,None,0
446,2020-04-14 16:00:00,6902.0,6947.0,6874.0,6938.0,579.657,4021660.266,2020-04-14 16:00:00,63.78,6884.07,6812.42,6848.24,6919.89,6776.59,6955.72,6740.77,24.46,15.31,9.14,26.52,14.8,17.23,19.1,645.7310714285713,6.59,-89.76000000000022,22.34,-0.21,6854.83,6902.18,-18.109999999999673,-161.40999999999985,-35.81999999999971,-83.17000000000007,-6.219999999999999,33.78,11.719999999999999,9.15,143.30000000000018,0.0,EntryPreparationState,upper,6938.0,6856.5,0.0,-81.5,0,0.0,None,0
487,2020-04-16 09:00:00,7040.5,7089.0,7015.5,7022.0,830.475,5831595.45,2020-04-16 09:00:00,71.26,6890.35,6642.82,6766.58,7014.11,6519.06,7137.88,6395.29,24.74,-22.94,47.68,43.2,15.54,35.04,28.96,1646.0770714285713,30.47,-255.42000000000007,182.58,3.7,6750.27,6925.79,-7.890000000000327,-502.9399999999996,-96.21000000000004,-271.72999999999956,1.2600000000000051,41.260000000000005,27.660000000000004,47.68,495.0499999999993,0.0,EntryPreparationState,upper,7022.0,7023.0,0.0,1.0,0,0.0,None,0
540,2020-04-18 14:00:00,7230.0,7260.0,7202.5,7221.5,1004.213,7251924.1795,2020-04-18 14:00:00,74.18,7154.12,7052.35,7103.24,7205.01,7001.46,7255.9,6950.57,35.07,21.77,13.29,37.03,9.4,32.12,24.83,370.90599999999995,38.2,-118.26000000000022,83.32,5.71,7121.22,7180.8,-16.48999999999978,-220.03999999999996,-40.69999999999982,-100.27999999999975,4.180000000000007,44.18000000000001,27.630000000000003,13.3,203.55000000000018,0.0,EntryPreparationState,upper,7221.5,7117.5,0.0,-104.0,0,0.0,None,0
636,2020-04-22 14:00:00,7055.5,7129.0,7045.0,7084.5,1180.034,8359950.873,2020-04-22 14:00:00,76.66,6997.29,6866.6,6931.94,7062.63,6801.26,7127.98,6735.91,36.22,14.73,21.48,40.94,11.13,27.5,27.61,458.3465714285714,62.86,-152.5600000000004,96.61,15.83,6967.11,7025.59,-21.86999999999989,-283.2399999999998,-58.909999999999854,-117.39000000000033,6.659999999999997,46.66,29.809999999999995,21.49,261.3699999999999,0.0,EntryPreparationState,upper,7084.5,7036.0,0.0,-48.5,0,0.0,None,0
659,2020-04-23 13:00:00,7164.0,7244.5,7143.0,7230.0,1263.185,9132827.55,2020-04-23 13:00:00,69.13,7138.85,7054.25,7096.55,7181.15,7011.95,7223.45,6969.65,39.04,35.48,3.56,35.62,11.36,36.35,38.89,549.869,59.32,-133.44999999999982,55.99,9.57,7103.38,7165.08,-48.850000000000364,-218.05000000000018,-64.92000000000007,-126.61999999999989,-0.8700000000000045,39.129999999999995,24.259999999999998,3.5600000000000023,169.19999999999982,0.0,EntryPreparationState,upper,7230.0,7481.0,0.0,251.0,0,0.0,None,0
700,2020-04-25 06:00:00,7561.5,7585.0,7533.0,7578.0,379.597,2876586.066,2020-04-25 06:00:00,65.44,7535.69,7485.69,7510.69,7560.69,7460.69,7585.69,7435.7,22.87,22.41,0.46,27.19,18.53,21.29,30.42,196.3902142857143,16.58,-67.3100000000004,19.43,8.14,7510.88,7547.96,-17.3100000000004,-117.3100000000004,-30.039999999999964,-67.11999999999989,-4.560000000000002,35.44,8.66,0.46000000000000085,100.0,0.0,EntryPreparationState,upper,7578.0,7528.5,0.0,-49.5,0,0.0,None,0
