open,high,low,close,volume,turnover,date,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,pandl,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,prediction,profit_ma,entry_type,entry_volume
47758.0,48000.0,47319.5,47380.0,3539.379,168571691.643,2022-01-02 17:00:00,52.68,47488.83,47073.58,47281.21,47696.46,46865.96,47904.09,46658.33,48.48,26.05,22.42,29.26,13.24,16.1,17.26,1719.350642857143,204.67,-98.79000000000087,108.26,8.08,47290.22,47412.57,316.4599999999991,-514.0400000000009,32.56999999999971,-89.77999999999884,-17.32,22.68,16.020000000000003,22.429999999999996,830.5,0.0,EntryPreparationState,upper,47380.0,47058.0,0.0,-322.0,0,0.0,None,0
47298.0,47475.0,46850.0,46911.0,3910.278,184553404.9465,2022-01-04 15:00:00,55.7,46970.68,46298.93,46634.81,47306.56,45963.05,47642.44,45627.17,63.31,-49.16,112.47,24.15,12.31,17.3,18.23,1966.6589999999999,173.71,-276.1900000000023,294.8,0.72,46715.16,46939.73,395.5599999999977,-947.9499999999971,28.7300000000032,-195.8399999999965,-14.299999999999997,25.700000000000003,11.839999999999998,112.47,1343.5099999999948,0.0,EntryPreparationState,upper,46911.0,46556.5,0.0,-354.5,0,0.0,None,0
42118.0,42200.0,41859.0,42086.5,2575.111,108278239.474,2022-01-09 17:00:00,57.07,41944.75,41574.88,41759.82,42129.69,41389.95,42314.62,41205.02,31.85,-8.64,40.5,21.64,22.78,13.24,16.17,1782.8677857142854,77.24,-326.6800000000003,-18.35,8.3,41737.83,41925.02,43.19000000000233,-696.5500000000029,-161.4800000000032,-348.66999999999825,-12.93,27.07,-1.1400000000000006,40.49,739.7400000000052,0.0,EntryPreparationState,upper,42086.5,41856.0,0.0,-230.5,0,0.0,None,0
42671.0,43100.0,42280.0,42539.0,6539.983,278878340.3005,2022-01-11 17:00:00,60.95,42255.51,41649.61,41952.56,42558.45,41346.66,42861.4,41043.72,115.87,63.14,52.73,26.56,13.52,14.84,16.31,3372.294071428572,384.44,-586.4400000000023,291.58,8.09,41942.0,42276.84,19.44999999999709,-1192.3399999999965,-262.1600000000035,-597.0,-9.049999999999997,30.950000000000003,13.04,52.730000000000004,1211.7899999999936,0.0,EntryPreparationState,upper,42539.0,43197.5,0.0,658.5,0,0.0,None,0
42696.5,42951.0,42661.5,42909.5,2154.395,92278604.688,2022-01-15 13:00:00,48.56,43078.06,42842.32,42960.19,43195.93,42724.45,43313.8,42606.58,8.16,32.46,-24.3,21.96,24.2,19.29,23.52,1317.526642857143,69.76,50.69000000000233,16.56,-2.94,42990.61,42903.68,286.4300000000003,-185.0500000000029,-5.819999999999709,81.11000000000058,-21.439999999999998,18.560000000000002,-2.2399999999999984,-24.3,471.4800000000032,0.0,EntryPreparationState,lower,42909.5,43154.0,0.0,244.5,0,0.0,None,0
43363.5,43391.5,43205.0,43313.0,1602.215,69370581.892,2022-01-15 16:00:00,58.61,43194.33,42892.97,43043.65,43345.01,42742.29,43495.69,42591.61,67.82,41.19,26.62,26.49,18.49,18.71,22.37,1642.6024285714288,62.6,-269.34999999999854,118.27,-0.15,43065.05,43213.81,32.01000000000204,-570.7099999999991,-99.19000000000233,-247.9499999999971,-11.39,28.61,8.0,26.629999999999995,602.7200000000012,0.0,EntryPreparationState,upper,43313.0,43083.0,0.0,-230.0,0,0.0,None,0
42360.0,43030.0,42359.5,42940.0,8692.827,371023311.1895,2022-01-20 14:00:00,70.58,42367.6,41823.66,42095.63,42639.57,41551.69,42911.53,41279.73,132.49,48.89,83.6,37.56,14.01,14.4,13.7,2046.3523571428575,522.48,-844.3700000000026,514.62,18.68,42181.33,42484.06,-300.4300000000003,-1388.3099999999977,-455.9400000000023,-758.6699999999983,0.5799999999999983,40.58,23.550000000000004,83.60000000000001,1087.8799999999974,0.0,EntryPreparationState,upper,42940.0,41322.5,0.0,-1617.5,0,0.0,None,0
36234.5,36235.0,35740.0,35824.0,3111.965,111783055.971,2022-01-24 00:00:00,54.16,35835.42,35127.82,35481.62,36189.23,34774.01,36543.03,34420.21,-0.16,-89.92,89.76,26.85,17.3,24.17,29.71,3342.8560000000007,-4.17,-342.3799999999974,157.97,11.15,35377.5,35740.18,365.2300000000032,-1049.989999999998,-83.81999999999971,-446.5,-15.840000000000003,24.159999999999997,9.55,89.76,1415.2200000000012,0.0,EntryPreparationState,upper,35824.0,35180.0,0.0,-644.0,0,0.0,None,0
37205.5,37210.0,36725.5,36799.5,3807.406,140530680.5325,2022-01-24 21:00:00,63.85,36343.82,34103.89,35223.86,37463.79,32983.93,38583.76,31863.96,277.76,-90.45,368.21,32.23,12.21,25.06,20.33,10162.901571428572,44.83,-1575.6399999999994,763.27,5.9,35227.83,36444.9,664.2900000000009,-3815.5699999999997,-354.59999999999854,-1571.6699999999983,-6.149999999999999,33.85,20.019999999999996,368.21,4479.860000000001,0.0,EntryPreparationState,upper,36799.5,37549.5,0.0,750.0,0,0.0,None,0
37723.5,37964.0,37634.0,37760.0,2335.893,88291344.7815,2022-01-28 21:00:00,63.83,37379.12,36620.1,36999.61,37758.63,36240.59,38138.14,35861.07,197.29,95.16,102.12,27.91,12.84,15.13,14.33,3445.9153571428574,-77.56,-760.3899999999994,375.75,8.77,37155.72,37495.63,-1.3700000000026193,-1519.4100000000035,-264.3700000000026,-604.2799999999988,-6.170000000000002,33.83,15.07,102.13,1518.0400000000009,0.0,EntryPreparationState,upper,37760.0,37595.5,0.0,-164.5,0,0.0,None,0
38305.0,38769.0,38242.5,38322.0,3409.153,131216360.955,2022-01-29 21:00:00,66.26,37978.31,37537.71,37758.01,38198.61,37317.41,38418.9,37097.12,198.74,172.34,26.39,33.67,11.19,25.81,25.3,2526.7638571428574,127.31,-563.989999999998,301.18,10.04,37844.33,38107.54,-123.38999999999942,-1004.5899999999965,-214.45999999999913,-477.66999999999825,-3.739999999999995,36.260000000000005,22.480000000000004,26.400000000000006,881.1999999999971,0.0,EntryPreparationState,upper,38322.0,37806.5,0.0,-515.5,0,0.0,None,0
