start_at,open,high,low,close,volume,turnover,date,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction,profit_ma,entry_type,entry_volume
2021-04-13 09:00:00,2227.8,2231.45,2204.0,2222.1,4686.58,10414049.418,2021-04-13 09:00:00,70.41,2195.68,2141.19,2168.43,2222.92,2113.95,2250.17,2086.7,13.61,6.5,7.1,36.08,11.82,19.03,17.37,3206.128571428571,261.13,-53.67000000000007,39.58,10.91,2179.06,2202.61,0.8200000000001637,-108.15000000000009,-19.48999999999978,-43.039999999999964,0.4099999999999966,40.41,24.259999999999998,7.109999999999999,108.97000000000025,PositionState,upper,2222.1,2328.7,0.0,106.59999999999991,172.1500000000001,-4.5,86.4483333333334,0,147.05999999999995,None,2489.98
2021-04-14 22:00:00,2430.25,2440.0,2414.6,2427.65,5801.39,14083744.4335,2021-04-14 22:00:00,65.52,2384.07,2328.98,2356.53,2411.61,2301.44,2439.16,2273.89,28.67,26.88,1.79,28.22,16.02,28.65,39.22,6187.680714285714,53.94,-71.11999999999989,12.23,7.94,2365.84,2401.93,-16.039999999999964,-126.21000000000004,-25.720000000000255,-61.809999999999945,-4.480000000000004,35.519999999999996,12.2,1.7900000000000027,110.17000000000007,PositionState,upper,2427.65,2416.5,0.0,-11.150000000000091,49.34999999999991,-11.150000000000091,16.74230769230763,0,36.970000000000255,None,4408.89
2021-04-15 21:00:00,2501.6,2501.6,2485.0,2498.75,4088.35,10215764.5625,2021-04-15 21:00:00,65.56,2476.52,2433.73,2455.13,2497.92,2412.34,2519.31,2390.94,26.82,26.31,0.5,27.6,14.03,25.8,28.23,4231.6792857142855,115.83,-43.61999999999989,8.55,-0.36,2473.93,2489.74,-0.8299999999999272,-86.40999999999985,-9.010000000000218,-24.820000000000164,-4.439999999999998,35.56,13.570000000000002,0.5100000000000016,85.57999999999993,PositionState,upper,2498.75,2425.05,0.0,-73.69999999999982,34.34999999999991,-73.69999999999982,2.3250000000001023,0,-17.34999999999991,None,12245.48
2021-04-21 13:00:00,2367.7,2387.5,2358.9,2386.85,6549.92,15633676.552,2021-04-21 13:00:00,65.3,2326.05,2266.43,2296.24,2355.86,2236.62,2385.68,2206.8,29.18,27.61,1.57,28.16,18.02,16.59,20.35,4949.024285714288,192.92,-90.61000000000013,28.26,12.86,2310.61,2343.25,-30.98999999999978,-150.23000000000002,-43.59999999999991,-76.23999999999978,-4.700000000000003,35.3,10.14,1.5700000000000003,119.24000000000024,PositionState,upper,2386.85,2358.7,0.0,-28.15000000000009,52.95000000000027,-28.15000000000009,19.022727272727355,0,31.949999999999818,None,11836.99
2021-04-22 10:00:00,2494.65,2517.3,2478.9,2512.4,8397.33,21097451.892,2021-04-22 10:00:00,67.73,2470.1,2386.5,2428.3,2511.9,2344.71,2553.69,2302.91,42.73,38.02,4.7,25.56,18.72,16.51,19.59,6884.873571428574,93.24,-84.09999999999991,30.75,2.76,2459.92,2489.34,-0.5,-167.69000000000005,-23.059999999999945,-52.48000000000002,-2.269999999999996,37.730000000000004,6.84,4.709999999999994,167.19000000000005,PositionState,upper,2512.4,2403.4,0.0,-109.0,101.59999999999991,-109.0,32.57727272727268,0,2.75,None,14529.79
2021-04-26 01:00:00,2413.9,2454.55,2406.25,2445.9,9666.38,23642998.842,2021-04-26 01:00:00,68.7,2371.1,2237.29,2304.2,2438.0,2170.39,2504.9,2103.49,27.47,13.78,13.69,35.88,21.3,20.82,23.57,8164.5021428571445,373.89,-141.70000000000027,51.91,13.74,2309.86,2379.73,-7.900000000000091,-275.5100000000002,-66.17000000000007,-136.03999999999996,-1.2999999999999972,38.7,14.580000000000002,13.69,267.6100000000001,PositionState,upper,2445.9,2456.5,0.0,10.599999999999909,72.84999999999991,-7.849999999999909,30.83749999999991,0,101.11999999999989,None,6283.67
2021-04-26 23:00:00,2511.1,2543.3,2504.95,2535.45,3203.3,8121806.985,2021-04-26 23:00:00,63.84,2496.66,2448.43,2472.55,2520.78,2424.32,2544.89,2400.21,38.53,42.63,-4.1,21.67,16.59,21.34,22.42,5251.390714285716,-112.69,-62.899999999999636,11.43,4.39,2499.98,2512.35,-14.669999999999618,-111.12999999999965,-23.09999999999991,-35.4699999999998,-6.159999999999997,33.84,5.080000000000002,-4.100000000000001,96.46000000000004,PositionState,upper,2535.45,2615.65,0.0,80.20000000000027,167.85000000000036,-40.79999999999973,57.96935483870985,0,121.17000000000007,None,6388.14
2021-04-28 12:00:00,2693.55,2736.75,2683.45,2723.7,8836.45,24067838.865,2021-04-28 12:00:00,66.12,2669.83,2597.62,2633.72,2705.93,2561.52,2742.04,2525.41,24.66,23.41,1.25,33.64,17.19,23.86,28.21,5913.324285714289,382.0,-89.98000000000002,31.04,12.75,2632.92,2678.05,-17.769999999999982,-162.17999999999984,-45.649999999999636,-90.77999999999975,-3.8799999999999955,36.120000000000005,16.45,1.25,144.40999999999985,PositionState,upper,2723.7,2697.4,0.0,-26.299999999999727,33.30000000000018,-40.79999999999973,-4.849999999999795,0,35.57999999999993,None,8213.57
2021-04-29 10:00:00,2763.5,2773.75,2758.1,2773.0,3003.88,8329759.24,2021-04-29 10:00:00,62.07,2741.96,2695.46,2718.71,2765.21,2672.21,2788.46,2648.96,23.32,22.72,0.6,24.36,17.24,12.1,15.65,4556.567142857145,-933.95,-54.289999999999964,20.58,5.34,2726.52,2752.19,-7.789999999999964,-100.78999999999996,-20.809999999999945,-46.48000000000002,-7.93,32.07,7.120000000000001,0.6000000000000014,93.0,PositionState,upper,2773.0,2728.65,0.0,-44.34999999999991,14.199999999999818,-44.34999999999991,-9.38571428571426,0,0.9299999999998363,None,3441.42
2021-05-01 02:00:00,2806.05,2842.2,2800.45,2827.55,8631.81,24406874.3655,2021-05-01 02:00:00,64.72,2793.03,2747.68,2770.35,2815.71,2725.0,2838.38,2702.33,12.32,7.44,4.87,32.02,15.37,11.11,11.19,3610.917142857145,372.31,-57.20000000000027,25.13,12.76,2777.94,2800.0,-11.840000000000146,-102.55000000000018,-27.550000000000182,-49.61000000000013,-5.280000000000001,34.72,16.650000000000006,4.88,90.71000000000004,PositionState,upper,2827.55,2895.65,0.0,68.09999999999991,121.64999999999964,0.0,64.86333333333316,0,110.11999999999989,None,4304.14
