,Unnamed: 0.1,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,state,bb_direction,enter_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,profit_ma
11,88,220,1672896600000.0,16835.5,16838.0,16832.5,16835.0,212.796,3582475.5625,2023-01-05 05:30:00,6.612e-05,-0.000448,70510.073,51.49,16843.54,16817.94,16830.74,16856.34,16805.14,16869.14,16792.34,-0.64,-0.56,-0.07,25.86,24.61,11.48,16.48,606.2382142857143,-54.59,0.45,-1.49,1.0,16825.88,16833.08,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,89,221,1672898400000.0,16835.0,16835.5,16815.0,16815.0,299.173,5033673.5305,2023-01-05 06:00:00,6.612e-05,-0.000459,70546.558,45.9,16842.27,16816.22,16829.24,16855.29,16803.2,16868.31,16790.17,-1.76,-0.8,-0.96,24.35,28.15,11.17,15.71,548.4532142857144,-57.78,-1.5,1.32,-5.44,16824.55,16824.04,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,90,222,1672900200000.0,16815.0,16815.5,16802.0,16810.5,673.717,11324542.532,2023-01-05 06:30:00,6.612e-05,-0.000416,70475.16099999,44.73,16839.74,16815.17,16827.46,16852.03,16802.88,16864.32,16790.59,-2.98,-1.23,-1.74,23.39,30.84,11.36,15.39,514.3295714285714,-34.12,-1.78,-3.99,-5.16,16823.5,16817.27,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,91,223,1672902000000.0,16810.5,16810.5,16785.0,16787.0,1111.619,18672057.3245,2023-01-05 07:00:00,6.612e-05,-0.000496,70532.975,39.1,16838.61,16808.6,16823.6,16853.62,16793.59,16868.62,16778.58,-5.77,-2.14,-3.63,21.65,33.51,12.08,15.12,521.7695714285713,7.43,-3.86,7.61,-5.37,16819.0,16802.13,EnterPreparationState,lower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,92,224,1672903800000.0,16787.0,16814.0,16786.5,16814.0,867.798,14584012.852,2023-01-05 07:30:00,6.612e-05,-0.000455,70500.937,47.3,16837.78,16807.6,16822.69,16852.87,16792.51,16867.96,16777.42,-5.74,-2.86,-2.88,20.94,30.84,12.58,15.05,527.9011428571429,6.13,-0.9,1.92,0.21,16818.83,16808.06,PositionState,lower,16814.0,16816.0,0.0,-2.0,16.0,-2.0,7.416666666666667,-0.9399999999986904
16,98,230,1672914600000.0,16816.0,16832.0,16815.5,16820.0,659.341,11092408.33,2023-01-05 10:30:00,3.569e-05,-0.000288,70637.603,50.54,16829.04,16803.57,16816.3,16841.78,16790.83,16854.52,16778.09,-5.63,-5.74,0.11,22.89,27.25,15.36,14.6,662.8208571428571,16.6,0.38,-6.41,7.63,16806.33,16814.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,99,231,1672916400000.0,16820.0,16821.0,16808.0,16810.0,670.048,11266995.9595,2023-01-05 11:00:00,3.569e-05,-0.000547,70583.41499999,47.36,16828.19,16803.21,16815.7,16840.68,16790.72,16853.18,16778.23,-5.42,-5.68,0.26,21.95,28.49,15.19,14.05,685.6977142857143,22.87,-0.59,-0.64,-0.33,16806.27,16812.25,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,100,232,1672918200000.0,16810.0,16832.5,16809.5,16828.5,637.902,10731094.34,2023-01-05 11:30:00,3.569e-05,-0.000346,70739.038,53.22,16829.48,16804.36,16816.92,16842.05,16791.8,16854.61,16779.24,-3.71,-5.28,1.57,23.99,26.43,14.45,13.31,709.2536428571428,23.55,1.21,-0.8,3.15,16810.88,16820.37,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,101,233,1672920000000.0,16828.5,16828.5,16812.5,16812.5,386.223,6495716.8185,2023-01-05 12:00:00,3.569e-05,-0.00035,70737.409,48.22,16829.04,16803.96,16816.5,16841.59,16791.41,16854.13,16778.87,-3.61,-4.95,1.33,22.75,25.07,13.76,12.62,705.7738571428571,-3.47,-0.41,1.29,2.16,16810.72,16816.43,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,102,234,1672921800000.0,16812.5,16827.5,16812.5,16815.5,560.662,9430752.938,2023-01-05 12:30:00,3.569e-05,-0.000496,70853.421,49.19,16828.64,16804.17,16816.4,16840.88,16791.93,16853.11,16779.7,-3.25,-4.61,1.36,21.63,23.83,13.12,12.15,730.6214285714285,24.84,-0.09,-1.68,-1.11,16811.33,16815.96,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
