start_at,open,high,low,close,volume,turnover,date,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction,profit_ma,entry_type,entry_volume
2020-04-20 00:00:00,7118.5,7183.5,7085.5,7156.0,1271.344,9097737.664,2020-04-20 00:00:00,57.02,7164.39,7034.12,7099.25,7229.52,6968.98,7294.66,6903.85,55.74,64.28,-8.54,21.85,18.07,20.47,19.89,1542.4047142857141,22.94,-56.75,-2.32,-0.75,7163.77,7140.53,73.52000000000044,-187.02000000000044,-15.470000000000255,7.770000000000437,-12.979999999999997,27.020000000000003,3.780000000000001,-8.54,260.5400000000009,None,None,6827.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,1440.847
2020-04-20 04:00:00,7156.0,7211.0,7152.0,7178.5,1281.313,9197905.3705,2020-04-20 04:00:00,58.59,7173.03,7040.57,7106.8,7239.26,6974.34,7305.48,6908.11,55.33,62.49,-7.16,22.84,17.35,19.99,19.83,1501.7095714285715,-40.69,-71.69999999999982,9.6,0.2,7160.5,7155.72,60.76000000000022,-204.15999999999985,-22.779999999999745,-18.0,-11.409999999999997,28.590000000000003,5.489999999999998,-7.160000000000004,264.9200000000001,None,None,6827.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,1440.847
2020-04-20 08:00:00,7178.5,7178.5,6948.5,6965.5,4010.578,27935681.059,2020-04-20 08:00:00,42.68,7167.45,7019.24,7093.34,7241.55,6945.13,7315.65,6871.03,37.38,57.47,-20.08,19.55,27.58,19.78,19.93,1709.1510714285712,207.44,127.84000000000015,41.23,-12.52,7130.0,7079.63,276.0500000000002,-20.36999999999989,114.13000000000011,164.5,-27.32,12.68,-8.029999999999998,-20.089999999999996,296.4200000000001,None,None,6827.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,1440.847
2020-04-20 12:00:00,6965.5,7093.5,6909.0,7065.0,3740.27,26425007.55,2020-04-20 12:00:00,49.57,7163.69,7017.59,7090.64,7236.74,6944.55,7309.78,6871.5,30.84,52.14,-21.3,17.39,26.9,19.9,20.02,1936.4177857142856,227.26,25.640000000000327,-1.94,-4.76,7112.22,7073.78,171.73999999999978,-120.44999999999982,8.779999999999745,47.220000000000255,-20.43,19.57,-9.509999999999998,-21.3,292.1899999999996,None,None,6827.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,1440.847
2020-04-20 16:00:00,7065.0,7076.0,6764.5,6770.5,7098.891,48063041.5155,2020-04-20 16:00:00,35.84,7165.28,6955.02,7060.15,7270.41,6849.9,7375.54,6744.77,1.86,42.09,-40.22,14.48,30.16,20.98,21.13,2393.4165,456.99,289.64999999999964,123.51,-8.33,7070.94,6952.46,499.90999999999985,79.39999999999964,181.96000000000004,300.4399999999996,-34.16,5.840000000000003,-15.68,-40.230000000000004,420.5100000000002,EntryPreparationState,lower,6827.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,1440.847
2020-04-20 20:00:00,6770.5,6886.0,6750.0,6827.5,2219.239,15151854.2725,2020-04-20 20:00:00,39.34,7158.32,6917.67,7037.99,7278.64,6797.35,7398.96,6677.02,-16.3,30.41,-46.71,13.42,28.74,22.08,22.2,2286.4752857142857,-106.94,210.48999999999978,94.44,-2.54,7034.61,6902.48,451.1400000000003,-30.149999999999636,74.97999999999956,207.10999999999967,-30.659999999999997,9.340000000000003,-15.319999999999999,-46.71,481.28999999999996,PositionState,lower,6827.5,6943.0,0.0,-115.5,37.0,-115.5,-33.8,0,-4.720000000000255,None,1440.847
2020-05-09 00:00:00,9805.0,9912.0,9734.0,9865.5,1926.263,19003547.6265,2020-05-09 00:00:00,65.97,9932.61,9219.23,9575.92,10289.3,8862.53,10645.99,8505.84,264.44,250.01,14.42,25.4,12.45,40.65,36.35,4509.261714285714,3.33,-289.5799999999999,-64.06,-4.73,9894.11,9866.46,423.7999999999993,-1002.9699999999993,0.9599999999991269,28.610000000000582,-4.030000000000001,35.97,12.95,14.430000000000007,1426.7699999999986,PositionState,upper,8811.0,9546.0,591.0,0.0,0.0,0.0,0.0,0,0.0,None,6510.472
2020-05-09 04:00:00,9865.5,9878.0,9573.0,9603.0,3887.266,37329415.398,2020-05-09 04:00:00,54.74,9916.49,9240.5,9578.5,10254.49,8902.5,10592.49,8564.5,234.15,246.84,-12.68,22.82,16.54,38.88,35.31,4420.484714285714,-88.77,-24.5,-73.86,-8.32,9864.44,9761.07,651.4899999999998,-700.5,158.0699999999997,261.4400000000005,-15.259999999999998,24.740000000000002,6.280000000000001,-12.689999999999998,1351.9899999999998,PositionState,upper,8811.0,9546.0,328.5,0.0,0.0,0.0,0.0,0,0.0,None,6510.472
2020-05-09 08:00:00,9603.0,9716.0,9525.5,9637.0,3344.239,32228431.243,2020-05-09 08:00:00,55.79,9895.41,9272.72,9584.07,10206.75,8961.38,10518.1,8650.04,210.47,239.57,-29.09,21.36,17.08,36.9,34.16,4351.473142857142,-69.01,-52.93000000000029,-141.42,-4.57,9825.61,9711.44,569.75,-675.6200000000008,74.44000000000051,188.61000000000058,-14.21,25.79,4.280000000000001,-29.099999999999994,1245.3700000000008,PositionState,upper,8811.0,9546.0,362.5,0.0,0.0,0.0,0.0,0,0.0,None,6510.472
2020-05-09 12:00:00,9637.0,9722.0,9615.0,9694.5,2076.169,20127420.3705,2020-05-09 12:00:00,57.58,9878.63,9310.54,9594.58,10162.68,9026.49,10446.72,8742.44,194.11,230.48,-36.37,20.78,16.44,35.1,33.18,4429.283214285714,77.81,-99.92000000000007,-156.92,-1.4,9799.72,9704.66,468.1800000000003,-668.0100000000002,10.159999999999854,105.21999999999935,-12.420000000000002,27.58,4.34,-36.369999999999976,1136.1900000000005,PositionState,upper,8811.0,9546.0,420.0,0.0,0.0,0.0,0.0,0,0.0,None,6510.472
