,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction,profit_ma
755,1691330400.0,29006.1,29058.0,28980.0,29032.6,2227.353,64637577.1119,2023-08-06 14:00:00,0.0001,-7.5e-05,68129.591,45.61,29076.78,29032.48,29054.63,29098.92,29010.33,29121.07,28988.19,-8.22,-4.87,-3.34,14.5,31.12,20.3,23.37,885.9625000000004,131.42,22.030000000002474,4.76,-3.34,29056.68,29033.9,66.31999999999971,-22.2699999999968,1.3000000000029104,24.080000000001746,-24.39,15.61,-16.62,-3.3500000000000005,88.58999999999651,PositionState,lower,29032.6,29077.1,0.0,-44.5,27.69999999999709,-44.5,-5.60000000000097,0,-10.319999999999709
781,1691424000.0,28852.2,28974.4,28677.1,28927.8,18431.792,531391220.469,2023-08-07 16:00:00,0.0001,-0.000374,70759.399,39.68,29117.51,28966.47,29041.99,29193.03,28890.94,29268.55,28815.42,-30.93,-8.22,-22.71,8.2,33.77,20.82,18.64,4061.150785714286,1219.92,114.19000000000233,51.25,-4.39,29024.97,28950.39,265.22999999999956,-36.86000000000058,22.590000000000146,97.17000000000189,-30.32,9.68,-25.570000000000004,-22.71,302.09000000000015,PositionState,lower,28927.8,29079.6,0.0,-151.79999999999927,0.0,-151.79999999999927,-63.19999999999951,0,-55.330000000001746
830,1691600400.0,29507.0,29588.5,29434.0,29506.1,11339.803,334581207.4768,2023-08-09 17:00:00,0.0001,-0.000102,70434.12699999,41.41,29834.34,29599.07,29716.71,29951.97,29481.44,30069.61,29363.81,32.35,85.47,-53.11,22.79,23.19,40.74,46.29,6474.216214285714,676.17,210.61000000000058,60.33,-6.58,29770.18,29613.98,445.8700000000026,-24.659999999999854,107.88000000000102,264.08000000000175,-28.590000000000003,11.409999999999997,-0.40000000000000213,-53.12,470.5300000000025,PositionState,lower,29506.1,29669.8,0.0,-163.70000000000073,100.79999999999927,-163.70000000000073,-34.2476190476203,0,28.229999999999563
854,1691686800.0,29420.0,29455.5,29308.8,29401.0,5854.123,172041520.7877,2023-08-10 17:00:00,0.0001,-0.000471,71929.111,39.93,29591.33,29463.93,29527.63,29655.03,29400.23,29718.73,29336.53,-42.0,-31.15,-10.84,13.5,21.57,14.11,17.57,4261.084285714286,352.56,126.63000000000102,29.18,-3.43,29505.09,29444.84,254.02999999999884,-0.7700000000004366,43.840000000000146,104.09000000000015,-30.07,9.93,-8.07,-10.850000000000001,254.79999999999927,PositionState,lower,29401.0,29456.9,0.0,-55.900000000001455,34.099999999998545,-68.5,-24.128571428571636,0,15.930000000000291
878,1691773200.0,29350.7,29388.0,29313.0,29332.1,2491.812,73124961.1363,2023-08-11 17:00:00,6.988e-05,-0.000304,70999.432,38.9,29457.4,29377.26,29417.33,29497.48,29337.19,29537.55,29297.12,-29.92,-27.83,-2.08,15.6,28.86,21.6,19.22,3416.104571428572,61.31,85.2300000000032,13.38,-2.31,29400.29,29368.63,165.38000000000102,5.0900000000001455,36.530000000002474,68.19000000000233,-31.1,8.899999999999999,-13.26,-2.0900000000000034,160.29000000000087,PositionState,lower,29332.1,29421.7,0.0,-89.60000000000218,0.0,-89.60000000000218,-54.01666666666824,0,-35.849999999998545
914,1691902800.0,29381.6,29381.6,29354.0,29379.3,1210.132,35544481.8476,2023-08-13 05:00:00,0.0001,-0.000189,70796.41,41.47,29431.32,29394.47,29412.89,29449.75,29376.04,29468.18,29357.61,-3.34,0.54,-3.89,17.51,30.42,11.91,12.21,666.6671428571434,37.48,33.590000000000146,5.63,-7.16,29415.22,29395.92,70.45000000000073,-3.2599999999983993,16.61999999999898,35.92000000000189,-28.53,11.469999999999999,-12.91,-3.88,73.70999999999913,PositionState,lower,29379.3,29413.3,0.0,-34.0,31.099999999998545,-34.0,-5.628571428571896,0,6.6599999999998545
932,1691967600.0,29312.5,29329.2,29286.7,29301.3,1473.3,43180792.2159,2023-08-13 23:00:00,0.0001,-9.1e-05,70292.795,33.59,29407.76,29346.72,29377.24,29438.28,29316.2,29468.8,29285.68,-16.64,-9.54,-7.09,17.84,39.94,21.17,17.29,1290.7877857142864,75.89,75.94000000000233,20.07,-2.81,29369.56,29335.01,136.97999999999956,14.900000000001455,33.70999999999913,68.26000000000204,-36.41,3.5900000000000034,-22.099999999999998,-7.100000000000001,122.07999999999811,PositionState,lower,29301.3,29388.0,0.0,-86.70000000000073,41.599999999998545,-86.70000000000073,-2.6200000000004366,0,2.319999999999709
973,1692115200.0,29320.3,29360.0,29255.0,29280.1,3962.539,116127256.8757,2023-08-15 16:00:00,0.0001,0.0,71349.386,38.72,29416.41,29339.76,29378.08,29454.74,29301.43,29493.06,29263.1,-17.38,-8.72,-8.66,19.8,20.69,14.53,17.96,2037.5382142857147,224.41,97.9800000000032,31.76,-5.05,29372.05,29332.56,174.64000000000306,21.330000000001746,52.460000000002765,91.95000000000073,-31.28,8.719999999999999,-0.8900000000000006,-8.659999999999998,153.3100000000013,PositionState,lower,29280.1,26203.6,0.0,3076.5,3457.199999999997,-54.0,1633.3729166666653,0,3294.550000000003
1143,1692727200.0,25822.0,25999.0,25757.2,25894.4,5857.433,151601742.6236,2023-08-22 18:00:00,-3.76e-06,-0.000436,58353.363,40.95,26062.36,25929.39,25995.88,26128.85,25862.9,26195.33,25796.42,-39.63,-22.56,-17.07,8.71,23.12,15.27,12.29,4409.219000000002,314.47,101.47999999999956,8.71,-0.23,25969.18,25910.07,234.4499999999971,-31.5,15.669999999998254,74.77999999999884,-29.049999999999997,10.950000000000003,-14.41,-17.070000000000004,265.9499999999971,PositionState,lower,25894.4,26044.0,0.0,-149.59999999999854,240.20000000000073,-149.59999999999854,60.05000000000109,0,23.529999999998836
1188,1692889200.0,26105.1,26155.0,25967.5,25985.5,11215.953,292261467.8263,2023-08-24 15:00:00,2.141e-05,-0.000453,58961.724,34.35,26446.75,26186.56,26316.65,26576.85,26056.46,26706.95,25926.36,-1.16,58.0,-59.17,18.87,29.57,22.74,23.22,4677.703785714287,595.61,331.15000000000146,145.36,-7.59,26343.29,26159.2,591.3499999999985,70.95999999999913,173.70000000000073,357.7900000000009,-35.65,4.350000000000001,-10.7,-59.16,520.3899999999994,PositionState,lower,25985.5,26039.9,0.0,-54.400000000001455,159.5,-176.09999999999854,-52.87857142857138,0,194.35000000000218
1246,1693098000.0,25987.5,25998.9,25957.3,25983.9,1386.477,36015784.4075,2023-08-27 01:00:00,6.063e-05,-0.000475,57471.682,41.86,26038.35,26000.43,26019.39,26057.3,25981.48,26076.26,25962.52,-11.44,-8.23,-3.2,12.72,27.11,15.37,13.31,838.9935000000011,41.79,35.48999999999796,4.92,-4.57,26011.84,25996.92,73.39999999999782,-2.4200000000018917,13.019999999996799,27.93999999999869,-28.14,11.86,-14.389999999999999,-3.209999999999999,75.81999999999971,PositionState,lower,25983.9,26019.9,0.0,-36.0,0.5,-36.0,-15.324999999999818,0,-10.31000000000131
1355,1693490400.0,27133.8,27177.9,27000.0,27160.1,6743.617,182694037.1974,2023-08-31 14:00:00,5.61e-05,-0.00059,59836.992,46.39,27252.31,27172.29,27212.3,27292.32,27132.28,27332.33,27092.28,-9.57,1.71,-11.29,25.4,19.43,14.64,16.19,3944.635000000001,382.57,52.20000000000073,-3.96,-5.73,27204.02,27172.69,132.22000000000116,-27.81999999999971,12.590000000000146,43.92000000000189,-23.61,16.39,5.969999999999999,-11.280000000000001,160.04000000000087,PositionState,lower,27160.1,25814.4,0.0,1345.699999999997,1694.7999999999993,0.0,1215.7999999999984,0,1368.119999999999
1459,1693864800.0,25664.7,25783.0,25616.3,25762.3,2476.699,63697035.5181,2023-09-04 22:00:00,8.406e-05,-0.000458,58088.909,41.06,25932.14,25779.9,25856.02,26008.27,25703.77,26084.39,25627.65,-35.54,-17.88,-17.65,12.12,29.87,21.74,24.58,3546.1387857142868,98.67,93.72000000000116,32.93,-0.44,25825.31,25772.97,245.97000000000116,-58.529999999998836,10.670000000001892,63.01000000000204,-28.939999999999998,11.060000000000002,-17.75,-17.66,304.5,PositionState,lower,25762.3,25768.2,0.0,-5.900000000001455,104.39999999999782,-49.60000000000218,37.064285714284516,0,30.360000000000582
1481,1693944000.0,25666.0,25728.1,25657.4,25700.6,1639.017,42097921.5646,2023-09-05 20:00:00,1.126e-05,-0.000474,60508.883,44.4,25773.93,25701.44,25737.68,25810.18,25665.19,25846.43,25628.94,-26.75,-28.64,1.89,16.65,20.01,16.33,22.25,3059.5578571428587,-3.54,37.080000000001746,-15.22,-1.66,25729.08,25704.77,109.58000000000175,-35.409999999999854,4.170000000001892,28.4800000000032,-25.6,14.399999999999999,-3.360000000000003,1.8900000000000006,144.9900000000016,PositionState,lower,25700.6,25755.6,0.0,-55.0,0.0,-55.0,-26.03333333333406,0,-24.86999999999898
1500,1694012400.0,25607.4,25654.1,25532.5,25574.0,3856.939,98739688.1067,2023-09-06 15:00:00,6.42e-06,-0.000552,61327.259,33.67,25768.94,25654.52,25711.73,25826.15,25597.31,25883.36,25540.1,-29.65,-14.58,-15.06,13.32,22.76,12.81,12.9,2219.4262857142867,218.16,137.72999999999956,47.38,-2.37,25693.01,25635.38,252.15000000000146,23.31000000000131,61.38000000000102,119.0099999999984,-36.33,3.6700000000000017,-9.440000000000001,-15.069999999999999,228.84000000000015,PositionState,lower,25574.0,25846.3,0.0,-272.2999999999993,0.0,-272.2999999999993,-95.09999999999975,0,-72.7599999999984
1571,1694268000.0,25812.0,25849.5,25812.0,25835.8,646.462,16697034.9485,2023-09-09 14:00:00,4.25e-06,-0.00043,59409.924,44.44,25885.64,25841.68,25863.66,25907.63,25819.69,25929.61,25797.71,-23.42,-23.93,0.51,13.62,25.91,22.08,23.93,663.4382142857154,-10.66,27.860000000000582,-24.11,-0.67,25850.99,25834.89,71.83000000000175,-16.110000000000582,-0.9099999999998545,15.190000000002328,-25.560000000000002,14.439999999999998,-12.290000000000001,0.509999999999998,87.94000000000233,PositionState,lower,25835.8,25880.3,0.0,-44.5,0.0,-44.5,-22.25,0,-18.159999999999854
1592,1694343600.0,25793.0,25812.6,25781.3,25784.0,869.592,22434087.1692,2023-09-10 11:00:00,6.603e-05,-0.000405,59258.409,36.41,25866.72,25810.54,25838.63,25894.81,25782.45,25922.9,25754.35,-17.43,-12.19,-5.24,11.25,30.83,25.21,19.92,952.8619285714295,15.5,54.63000000000102,14.44,-1.53,25826.03,25804.0,110.81000000000131,-1.5499999999992724,20.0,42.029999999998836,-33.59,6.409999999999997,-19.58,-5.24,112.36000000000058,PositionState,lower,25784.0,25806.2,0.0,-22.200000000000728,97.09999999999854,-22.200000000000728,15.449999999999637,0,29.020000000000437
1607,1694397600.0,25674.6,25731.0,25646.3,25723.2,1200.274,30842367.6798,2023-09-11 02:00:00,7.35e-05,-0.000585,58548.409,42.7,25837.67,25727.44,25782.55,25892.79,25672.32,25947.91,25617.2,-25.28,-19.88,-5.39,10.64,27.9,42.46,35.47,3723.2652857142866,39.83,59.349999999998545,1.22,0.01,25775.83,25733.25,169.59000000000015,-50.88000000000102,10.049999999999272,52.63000000000102,-27.299999999999997,12.700000000000003,-17.259999999999998,-5.400000000000002,220.47000000000116,PositionState,lower,25723.2,25882.2,0.0,-159.0,0.0,-159.0,-51.149999999999636,0,-66.45000000000073
1617,1694433600.0,25586.0,25710.2,25570.1,25707.4,3351.657,85939220.4245,2023-09-11 12:00:00,2.295e-05,-0.000507,59274.192,45.52,25827.62,25679.39,25753.5,25901.74,25605.27,25975.85,25531.16,-29.91,-19.42,-10.49,11.56,26.98,34.96,38.46,3218.7192857142873,-248.36,46.099999999998545,9.44,0.92,25753.73,25690.42,194.34000000000015,-102.13000000000102,-16.9800000000032,46.32999999999811,-24.479999999999997,15.520000000000003,-15.42,-10.489999999999998,296.47000000000116,PositionState,lower,25707.4,25785.6,0.0,-78.19999999999709,699.6000000000022,-78.19999999999709,462.868750000001,0,275.6399999999994
1713,1694779200.0,26415.5,26460.5,26320.0,26349.0,7089.726,187148333.3656,2023-09-15 12:00:00,1.452e-05,-0.000463,62545.91,40.95,26596.93,26443.45,26520.19,26673.67,26366.7,26750.41,26289.96,24.54,58.0,-33.45,21.39,21.72,40.76,45.76,2927.172785714287,352.96,171.1899999999987,64.19,-6.14,26550.01,26458.88,324.66999999999825,17.700000000000728,109.88000000000102,201.0099999999984,-29.049999999999997,10.950000000000003,-0.3299999999999983,-33.46,306.9699999999975,PositionState,lower,26349.0,26449.9,0.0,-100.90000000000146,126.59999999999854,-100.90000000000146,0.6599999999994907,0,56.10000000000218
1750,1694912400.0,26456.5,26506.6,26405.6,26484.9,2772.809,73342713.922,2023-09-17 01:00:00,7.234e-05,-0.000378,59167.357,46.76,26549.52,26488.1,26518.81,26580.24,26457.39,26610.95,26426.67,0.94,7.75,-6.81,18.44,24.4,21.29,24.72,1409.1957857142866,81.86,33.909999999999854,2.53,-2.62,26528.14,26499.83,95.34000000000015,-27.510000000002037,14.930000000000291,43.23999999999796,-23.240000000000002,16.759999999999998,-5.959999999999997,-6.8100000000000005,122.85000000000218,PositionState,lower,26484.9,26541.1,0.0,-56.19999999999709,0.0,-56.19999999999709,-23.274999999998727,0,-18.959999999999127
1770,1694984400.0,26422.8,26487.8,26380.0,26472.3,2251.624,59513272.0428,2023-09-17 21:00:00,2.862e-05,-0.000406,58900.272,45.37,26543.2,26466.01,26504.6,26581.79,26427.42,26620.38,26388.82,-14.5,-4.62,-9.87,12.35,27.27,14.89,14.98,1417.7400000000011,102.25,32.29999999999927,0.74,-3.5,26490.83,26467.2,109.4900000000016,-44.88000000000102,-5.099999999998545,18.530000000002474,-24.630000000000003,15.369999999999997,-14.92,-9.879999999999999,154.37000000000262,PositionState,lower,26472.3,26514.6,0.0,-42.29999999999927,0.0,-42.29999999999927,-16.333333333333332,0,-21.790000000000873
1841,1695240000.0,26911.9,27083.8,26902.0,27082.4,5808.182,156732359.5661,2023-09-20 20:00:00,2.605e-05,-0.000458,60505.833,49.46,27181.55,27017.88,27099.72,27263.38,26936.05,27345.22,26854.21,0.7,13.33,-12.62,14.41,27.19,13.89,16.02,6340.951928571429,54.53,17.31999999999971,-3.56,-2.62,27106.06,27066.99,180.97999999999956,-146.35000000000218,-15.409999999999854,23.659999999999854,-20.54,19.46,-12.780000000000001,-12.63,327.33000000000175,PositionState,lower,27082.4,27110.6,0.0,-28.19999999999709,1.5,-28.19999999999709,-10.224999999998545,0,-25.039999999997235
