,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,state,bb_direction,enter_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,profit_ma
1195,1327,1628539200000.0,45944.0,46449.0,44905.5,46258.0,14105.454,652490091.132,2021-08-09 20:00:00,0.0001,14339.283,72.13,45048.81,43025.43,44037.12,46060.49,42013.74,47072.18,41002.05,1241.84,1138.81,103.02,26.49,16.34,25.5,24.12,12545.705785714285,-485.86,233.78,-28.93,-6.95,44754.44,45952.57,PositionState,upper,46258.0,45305.0,0.0,-953.0,187.5,-1074.0,-454.6333333333333,-336.5699999999997
1259,1391,1629460800000.0,46944.5,48776.0,46891.0,48699.5,19940.581,971096324.4095,2021-08-20 12:00:00,0.0001,14053.24,67.14,47374.84,45052.12,46213.48,48536.2,43890.76,49697.55,42729.41,375.18,12.21,362.97,31.8,11.98,19.97,17.33,10192.033,902.42,261.69,1025.64,8.76,46404.22,47773.37,PositionState,upper,48699.5,48383.5,0.0,-316.0,1643.0,-316.0,477.16,1184.7599999999948
1334,1466,1630540800000.0,48827.0,49871.0,48561.0,49557.5,12552.779,622084345.2925,2021-09-02 00:00:00,0.0001,14605.209,65.2,48673.17,47361.25,48017.21,49329.13,46705.3,49985.08,46049.34,78.89,-122.02,200.92,31.35,13.16,13.37,13.4,9388.966642857142,473.67,162.12,486.31,5.22,47840.33,48940.58,PositionState,upper,49557.5,51001.0,0.0,1443.5,3052.0,-246.0,961.469696969697,2745.0800000000017
1431,1563,1631937600000.0,47895.0,48800.0,47895.0,48588.0,8080.921,392635789.548,2021-09-18 04:00:00,0.0001,16766.965,63.86,47900.21,47117.64,47508.93,48291.5,46726.36,48682.78,46335.07,373.14,387.6,-14.45,24.57,14.79,22.67,28.31,6183.976214285714,277.95,113.59,-13.7,9.68,47730.27,48118.0,PositionState,upper,48588.0,47370.0,0.0,-1218.0,0.0,-1218.0,-437.4375,-383.7900000000009
1510,1642,1633075200000.0,44729.0,47949.5,44674.5,47486.5,28814.421,1368296002.8165,2021-10-01 08:00:00,-7.744e-05,18650.97599999,74.43,44876.83,41948.41,43412.62,46341.05,40484.19,47805.26,39019.98,632.7,155.07,477.62,40.44,12.11,24.14,26.81,10958.49107142857,1162.57,428.83,2376.06,21.11,44008.05,45814.08,PositionState,upper,47486.5,55380.5,0.0,7894.0,10001.0,-156.5,4896.398550724638,10271.879999999997
1616,1748,1634601600000.0,62033.5,63050.0,61700.0,62614.0,7187.124,448190817.8245,2021-10-19 00:00:00,0.0001,13089.851,63.98,61669.95,60525.18,61097.57,62242.34,59952.79,62814.73,59380.41,891.45,945.77,-54.31,21.87,18.97,23.4,29.57,6896.308071428571,115.31,159.62,284.94,4.28,61694.72,62209.81,PositionState,upper,62614.0,63029.5,0.0,415.5,4320.5,-414.0,1610.375,1870.300000000003
1703,1835,1635854400000.0,62990.5,64258.5,62990.5,63969.5,9498.46,603259105.1255,2021-11-02 12:00:00,0.00038595,17679.791,64.86,62551.75,60839.0,61695.37,63408.12,59982.63,64264.49,59126.25,337.8,106.47,231.33,25.79,18.43,15.73,14.51,6640.9455,444.06,239.38,1195.12,11.41,61966.77,63073.64,PositionState,upper,63969.5,62194.5,0.0,-1775.0,0.0,-1775.0,-697.5714285714286,-347.3099999999977
1735,1867,1636315200000.0,62312.5,63300.0,62225.0,63264.0,4143.218,260495913.92,2021-11-07 20:00:00,0.0001,17957.423,63.89,62476.68,61133.82,61805.25,63148.11,60462.38,63819.54,59790.95,149.51,-63.75,213.26,23.56,17.81,22.61,25.16,3225.7020714285713,-120.69,153.55,651.76,8.14,61859.66,62687.99,PositionState,upper,63264.0,64893.5,0.0,1629.5,5268.0,0.0,3299.9210526315787,3303.010000000002
1995,2127,1640059200000.0,47939.5,48828.5,47939.5,48561.5,10046.596,487197686.04,2021-12-21 04:00:00,0.0001,15884.214,63.06,47717.75,46467.19,47092.47,48343.04,45841.91,48968.32,45216.63,-20.7,-226.02,205.31,26.42,16.51,16.79,20.44,7053.8517142857145,515.91,154.63,679.29,6.85,46872.11,47921.74,PositionState,upper,48561.5,48134.0,0.0,-427.5,658.5,-427.5,196.76923076923077,475.1800000000003
2011,2143,1640289600000.0,51077.5,51141.5,50444.5,50794.0,6033.138,306554924.3435,2021-12-23 20:00:00,0.0001,16445.399,70.17,49770.03,47784.26,48777.14,50762.91,46791.38,51755.79,45798.5,627.74,441.16,186.58,35.02,10.96,25.65,22.21,6143.356000000001,-267.35,212.3,172.49,13.93,49123.55,50311.87,PositionState,upper,50794.0,49675.5,0.0,-1118.5,306.0,-1118.5,-34.035714285714285,-169.06000000000495
2245,2377,1643659200000.0,38385.0,38700.0,38178.5,38440.0,5936.516,228040454.426,2022-01-31 20:00:00,-6.998e-05,20383.819,59.77,38040.25,37248.22,37644.23,38436.26,36852.2,38832.28,36456.19,213.32,183.92,29.39,26.54,14.11,16.83,16.27,8932.002428571428,-523.22,83.76,34.21,5.19,37681.22,38179.11,PositionState,upper,38440.0,37432.0,0.0,-1008.0,240.5,-1008.0,-58.22727272727273,-240.90000000000146
2268,2400,1643990400000.0,39479.5,41010.5,39451.5,40709.0,23144.651,932158546.467,2022-02-04 16:00:00,-0.00041531,19857.596,73.75,39002.25,36953.98,37978.11,40026.39,35929.84,41050.52,34905.71,293.38,-11.14,304.52,34.5,10.83,24.29,24.43,14547.038714285716,1276.06,287.45,1243.74,15.35,37838.22,39636.5,PositionState,upper,40709.0,43477.0,0.0,2768.0,4204.5,0.0,2276.3815789473683,4352.470000000001
2331,2463,1644897600000.0,43547.5,43790.5,43367.0,43670.0,5290.125,230466088.442,2022-02-15 04:00:00,0.0001,19254.964,61.03,43119.75,42229.11,42674.43,43565.07,41783.79,44010.39,41338.47,19.76,-145.73,165.5,21.11,14.79,18.46,21.9,8646.755428571429,-339.9,104.8,771.8,7.26,42534.38,43318.09,PositionState,upper,43670.0,43196.0,0.0,-474.0,854.5,-474.0,279.39285714285717,198.44000000000233
2412,2544,1646064000000.0,40798.5,41475.0,40690.0,41292.0,23806.142,977720412.4395,2022-02-28 16:00:00,-0.00013808,20586.40199999,66.46,39799.08,38015.33,38907.2,40690.95,37123.46,41582.82,36231.58,355.68,149.68,205.99,30.98,14.46,18.24,21.96,17271.470285714287,781.94,251.02,1196.5,12.32,38945.11,40398.37,PositionState,upper,41292.0,42519.5,0.0,1227.5,3097.5,0.0,2207.972222222222,2584.019999999997
2463,2595,1646798400000.0,41194.5,41878.0,41194.0,41781.5,19090.86,793035054.635,2022-03-09 04:00:00,0.0001,19057.88399999,66.03,40360.31,38325.43,39342.87,41377.75,37307.99,42395.19,36290.55,22.63,-424.24,446.88,30.03,14.89,22.75,24.31,19418.866857142857,486.62,256.7,1642.69,16.79,39244.94,40868.92,PositionState,upper,41781.5,39204.0,0.0,-2577.5,738.0,-2577.5,-268.57142857142856,-566.739999999998
2506,2638,1647417600000.0,39540.0,40685.5,39525.0,40495.5,22466.795,904282890.7955,2022-03-16 08:00:00,0.0001,18661.33199999,61.46,39776.15,38634.31,39205.23,40347.06,38063.39,40917.98,37492.47,135.51,-34.81,170.33,35.49,12.18,18.72,16.92,16577.80557142857,885.63,135.81,546.23,4.51,39218.38,39935.08,PositionState,upper,40495.5,41272.0,0.0,776.5,1685.0,-129.5,743.4285714285714,1431.5199999999968
2575,2707,1648411200000.0,44792.0,46989.0,44655.0,46793.0,40689.138,1880226547.461,2022-03-27 20:00:00,-0.00011119,26851.91,82.16,45025.86,43833.68,44429.77,45621.95,43237.59,46218.03,42641.51,679.88,596.28,83.6,44.32,5.46,51.65,47.32,9297.083357142856,872.39,248.75,1055.01,17.64,44816.0,45770.29,PositionState,upper,46793.0,46468.5,0.0,-324.5,1122.0,-324.5,452.8478260869565,1028.949999999997
2954,3086,1653868800000.0,29452.0,30400.5,29289.0,30335.5,30263.076,906029605.2705,2022-05-30 00:00:00,0.0001,30332.857,71.27,29586.01,28900.01,29243.01,29929.0,28557.01,30272.0,28214.01,56.5,-82.98,139.49,29.91,15.53,24.5,27.89,11956.637214285714,-1485.6,115.0,636.73,14.07,29257.22,29814.73,PositionState,upper,30335.5,30747.5,0.0,412.0,1697.0,0.0,947.6875,1352.2999999999993
2997,3129,1654488000000.0,31237.0,31445.0,31120.5,31272.5,19813.424,619081106.2645,2022-06-06 04:00:00,5.579e-05,30483.69,68.05,30666.1,29661.34,30163.72,31168.47,29158.96,31670.85,28656.58,101.9,-76.12,178.03,35.49,13.68,20.93,23.07,12876.080357142857,751.62,116.72,683.54,15.05,30150.05,30924.67,PositionState,upper,31272.5,29550.5,0.0,-1722.0,263.5,-1722.0,-176.5,-455.78999999999724
3169,3301,1656964800000.0,19824.5,20370.0,19723.0,20220.5,42681.64,856661177.7144998,2022-07-04 20:00:00,-0.00010662,39082.473,63.93,19830.31,19211.43,19520.87,20139.74,18902.0,20449.18,18592.56,12.95,-135.54,148.49,31.37,13.81,17.01,16.26,28669.766071428574,921.14,73.64,399.79,1.52,19516.16,19973.56,PositionState,upper,20220.5,19515.0,0.0,-705.5,81.5,-705.5,-159.625,-130.12000000000262
3185,3317,1657195200000.0,20505.0,21039.5,20368.5,20875.0,59872.325,1240289909.0805,2022-07-07 12:00:00,0.0001,42793.632,65.69,20512.74,19827.96,20170.35,20855.12,19485.57,21197.51,19143.18,258.24,190.13,68.11,31.87,14.6,22.46,20.96,42465.18721428572,2225.09,74.18,-163.27,6.82,20394.55,20671.62,PositionState,upper,20875.0,20892.5,0.0,17.5,1244.5,0.0,669.3421052631579,445.8199999999997
3249,3381,1658116800000.0,21279.0,22397.5,21155.0,22236.0,67705.394,1480586813.7305,2022-07-18 04:00:00,0.0001,42139.123,69.73,21436.85,20662.37,21049.61,21824.09,20275.13,22211.33,19887.89,286.89,225.36,61.53,34.34,12.78,21.53,19.43,27748.78914285714,3330.75,124.88,436.52,15.85,21321.77,21680.84,PositionState,upper,22236.0,22610.5,0.0,374.5,1915.5,-621.0,588.0,1138.880000000001
3375,3507,1659931200000.0,23287.0,23850.0,23262.5,23792.0,33099.061,781029979.5714998,2022-08-08 04:00:00,6.174e-05,40886.913,66.21,23355.84,22976.89,23166.36,23545.31,22787.42,23734.78,22597.94,67.59,8.57,59.01,28.98,13.11,13.37,14.86,12650.629642857142,960.11,65.85,16.27,10.09,23151.16,23498.75,PositionState,upper,23792.0,23266.0,0.0,-526.0,362.0,-526.0,34.5,59.720000000001164
3567,3699,1662696000000.0,19930.0,20825.0,19915.0,20611.0,93378.376,1908772220.384,2022-09-09 04:00:00,4.587e-05,57406.912,72.02,19980.59,18976.11,19478.35,20482.83,18473.88,20985.07,17971.64,40.48,-120.62,161.11,38.14,14.15,21.03,21.41,33763.49085714285,4230.84,119.21,410.31,23.8,19486.83,20111.8,PositionState,upper,20611.0,20823.0,0.0,212.0,1911.5,0.0,1029.611111111111,1497.8400000000001
3675,3807,1664251200000.0,20092.5,20360.5,19943.5,20172.5,39071.532,786999259.289,2022-09-27 04:00:00,-2.284e-05,54885.081,72.31,19586.5,18881.2,19233.85,19939.15,18528.55,20291.8,18175.9,142.58,7.49,135.09,31.37,12.28,18.1,18.23,32427.94785714286,1268.15,98.79,714.53,15.91,19244.38,19897.31,PositionState,upper,20172.5,19071.5,0.0,-1101.0,44.5,-1101.0,-337.5,-377.5300000000025
3715,3847,1664827200000.0,19534.5,19720.0,19500.0,19617.5,20168.642,395144699.5405,2022-10-03 20:00:00,0.0001,58541.817,60.53,19457.49,19193.75,19325.62,19589.36,19061.88,19721.22,18930.02,17.37,-18.05,35.43,21.85,15.78,11.09,10.25,22888.227071428573,335.09,30.71,-26.75,3.88,19278.77,19508.77,PositionState,upper,19617.5,19954.5,0.0,337.0,725.0,-32.0,441.1578947368421,498.5699999999997
3776,3908,1665705600000.0,19366.0,19944.0,19329.5,19801.5,46542.502,917451408.3375,2022-10-14 00:00:00,-2.655e-05,66427.628,67.92,19421.33,19020.17,19220.75,19621.9,18819.59,19822.48,18619.01,-7.85,-89.6,81.75,21.25,27.24,44.51,44.44,36800.58728571429,1195.32,61.13,320.84,12.92,19175.61,19527.33,PositionState,upper,19801.5,19164.0,0.0,-637.5,0.0,-637.5,-294.4,-211.78000000000247
3835,3967,1666555200000.0,19485.5,19683.5,19436.0,19559.0,30277.749,592136888.3145,2022-10-23 20:00:00,6.019e-05,67894.437,69.2,19369.27,19094.46,19231.86,19506.67,18957.06,19644.08,18819.65,41.61,-3.3,44.91,28.61,19.4,29.64,29.31,12577.138428571428,-3632.46,34.43,216.59,20.16,19255.66,19443.3,PositionState,upper,19559.0,20072.5,0.0,513.5,1271.0,-271.0,475.7962962962963,775.1000000000022
3869,4001,1667044800000.0,20690.0,20937.0,20672.5,20914.5,26915.636,559991647.5875,2022-10-29 12:00:00,2.896e-05,60477.814,67.63,20688.39,20248.47,20468.43,20908.35,20028.51,21128.31,19808.56,229.91,229.12,0.78,29.57,10.84,33.8,37.16,29224.313714285712,883.99,46.95,40.0,3.91,20555.88,20804.34,PositionState,upper,20914.5,20508.0,0.0,-406.5,0.0,-406.5,-182.2,-227.02000000000044
3905,4037,1667563200000.0,20545.0,21293.5,20350.0,20823.5,98816.713,2060070658.6725,2022-11-04 12:00:00,-9.663e-05,61929.511,64.3,20591.29,20257.45,20424.37,20758.21,20090.52,20925.13,19923.6,16.46,-35.58,52.04,36.32,9.35,23.6,21.65,29378.013642857142,6308.44,42.02,123.5,11.83,20375.44,20655.56,PositionState,upper,20823.5,20904.0,0.0,80.5,603.5,0.0,383.96666666666664,401.4300000000003
4059,4191,1669780800000.0,16836.5,16923.0,16816.5,16882.0,11867.472,200174009.584,2022-11-30 04:00:00,1.048e-05,52621.544,69.19,16672.79,16271.63,16472.21,16873.36,16071.05,17073.94,15870.47,52.88,-7.86,60.74,31.97,18.05,24.52,19.58,24691.98964285714,-105.75,43.13,221.15,16.41,16485.55,16754.67,PositionState,upper,16882.0,16881.0,0.0,-1.0,264.5,-25.5,95.76086956521739,163.57000000000335
4086,4218,1670169600000.0,17017.5,17146.5,16964.5,17076.5,24105.903,411404392.974,2022-12-04 16:00:00,6.685e-05,55287.859,60.93,16995.79,16898.81,16947.3,17044.28,16850.31,17092.78,16801.82,63.22,73.63,-10.4,27.07,15.55,28.28,31.58,13310.613214285715,992.34,13.59,-5.1,2.68,16967.16,17030.11,PositionState,upper,17076.5,16925.5,0.0,-151.0,218.5,-151.0,59.857142857142854,15.75
4139,4271,1670932800000.0,17429.5,18000.0,17386.5,17744.0,92997.75,1651732217.264,2022-12-13 12:00:00,-0.00022398,63374.477,77.14,17354.74,17002.93,17178.83,17530.65,16827.02,17706.55,16651.11,81.08,26.42,54.65,50.82,12.62,17.31,14.12,20441.075214285713,6303.8,59.49,341.97,26.7,17176.16,17512.87,PositionState,upper,17744.0,17419.5,0.0,-324.5,294.0,-324.5,6.6923076923076925,56.340000000000146
4257,4389,1672632000000.0,16664.5,16774.0,16623.0,16717.5,14688.795,245262495.5715,2023-01-02 04:00:00,0.0001,71650.837,62.58,16660.26,16557.91,16609.09,16711.43,16506.74,16762.61,16455.57,-1.1,-22.93,21.82,26.17,17.89,20.9,24.23,6450.729357142857,52.38,11.42,47.75,8.96,16599.44,16676.08,PositionState,upper,16717.5,16645.0,0.0,-72.5,17.0,-72.5,-13.55,-5.520000000000437
4298,4430,1673222400000.0,17119.5,17236.5,17094.0,17187.0,24713.256,424327289.587,2023-01-09 00:00:00,0.0001,65432.638,74.55,17043.36,16845.67,16944.51,17142.2,16746.82,17241.05,16647.98,73.02,55.56,17.45,34.63,6.83,37.56,32.55,8112.846071428571,534.83,25.51,129.12,9.97,16988.83,17109.01,PositionState,upper,17187.0,20890.0,0.0,3703.0,4132.0,-13.5,2249.923728813559,3898.220000000001
4369,4501,1674244800000.0,21486.0,22780.0,21486.0,22656.5,101881.657,2262322690.2735,2023-01-20 20:00:00,9.14e-06,58305.632,80.4,21569.7,20747.53,21158.62,21980.79,20336.45,22391.88,19925.36,266.4,181.36,85.03,46.7,9.59,37.55,42.28,34473.09778571428,706.46,157.66,892.84,22.4,21248.61,21962.24,PositionState,upper,22656.5,22631.0,0.0,-25.5,622.0,-121.0,177.72,844.2999999999993
4400,4532,1674691200000.0,23056.5,23289.5,23047.0,23135.0,15970.954,370083405.0765,2023-01-26 00:00:00,0.0001,42405.30599999,64.4,22936.02,22592.62,22764.32,23107.72,22420.92,23279.42,22249.22,170.93,205.61,-34.68,30.64,15.6,29.36,37.13,28421.36635714286,-1790.67,39.02,109.22,15.68,22793.05,23003.59,PositionState,upper,23135.0,22762.0,0.0,-373.0,0.0,-373.0,-149.57142857142858,-114.65999999999985
4421,4553,1674993600000.0,23428.5,23664.5,23342.5,23523.5,25363.027,596361899.998,2023-01-29 12:00:00,0.0001,46536.42,66.98,23268.16,22929.57,23098.87,23437.46,22760.28,23606.75,22590.98,145.79,117.38,28.41,31.72,11.44,25.51,25.03,17769.58885714286,629.16,44.7,227.02,4.4,23153.11,23407.52,PositionState,upper,23523.5,23076.5,0.0,-447.0,372.0,-447.0,72.16666666666667,-34.02000000000044
4523,4655,1676462400000.0,22427.3,22914.1,22427.3,22802.2,63688.235,1446059544.5567,2023-02-15 12:00:00,5.8e-07,52527.489,72.12,22354.92,21765.55,22060.23,22649.61,21470.86,22944.3,21176.17,97.63,-22.24,119.88,34.91,15.42,29.06,34.91,27741.113642857144,3860.0,78.09,417.52,16.75,22155.42,22533.41,PositionState,upper,22802.2,24266.9,0.0,1464.7000000000007,2298.2999999999993,0.0,1553.4222222222215,1926.0
4676,4808,1678665600000.0,21978.9,22588.0,21851.4,22218.8,60062.207,1336419284.4885,2023-03-13 00:00:00,0.0001,49743.079,70.0,21455.98,20219.2,20837.59,22074.37,19600.81,22692.76,18982.41,-10.46,-295.73,285.27,38.57,14.11,36.78,42.38,37430.75592857143,647.34,145.38,846.71,10.4,20791.03,21745.92,PositionState,upper,22218.8,26642.6,0.0,4423.799999999999,6361.100000000002,-121.70000000000073,3986.201694915255,5746.380000000001
4848,4980,1681142400000.0,28419.2,29289.0,28361.0,29151.3,73815.359,2138808006.2777,2023-04-10 16:00:00,-2.71e-06,57801.265,77.24,28506.38,27924.81,28215.6,28797.17,27634.03,29087.95,27343.24,142.34,40.91,101.42,38.99,10.29,21.28,18.31,16859.444642857143,4825.44,98.5,538.25,16.69,28292.8,28747.5,PositionState,upper,29151.3,30218.6,0.0,1067.2999999999993,1640.0,0.0,1034.6800000000005,1516.7999999999993
4940,5072,1682467200000.0,28277.3,28485.0,28239.2,28293.9,23823.702,675501938.4967,2023-04-26 00:00:00,-6.6e-07,57759.149,61.02,27972.26,27409.33,27690.8,28253.73,27127.86,28535.2,26846.39,-74.8,-223.23,148.43,25.87,16.07,31.85,37.96,26454.629571428573,324.82,63.48,428.55,10.11,27592.14,28083.22,PositionState,upper,28293.9,27871.8,0.0,-422.1000000000022,1508.5999999999985,-422.1000000000022,358.4999999999985,447.8799999999974
5137,5269,1685304000000.0,27513.8,28280.0,27513.7,28049.9,37697.895,1054306278.5639,2023-05-28 20:00:00,-3.221e-05,62709.773,80.72,27413.31,26601.54,27007.42,27819.19,26195.65,28225.08,25789.76,231.66,97.5,134.16,40.93,10.86,21.7,21.78,13805.176214285713,-268.29,109.72,451.98,17.88,27174.19,27699.89,PositionState,upper,28049.9,27150.2,0.0,-899.7000000000007,0.0,-899.7000000000007,-296.226666666668,-276.59999999999854
5269,5401,1687204800000.0,26667.9,26848.5,26627.7,26827.4,17134.716,458383187.3418,2023-06-19 20:00:00,9.362e-05,62287.787,66.61,26523.37,26259.81,26391.59,26655.15,26128.03,26786.93,25996.25,183.82,175.68,8.13,29.87,15.4,14.61,15.3,14276.098214285714,-61.91,45.88,-317.32,6.49,26521.38,26687.84,PositionState,upper,26827.4,30280.5,0.0,3453.0999999999985,4401.399999999998,-4.30000000000291,2845.5789473684194,3700.0999999999985
5352,5484,1688400000000.0,31055.7,31399.4,30813.9,31254.1,38750.681,1205664716.982,2023-07-03 16:00:00,9.481e-05,62709.821,68.43,30895.48,30418.81,30657.15,31133.82,30180.47,31372.15,29942.14,135.41,77.35,58.06,24.86,15.49,18.58,19.28,13100.903785714285,2287.96,62.84,284.4,12.97,30720.23,31048.74,PositionState,upper,31254.1,30689.9,0.0,-564.1999999999971,0.0,-564.1999999999971,-225.6285714285706,-203.97000000000116
5412,5544,1689264000000.0,30905.8,31843.9,30703.0,31600.0,86069.482,2690332781.0645,2023-07-13 16:00:00,-9.45e-06,63292.319,72.26,30884.02,30299.13,30591.57,31176.46,30006.69,31468.9,29714.24,133.88,56.78,77.1,37.58,9.6,26.63,22.89,25363.93864285714,5342.13,106.15,477.94,17.16,30619.16,31135.02,PositionState,upper,31600.0,30104.1,0.0,-1495.9000000000015,0.0,-1495.9000000000015,-440.6714285714287,-469.40000000000146
5567,5699,1691496000000.0,29425.6,29673.4,29333.6,29521.1,49170.701,1449812227.8818,2023-08-08 12:00:00,2.398e-05,71091.599,65.96,29315.43,29035.14,29175.28,29455.57,28895.0,29595.71,28754.86,47.79,-3.84,51.63,24.66,16.4,16.35,16.76,13491.079500000002,3310.41,36.39,231.88,10.68,29184.79,29408.19,PositionState,upper,29521.1,29405.3,0.0,-115.79999999999927,359.8000000000029,-115.79999999999927,189.71250000000146,186.27000000000044
5694,5826,1693324800000.0,27408.9,28140.8,27336.2,27808.4,77397.204,2154750989.1406,2023-08-29 16:00:00,7.3e-05,64323.856,82.2,26805.55,25846.24,26325.89,27285.2,25366.58,27764.86,24886.92,200.53,30.24,170.28,52.14,10.65,28.37,30.95,25204.878428571425,3414.0,156.04,1340.91,38.04,26378.87,27255.76,PositionState,upper,27808.4,26911.4,0.0,-897.0,0.0,-897.0,-480.5500000000017,-168.25
5749,5881,1694116800000.0,25870.5,26450.0,25847.8,26245.2,48635.814,1274524022.1512,2023-09-07 20:00:00,2.06e-05,58914.313,65.34,25957.91,25699.64,25828.78,26087.05,25570.5,26216.19,25441.36,-10.16,-67.74,57.57,31.99,15.58,17.81,22.19,14570.27907142857,1769.51,43.84,241.49,18.91,25794.79,26027.23,PositionState,upper,26245.2,25825.2,0.0,-420.0,0.0,-420.0,-107.02500000000055,-20.659999999999854
5811,5943,1695009600000.0,26647.1,26790.0,26554.5,26697.9,12039.204,321168289.2186,2023-09-18 04:00:00,1.53e-06,58636.161,63.39,26582.68,26410.32,26496.5,26668.86,26324.15,26755.04,26237.97,103.38,111.29,-7.91,26.15,14.47,27.43,30.02,7580.577071428571,-1013.16,21.2,54.92,5.01,26554.39,26638.92,PositionState,upper,26697.9,26911.9,0.0,214.0,712.0999999999985,0.0,345.81249999999886,384.71000000000276
