,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,state,bb_direction,enter_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,profit_ma
1283,1415,1646060400000.0,39795.0,40927.0,39563.0,40798.5,15893.516,641580138.982,2022-02-28 15:00:00,-0.00021537,0.0,20325.765,73.38,39340.18,37796.22,38568.2,40112.16,37024.24,40884.14,36252.26,220.95,-62.61,283.57,39.15,12.77,17.63,20.07,5085.063714285715,707.58,234.76,1555.69,23.04,38687.38,39881.85,PositionState,upper,40798.5,43814.0,0.0,3015.5,3814.5,0.0,2533.1071428571427,4038.220000000001
1487,1619,1646794800000.0,39360.0,41446.5,39328.5,41194.5,20793.06,840743225.171,2022-03-09 03:00:00,0.0001,-0.00041,20235.857,77.41,39568.04,38415.05,38991.54,40144.54,37838.55,40721.04,37262.05,314.69,131.36,183.33,44.64,8.9,19.88,18.14,5819.983714285715,1108.7,231.88,1378.13,23.11,39077.88,40180.44,PositionState,upper,41194.5,40923.5,0.0,-271.0,1325.0,-271.0,705.1304347826087,1221.5999999999985
1628,1760,1647302400000.0,39645.5,39799.5,39359.0,39546.0,2897.644,114619017.0895,2022-03-15 00:00:00,0.0001,-0.00054,19503.96,65.15,39250.76,38669.56,38960.16,39541.36,38378.96,39831.96,38088.37,154.35,73.91,80.43,33.03,15.73,17.88,19.63,3540.2006428571435,73.03,61.66,159.8,-4.32,39001.0,39440.13,PositionState,upper,39546.0,38834.0,0.0,-712.0,0.0,-712.0,-356.0,-303.0699999999997
1717,1849,1647622800000.0,41379.5,41695.5,41325.0,41615.0,6351.241,263493269.565,2022-03-18 17:00:00,-0.00015262,-0.000493,22103.116,71.15,41100.57,40449.5,40775.03,41426.11,40123.96,41751.65,39798.42,107.7,0.49,107.2,32.2,16.73,16.97,17.14,3785.9602142857148,371.16,88.4,481.62,10.91,40743.16,41329.92,PositionState,upper,41615.0,41810.0,0.0,195.0,565.5,-16.5,211.86764705882354,576.1399999999994
1799,1931,1647918000000.0,41822.0,42573.0,41822.0,42215.0,8161.426,344429735.6455,2022-03-22 03:00:00,9.647e-05,-0.000499,22071.468,69.38,41586.24,40973.66,41279.95,41892.53,40667.37,42198.83,40361.08,93.38,-24.13,117.51,35.73,15.6,26.04,25.95,3637.492714285715,143.78,98.41,606.22,25.88,41320.22,41840.08,PositionState,upper,42215.0,42268.0,0.0,53.0,769.5,-4.5,381.6764705882353,578.3199999999997
1844,1976,1648080000000.0,42851.5,43250.0,42735.0,43007.5,6943.698,298536836.5795,2022-03-24 00:00:00,5.813e-05,-0.00067,20601.45599999,64.85,42663.24,42133.22,42398.23,42928.24,41868.22,43193.25,41603.21,117.98,46.53,71.45,30.23,13.96,14.58,16.69,3375.484214285715,395.4,64.13,315.05,10.3,42439.66,42811.78,PositionState,upper,43007.5,44150.5,0.0,1143.0,1918.0,-317.0,695.5365853658536,1538.4000000000015
1917,2049,1648342800000.0,44675.0,44720.0,44551.0,44700.0,1624.281,72508513.978,2022-03-27 01:00:00,0.0001,-0.000636,24804.626,62.95,44546.2,44290.12,44418.16,44674.24,44162.09,44802.28,44034.05,78.42,51.63,26.79,25.69,13.97,15.17,14.83,1661.494428571429,25.02,29.66,151.37,4.06,44461.61,44623.33,PositionState,upper,44700.0,44515.5,0.0,-184.5,11.0,-184.5,-79.8,-77.27000000000407
1932,2064,1648396800000.0,44819.5,44999.5,44706.0,44910.0,4799.946,215235452.787,2022-03-27 16:00:00,-0.00011119,-0.000806,26263.847,65.32,44728.24,44455.96,44592.1,44864.38,44319.82,45000.51,44183.69,85.53,67.98,17.54,26.55,11.95,20.05,19.14,1676.0597142857148,78.82,33.45,109.94,6.22,44611.83,44800.08,PositionState,upper,44910.0,47122.5,0.0,2212.5,3038.0,-118.0,1978.515625,2574.159999999996
2270,2402,1649613600000.0,43077.0,43239.0,43049.5,43075.5,1603.273,69174100.8865,2022-04-10 18:00:00,-1.954e-05,-0.000802,23924.374,65.57,42861.09,42568.01,42714.55,43007.63,42421.47,43154.17,42274.93,72.6,21.2,51.4,33.13,10.13,22.18,21.79,1875.499571428572,69.38,38.0,198.69,13.25,42736.55,42986.22,PositionState,upper,43075.5,42700.0,0.0,-375.5,125.0,-375.5,-64.75,-96.13000000000466
2481,2613,1650373200000.0,40940.0,41448.0,40823.5,41419.5,7891.725,324839269.7165,2022-04-19 13:00:00,0.0001,-0.000746,24170.999,72.29,40805.23,40449.39,40627.31,40983.16,40271.46,41161.08,40093.54,272.4,248.62,23.77,36.1,10.1,43.16,40.98,2701.789571428572,418.56,83.38,-161.26,2.99,40792.61,41117.86,PositionState,upper,41419.5,41245.5,0.0,-174.0,662.0,-174.0,35.888888888888886,331.9400000000023
2527,2659,1650538800000.0,42223.0,42679.0,42215.0,42422.0,6013.426,255270167.1685,2022-04-21 11:00:00,0.0001,-0.000345,24535.757,69.52,42029.15,41376.68,41702.91,42355.38,41050.44,42681.62,40724.21,195.23,117.59,77.64,34.81,11.71,21.89,24.16,2972.3007857142866,262.84,75.69,393.35,10.68,41814.72,42212.74,PositionState,upper,42422.0,41814.5,0.0,-607.5,216.0,-607.5,-70.25,-145.09999999999854
