,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,state,bb_direction,enter_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,profit_ma
36,168,1672803000000.0,16796.5,16869.5,16796.0,16853.5,3825.826,64402157.813,2023-01-04 03:30:00,0.0001,-0.000667,72699.624,78.51,16761.45,16654.93,16708.19,16814.71,16601.67,16867.97,16548.41,26.34,6.74,19.6,42.65,10.3,25.95,25.67,1881.1952857142858,227.34,15.29,91.56,13.19,16722.27,16805.29,PositionState,upper,16853.5,16811.5,0.0,-42.0,21.5,-42.0,-7.2105263157894735,18.889999999999418
64,196,1672853400000.0,16866.5,16930.0,16866.5,16881.0,5889.836,99560378.098,2023-01-04 17:30:00,0.0001,-0.00065,72075.894,65.6,16854.42,16819.13,16836.77,16872.06,16801.49,16889.7,16783.85,19.52,19.29,0.22,32.2,12.51,34.21,41.59,2306.5840714285714,373.8,4.65,12.29,9.27,16843.27,16869.32,PositionState,upper,16881.0,16801.5,0.0,-79.5,62.5,-79.5,2.5,-10.529999999998836
157,289,1673020800000.0,16839.0,16849.5,16805.0,16807.0,2261.681,38046817.4985,2023-01-06 16:00:00,0.0001,-8.1e-05,70189.921,54.59,16808.63,16739.2,16773.91,16843.35,16704.48,16878.06,16669.77,-6.01,-15.38,9.36,21.46,21.39,37.06,34.62,3130.0154285714284,9.06,3.47,16.06,9.23,16755.5,16801.29,PositionState,upper,16807.0,16921.0,0.0,114.0,165.0,0.0,104.87878787878788,126.04999999999927
253,385,1673193600000.0,16990.0,17010.0,16921.0,16923.0,4147.02,70324253.7975,2023-01-08 16:00:00,0.0001,-0.000478,68901.855,46.21,16952.17,16920.75,16936.46,16967.88,16905.04,16983.59,16889.33,3.64,1.49,2.14,35.38,16.14,17.87,13.8,1113.3691428571428,270.78,-1.42,18.69,-2.27,16936.11,16944.2,PositionState,upper,16923.0,16930.0,0.0,7.0,7.0,0.0,3.5,-7.100000000002183
268,400,1673220600000.0,17038.5,17190.0,17024.5,17119.5,9017.532,154364667.312,2023-01-08 23:30:00,0.0001,-0.000552,68273.586,81.13,17014.26,16921.98,16968.12,17060.4,16875.84,17106.54,16829.7,24.52,9.23,15.28,52.91,5.95,36.91,28.34,1849.5495714285714,551.41,15.93,103.09,29.05,16980.72,17058.21,PositionState,upper,17119.5,17228.5,0.0,109.0,242.0,-17.0,108.53571428571429,206.95999999999913
334,466,1673339400000.0,17244.0,17257.0,17231.0,17248.0,1251.307,21577055.908,2023-01-10 08:30:00,1.103e-05,-0.000298,65832.47199999,58.95,17231.74,17189.65,17210.69,17252.79,17168.6,17273.84,17147.55,0.63,-5.45,6.08,26.37,19.74,22.9,27.67,807.9204285714286,36.48,3.91,25.53,9.45,17211.77,17233.21,PositionState,upper,17248.0,17219.5,0.0,-28.5,21.5,-28.5,1.1875,1.6200000000026193
348,480,1673364600000.0,17317.0,17317.5,17255.5,17308.5,3700.714,63969591.431,2023-01-10 15:30:00,1.103e-05,-0.000853,67564.821,64.68,17284.34,17213.44,17248.89,17319.79,17177.99,17355.24,17142.54,18.33,10.34,7.98,27.78,12.27,21.01,21.83,2264.609642857143,174.95,6.27,31.01,-0.39,17254.0,17298.67,PositionState,upper,17308.5,17376.5,0.0,68.0,155.0,-22.0,85.71739130434783,99.58000000000175
405,537,1673467200000.0,17536.0,17570.0,17508.5,17517.0,3742.19,65630520.986,2023-01-11 20:00:00,1.701e-05,-0.00097,70200.573,65.39,17490.5,17378.87,17434.68,17546.32,17323.05,17602.14,17267.23,23.7,7.45,16.24,36.83,12.77,26.25,21.32,3008.368642857143,201.56,8.65,44.84,1.16,17438.66,17511.27,PositionState,upper,17517.0,18064.0,0.0,547.0,747.5,0.0,514.9285714285714,635.5299999999988
441,573,1673532000000.0,18276.0,18348.5,18100.5,18137.5,9548.606,174009174.191,2023-01-12 14:00:00,-0.00019061,-0.000665,63563.15,52.95,18187.25,18083.24,18135.25,18239.26,18031.23,18291.27,17979.22,72.23,92.13,-19.9,14.98,17.65,41.68,49.78,5544.622571428571,590.69,0.24,25.86,-6.41,18183.33,18174.45,PositionState,upper,18137.5,17987.0,0.0,-150.5,0.0,-150.5,-75.25,-93.72999999999956
449,581,1673546400000.0,18833.5,18985.0,18628.5,18632.5,16734.042,314930711.5825,2023-01-12 18:00:00,-1.809e-05,-0.000842,60313.188,66.01,18426.28,18046.31,18236.3,18616.26,17856.33,18806.25,17666.34,114.29,70.24,44.05,38.38,11.22,38.25,44.08,11235.437142857143,1134.68,41.7,363.15,22.5,18248.33,18569.26,PositionState,upper,18632.5,18852.5,0.0,220.0,404.5,0.0,205.26315789473685,310.3700000000026
