start_at,open,high,low,close,volume,turnover,date,wclprice,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,bbvi,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,ema_sma,sma_ema,ema_sma_500,sma_ema_500,rsi_buy,dmi_diff,macd_diff,bol_diff,aroon,adline,mfi,roc,atr,pandl,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,prediction,profit_ma,entry_type,max_pandl,min_pandl,exit_reason,entry_volume
2020-04-15 16:00:00,6695.0,6763.5,6683.0,6725.0,1743.13,11722549.25,2020-04-15 16:00:00,6724.12,39.86,6936.64,6732.66,6834.65,7038.63,6630.67,7140.62,6528.68,5.96,-40.85,-37.57,-3.28,16.8,27.57,17.25,22.08,2724.661428571428,-107.46,110.52999999999975,6.65,-0.51,6828.99,6762.96,314.5100000000002,-93.44999999999982,38.840000000000146,104.86999999999989,-30.14,-66.02999999999975,66.02999999999975,0.0,0.0,9.86,-10.77,-3.280000000000001,407.96000000000004,50.0,2335.9,40.75,-0.47,120.43,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
2020-04-15 20:00:00,6725.0,6754.5,6603.0,6617.5,1854.678,12273331.665,2020-04-15 20:00:00,6648.12,35.65,6921.16,6712.61,6816.89,7025.44,6608.34,7129.71,6504.06,6.11,-50.82,-40.22,-10.6,15.31,29.79,18.31,22.35,2410.134714285715,-314.52,168.77000000000044,3.66,-4.54,6810.23,6717.02,377.3199999999997,-39.779999999999745,68.90000000000055,162.10999999999967,-34.35,-93.20999999999913,93.20999999999913,0.0,0.0,5.649999999999999,-14.479999999999999,-10.600000000000001,417.09999999999945,-50.0,836.25,46.02,-1.23,122.65,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
2020-04-16 00:00:00,6617.5,6660.5,6465.5,6641.0,4356.791,28933449.031,2020-04-16 00:00:00,6602.0,33.35,6889.37,6703.48,6796.42,6982.31,6610.53,7075.25,6517.59,5.47,-61.74,-44.52,-17.21,13.64,34.23,20.07,22.59,2575.3352142857143,165.2,194.42000000000007,-58.5,-7.59,6778.89,6671.01,380.3100000000004,8.529999999999745,69.01000000000022,176.89000000000033,-36.65,-107.88000000000011,107.88000000000011,0.0,0.0,3.3500000000000014,-20.589999999999996,-17.22,371.78000000000065,-57.14,4321.68,37.57,-2.42,127.81,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
2020-04-16 04:00:00,6641.0,6969.0,6614.5,6885.0,5502.557,37885104.945,2020-04-16 04:00:00,6838.37,50.86,6886.13,6714.7,6800.42,6971.85,6628.98,7057.57,6543.26,5.04,-50.73,-45.77,-4.96,26.55,28.21,18.86,21.36,2769.1228571428574,193.78,-37.94999999999982,-72.03,17.25,6770.8,6737.95,133.48000000000047,-209.39000000000033,-100.42000000000007,-67.56999999999971,-19.14,-32.850000000000364,32.850000000000364,0.0,0.0,20.86,-1.6600000000000001,-4.959999999999994,342.8700000000008,7.14,7216.54,41.96,0.1,144.01,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
2020-04-16 08:00:00,6885.0,7155.0,6864.5,7017.0,14454.042,101424012.714,2020-04-16 08:00:00,7013.37,59.37,6917.17,6724.22,6820.7,7013.65,6627.74,7110.13,6531.26,5.65,-27.57,-42.13,14.55,31.58,24.42,18.42,20.48,3641.3090714285713,872.18,-192.67000000000007,32.57,21.72,6786.74,6848.12,0.27999999999974534,-385.6300000000001,-165.25,-226.6300000000001,-10.630000000000003,61.38000000000011,-61.38000000000011,0.0,0.0,29.369999999999997,7.159999999999997,14.560000000000002,385.90999999999985,14.28,7938.0,56.25,2.22,154.47,0.0,IdleState,upper,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
2020-04-16 12:00:00,7017.0,7079.5,6929.0,7044.0,3498.211,24641398.284,2020-04-16 12:00:00,7024.12,59.83,6944.18,6735.96,6840.07,7048.28,6631.86,7152.39,6527.75,6.08,-8.25,-35.35,27.1,29.38,22.72,18.02,19.89,3718.9082857142857,77.59,-184.05000000000018,72.3,4.53,6802.94,6918.52,24.159999999999854,-392.2600000000002,-105.59999999999945,-221.1800000000003,-10.170000000000002,115.58000000000084,-115.58000000000084,0.0,0.0,29.83,6.66,27.1,416.4200000000001,14.28,9785.89,61.86,2.7,154.19,0.0,EntryPreparationState,upper,7044.0,6965.5,0.0,-36.73270868824538,1,0.0,None,101.04412265758101,-43.972913117547066,None,0
2020-04-22 12:00:00,6943.0,7129.0,6925.0,7105.0,3955.671,28105042.455,2020-04-22 12:00:00,7066.0,58.24,7084.95,6823.68,6954.31,7215.58,6693.05,7346.21,6562.42,7.51,-28.1,-35.23,7.12,25.07,18.5,22.97,21.37,2539.6855,191.02,-111.6899999999996,-38.18,10.5,6888.99,6968.68,149.57999999999993,-372.9499999999998,-97.31999999999971,-177.01000000000022,-11.759999999999998,79.69000000000051,-79.69000000000051,0.0,0.0,28.240000000000002,6.57,7.1299999999999955,522.5299999999997,-28.57,7984.34,40.52,-1.58,118.01,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
2020-04-22 16:00:00,7105.0,7159.5,7064.5,7081.0,2456.642,17395482.002,2020-04-22 16:00:00,7096.5,60.21,7095.13,6840.58,6967.86,7222.4,6713.31,7349.67,6586.04,7.3,-13.18,-30.82,17.63,25.48,17.42,22.67,21.28,2428.6900714285716,-110.99,-128.64000000000033,-10.85,9.07,6914.48,7019.81,125.89999999999964,-383.1899999999996,-76.6899999999996,-182.02000000000044,-9.79,105.33000000000084,-105.33000000000084,0.0,0.0,30.21,8.059999999999999,17.64,509.08999999999924,-21.42,6381.06,49.79,1.16,116.37,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
2020-04-22 20:00:00,7081.0,7123.0,7077.5,7123.0,1283.721,9143944.683,2020-04-22 20:00:00,7111.62,61.19,7109.39,6853.7,6981.55,7237.24,6725.85,7365.09,6598.0,7.32,-0.13,-24.68,24.54,24.73,16.92,22.39,21.69,2253.2222857142856,-175.46,-130.0699999999997,9.11,0.16,6948.39,7056.53,125.61999999999989,-385.7699999999995,-55.090000000000146,-163.22999999999956,-8.810000000000002,108.13999999999942,-108.13999999999942,0.0,0.0,31.189999999999998,7.809999999999999,24.55,511.3899999999994,78.57,7664.78,57.89,1.11,111.31,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
2020-04-23 00:00:00,7123.0,7180.0,7097.5,7109.5,2126.958,15121607.901,2020-04-23 00:00:00,7124.12,62.02,7122.69,6867.56,6995.12,7250.25,6740.0,7377.81,6612.44,7.29,11.08,-17.53,28.61,27.13,16.0,22.63,22.36,1898.084214285714,-355.13,-129.0,13.7,2.57,6981.46,7083.56,126.13000000000011,-384.1199999999999,-40.55999999999949,-142.65999999999985,-7.979999999999997,102.10000000000036,-102.10000000000036,0.0,0.0,32.02,11.129999999999999,28.61,510.25,92.85,6156.57,76.66,4.07,109.25,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
2020-04-23 04:00:00,7109.5,7123.0,7015.0,7054.5,1858.279,13109229.2055,2020-04-23 04:00:00,7061.75,55.61,7125.23,6877.71,7001.47,7248.99,6753.95,7372.75,6630.19,7.07,14.77,-11.07,25.84,25.21,20.27,21.79,22.29,1872.3013571428571,-25.78,-60.279999999999745,-2.19,-3.78,7002.64,7074.84,187.23999999999978,-307.8000000000002,13.090000000000146,-59.10999999999967,-14.39,72.19999999999982,-72.19999999999982,0.0,0.0,25.61,4.940000000000001,25.84,495.03999999999996,92.85,5657.59,77.51,3.5,109.16,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
2020-04-23 08:00:00,7054.5,7139.0,7044.0,7128.0,1501.817,10704951.576,2020-04-23 08:00:00,7109.75,59.11,7133.17,6890.39,7011.78,7254.56,6769.0,7375.95,6647.62,6.92,21.32,-4.59,25.91,24.68,19.0,21.17,22.32,1876.6563571428571,4.35,-97.97000000000025,-10.73,-1.17,7031.24,7088.8,144.8100000000004,-340.75,-20.949999999999818,-78.51000000000022,-10.89,57.5600000000004,-57.5600000000004,0.0,0.0,29.11,5.68,25.91,485.5600000000004,71.42,6811.62,77.6,3.67,108.15,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
2020-04-23 12:00:00,7128.0,7743.5,7105.0,7528.5,24548.652,184814526.582,2020-04-23 12:00:00,7476.37,75.21,7215.22,6896.84,7056.03,7374.41,6737.65,7533.6,6578.46,9.02,55.45,7.41,48.04,46.54,13.06,23.66,24.1,3549.753928571428,1673.09,-420.34000000000015,156.77,27.26,7100.41,7243.83,-101.96000000000004,-738.7200000000003,-232.53999999999996,-375.96000000000004,5.209999999999994,143.42000000000007,-143.42000000000007,0.0,0.0,45.209999999999994,33.48,48.040000000000006,636.7600000000002,92.85,14827.9,88.55,8.87,146.03,0.0,IdleState,upper,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
2020-04-23 16:00:00,7528.5,7607.5,7487.5,7523.5,2427.053,18259933.2455,2020-04-23 16:00:00,7535.5,76.79,7302.07,6901.31,7101.69,7502.45,6700.93,7702.83,6500.56,11.28,86.28,23.19,63.09,43.77,12.29,25.98,25.77,3563.2216428571433,13.46,-433.8100000000004,284.6,19.86,7169.3,7360.49,-33.05000000000018,-834.5699999999997,-175.01000000000022,-366.1999999999998,6.790000000000006,191.1899999999996,-191.1899999999996,0.0,0.0,46.790000000000006,31.480000000000004,63.09,801.5199999999995,92.85,13857.08,92.87,10.71,144.17,0.0,EntryPreparationState,upper,7523.5,8729.5,0.0,477.5932013025851,1,0.0,None,768.0829999335413,-52.545696816641154,None,0
2020-05-05 08:00:00,9014.0,9065.0,8771.0,8848.0,4349.092,38480766.016,2020-05-05 08:00:00,8883.0,55.2,8938.88,8714.02,8826.45,9051.32,8601.59,9163.75,8489.15,5.09,78.0,99.18,-21.18,25.86,16.9,27.72,35.67,3105.334071428571,86.14,-56.54999999999927,21.84,-0.0,8812.9,8894.44,168.3199999999997,-281.40999999999985,11.44000000000051,-70.10000000000036,-14.799999999999997,81.54000000000087,-81.54000000000087,0.0,0.0,25.200000000000003,8.96,-21.180000000000007,449.72999999999956,-50.0,28665.77,41.13,-2.41,198.56,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
2020-05-05 12:00:00,8848.0,8951.0,8816.5,8842.5,2229.529,19714610.1825,2020-05-05 12:00:00,8863.12,54.19,8941.45,8718.44,8829.94,9052.95,8606.93,9164.46,8495.43,5.05,72.51,93.85,-21.33,24.58,16.06,27.23,35.66,3054.759857142857,-50.57,-33.18000000000029,1.06,-3.5,8824.6,8881.91,189.82999999999993,-256.1900000000005,18.789999999999054,-38.52000000000044,-15.810000000000002,57.30999999999949,-57.30999999999949,0.0,0.0,24.189999999999998,8.52,-21.33999999999999,446.02000000000044,-42.85,27298.22,41.86,-1.7,193.98,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
2020-05-05 16:00:00,8842.5,8930.0,8820.5,8907.5,1516.767,13510602.0525,2020-05-05 16:00:00,8891.37,55.44,8946.89,8724.69,8835.79,9057.99,8613.59,9169.09,8502.5,5.02,69.64,89.01,-19.36,23.56,15.4,26.78,34.63,2970.7726428571427,-83.98,-55.57999999999993,0.01,-1.64,8852.39,8885.69,166.61999999999898,-277.78000000000065,-5.680000000000291,-38.98000000000138,-14.560000000000002,33.30000000000109,-33.30000000000109,0.0,0.0,25.439999999999998,8.159999999999998,-19.370000000000005,444.39999999999964,-35.71,28191.65,40.14,-1.77,187.95,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
2020-05-05 20:00:00,8907.5,9041.5,8903.0,9023.5,2332.954,21051410.419,2020-05-05 20:00:00,8997.87,59.9,8964.96,8737.49,8851.23,9078.7,8623.76,9192.43,8510.03,5.13,75.1,86.22,-11.12,26.61,14.57,26.96,33.97,2569.5132857142853,-401.25,-146.64000000000124,15.57,2.86,8889.1,8930.56,80.82999999999993,-374.1100000000006,-67.31000000000131,-108.77000000000044,-10.100000000000001,41.45999999999913,-41.45999999999913,0.0,0.0,29.9,12.04,-11.120000000000005,454.9400000000005,42.85,29918.21,52.98,1.62,184.42,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
2020-05-06 00:00:00,9023.5,9069.0,8920.0,8976.0,1950.42,17506969.92,2020-05-06 00:00:00,8985.25,59.15,8979.84,8748.15,8863.99,9095.68,8632.3,9211.53,8516.45,5.22,77.51,84.48,-6.97,26.13,13.72,27.26,33.55,2561.923785714286,-7.58,-121.26000000000022,29.15,3.42,8909.46,8952.44,110.43000000000029,-352.9500000000007,-32.80999999999949,-75.79000000000087,-10.850000000000001,42.98000000000138,-42.98000000000138,0.0,0.0,29.15,12.409999999999998,-6.969999999999999,463.380000000001,42.85,29433.88,53.1,1.43,181.89,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
2020-05-06 04:00:00,8976.0,9046.0,8965.5,9024.0,1393.807,12577714.368,2020-05-06 04:00:00,9014.87,60.41,8996.82,8759.91,8878.36,9115.27,8641.45,9233.73,8523.0,5.33,80.87,83.76,-2.88,25.27,13.26,27.53,32.59,2513.530928571429,-48.39,-136.51000000000022,27.41,-0.87,8930.84,8977.41,100.39999999999964,-373.4200000000001,-37.460000000000946,-84.03000000000065,-9.590000000000003,46.56999999999971,-46.56999999999971,0.0,0.0,30.409999999999997,12.01,-2.8900000000000006,473.8199999999997,42.85,30065.85,52.22,1.45,174.64,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
2020-05-06 08:00:00,9024.0,9348.0,9000.5,9319.5,8174.263,76180044.0285,2020-05-06 08:00:00,9246.87,68.6,9047.8,8779.11,8913.46,9182.15,8644.76,9316.5,8510.41,6.02,101.1,87.23,13.87,33.45,11.5,29.05,32.02,2805.735857142857,292.2,-333.4100000000017,83.15,9.08,8971.48,9085.19,-64.72000000000116,-602.1100000000006,-161.6800000000003,-275.39000000000124,-1.4000000000000057,113.71000000000095,-113.71000000000095,0.0,0.0,38.599999999999994,21.950000000000003,13.86999999999999,537.3899999999994,92.85,36899.3,67.8,5.58,186.99,0.0,IdleState,upper,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
2020-05-06 12:00:00,9319.5,9380.0,9131.0,9274.5,5117.148,47458989.126,2020-05-06 12:00:00,9265.0,69.13,9101.51,8792.36,8946.94,9256.09,8637.79,9410.66,8483.21,6.91,117.24,93.23,24.0,31.54,10.43,30.57,31.54,2950.398857142857,144.66,-318.0599999999995,147.78,7.34,9016.05,9157.11,-8.909999999999854,-627.2099999999991,-107.88999999999942,-248.95000000000073,-0.8700000000000045,141.0600000000013,-141.0600000000013,0.0,0.0,39.129999999999995,21.11,24.00999999999999,618.2999999999993,100.0,37680.23,76.77,7.21,191.42,0.0,EntryPreparationState,upper,9274.5,9546.0,0.0,84.52144590004828,1,0.0,None,250.6220443150575,-79.80008086689331,None,0
2020-05-16 12:00:00,9412.5,9520.0,9335.0,9385.5,1787.243,16774169.1765,2020-05-16 12:00:00,9406.5,53.66,9574.08,9170.44,9372.26,9775.9,8968.62,9977.72,8766.79,8.61,83.82,109.81,-25.99,21.09,19.21,18.02,22.01,3744.218571428572,-110.67,-34.23999999999978,-177.01,1.21,9444.49,9407.65,369.39999999999964,-437.8799999999992,1.1499999999996362,37.98999999999978,-16.340000000000003,-36.840000000000146,36.840000000000146,0.0,0.0,23.659999999999997,1.879999999999999,-25.99000000000001,807.2799999999988,-64.28,52043.47,51.86,-0.5,247.85,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
2020-05-16 16:00:00,9385.5,9413.0,9263.5,9331.5,1931.01,18019219.815,2020-05-16 16:00:00,9334.87,50.16,9544.66,9192.74,9368.7,9720.61,9016.78,9896.57,8840.82,7.51,70.78,102.01,-31.22,20.16,20.48,16.79,21.88,3064.9945714285714,-679.22,33.82999999999993,-165.02,-1.34,9414.55,9378.53,385.7399999999998,-318.09000000000015,43.659999999999854,79.67999999999847,-19.840000000000003,-36.01999999999862,36.01999999999862,0.0,0.0,20.159999999999997,-0.3200000000000003,-31.230000000000004,703.8299999999999,-64.28,51869.1,36.5,-3.7,240.82,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
2020-05-16 20:00:00,9331.5,9434.5,9297.0,9382.5,1003.874,9418847.805,2020-05-16 20:00:00,9374.12,52.01,9528.53,9209.9,9369.21,9687.84,9050.58,9847.16,8891.27,6.8,62.9,94.19,-31.28,19.97,19.62,15.65,21.8,2859.835,-205.15,-4.9100000000016735,-121.85,-0.26,9390.48,9376.77,313.71999999999935,-323.5400000000009,2.649999999999636,16.359999999998763,-17.990000000000002,-13.709999999999127,13.709999999999127,0.0,0.0,22.009999999999998,0.34999999999999787,-31.29,637.2600000000002,-42.85,52113.68,41.67,-3.32,233.44,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
2020-05-17 00:00:00,9382.5,9574.0,9323.0,9540.0,2114.796,20175153.84,2020-05-17 00:00:00,9494.25,57.23,9520.97,9241.28,9381.12,9660.81,9101.43,9800.65,8961.59,5.96,65.59,88.47,-22.88,22.69,18.12,15.33,22.21,2865.9641428571426,6.12,-113.1299999999992,-110.65,4.03,9390.55,9423.76,166.5599999999995,-392.8199999999997,-70.48999999999978,-103.70000000000073,-12.770000000000003,33.210000000000946,-33.210000000000946,0.0,0.0,27.229999999999997,4.57,-22.879999999999995,559.3799999999992,-42.85,53655.54,46.89,-1.8,234.69,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
2020-05-17 04:00:00,9540.0,9567.5,9472.5,9541.0,1188.927,11343552.507,2020-05-17 04:00:00,9530.5,58.69,9528.11,9262.59,9395.35,9660.87,9129.82,9793.63,8997.06,5.65,69.84,84.74,-14.9,22.0,17.57,15.03,21.64,2516.4267142857143,-349.53,-135.14999999999964,-55.35,2.58,9406.63,9466.45,130.3700000000008,-400.6800000000003,-64.04999999999927,-123.8700000000008,-11.310000000000002,59.82000000000153,-59.82000000000153,0.0,0.0,28.689999999999998,4.43,-14.899999999999991,531.0500000000011,-42.85,54181.17,39.23,-2.37,224.72,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
2020-05-17 08:00:00,9541.0,9549.5,9456.0,9520.5,1011.177,9626910.6285,2020-05-17 08:00:00,9511.62,57.59,9534.13,9278.71,9406.42,9661.84,9151.0,9789.54,9023.3,5.43,70.86,81.96,-11.1,21.32,17.58,14.65,21.05,2029.802857142857,-486.62,-105.20000000000073,-20.14,-1.37,9428.62,9484.52,150.21999999999935,-360.6200000000008,-27.100000000000364,-83.0,-12.409999999999997,55.899999999999636,-55.899999999999636,0.0,0.0,27.590000000000003,3.740000000000002,-11.099999999999994,510.84000000000015,-35.71,54565.09,48.73,-0.0,215.34,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
2020-05-17 12:00:00,9520.5,9886.0,9520.5,9817.5,4407.235,43268029.6125,2020-05-17 12:00:00,9760.37,66.52,9579.09,9301.17,9440.13,9718.05,9162.2,9857.02,9023.24,5.88,90.7,83.71,6.99,29.49,15.55,15.81,21.27,2197.603857142857,167.8,-320.2400000000016,45.97,9.51,9471.76,9594.86,-42.32000000000153,-598.1700000000001,-165.51000000000022,-288.6100000000006,-3.480000000000004,123.10000000000036,-123.10000000000036,0.0,0.0,36.519999999999996,13.939999999999998,6.990000000000009,555.8499999999985,71.42,57320.37,52.82,1.62,226.07,0.0,IdleState,upper,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
