open,high,low,close,volume,turnover,date,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,pandl,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,prediction,profit_ma,entry_type,entry_volume
46932.5,47451.0,46815.0,47298.0,4085.903,192613663.708,2022-01-04 14:00:00,65.61,46922.99,46288.47,46605.73,47240.25,45971.21,47557.51,45653.95,46.92,-77.28,124.21,26.77,13.9,16.13,17.23,1792.9475000000002,138.21,-692.2699999999968,397.27,10.12,46654.88,46958.88,-57.75,-1326.7900000000009,-339.1200000000026,-643.1200000000026,-4.390000000000001,35.61,12.87,124.2,1269.0400000000009,0.0,IdleState,upper,0.0,0.0,0.0,0.0,0,0.0,None,0
47298.0,47475.0,46850.0,46911.0,3910.278,184553404.9465,2022-01-04 15:00:00,55.7,46970.68,46298.93,46634.81,47306.56,45963.05,47642.44,45627.17,63.31,-49.16,112.47,24.15,12.31,17.3,18.23,1966.6589999999999,173.71,-276.1900000000023,294.8,0.72,46715.16,46939.73,395.5599999999977,-947.9499999999971,28.7300000000032,-195.8399999999965,-14.299999999999997,25.700000000000003,11.839999999999998,112.47,1343.5099999999948,0.0,EntryPreparationState,upper,46911.0,46556.5,0.0,-354.5,0,0.0,None,0
46911.0,46911.0,46615.0,46780.0,3683.126,172298450.1635,2022-01-04 16:00:00,52.8,46973.46,46323.8,46648.63,47298.3,45998.97,47623.13,45674.14,64.97,-26.33,91.31,22.82,16.0,17.32,18.44,2110.511857142857,143.85,-131.37000000000262,22.13,-7.63,46744.94,46875.83,518.3000000000029,-781.0299999999988,95.83000000000175,-35.05999999999767,-17.200000000000003,22.799999999999997,6.82,91.3,1299.3300000000017,0.0,PositionState,upper,46911.0,46556.5,-131.0,0.0,0,0.0,None,0
46780.0,46982.0,46511.0,46556.5,1765.96,82598348.6295,2022-01-04 17:00:00,48.18,46944.72,46334.99,46639.86,47249.58,46030.13,47554.45,45725.27,47.71,-11.52,59.24,20.85,16.53,16.91,18.31,2150.953571428571,40.44,83.36000000000058,-88.13,-3.82,46755.22,46748.1,693.0800000000017,-526.3700000000026,191.59999999999854,198.72000000000116,-21.82,18.18,4.32,59.230000000000004,1219.4500000000044,0.0,PositionState,upper,46911.0,46556.5,-354.5,0.0,0,0.0,None,0
46556.5,46696.0,45500.0,45737.0,6532.817,300639332.3435,2022-01-04 18:00:00,35.8,46897.89,46209.85,46553.87,47241.92,45865.83,47585.94,45521.8,-31.72,-15.56,-16.16,16.88,29.49,17.64,18.75,2513.318642857143,362.36,816.8700000000026,107.91,-18.89,46686.44,46343.66,1504.9199999999983,128.83000000000175,606.6600000000035,949.4400000000023,-34.2,5.799999999999997,-12.61,-16.159999999999997,1376.0899999999965,0.0,IdleState,lower,0.0,0.0,0.0,0.0,0,0.0,None,0
45737.0,46691.5,45581.0,46052.0,5352.287,246877978.7155,2022-01-04 19:00:00,41.97,46862.26,46149.88,46506.07,47218.45,45793.7,47574.64,45437.51,-68.48,-26.14,-42.33,14.17,24.77,18.32,19.03,2822.092285714286,308.77,454.0699999999997,41.0,-1.96,46624.72,46226.99,1166.449999999997,-258.3000000000029,174.98999999999796,572.7200000000012,-28.03,11.969999999999999,-10.6,-42.34,1424.75,0.0,EntryPreparationState,lower,46052.0,46408.5,0.0,356.5,0,0.0,None,0
46219.0,46466.5,46123.0,46434.5,3014.231,139579503.5905,2022-01-05 13:00:00,49.92,46685.06,46171.98,46428.52,46941.6,45915.44,47198.13,45658.9,-1.39,-13.6,12.21,19.55,23.91,16.64,19.21,1766.037785714286,56.01,-5.980000000003201,-73.4,1.48,46485.11,46416.71,507.09999999999854,-519.0599999999977,-17.790000000000873,50.61000000000058,-20.08,19.92,-4.359999999999999,12.209999999999999,1026.1599999999962,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
46434.5,46826.5,46125.0,46696.0,6498.713,301900699.163,2022-01-05 14:00:00,54.77,46686.82,46221.16,46453.99,46919.65,45988.34,47152.47,45755.51,19.54,-6.97,26.52,23.5,20.93,15.86,19.01,2097.1503571428575,331.11,-242.01000000000204,-102.65,8.32,46526.61,46528.42,223.65000000000146,-707.6600000000035,-167.58000000000175,-169.38999999999942,-15.229999999999997,24.770000000000003,2.5700000000000003,26.509999999999998,931.310000000005,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
46696.0,46800.0,46382.5,46600.0,3116.009,145250682.7215,2022-01-05 15:00:00,52.75,46694.86,46240.93,46467.9,46921.83,46013.96,47148.79,45787.0,28.07,0.03,28.03,21.77,19.39,15.14,18.63,2245.994357142857,148.84,-132.09999999999854,-45.38,3.75,46543.27,46557.05,321.83000000000175,-586.0400000000009,-42.94999999999709,-56.7300000000032,-17.25,22.75,2.379999999999999,28.04,907.8700000000026,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
46600.0,46691.0,46300.0,46300.0,2286.64,106268811.3,2022-01-05 16:00:00,46.92,46678.45,46225.37,46451.91,46904.99,45998.83,47131.53,45772.29,10.49,2.12,8.37,20.26,19.5,14.19,17.81,2343.4842142857146,97.48,151.9100000000035,0.46,-3.34,46532.38,46454.23,604.989999999998,-301.16999999999825,154.2300000000032,232.37999999999738,-23.08,16.92,0.7600000000000016,8.370000000000001,906.1599999999962,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
