index,start_at,open,high,low,close,volume,turnover,date,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,pandl,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,prediction,profit_ma,entry_type,entry_volume
738,2024-01-31 18:00:00,43688.6,43721.4,43442.9,43493.4,4940.612,215247638.8072,2024-01-31 18:00:00,60.18,43410.88,42778.38,43094.63,43727.13,42462.13,44043.38,42145.88,65.95,-33.14,99.1,24.75,14.03,25.56,27.39,6126.819071428574,251.41,-398.7700000000041,160.98,0.11,43020.81,43424.65,233.72999999999593,-1031.270000000004,-68.75,-472.5900000000038,-9.82,30.18,10.72,99.09,1265.0,0.0,EntryPreparationState,upper,43493.4,42516.5,0.0,-976.9000000000015,0,0.0,None,0
906,2024-02-07 18:00:00,43488.7,43664.6,43443.2,43642.2,4788.517,208619796.7495,2024-02-07 18:00:00,68.32,43318.27,42925.58,43121.93,43514.62,42729.23,43710.97,42532.89,105.57,46.39,59.18,31.05,8.32,22.01,16.7,4182.998285714289,196.16,-520.2699999999968,315.63,8.9,43155.14,43414.24,-127.57999999999447,-912.9699999999939,-227.95999999999913,-487.0599999999977,-1.6800000000000068,38.31999999999999,22.73,59.17999999999999,785.3899999999994,0.0,EntryPreparationState,upper,43642.2,47085.1,0.0,3442.9000000000015,0,0.0,None,0
980,2024-02-10 20:00:00,47519.9,48197.9,47440.4,47865.8,9457.51,452853696.1842,2024-02-10 20:00:00,69.82,47469.1,47088.97,47279.03,47659.17,46898.9,47849.23,46708.84,177.43,166.86,10.57,34.56,12.02,27.19,36.03,3232.1346428571455,606.6,-586.7700000000041,255.79,18.49,47361.62,47567.2,-206.63000000000466,-966.9000000000015,-298.6000000000058,-504.1800000000003,-0.18000000000000682,39.81999999999999,22.540000000000003,10.569999999999993,760.2699999999968,0.0,EntryPreparationState,upper,47865.8,48035.6,0.0,169.79999999999563,0,0.0,None,0
1008,2024-02-12 00:00:00,48328.5,48893.7,48250.0,48635.0,11418.156,555229338.3531,2024-02-12 00:00:00,65.79,48305.02,48041.2,48173.11,48436.93,47909.29,48568.85,47777.38,163.87,173.19,-9.31,31.76,16.76,19.62,26.15,4048.2636428571464,532.38,-461.8899999999994,128.18,13.53,48253.81,48389.15,-198.0699999999997,-725.7099999999991,-245.84999999999854,-381.1900000000023,-4.209999999999994,35.790000000000006,15.0,-9.319999999999993,527.6399999999994,0.0,EntryPreparationState,upper,48635.0,48172.8,0.0,-462.1999999999971,0,0.0,None,0
1023,2024-02-12 15:00:00,48827.1,49999.0,48697.4,49960.4,40658.918,2004347190.331,2024-02-12 15:00:00,78.15,48781.8,47872.87,48327.34,49236.26,47418.41,49690.72,46963.95,184.49,63.72,120.77,46.69,15.46,17.82,18.71,7388.516357142859,2607.11,-1633.060000000005,1044.25,31.2,48316.1,48976.64,-724.1399999999994,-2541.989999999998,-983.760000000002,-1644.300000000003,8.150000000000006,48.150000000000006,31.229999999999997,120.77000000000001,1817.8499999999985,0.0,EntryPreparationState,upper,49960.4,49553.2,0.0,-407.20000000000437,0,0.0,None,0
1065,2024-02-14 09:00:00,50816.1,51765.6,50672.2,51576.0,31273.354,1601816944.4182,2024-02-14 09:00:00,77.05,50502.58,49143.35,49822.97,51182.2,48463.74,51861.81,47784.13,296.0,104.28,191.71,41.97,12.54,20.93,26.79,6429.39585714286,1919.31,-1753.0299999999988,1103.02,22.72,49932.77,50713.32,-393.8000000000029,-3112.260000000002,-862.6800000000003,-1643.2300000000032,7.049999999999997,47.05,29.43,191.72,2718.459999999999,0.0,EntryPreparationState,upper,51576.0,51962.1,0.0,386.09999999999854,0,0.0,None,0
1175,2024-02-18 23:00:00,52278.1,52403.5,52007.0,52174.9,5893.109,307701159.0646,2024-02-18 23:00:00,60.95,52034.37,51675.31,51854.84,52213.89,51495.78,52393.42,51316.25,103.96,62.86,41.1,29.98,15.8,12.87,13.58,3341.739785714289,136.15,-320.06000000000495,84.23,7.38,51928.7,52082.23,38.98999999999796,-679.1200000000026,-92.66999999999825,-246.20000000000437,-9.049999999999997,30.950000000000003,14.18,41.099999999999994,718.1100000000006,0.0,EntryPreparationState,upper,52174.9,52130.1,0.0,-44.80000000000291,0,0.0,None,0
1212,2024-02-20 12:00:00,52323.0,52432.0,52175.3,52222.9,4381.543,229172634.5136,2024-02-20 12:00:00,57.38,52168.68,51789.84,51979.26,52358.1,51600.42,52547.52,51411.0,28.04,-25.49,53.53,23.82,20.47,17.71,16.34,4162.730214285717,100.05,-243.63999999999942,126.54,5.03,51994.08,52152.07,135.1999999999971,-622.4800000000032,-70.83000000000175,-228.8199999999997,-12.619999999999997,27.380000000000003,3.3500000000000014,53.53,757.6800000000003,0.0,EntryPreparationState,upper,52222.9,51706.3,0.0,-516.5999999999985,0,0.0,None,0
1314,2024-02-24 18:00:00,51568.6,51739.9,51428.4,51472.9,3918.34,202182895.0673,2024-02-24 18:00:00,61.3,51389.24,50958.14,51173.69,51604.79,50742.59,51820.34,50527.03,73.8,13.32,60.48,27.08,10.86,18.46,21.01,1934.3309285714315,115.4,-299.2099999999991,176.31,11.4,51243.97,51394.56,131.88999999999942,-730.310000000005,-78.34000000000378,-228.9300000000003,-8.700000000000003,31.299999999999997,16.22,60.48,862.2000000000044,0.0,EntryPreparationState,upper,51472.9,51538.5,0.0,65.59999999999854,0,0.0,None,0
1354,2024-02-26 10:00:00,50977.2,51270.0,50961.4,51191.0,4570.745,233799655.2721,2024-02-26 10:00:00,39.54,51665.04,51255.94,51460.49,51869.59,51051.39,52074.14,50846.83,-89.92,-24.3,-65.61,10.98,28.56,22.39,24.26,2502.7082142857175,-115.56,269.48999999999796,82.8,-0.02,51383.13,51210.79,678.5899999999965,-139.61000000000058,19.790000000000873,192.12999999999738,-30.46,9.54,-17.58,-65.62,818.1999999999971,0.0,EntryPreparationState,lower,51191.0,51725.7,0.0,534.6999999999971,0,0.0,None,0
1360,2024-02-26 16:00:00,52899.2,53733.0,52809.7,53442.6,28777.131,1534057364.3663,2024-02-26 16:00:00,79.93,52313.84,51181.36,51747.6,52880.07,50615.13,53446.31,50048.89,203.77,10.61,193.16,50.56,11.99,28.08,25.32,7232.426000000004,1953.72,-1695.0,1155.86,31.96,51684.4,52587.24,-562.5299999999988,-2827.470000000001,-855.3600000000006,-1758.199999999997,9.930000000000007,49.93000000000001,38.57,193.16000000000003,2264.9400000000023,0.0,EntryPreparationState,upper,53442.6,61072.0,0.0,7629.4000000000015,0,0.0,None,0
1496,2024-03-03 08:00:00,61641.2,61761.8,61451.2,61655.2,3958.532,243934824.9518,2024-03-03 08:00:00,42.76,62047.31,61771.89,61909.6,62185.02,61634.19,62322.72,61496.48,-57.86,-31.53,-26.33,15.03,25.03,9.98,10.67,2166.9422142857175,176.56,254.40000000000146,16.76,-1.88,61866.94,61760.54,529.8199999999997,-21.00999999999476,105.34000000000378,211.74000000000524,-27.240000000000002,12.759999999999998,-10.000000000000002,-26.33,550.8299999999945,0.0,EntryPreparationState,lower,61655.2,61904.7,0.0,249.5,0,0.0,None,0
1501,2024-03-03 13:00:00,62257.4,62480.5,62005.0,62465.9,5422.407,337579333.6854,2024-03-03 13:00:00,61.98,62173.34,61769.66,61971.5,62375.18,61567.82,62577.02,61365.98,27.19,-26.59,53.79,27.84,15.62,12.67,10.52,3354.597285714289,255.45,-494.40000000000146,224.5,12.6,61925.15,62181.13,-90.72000000000116,-898.0800000000017,-284.7700000000041,-540.75,-8.020000000000003,31.979999999999997,12.22,53.78,807.3600000000006,0.0,EntryPreparationState,upper,62465.9,66241.8,0.0,3775.9000000000015,0,0.0,None,0
1551,2024-03-05 15:00:00,68837.5,69387.2,66400.0,66843.9,43603.414,2955505714.9107,2024-03-05 15:00:00,49.78,67869.23,66447.68,67158.45,68580.0,65736.91,69290.77,65026.14,455.09,570.92,-115.82,20.59,20.17,37.43,54.01,13927.369714285716,2400.12,314.5500000000029,323.56,-4.34,67148.93,67513.13,1736.1000000000058,-1106.9899999999907,669.2300000000105,305.02999999999884,-20.22,19.78,0.41999999999999815,-115.82999999999998,2843.0899999999965,0.0,EntryPreparationState,upper,66843.9,65607.1,0.0,-1236.7999999999884,0,0.0,None,0
1620,2024-03-08 12:00:00,67826.7,67850.0,67428.0,67525.2,3161.039,213691340.6967,2024-03-08 12:00:00,55.82,67529.76,66999.21,67264.48,67795.04,66733.93,68060.31,66468.65,187.18,180.46,6.71,21.78,11.89,21.24,21.91,2669.254785714289,70.64,-260.72000000000116,129.64,3.21,67365.5,67522.16,269.8399999999965,-791.2700000000041,-3.039999999993597,-159.6999999999971,-14.18,25.82,9.89,6.719999999999999,1061.1100000000006,0.0,EntryPreparationState,upper,67525.2,67966.1,0.0,440.90000000000873,0,0.0,None,0
1658,2024-03-10 02:00:00,69036.7,69310.2,68839.5,68891.5,5090.817,351736042.8137,2024-03-10 02:00:00,63.11,68637.56,68221.07,68429.32,68845.81,68012.82,69054.05,67804.58,160.86,120.8,40.05,27.8,11.79,19.07,21.87,2090.089571428575,256.72,-462.179999999993,365.22,10.87,68500.88,68746.3,-45.69000000000233,-878.679999999993,-145.1999999999971,-390.61999999999534,-6.890000000000001,33.11,16.01,40.06000000000002,832.9899999999907,0.0,EntryPreparationState,upper,68891.5,69178.3,0.0,286.8000000000029,0,0.0,None,0
1688,2024-03-11 08:00:00,71202.1,71880.1,71201.6,71299.6,11903.315,851245816.6916,2024-03-11 08:00:00,72.63,70150.8,68547.85,69349.33,70952.28,67746.38,71753.75,66944.9,275.35,46.78,228.56,36.54,19.39,32.16,26.2,7013.346785714289,641.13,-1950.270000000004,1119.87,20.41,69185.95,70418.14,-347.320000000007,-3553.220000000001,-881.4600000000064,-2113.6500000000087,2.6299999999999955,42.629999999999995,17.15,228.57000000000002,3205.899999999994,0.0,EntryPreparationState,upper,71299.6,71679.8,0.0,380.1999999999971,0,0.0,None,0
