start_at,open,high,low,close,volume,turnover,date,wclprice,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,bbvi,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,ema_sma,sma_ema,ema_sma_500,sma_ema_500,rsi_buy,dmi_diff,macd_diff,bol_diff,aroon,adline,pandl,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,prediction,profit_ma,entry_type,max_pandl,min_pandl,exit_reason,entry_volume
2020-03-31 20:00:00,6454.5,6490.0,6443.0,6463.0,733.645,4741547.635,2020-03-31 20:00:00,6464.75,59.79,6450.55,6400.1,6425.33,6475.78,6374.87,6501.01,6349.65,1.57,30.89,37.01,-6.11,23.51,13.68,30.18,36.29,679.6239285714286,11.67,-39.42000000000007,4.8,1.49,6440.4,6453.35,11.029999999999745,-89.88000000000011,-11.399999999999636,-24.350000000000364,-10.21,12.950000000000728,-12.950000000000728,0.0,0.0,29.79,9.830000000000002,-6.119999999999997,100.90999999999985,-28.57,1227.57,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
2020-03-31 21:00:00,6463.0,6474.5,6413.0,6436.0,618.905,3983272.58,2020-03-31 21:00:00,6439.87,55.14,6448.98,6404.45,6426.71,6471.24,6382.18,6493.51,6359.92,1.38,28.55,35.31,-6.76,21.93,16.03,29.14,35.64,685.559,5.93,-13.159999999999854,-6.31,-2.28,6443.37,6447.96,31.36999999999989,-57.6899999999996,8.090000000000146,3.5,-14.86,4.5900000000001455,-4.5900000000001455,0.0,0.0,25.14,5.899999999999999,-6.760000000000002,89.05999999999949,-28.57,1071.58,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
2020-03-31 22:00:00,6436.0,6439.5,6417.0,6425.5,612.467,3935406.7085,2020-03-31 22:00:00,6426.87,52.83,6448.33,6405.13,6426.73,6469.93,6383.53,6491.53,6361.93,1.34,25.35,33.32,-7.96,21.37,15.62,28.17,34.8,687.4197857142857,1.86,-0.14000000000032742,-7.19,-1.72,6443.8,6439.52,43.0600000000004,-43.340000000000146,12.650000000000546,16.93000000000029,-17.17,-4.279999999999745,4.279999999999745,0.0,0.0,22.83,5.750000000000002,-7.969999999999999,86.40000000000055,-28.57,921.87,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
2020-03-31 23:00:00,6425.5,6432.5,6388.5,6405.0,621.857,3982994.085,2020-03-31 23:00:00,6407.75,49.54,6447.24,6402.59,6424.92,6469.57,6380.27,6491.89,6357.95,1.38,21.03,30.86,-9.83,20.27,18.14,26.55,33.45,692.8052857142857,5.38,17.170000000000073,1.58,-4.18,6439.92,6426.81,61.81999999999971,-27.479999999999563,19.0600000000004,32.17000000000007,-20.46,-13.109999999999673,13.109999999999673,0.0,0.0,19.54,2.129999999999999,-9.829999999999998,89.29999999999927,21.42,766.4,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
2020-04-01 00:00:00,6405.0,6417.0,6243.5,6302.5,1012.795,6383140.4875,2020-04-01 00:00:00,6316.37,37.52,6447.84,6381.32,6414.58,6481.1,6348.06,6514.36,6314.8,2.07,10.12,26.71,-16.59,16.64,29.85,26.68,32.39,718.8387142857143,26.03,98.21000000000004,43.38,-16.44,6425.08,6382.63,164.73000000000047,31.69000000000051,66.26000000000022,108.71000000000004,-32.48,-42.44999999999982,42.44999999999982,0.0,0.0,7.520000000000003,-13.21,-16.590000000000003,133.03999999999996,-64.28,442.43,0.0,IdleState,lower,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
2020-04-01 01:00:00,6302.5,6317.0,6280.5,6282.0,536.143,3368050.326,2020-04-01 01:00:00,6290.37,34.92,6447.46,6358.04,6402.75,6492.17,6313.33,6536.88,6268.62,2.79,-0.61,21.25,-21.86,15.99,28.69,26.81,31.63,708.8129285714286,-10.02,112.38000000000011,57.33,-3.11,6409.63,6345.73,201.80000000000018,22.960000000000036,55.35999999999967,119.26000000000022,-35.08,-63.900000000000546,63.900000000000546,0.0,0.0,4.920000000000002,-12.700000000000001,-21.86,178.84000000000015,-64.28,-49.64,0.0,EntryPreparationState,lower,6282.0,6330.0,0.0,19.622636103151944,1,0.0,None,40.39627507163341,-68.72502387774584,None,0
2020-04-07 14:00:00,7345.5,7348.5,7254.0,7278.0,879.406,6400316.868,2020-04-07 14:00:00,7289.62,54.56,7342.48,7242.14,7292.31,7392.65,7191.96,7442.82,7141.79,2.75,68.8,83.37,-14.56,22.02,19.2,39.17,42.58,823.8172857142857,-34.25,2.6900000000005093,-20.46,-9.26,7349.46,7332.79,103.02999999999975,-97.65999999999985,43.17000000000007,59.840000000000146,-15.439999999999998,-16.670000000000073,16.670000000000073,0.0,0.0,24.560000000000002,2.8200000000000003,-14.570000000000007,200.6899999999996,57.14,11102.6,0.0,PositionState,upper,6840.0,7278.0,0.0,0.0,0,0.0,None,219.7263157894733,178.2789473684208,None,0
2020-04-07 15:00:00,7278.0,7338.0,7277.0,7314.0,463.417,3389431.938,2020-04-07 15:00:00,7310.75,56.92,7342.65,7245.48,7294.06,7391.23,7196.89,7439.82,7148.31,2.66,62.28,79.15,-16.87,20.8,18.13,36.86,41.25,807.1412142857142,-16.67,-16.6899999999996,-14.3,-2.18,7352.33,7323.97,80.47999999999956,-113.85999999999967,13.220000000000255,41.57999999999993,-13.079999999999998,-28.359999999999673,28.359999999999673,0.0,0.0,26.92,2.6700000000000017,-16.870000000000005,194.33999999999924,57.14,11201.36,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
2020-04-07 16:00:00,7314.0,7379.0,7313.5,7361.5,557.463,4103763.8745,2020-04-07 16:00:00,7353.87,61.33,7343.81,7255.7,7299.76,7387.86,7211.65,7431.92,7167.6,2.41,59.89,75.3,-15.4,23.32,17.03,35.34,40.32,769.972,-37.16,-54.10999999999967,-19.54,2.39,7351.99,7335.93,33.98999999999978,-142.22000000000025,-17.9399999999996,-1.8800000000001091,-8.670000000000002,-16.05999999999949,16.05999999999949,0.0,0.0,31.33,6.289999999999999,-15.409999999999997,176.21000000000004,57.14,11460.95,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
2020-04-07 17:00:00,7361.5,7367.0,7317.0,7346.0,425.307,3124305.222,2020-04-07 17:00:00,7344.0,59.82,7345.61,7262.33,7303.97,7387.24,7220.7,7428.88,7179.06,2.28,56.56,71.55,-14.99,22.22,16.23,33.93,39.06,753.8317142857143,-16.14,-40.029999999999745,-13.03,2.21,7351.16,7339.16,43.23999999999978,-123.30000000000018,-4.8400000000001455,7.1599999999998545,-10.18,-12.0,12.0,0.0,0.0,29.82,5.989999999999998,-14.989999999999995,166.53999999999996,57.14,11529.0,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
