start_at,open,high,low,close,volume,turnover,date,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,pandl,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,prediction,profit_ma,entry_type,entry_volume
2023-01-03 21:00:00,1210.45,1211.8,1210.0,1211.5,3959.27,4794720.089,2023-01-03 21:00:00,49.36,1214.26,1207.93,1211.1,1217.42,1204.77,1220.58,1201.61,-1.29,-1.52,0.22,13.54,17.3,22.43,18.73,16503.911428571428,-254.01,-0.40000000000009095,-0.84,-0.63,1209.28,1210.56,5.920000000000073,-6.730000000000018,-0.9400000000000546,-2.2200000000000273,-20.64,19.36,-3.7600000000000016,0.22999999999999998,12.650000000000091,0.0,IdleState,lower,0.0,1211.5,2.349999999999909,2.349999999999909,0,0.0,None,0
2023-01-05 10:30:00,1250.2,1252.05,1250.2,1250.95,5555.52,6950914.44,2023-01-05 10:30:00,49.63,1252.76,1249.13,1250.94,1254.57,1247.31,1256.39,1245.5,-0.72,-0.51,-0.2,19.91,26.21,19.66,22.8,7476.259285714285,63.94,-0.009999999999990905,-0.81,6.42,1249.56,1250.05,3.619999999999891,-3.6400000000001,-0.900000000000091,-1.3900000000001,-20.369999999999997,19.630000000000003,-6.300000000000001,-0.20999999999999996,7.259999999999991,0.0,IdleState,lower,0.0,1250.95,0.650000000000091,0.650000000000091,0,0.0,None,0
2023-01-05 18:00:00,1246.85,1251.05,1246.4,1250.65,12674.21,15829322.971,2023-01-05 18:00:00,51.74,1251.54,1247.65,1249.6,1253.49,1245.71,1255.43,1243.76,-0.75,-0.72,-0.03,19.29,20.61,15.61,17.14,16361.56642857143,682.98,-1.050000000000182,-0.02,3.85,1248.64,1248.92,2.839999999999918,-4.940000000000055,-1.7300000000000182,-2.009999999999991,-18.259999999999998,21.740000000000002,-1.3200000000000003,-0.030000000000000027,7.779999999999973,0.0,IdleState,lower,0.0,1250.65,1.4500000000000455,1.4500000000000455,0,0.0,None,0
2023-01-06 13:30:00,1238.6,1254.0,1235.0,1250.25,132438.04,164780199.401,2023-01-06 13:30:00,55.49,1249.41,1243.43,1246.42,1252.41,1240.44,1255.4,1237.45,-1.62,-1.51,-0.1,23.24,26.07,31.19,24.26,21792.32642857143,8857.09,-3.8299999999999272,-0.05,24.11,1244.7,1245.07,2.160000000000082,-9.809999999999945,-5.180000000000064,-5.5499999999999545,-14.509999999999998,25.490000000000002,-2.830000000000002,-0.1100000000000001,11.970000000000027,0.0,IdleState,lower,0.0,1250.25,6.7000000000000455,6.7000000000000455,0,0.0,None,0
2023-01-07 14:30:00,1262.95,1264.7,1262.3,1264.05,8915.92,11266642.2835,2023-01-07 14:30:00,52.31,1264.4,1262.66,1263.53,1265.28,1261.78,1266.15,1260.91,-0.14,0.01,-0.16,19.81,27.28,19.17,21.29,4973.512142857143,399.06,-0.5199999999999818,0.0,5.69,1263.0,1263.25,1.2300000000000182,-2.269999999999982,-0.7999999999999545,-1.0499999999999545,-17.689999999999998,22.310000000000002,-7.470000000000002,-0.15000000000000002,3.5,0.0,IdleState,lower,0.0,1264.05,1.099999999999909,1.099999999999909,0,0.0,None,0
2023-01-08 03:30:00,1260.75,1262.0,1259.8,1261.95,4916.06,6198558.993,2023-01-08 03:30:00,49.18,1263.11,1260.69,1261.9,1264.33,1259.47,1265.54,1258.26,-0.57,-0.48,-0.08,16.16,25.78,20.93,18.14,6031.5028571428575,171.23,-0.049999999999954525,-0.07,4.13,1261.26,1261.25,2.3799999999998818,-2.480000000000018,-0.7000000000000455,-0.6900000000000546,-20.82,19.18,-9.620000000000001,-0.08999999999999997,4.8599999999999,0.0,IdleState,lower,0.0,1261.95,1.5,1.5,0,0.0,None,0
2023-01-11 18:00:00,1326.65,1344.6,1326.65,1339.6,87059.08,116455217.623,2023-01-11 18:00:00,62.17,1334.94,1326.44,1330.69,1339.19,1322.19,1343.44,1317.94,-0.86,-1.13,0.26,35.01,20.22,17.55,15.38,20450.449285714287,5604.6,-8.909999999999854,1.53,25.68,1328.68,1331.74,-0.4099999999998545,-17.409999999999854,-7.8599999999999,-10.919999999999845,-7.829999999999998,32.17,14.79,0.2699999999999999,17.0,0.0,IdleState,lower,0.0,1339.6,14.449999999999818,14.449999999999818,0,0.0,None,0
2023-01-19 06:30:00,1528.62,1531.54,1528.62,1530.0,6124.51,9372565.6086,2023-01-19 06:30:00,47.74,1534.61,1523.94,1529.28,1539.94,1518.61,1545.28,1513.28,-4.94,-7.62,2.67,14.96,25.32,35.71,36.22,9501.81571428572,-3771.72,-0.7200000000000273,-1.21,1.53,1527.31,1528.74,9.940000000000055,-11.3900000000001,-1.259999999999991,-2.6900000000000546,-22.259999999999998,17.740000000000002,-10.36,2.6799999999999997,21.330000000000155,0.0,IdleState,lower,0.0,1530.0,-7.980000000000018,-7.980000000000018,0,0.0,None,0
2023-01-19 13:00:00,1519.2,1527.62,1513.04,1526.84,25346.65,38511985.7437,2023-01-19 13:00:00,49.75,1528.68,1521.46,1525.07,1532.29,1517.85,1535.9,1514.24,-3.16,-3.75,0.58,14.21,25.31,35.65,35.68,11599.034285714291,1374.77,-1.7699999999999818,0.04,5.75,1522.73,1523.06,5.4500000000000455,-8.990000000000009,-3.7799999999999727,-4.1099999999999,-20.25,19.75,-11.099999999999998,0.5899999999999999,14.440000000000055,0.0,IdleState,lower,0.0,1526.84,7.819999999999936,7.819999999999936,0,0.0,None,0
2023-01-22 08:30:00,1625.8,1632.18,1625.15,1631.83,11093.19,18074357.0213,2023-01-22 08:30:00,49.12,1634.67,1626.52,1630.6,1638.75,1622.45,1642.82,1618.37,-3.9,-5.13,1.23,17.15,27.06,30.1,28.07,10052.220000000005,-1344.17,-1.2300000000000182,-4.92,4.33,1628.05,1628.92,6.920000000000073,-9.379999999999882,-2.9099999999998545,-3.7799999999999727,-20.880000000000003,19.119999999999997,-9.91,1.23,16.299999999999955,0.0,IdleState,lower,0.0,1631.83,3.189999999999827,3.189999999999827,0,0.0,None,0
