open,high,low,close,volume,turnover,date,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,pandl,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,prediction,profit_ma,entry_type,entry_volume
46356.0,46747.0,46328.5,46607.5,1943.328,90466205.2565,2022-01-04 10:00:00,52.31,46654.0,46245.36,46449.68,46858.32,46041.04,47062.65,45836.72,-109.24,-169.93,60.68,20.24,17.2,15.99,16.17,1575.7553571428573,-232.84,-157.8199999999997,-228.11,2.84,46341.55,46473.45,250.8199999999997,-566.4599999999991,-134.0500000000029,-265.9499999999971,-17.689999999999998,22.310000000000002,3.039999999999999,60.69000000000001,817.2799999999988,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
46607.5,46719.0,46607.5,46706.0,1243.511,58039157.7665,2022-01-04 11:00:00,54.56,46679.21,46268.97,46474.09,46884.33,46063.85,47089.45,45858.74,-76.51,-151.25,74.73,19.74,16.78,15.43,16.35,1529.7347142857143,-46.02,-231.9100000000035,-32.18,2.17,46406.66,46566.47,178.33000000000175,-642.1500000000015,-139.52999999999884,-299.3399999999965,-15.439999999999998,24.560000000000002,2.9599999999999973,74.74,820.4800000000032,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
46706.0,46738.0,46473.0,46649.5,1447.303,67404102.4955,2022-01-04 12:00:00,53.01,46704.19,46277.4,46490.8,46917.59,46064.0,47130.99,45850.61,-54.51,-131.9,77.39,18.58,18.78,14.36,15.99,1487.0859285714287,-42.64,-158.6999999999971,59.11,-3.66,46441.88,46599.68,268.0899999999965,-585.5,-49.81999999999971,-207.62000000000262,-16.990000000000002,23.009999999999998,-0.20000000000000284,77.39000000000001,853.5899999999965,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
46649.5,47200.0,46423.0,46932.5,3724.599,174428832.7265,2022-01-04 13:00:00,59.26,46776.39,46289.34,46532.86,47019.91,46045.82,47263.43,45802.29,-14.07,-108.33,94.26,25.01,15.83,14.94,16.38,1654.7286428571429,167.64,-399.6399999999994,153.76,8.22,46530.61,46732.81,87.41000000000349,-886.6800000000003,-199.69000000000233,-401.8899999999994,-10.740000000000002,29.259999999999998,9.180000000000001,94.25999999999999,974.0900000000038,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
46932.5,47451.0,46815.0,47298.0,4085.903,192613663.708,2022-01-04 14:00:00,65.61,46922.99,46288.47,46605.73,47240.25,45971.21,47557.51,45653.95,46.92,-77.28,124.21,26.77,13.9,16.13,17.23,1792.9475000000002,138.21,-692.2699999999968,397.27,10.12,46654.88,46958.88,-57.75,-1326.7900000000009,-339.1200000000026,-643.1200000000026,-4.390000000000001,35.61,12.87,124.2,1269.0400000000009,0.0,IdleState,upper,0.0,0.0,0.0,0.0,0,0.0,None,0
47298.0,47475.0,46850.0,46911.0,3910.278,184553404.9465,2022-01-04 15:00:00,55.7,46970.68,46298.93,46634.81,47306.56,45963.05,47642.44,45627.17,63.31,-49.16,112.47,24.15,12.31,17.3,18.23,1966.6589999999999,173.71,-276.1900000000023,294.8,0.72,46715.16,46939.73,395.5599999999977,-947.9499999999971,28.7300000000032,-195.8399999999965,-14.299999999999997,25.700000000000003,11.839999999999998,112.47,1343.5099999999948,0.0,EntryPreparationState,upper,46911.0,46556.5,0.0,-354.5,0,0.0,None,0
41518.5,41727.0,41434.5,41639.5,1923.248,79942860.9145,2022-01-09 10:00:00,47.98,42112.48,41308.05,41710.26,42514.69,40905.84,42916.9,40503.62,-19.04,-25.76,6.71,15.95,23.23,15.59,22.64,1870.4472142857142,-31.74,70.76000000000204,-35.94,-1.63,41806.94,41658.38,875.1900000000023,-733.6600000000035,18.87999999999738,167.44000000000233,-22.020000000000003,17.979999999999997,-7.280000000000001,6.720000000000002,1608.8500000000058,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
41639.5,42000.0,41639.5,41844.0,2155.49,90166308.9525,2022-01-09 11:00:00,52.16,42129.29,41316.71,41723.0,42535.58,40910.42,42941.87,40504.13,-6.92,-21.99,15.06,20.19,21.58,14.71,21.23,1696.2952857142857,-174.15,-121.0,6.2,4.92,41778.77,41732.63,691.5800000000017,-933.5800000000017,-111.37000000000262,-65.2300000000032,-17.840000000000003,22.159999999999997,-1.389999999999997,15.069999999999999,1625.1600000000035,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
41844.0,41908.5,41680.0,41750.5,1129.271,47180351.8725,2022-01-09 12:00:00,50.18,42129.32,41321.92,41725.62,42533.01,40918.23,42936.71,40514.53,-4.81,-18.56,13.74,19.26,20.59,13.9,19.84,1534.7578571428571,-161.53,-24.87999999999738,10.5,4.3,41768.27,41739.77,782.510000000002,-832.2699999999968,-10.730000000003201,17.7699999999968,-19.82,20.18,-1.3299999999999983,13.75,1614.7799999999988,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
41750.5,41880.0,41500.0,41500.0,2110.87,87917420.434,2022-01-09 13:00:00,45.21,42068.96,41339.3,41704.13,42433.79,40974.47,42798.63,40609.64,-23.08,-19.46,-3.62,17.78,22.63,13.76,19.16,1556.9670714285712,22.2,204.12999999999738,-158.02,-4.44,41705.38,41643.86,933.7900000000009,-525.5299999999988,143.86000000000058,205.37999999999738,-24.79,15.21,-4.849999999999998,-3.6199999999999974,1459.3199999999997,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
41500.0,41736.0,41500.0,41551.5,1283.281,53386651.6495,2022-01-09 14:00:00,46.38,41983.18,41396.01,41689.59,42276.77,41102.42,42570.35,40808.83,-33.03,-22.18,-10.85,16.92,21.53,13.64,18.4,1476.559357142857,-80.4,138.0899999999965,-384.19,-1.24,41681.72,41606.92,725.2699999999968,-449.08000000000175,55.419999999998254,130.22000000000116,-23.619999999999997,16.380000000000003,-4.609999999999999,-10.850000000000001,1174.3499999999985,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
41551.5,41682.0,41076.0,41632.0,3792.265,157215573.793,2022-01-09 15:00:00,48.25,41911.22,41457.0,41684.11,42138.33,41229.89,42365.43,41002.78,-34.02,-24.54,-9.47,14.91,27.27,14.75,18.23,1639.6482857142857,163.08,52.11000000000058,-422.93,-8.61,41657.0,41616.95,506.33000000000175,-402.1100000000006,-15.05000000000291,25.0,-21.75,18.25,-12.36,-9.480000000000004,908.4400000000023,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
41632.0,42145.0,41576.0,42118.0,2802.493,117382213.7725,2022-01-09 16:00:00,57.81,41898.03,41552.83,41725.43,42070.63,41380.23,42243.23,41207.63,4.35,-18.76,23.12,22.02,24.35,14.06,17.21,1705.6264285714283,65.97,-392.5699999999997,-356.48,8.01,41691.16,41817.37,-47.37000000000262,-737.7699999999968,-300.6299999999974,-426.8399999999965,-12.189999999999998,27.810000000000002,-2.330000000000002,23.11,690.3999999999942,0.0,IdleState,upper,0.0,0.0,0.0,0.0,0,0.0,None,0
