start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction,profit_ma,entry_volume
2020-08-16 07:00:00,11896.5,11902.0,11868.5,11881.5,96.719,1149166.7985,2020-08-16 07:00:00,0.0007076,0.001712,5619.478,52.43,11913.02,11838.89,11875.95,11950.08,11801.83,11987.14,11764.76,18.72,19.48,-0.76,18.42,15.1,16.54,18.32,444.58428571428567,-2.81,-5.549999999999272,3.92,-2.22,11887.38,11893.26,68.57999999999993,-79.67000000000007,11.760000000000218,5.8799999999992,-17.57,22.43,3.320000000000002,-0.7600000000000016,148.25,None,None,11771.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,918.115
2020-08-16 08:00:00,11881.5,11885.5,11830.5,11865.0,344.513,4087646.745,2020-08-16 08:00:00,0.00049832,0.001441,5605.0,49.92,11904.51,11845.31,11874.91,11934.11,11815.71,11963.72,11786.1,15.67,18.72,-3.04,17.3,18.38,15.58,17.17,460.421,15.83,9.909999999999854,-29.05,-5.09,11887.5,11881.95,69.11000000000058,-49.29000000000087,16.950000000000728,22.5,-20.08,19.92,-1.0799999999999983,-3.049999999999999,118.40000000000146,None,None,11771.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,918.115
2020-08-16 09:00:00,11865.0,11891.0,11836.0,11886.5,353.173,4197990.8645,2020-08-16 09:00:00,0.00049832,0.001091,5600.042,53.07,11901.94,11850.09,11876.01,11927.86,11824.16,11953.79,11798.24,14.82,17.94,-3.11,16.85,17.25,14.55,16.03,474.28564285714293,13.86,-10.489999999999782,-30.67,-0.44,11894.05,11883.77,41.36000000000058,-62.340000000000146,-2.7299999999995634,7.549999999999272,-16.93,23.07,-0.3999999999999986,-3.120000000000001,103.70000000000073,None,None,11771.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,918.115
2020-08-16 10:00:00,11886.5,11893.0,11783.0,11812.5,697.671,8241238.6875,2020-08-16 10:00:00,0.00049832,0.001667,5638.344,43.04,11896.73,11843.2,11869.96,11923.5,11816.43,11950.27,11789.66,8.08,15.97,-7.88,14.88,20.87,14.71,16.32,518.2699285714286,43.98,57.45999999999913,-2.88,-6.04,11885.5,11855.26,111.0,3.930000000000291,42.76000000000022,73.0,-26.96,13.04,-5.99,-7.890000000000001,107.06999999999971,EntryPreparationState,lower,11771.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,918.115
2020-08-16 11:00:00,11812.5,11812.5,11752.5,11771.5,585.541,6892695.8815,2020-08-16 11:00:00,0.00049832,0.001597,6019.204,38.68,11895.58,11825.59,11860.59,11930.57,11790.6,11965.57,11755.61,-0.55,12.66,-13.22,13.92,22.8,15.38,16.86,379.8744285714286,-138.39,89.09000000000015,28.53,-4.86,11873.66,11821.75,159.0699999999997,19.100000000000364,50.25,102.15999999999985,-31.32,8.68,-8.88,-13.21,139.96999999999935,PositionState,lower,11771.5,11869.5,0.0,-98.0,0.0,-98.0,-42.8,0,-15.920000000000073,918.115
2020-08-18 08:00:00,12264.5,12293.0,12264.5,12270.0,88.88,1090557.6,2020-08-18 08:00:00,0.00212467,0.001939,4594.13,57.1,12317.2,12169.73,12243.47,12390.94,12095.99,12464.68,12022.26,69.11,93.07,-23.95,23.8,17.35,30.79,32.16,301.67785714285714,-40.03,-26.530000000000655,-222.57,0.88,12297.44,12271.82,120.94000000000051,-174.01000000000022,1.819999999999709,27.44000000000051,-12.899999999999999,27.1,6.449999999999999,-23.959999999999994,294.9500000000007,PositionState,upper,11946.0,12241.0,100.0,0.0,0.0,0.0,0.0,0,0.0,733.239
2020-08-18 09:00:00,12270.0,12273.0,12237.0,12241.0,174.162,2131917.042,2020-08-18 09:00:00,0.00212467,0.00238,4589.658,53.7,12306.05,12180.41,12243.23,12368.86,12117.6,12431.68,12054.78,60.93,86.64,-25.71,22.96,19.42,29.18,32.29,294.62128571428576,-7.05,2.2299999999995634,-128.11,-1.91,12285.55,12259.49,127.86000000000058,-123.39999999999964,18.48999999999978,44.54999999999927,-16.299999999999997,23.700000000000003,3.539999999999999,-25.71,251.26000000000022,None,upper,11946.0,12241.0,71.0,0.0,0.0,0.0,0.0,0,0.0,733.239
2020-08-18 10:00:00,12241.0,12310.0,12201.5,12294.0,328.0,4032432.0,2020-08-18 10:00:00,0.00212467,0.002251,4655.312,58.55,12301.41,12194.72,12248.07,12354.75,12141.38,12408.09,12088.04,58.05,80.92,-22.86,24.1,17.44,28.24,32.68,293.19007142857146,-1.43,-45.93000000000029,-59.96,2.28,12280.5,12273.29,60.75,-152.6200000000008,-20.709999999999127,-13.5,-11.450000000000003,28.549999999999997,6.66,-22.870000000000005,213.3700000000008,None,None,11946.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,733.239
2020-08-18 11:00:00,12294.0,12294.0,12171.0,12185.5,484.785,5907347.6175,2020-08-18 11:00:00,0.00212467,0.003393,4653.554,47.57,12296.63,12187.59,12242.11,12351.15,12133.07,12405.67,12078.55,46.48,74.03,-27.55,21.43,18.25,26.8,32.85,303.51635714285715,10.32,56.61000000000058,-9.4,-2.34,12261.61,12238.17,165.64999999999964,-52.43000000000029,52.67000000000007,76.11000000000058,-22.43,17.57,3.1799999999999997,-27.550000000000004,218.07999999999993,None,None,11946.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,733.239
2020-08-18 12:00:00,12185.5,12266.0,12185.5,12265.0,323.328,3965617.92,2020-08-18 12:00:00,0.00212467,0.002636,4743.224,54.33,12296.15,12192.42,12244.29,12348.01,12140.56,12399.87,12088.7,43.23,67.87,-24.64,19.87,16.93,25.45,32.04,299.79621428571426,-3.72,-20.709999999999127,-14.22,-2.91,12256.05,12248.9,83.01000000000022,-124.44000000000051,-16.100000000000364,-8.950000000000728,-15.670000000000002,24.33,2.9400000000000013,-24.640000000000008,207.45000000000073,None,None,11946.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,733.239
