,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,state,bb_direction,enter_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,profit_ma
1401,1533,1631505600000.0,44659.0,45016.5,44230.0,44554.0,9188.768,409396369.472,2021-09-13 04:00:00,0.0001,14905.375,35.08,46247.34,45160.15,45703.74,46790.93,44616.56,47334.52,44072.96,-533.03,-590.9,57.87,11.01,29.1,42.84,44.8,6701.0075,-4.6,-121.02,-21.69,-2.64,45439.44,44925.09,PositionState,lower,44554.0,45700.0,0.0,-1146.0,201.0,-1146.0,-356.7142857142857,-426.47000000000116
1442,1574,1632096000000.0,47274.5,47342.0,45078.5,45599.5,14865.866,677876056.667,2021-09-20 00:00:00,0.0001,16430.29699999,32.8,48108.89,46864.79,47486.84,48730.95,46242.73,49353.0,45620.68,-59.74,198.92,-258.66,10.91,33.87,20.72,22.24,6154.170071428571,623.11,-198.67,876.05,-15.24,47537.61,46506.7,PositionState,lower,45599.5,44056.0,0.0,1543.5,4875.0,0.0,2412.4210526315787,2848.209999999999
1666,1798,1635321600000.0,59990.0,59990.5,57919.5,58681.5,18844.491,1109847312.562,2021-10-27 08:00:00,0.00069396,17537.681,32.27,62800.24,60152.73,61476.48,64123.99,58828.98,65447.74,57505.23,-476.83,-128.75,-348.08,14.94,34.65,19.35,21.59,6728.923428571428,937.89,-294.2,660.96,-8.52,61393.44,59602.37,PositionState,lower,58681.5,60968.5,0.0,-2287.0,200.0,-2287.0,-467.0,-357.3199999999997
1784,1916,1637020800000.0,63691.5,63691.5,60445.0,60962.0,18688.935,1156750486.1995,2021-11-16 00:00:00,0.00025064,19980.284,29.15,65321.6,63302.19,64311.9,66331.31,62292.48,67341.02,61282.78,-334.05,-72.19,-261.86,16.78,37.72,16.33,18.77,5191.666142857143,1036.32,-352.61,1222.52,-18.17,64461.38,62565.14,PositionState,lower,60962.0,59474.0,0.0,1488.0,5051.5,0.0,1959.396551724138,3795.5699999999997
1847,1979,1637928000000.0,53767.5,54881.5,53563.0,54365.5,8833.268,479380847.2525,2021-11-26 12:00:00,0.00011217,20125.019,34.31,58379.86,55761.03,57070.44,59689.27,54451.61,60998.69,53142.2,-482.37,-196.14,-286.22,15.97,34.26,17.73,16.2,6013.941285714286,428.77,-284.72,757.18,-3.28,57305.22,55051.46,PositionState,lower,54365.5,57299.0,0.0,-2933.5,565.0,-2933.5,-307.8666666666667,-860.8600000000006
1890,2022,1638547200000.0,56058.0,56058.0,53800.0,53904.5,15154.424,832676927.2734998,2021-12-03 16:00:00,0.00031547,20084.432,33.11,57348.38,55599.76,56474.07,58222.69,54725.45,59097.0,53851.14,-270.19,-10.21,-259.98,16.17,26.17,14.39,14.94,6864.598,701.54,-270.48,1155.22,-14.37,56244.61,55171.87,PositionState,lower,53904.5,50422.0,0.0,3482.5,7424.5,0.0,4504.875,5500.260000000002
1950,2082,1639411200000.0,47250.5,47921.0,45502.0,46694.5,20819.035,974870935.562,2021-12-13 16:00:00,8.1e-06,14013.186,35.19,49570.73,47767.52,48669.13,50472.34,46865.92,51373.94,45964.32,-337.73,-179.1,-158.62,11.86,30.32,21.22,25.33,7095.101142857143,1092.02,-207.85,354.27,-8.73,48808.5,47392.91,PositionState,lower,46694.5,48356.0,0.0,-1661.5,42.0,-1661.5,-408.625,-255.25999999999476
1990,2122,1639987200000.0,46440.0,46550.0,45733.5,46100.5,6076.719,280017356.062,2021-12-20 08:00:00,0.0001,15066.53,38.74,47368.51,46527.11,46947.81,47789.21,46106.41,48209.91,45685.71,-318.33,-285.61,-32.72,15.27,21.74,17.68,20.76,5886.301642857143,-83.87,-89.19,-201.0,-3.64,46912.55,46349.96,PositionState,lower,46100.5,46882.0,0.0,-781.5,150.5,-781.5,-278.625,-274.52999999999884
2037,2169,1640664000000.0,49841.5,49841.5,48400.0,49202.0,10686.07,524519212.864,2021-12-28 04:00:00,0.0001,16771.872,39.67,50904.61,49784.37,50344.49,51464.72,49224.26,52024.84,48664.14,145.59,326.71,-181.12,21.16,31.48,25.14,29.96,6450.522142857143,468.11,-120.26,291.74,-12.0,50621.94,49793.49,PositionState,lower,49202.0,47971.5,0.0,1230.5,2752.0,-1.5,1578.325,2212.3899999999994
2059,2191,1640980800000.0,45692.0,46548.5,45660.0,46200.5,8247.759,380618666.3105,2021-12-31 20:00:00,0.0001,15522.278,37.62,48130.76,46885.71,47508.24,48753.28,46263.19,49375.81,45640.67,-649.22,-635.3,-13.92,14.42,30.03,30.46,30.46,7909.215499999999,-505.49,-137.65,-408.05,-2.25,47108.72,46467.51,PositionState,lower,46200.5,47719.5,0.0,-1519.0,0.0,-1519.0,-830.9285714285714,-978.6100000000006
