start_at,open,high,low,close,volume,turnover,date,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,pandl,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,prediction,profit_ma,entry_type,entry_volume
2023-01-03 15:00:00,1210.15,1211.5,1206.75,1209.15,33521.51,40542207.796,2023-01-03 15:00:00,33.39,1216.89,1212.5,1214.7,1219.08,1210.31,1221.28,1208.12,-0.69,-0.07,-0.62,14.24,31.32,16.64,15.45,12768.990714285714,1733.15,5.5499999999999545,2.54,-5.76,1214.38,1212.01,9.929999999999836,1.1599999999998545,2.8599999999999,5.230000000000018,-36.61,3.3900000000000006,-17.08,-0.6199999999999999,8.769999999999982,0.0,EntryPreparationState,lower,1209.15,1211.5,0.0,2.349999999999909,0,0.0,None,0
2023-01-05 07:30:00,1247.55,1250.35,1247.5,1250.3,7050.48,8807347.9705,2023-01-05 07:30:00,45.77,1254.0,1249.9,1251.95,1256.05,1247.85,1258.1,1245.8,-0.5,0.18,-0.68,18.75,24.78,19.44,27.07,5825.573571428571,-251.96,1.650000000000091,0.63,-1.22,1251.3,1249.97,5.75,-2.4500000000000455,-0.32999999999992724,1.0,-24.229999999999997,15.770000000000003,-6.030000000000001,-0.6799999999999999,8.200000000000045,0.0,EntryPreparationState,lower,1250.3,1250.95,0.0,0.650000000000091,0,0.0,None,0
2023-01-05 14:00:00,1246.9,1250.15,1246.15,1249.2,16850.01,21034054.492,2023-01-05 14:00:00,46.13,1252.72,1248.92,1250.82,1254.62,1247.02,1256.52,1245.12,-0.49,-0.35,-0.14,18.48,25.11,16.26,17.85,10494.06,598.51,1.6199999999998909,-0.13,-3.8,1250.91,1249.61,5.419999999999845,-2.1800000000000637,0.4099999999998545,1.7100000000000364,-23.869999999999997,16.130000000000003,-6.629999999999999,-0.14,7.599999999999909,0.0,EntryPreparationState,lower,1249.2,1250.65,0.0,1.4500000000000455,0,0.0,None,0
2023-01-06 11:30:00,1242.95,1244.55,1241.0,1243.55,14720.94,18298305.0255,2023-01-06 11:30:00,34.5,1249.95,1245.36,1247.66,1252.24,1243.07,1254.53,1240.78,-1.53,-1.01,-0.51,9.46,40.0,27.03,20.04,10449.67,771.27,4.110000000000127,0.28,-0.39,1246.7,1244.6,8.690000000000055,-0.4800000000000182,1.0499999999999545,3.150000000000091,-35.5,4.5,-30.54,-0.52,9.170000000000073,0.0,EntryPreparationState,lower,1243.55,1250.25,0.0,6.7000000000000455,0,0.0,None,0
2023-01-07 14:00:00,1261.65,1263.0,1260.65,1262.95,8544.31,10780401.0745,2023-01-07 14:00:00,48.32,1264.34,1262.61,1263.48,1265.21,1261.74,1266.08,1260.88,-0.23,0.05,-0.28,15.22,29.74,19.42,22.23,4574.446428571428,339.62,0.5299999999999727,-0.05,-2.21,1263.01,1262.72,2.259999999999991,-1.2100000000000364,-0.2300000000000182,0.05999999999994543,-21.68,18.32,-14.519999999999998,-0.28,3.4700000000000273,0.0,EntryPreparationState,lower,1262.95,1264.05,0.0,1.099999999999909,0,0.0,None,0
2023-01-08 01:00:00,1260.35,1261.1,1258.5,1260.45,5446.38,6863850.6525,2023-01-08 01:00:00,38.91,1263.5,1261.45,1262.47,1264.52,1260.42,1265.55,1259.4,-0.46,-0.24,-0.22,16.19,32.85,16.95,18.35,5880.85,238.94,2.019999999999982,0.42,-3.53,1262.17,1261.25,4.069999999999936,-0.029999999999972715,0.7999999999999545,1.7200000000000273,-31.090000000000003,8.909999999999997,-16.66,-0.22000000000000003,4.099999999999909,0.0,EntryPreparationState,lower,1260.45,1261.95,0.0,1.5,0,0.0,None,0
2023-01-11 16:00:00,1322.25,1325.2,1320.85,1325.15,16128.53,21339297.1145,2023-01-11 16:00:00,37.11,1334.24,1327.78,1331.01,1337.48,1324.55,1340.71,1321.32,-1.53,-0.53,-0.99,13.27,31.74,13.73,13.66,14301.722857142857,624.8,5.8599999999999,3.0,-2.23,1329.88,1326.67,12.329999999999927,-0.6000000000001364,1.5199999999999818,4.730000000000018,-32.89,7.109999999999999,-18.47,-1.0,12.930000000000064,0.0,EntryPreparationState,lower,1325.15,1339.6,0.0,14.449999999999818,0,0.0,None,0
2023-01-18 14:00:00,1593.12,1609.0,1589.15,1591.48,83633.89,133688321.7554,2023-01-18 14:00:00,63.09,1586.12,1575.59,1580.85,1591.39,1570.32,1596.65,1565.05,1.76,0.47,1.28,31.11,9.76,17.18,17.47,22529.297142857144,5695.17,-10.63000000000011,5.32,14.61,1580.13,1587.09,-0.08999999999991815,-21.160000000000082,-4.3900000000001,-11.349999999999909,-6.909999999999997,33.09,21.35,1.29,21.070000000000164,0.0,EntryPreparationState,upper,1591.48,1548.75,0.0,-42.73000000000002,0,0.0,None,0
2023-01-18 16:30:00,1513.44,1547.0,1500.82,1537.98,133705.2,203278240.1493,2023-01-18 16:30:00,35.7,1589.12,1551.05,1570.09,1608.16,1532.01,1627.2,1512.97,-7.45,-1.68,-5.77,12.02,37.01,25.96,19.99,57767.899285714295,8535.87,32.1099999999999,16.52,0.9,1569.93,1545.06,70.18000000000006,-5.970000000000027,7.079999999999927,31.950000000000045,-34.3,5.700000000000003,-24.99,-5.7700000000000005,76.15000000000009,0.0,EntryPreparationState,lower,1537.98,1530.0,0.0,-7.980000000000018,0,0.0,None,0
2023-01-19 11:30:00,1516.91,1519.94,1515.7,1519.02,12580.42,19092986.3482,2023-01-19 11:30:00,39.79,1529.17,1522.43,1525.8,1532.54,1519.06,1535.91,1515.69,-3.83,-4.0,0.16,10.27,29.18,35.39,36.42,8792.69785714286,377.7,6.779999999999973,-0.92,-0.26,1524.23,1520.77,13.519999999999982,0.03999999999996362,1.75,5.210000000000036,-30.21,9.79,-18.91,0.16999999999999993,13.480000000000018,0.0,EntryPreparationState,lower,1519.02,1526.84,0.0,7.819999999999936,0,0.0,None,0
