,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,bb_direction,state,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,profit_ma,entry_volume
10,1696824000.0,27907.4,27932.1,27907.4,27917.2,681.952,19043187.6567,2023-10-09 04:00:00,-2.543e-05,-0.000497,65217.845,52.85,27937.78,27851.73,27894.75,27980.8,27808.7,28023.83,27765.67,4.61,-0.08,4.69,18.69,19.82,10.29,12.93,1849.7837857142856,-214.08,-22.450000000000728,5.44,-0.69,27899.45,27910.43,63.59999999999855,-108.5,-6.770000000000437,-17.75,-17.15,22.85,-1.129999999999999,4.69,172.09999999999854,,,27530.7,,,,,,,,8968.111
11,1696827600.0,27917.2,27921.4,27844.3,27846.3,1899.461,52944124.4631,2023-10-09 05:00:00,-2.543e-05,-0.000596,65440.508,45.33,27933.65,27846.62,27890.14,27977.17,27803.1,28020.69,27759.58,0.16,-0.03,0.19,17.5,23.75,10.63,13.15,1870.4695,20.68,43.84000000000015,5.81,-5.5,27894.38,27884.78,130.86999999999898,-43.20000000000073,38.47999999999956,48.08000000000175,-24.67,15.329999999999998,-6.25,0.19,174.0699999999997,,,27530.7,,,,,,,,8968.111
12,1696831200.0,27846.3,27898.4,27840.3,27889.3,1018.165,28379666.9886,2023-10-09 06:00:00,-2.543e-05,-0.000453,65090.478,49.98,27930.5,27849.61,27890.06,27970.95,27809.16,28011.39,27768.72,0.1,-0.0,0.11,16.65,22.92,11.01,13.47,1833.3477857142857,-37.12,0.7600000000020373,-15.9,-1.21,27892.84,27886.58,81.65000000000146,-80.13999999999942,-2.719999999997526,3.540000000000873,-20.020000000000003,19.98,-6.270000000000003,0.1,161.79000000000087,,,27530.7,,,,,,,,8968.111
13,1696834800.0,27889.3,27894.5,27800.0,27802.1,2337.842,65058108.8367,2023-10-09 07:00:00,-2.543e-05,-0.000408,65017.912,42.15,27921.69,27841.67,27881.68,27961.7,27801.66,28001.71,27761.65,-6.89,-1.38,-5.51,15.33,24.48,11.86,13.36,1940.3546428571428,107.0,79.58000000000175,-7.96,-3.72,27881.65,27852.79,159.60000000000218,-0.4399999999986903,50.69000000000233,79.55000000000291,-27.85,12.15,-9.15,-5.51,160.04000000000087,,,27530.7,,,,,,,,8968.111
14,1696838400.0,27802.1,27828.3,27690.3,27732.3,6969.704,193484680.3724,2023-10-09 08:00:00,-1.491e-05,-0.000628,65077.204,37.13,27915.92,27818.98,27867.45,27964.39,27770.51,28012.86,27722.04,-17.87,-4.68,-13.19,13.64,30.55,13.74,14.09,2204.3407857142856,263.98,135.15000000000146,24.59,-9.07,27863.13,27804.59,232.09000000000012,38.20999999999913,72.29000000000087,130.83000000000175,-32.87,7.130000000000003,-16.91,-13.19,193.88000000000105,lower,EntryPreparationState,27530.7,,,,,,,,8968.111
15,1696842000.0,27732.3,27783.6,27400.0,27530.7,18780.707,517811880.5926,2023-10-09 09:00:00,-1.491e-05,-0.00043,65227.334,27.1,27925.01,27745.75,27835.38,28014.64,27656.12,28104.27,27566.49,-42.35,-12.21,-30.13,10.25,41.75,17.09,15.67,3429.502857142857,1225.16,304.6800000000003,167.32,-16.28,27832.31,27695.03,483.9399999999987,125.41999999999824,164.3299999999981,301.6100000000006,-42.9,-2.8999999999999986,-31.5,-30.14,358.52000000000044,lower,PositionState,27530.7,27664.1,,-133.39999999999782,139.79999999999927,-133.39999999999782,-1.3294117647053687,88.11999999999898,8968.111
16,1696917600.0,27597.1,27648.0,27597.0,27645.0,1892.976,52298640.9815,2023-10-10 06:00:00,9.735e-05,-0.000423,64758.608,51.25,27684.84,27534.89,27609.87,27759.82,27459.92,27834.79,27384.94,-27.31,-48.19,20.88,18.43,23.17,26.63,30.61,2823.0365714285717,-1185.28,-35.13000000000102,13.33,3.35,27598.66,27618.36,114.81999999999972,-185.08000000000172,-26.639999999999414,-46.34000000000015,-18.75,21.25,-4.740000000000002,20.88,299.90000000000146,,,27384.0,,,,,,,,15721.659
17,1696921200.0,27645.0,27705.0,27627.1,27637.3,2826.67,78197208.7229,2023-10-10 07:00:00,9.735e-05,-0.000459,64851.418,50.61,27686.34,27538.62,27612.48,27760.2,27464.76,27834.06,27390.89,-22.26,-43.0,20.74,21.41,21.91,24.81,29.35,2481.7787142857146,-341.25,-24.81999999999971,5.31,7.1,27605.46,27625.93,122.90000000000146,-172.54000000000087,-11.36999999999898,-31.840000000000146,-19.39,20.61,-0.5,20.74,295.4400000000023,,,27384.0,,,,,,,,15721.659
18,1696924800.0,27637.3,27721.7,27632.6,27660.3,2851.143,78915560.6082,2023-10-10 08:00:00,2.403e-05,-0.000497,64816.458,52.51,27687.33,27546.73,27617.03,27757.63,27476.43,27827.93,27406.13,-16.21,-37.65,21.43,21.24,20.53,23.15,28.28,1937.6747857142857,-544.1,-43.27000000000044,-13.86,4.18,27614.47,27639.68,97.33000000000176,-183.86999999999895,-20.61999999999898,-45.82999999999811,-17.490000000000002,22.51,0.7099999999999973,21.44,281.2000000000007,,,27384.0,,,,,,,,15721.659
19,1696928400.0,27660.3,27666.1,27629.8,27651.3,1689.056,46697373.6441,2023-10-10 09:00:00,2.403e-05,-0.000378,65165.793,51.67,27691.1,27549.49,27620.3,27761.9,27478.69,27832.71,27407.88,-12.01,-32.52,20.5,20.67,20.19,21.58,27.21,1840.8362142857145,-96.83,-31.0,-0.55,-0.39,27627.15,27644.32,110.60000000000218,-172.61000000000058,-6.979999999999563,-24.149999999997817,-18.33,21.67,0.4800000000000004,20.510000000000005,283.2100000000028,,,27384.0,,,,,,,,15721.659
