,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction,profit_ma
753,885,1620392400000.0,57435.5,57653.0,56938.5,56990.5,747.634,42608035.477,2021-05-07 13:00:00,0.00083697,0.000188,5044.176,56.86,56879.82,56061.25,56470.54,57289.1,55651.97,57698.38,55242.69,28.96,-106.09,135.05,24.46,12.61,17.5,19.34,544.0271428571428,15.52,-519.9599999999991,303.89,6.3,56396.11,56949.13,298.59999999999854,-1338.5299999999988,-41.37000000000262,-594.3899999999994,-13.14,26.86,11.850000000000001,135.05,1637.1299999999974,PositionState,upper,56990.5,57085.0,0.0,94.5,1354.5,0.0,609.0,0,392.5400000000009
773,905,1620464400000.0,58899.5,59219.5,58731.5,58864.0,677.708,39892603.712,2021-05-08 09:00:00,0.00067305,0.001244,4749.97599999,66.18,58376.03,57387.74,57881.89,58870.18,56893.6,59364.32,56399.45,449.21,365.74,83.47,34.52,13.36,27.51,26.3,572.8077857142856,16.99,-982.1100000000006,287.29,5.59,58240.11,58707.12,6.180000000000291,-1970.4000000000015,-156.87999999999738,-623.8899999999994,-3.819999999999993,36.18000000000001,21.160000000000004,83.46999999999997,1976.5800000000017,PositionState,upper,58864.0,57650.5,0.0,-1213.5,96.5,-1213.5,-225.71428571428572,0,-432.8600000000006
1168,1300,1621886400000.0,39557.0,39882.5,38749.0,38980.5,2879.608,112248559.644,2021-05-24 20:00:00,-0.00017184,0.000354,4550.984,67.06,38423.65,35818.05,37120.85,39726.44,34515.25,41029.24,33212.45,898.84,655.35,243.49,28.62,10.51,29.56,30.79,2797.907,72.51,-1859.6500000000015,672.33,5.71,38040.22,38812.72,745.9400000000023,-4465.25,-167.77999999999884,-940.2799999999988,-2.9399999999999977,37.06,18.11,243.49,5211.190000000002,PositionState,upper,38980.5,37965.0,0.0,-1015.5,449.0,-1015.5,-397.17857142857144,0,-593.5200000000041
1203,1335,1622012400000.0,40549.0,40594.0,40300.0,40479.5,864.528,34995661.176,2021-05-26 07:00:00,0.0001,0.000477,5061.655,68.6,39776.51,37846.25,38811.38,40741.63,36881.12,41706.76,35915.99,605.76,372.02,233.73,31.47,11.41,23.4,21.06,1195.181857142857,-10.7,-1668.1200000000026,610.82,6.84,39281.61,40194.5,262.1299999999974,-3598.3799999999974,-285.0,-1197.8899999999994,-1.4000000000000057,38.599999999999994,20.06,233.74,3860.5099999999948,PositionState,upper,40479.5,38901.5,0.0,-1578.0,0.0,-1578.0,-566.9285714285714,0,-738.4700000000012
1327,1459,1622458800000.0,36829.5,37135.0,36693.5,36782.0,2248.647,82709733.95399998,2021-05-31 11:00:00,0.0001,-0.001184,6933.858,65.24,36333.77,34946.82,35640.3,37027.25,34253.34,37720.73,33559.87,215.67,37.94,177.73,31.27,14.49,22.36,21.28,2057.3297142857145,107.45,-1141.699999999997,507.49,5.04,35544.22,36546.07,245.25,-2528.6600000000035,-235.9300000000003,-1237.7799999999988,-4.760000000000005,35.239999999999995,16.78,177.73,2773.9100000000035,PositionState,upper,36782.0,36191.5,0.0,-590.5,992.0,-590.5,95.36363636363636,0,10.919999999998254
1394,1526,1622700000000.0,38778.5,38942.0,38600.0,38893.0,1902.456,73992221.208,2021-06-03 06:00:00,0.0001,-0.000667,7554.365,74.6,38169.39,37318.74,37744.07,38594.72,36893.42,39020.04,36468.1,343.38,264.89,78.48,35.62,10.9,24.92,24.25,1304.1379285714286,-2.87,-1148.9300000000003,556.5,9.83,37836.55,38574.19,-298.27999999999884,-1999.5800000000017,-318.8099999999977,-1056.449999999997,4.599999999999994,44.599999999999994,24.72,78.49000000000001,1701.300000000003,PositionState,upper,38893.0,37916.0,0.0,-977.0,359.0,-977.0,-136.65,0,-183.0699999999997
1437,1569,1622854800000.0,37660.0,37800.0,37530.0,37651.0,1958.227,73729204.77699998,2021-06-05 01:00:00,0.0001,-0.000718,6841.513,56.12,37512.16,36941.56,37226.86,37797.46,36656.26,38082.76,36370.96,-103.92,-231.24,127.31,17.43,27.54,38.26,35.98,2374.9147142857146,18.8,-424.1399999999994,268.8,7.66,37158.72,37481.74,146.45999999999913,-994.739999999998,-169.26000000000204,-492.27999999999884,-13.880000000000003,26.119999999999997,-10.11,127.32000000000001,1141.199999999997,PositionState,upper,37651.0,36353.5,0.0,-1297.5,87.0,-1297.5,-184.22222222222223,0,-470.1399999999994
1486,1618,1623031200000.0,36644.5,36722.0,36540.0,36599.5,1193.498,43681430.051,2021-06-07 02:00:00,0.0001,-0.000814,7345.034,58.9,36356.2,35816.6,36086.4,36626.01,35546.79,36895.81,35276.99,40.38,-51.74,92.12,21.47,23.85,30.55,34.28,1740.5858571428573,-32.04,-513.0999999999985,272.33,4.26,36046.94,36467.03,26.510000000002037,-1052.7099999999991,-132.47000000000116,-552.5599999999977,-11.100000000000001,28.9,-2.3800000000000026,92.12,1079.2200000000012,PositionState,upper,36599.5,36082.0,0.0,-517.5,0.0,-517.5,-283.6,0,-271.72000000000116
1548,1680,1623254400000.0,36321.0,36712.5,36086.5,36518.5,5835.972,213120943.482,2021-06-09 16:00:00,-0.00080356,0.000808,9898.142,75.03,35459.67,33282.93,34371.3,36548.03,32194.56,37636.4,31106.19,650.87,338.51,312.35,34.7,12.48,30.59,33.1,4768.986142857143,154.15,-2147.199999999997,1192.09,6.87,34954.38,36025.38,29.529999999998836,-4323.939999999999,-493.1200000000026,-1564.1200000000026,5.030000000000001,45.03,22.220000000000002,312.36,4353.4699999999975,PositionState,upper,36518.5,36821.0,0.0,302.5,1311.0,-607.5,436.42,0,956.2200000000012
1591,1723,1623409200000.0,37450.0,37513.5,37166.5,37366.0,2109.975,78841325.84999998,2021-06-11 11:00:00,0.0001,-8.4e-05,8856.535,58.84,37220.79,36597.17,36908.98,37532.6,36285.36,37844.41,35973.55,177.07,133.34,43.72,22.57,17.08,15.12,19.8,2713.016,15.09,-457.0199999999968,254.25,0.57,37025.61,37294.93,166.59999999999854,-1080.6399999999994,-71.06999999999971,-340.3899999999994,-11.159999999999997,28.840000000000003,5.490000000000002,43.72999999999999,1247.239999999998,PositionState,upper,37366.0,36843.0,0.0,-523.0,54.0,-523.0,-127.0,0,-216.69000000000233
