start_at,open,high,low,close,volume,turnover,date,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,pandl,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,prediction,profit_ma,entry_type,entry_volume
2023-01-05 05:00:00,1252.65,1254.05,1252.3,1252.9,5659.91,7093989.9245,2023-01-05 05:00:00,50.96,1254.56,1251.73,1253.14,1255.97,1250.31,1257.38,1248.9,0.44,0.96,-0.51,25.3,20.12,23.81,32.5,7029.085714285714,-110.25,0.2400000000000091,-1.68,0.59,1252.91,1252.76,3.0699999999999363,-2.5900000000001455,-0.14000000000010004,0.009999999999990905,-19.04,20.96,5.18,-0.52,5.660000000000082,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
2023-01-05 05:30:00,1252.9,1253.35,1252.1,1252.55,2568.71,3217490.6525,2023-01-05 05:30:00,49.89,1254.5,1251.67,1253.08,1255.91,1250.26,1257.33,1248.84,0.36,0.84,-0.47,24.63,20.01,22.85,31.28,6542.323571428571,-486.76,0.5299999999999727,-0.04,-0.44,1252.74,1252.67,3.3600000000001273,-2.2899999999999636,0.12000000000011823,0.19000000000005457,-20.11,19.89,4.619999999999997,-0.48,5.650000000000091,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
2023-01-05 06:00:00,1252.55,1253.0,1250.15,1250.75,4783.38,5987605.984,2023-01-05 06:00:00,44.71,1254.36,1251.36,1252.86,1255.87,1249.86,1257.37,1248.35,0.15,0.7,-0.55,23.12,22.97,21.24,29.85,6450.043571428571,-92.27,2.1099999999999,0.29,-5.13,1252.42,1251.9,5.119999999999891,-0.8900000000001,1.150000000000091,1.6700000000000728,-25.29,14.71,0.15000000000000213,-0.5499999999999999,6.009999999999991,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
2023-01-05 06:30:00,1250.75,1251.25,1248.2,1250.2,9096.24,11367605.9535,2023-01-05 06:30:00,43.23,1254.17,1251.04,1252.61,1255.74,1249.48,1257.3,1247.91,-0.05,0.55,-0.6,21.6,25.66,20.33,29.06,6557.89,107.84,2.4099999999998545,0.2,-5.71,1252.19,1251.22,5.539999999999964,-0.7200000000000273,1.0199999999999818,1.990000000000009,-26.770000000000003,13.229999999999997,-4.059999999999999,-0.6000000000000001,6.259999999999991,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
2023-01-05 07:00:00,1250.2,1250.45,1246.95,1247.55,8470.74,10576210.796,2023-01-05 07:00:00,36.91,1254.1,1250.15,1252.13,1256.08,1248.17,1258.06,1246.19,-0.43,0.35,-0.78,19.98,26.41,19.87,28.08,6077.541428571428,-480.34,4.580000000000155,1.51,-3.89,1251.55,1249.75,8.529999999999973,0.6200000000001182,2.2000000000000455,4.0,-33.09,6.909999999999997,-6.43,-0.78,7.9099999999998545,0.0,IdleState,lower,0.0,0.0,0.0,0.0,0,0.0,None,0
2023-01-05 07:30:00,1247.55,1250.35,1247.5,1250.3,7050.48,8807347.9705,2023-01-05 07:30:00,45.77,1254.0,1249.9,1251.95,1256.05,1247.85,1258.1,1245.8,-0.5,0.18,-0.68,18.75,24.78,19.44,27.07,5825.573571428571,-251.96,1.650000000000091,0.63,-1.22,1251.3,1249.97,5.75,-2.4500000000000455,-0.32999999999992724,1.0,-24.229999999999997,15.770000000000003,-6.030000000000001,-0.6799999999999999,8.200000000000045,0.0,EntryPreparationState,lower,1250.3,1250.95,0.0,0.650000000000091,0,0.0,None,0
2023-01-05 10:30:00,1250.2,1252.05,1250.2,1250.95,5555.52,6950914.44,2023-01-05 10:30:00,49.63,1252.76,1249.13,1250.94,1254.57,1247.31,1256.39,1245.5,-0.72,-0.51,-0.2,19.91,26.21,19.66,22.8,7476.259285714285,63.94,-0.009999999999990905,-0.81,6.42,1249.56,1250.05,3.619999999999891,-3.6400000000001,-0.900000000000091,-1.3900000000001,-20.369999999999997,19.630000000000003,-6.300000000000001,-0.20999999999999996,7.259999999999991,0.0,PositionState,lower,1250.3,1250.95,0.650000000000091,0.0,0,0.0,None,0
2023-01-05 11:00:00,1250.95,1251.0,1250.5,1250.55,3112.41,3892844.2645,2023-01-05 11:00:00,48.44,1252.61,1249.2,1250.9,1254.31,1247.49,1256.02,1245.79,-0.65,-0.54,-0.11,19.67,25.9,19.23,22.0,7242.381428571428,-233.87,0.3500000000001364,-0.55,1.79,1249.59,1250.25,3.759999999999991,-3.0599999999999454,-0.2999999999999545,-0.9600000000000364,-21.560000000000002,18.439999999999998,-6.229999999999997,-0.10999999999999999,6.819999999999936,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
2023-01-05 11:30:00,1250.55,1256.0,1250.45,1254.8,18024.79,22595028.256,2023-01-05 11:30:00,59.51,1253.08,1249.46,1251.27,1254.89,1247.66,1256.7,1245.85,-0.25,-0.48,0.23,28.51,22.65,18.67,21.24,7988.5878571428575,746.2,-3.5299999999999727,0.15,11.85,1250.4,1252.07,0.09000000000014552,-7.139999999999873,-2.730000000000018,-4.399999999999864,-10.490000000000002,29.509999999999998,5.860000000000003,0.22999999999999998,7.230000000000018,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
2023-01-05 12:00:00,1254.8,1254.95,1251.5,1251.5,11086.46,13891716.487,2023-01-05 12:00:00,50.45,1253.09,1249.5,1251.3,1254.88,1247.71,1256.67,1245.92,-0.19,-0.42,0.22,26.3,20.89,18.16,20.5,8376.198571428571,387.61,-0.20000000000004547,0.52,8.38,1250.53,1251.84,3.380000000000109,-3.7899999999999636,0.33999999999991815,-0.9700000000000273,-19.549999999999997,20.450000000000003,5.41,0.22999999999999998,7.170000000000073,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
2023-01-05 12:30:00,1251.5,1253.2,1251.5,1252.55,4791.82,6002694.9065,2023-01-05 12:30:00,52.91,1253.17,1249.66,1251.41,1254.92,1247.91,1256.68,1246.15,-0.07,-0.35,0.28,25.26,20.07,17.68,19.46,8534.992142857143,158.79,-1.1399999999998727,-0.17,-2.42,1250.84,1252.12,2.3700000000001182,-4.639999999999873,-0.43000000000006366,-1.7100000000000364,-17.090000000000003,22.909999999999997,5.190000000000001,0.27999999999999997,7.009999999999991,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
2023-01-05 13:00:00,1252.55,1253.5,1250.0,1251.55,11043.56,13824778.3105,2023-01-05 13:00:00,50.35,1253.15,1249.7,1251.43,1254.88,1247.98,1256.6,1246.25,-0.04,-0.29,0.24,23.23,21.9,16.63,18.48,8982.147857142858,447.15,-0.11999999999989086,-0.06,-4.89,1251.0,1251.89,3.3300000000001546,-3.5699999999999363,0.3400000000001455,-0.5499999999999545,-19.65,20.35,1.3300000000000018,0.24999999999999997,6.900000000000091,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
