Serial,Date,Message,serial,date,message
,,,16448.0,2024-01-04 16:00:00,エントリーイベントが発生。ポジション状態に遷移します。
,,,16449.0,2024-01-04 17:00:00,"Current profit: 69.09999999999854,current price: 44010.9,entry price: 43941.8"
,,,16450.0,2024-01-04 18:00:00,"Current profit: 133.09999999999854,current price: 44074.9,entry price: 43941.8"
,,,16451.0,2024-01-04 19:00:00,"Current profit: 21.0,current price: 43962.8,entry price: 43941.8"
,,,16452.0,2024-01-04 20:00:00,"Current profit: 196.0,current price: 44137.8,entry price: 43941.8"
,,,16453.0,2024-01-04 21:00:00,"Current profit: 514.1999999999971,current price: 44456.0,entry price: 43941.8"
,,,16454.0,2024-01-04 22:00:00,"Current profit: 394.1999999999971,current price: 44336.0,entry price: 43941.8"
,,,16455.0,2024-01-04 23:00:00,"Current profit: 214.5,current price: 44156.3,entry price: 43941.8"
,,,16456.0,2024-01-05 00:00:00,"Current profit: 278.6999999999971,current price: 44220.5,entry price: 43941.8"
,,,16457.0,2024-01-05 01:00:00,"Current profit: -552.3000000000029,current price: 43389.5,entry price: 43941.8"
,,,16458.0,2024-01-05 01:00:00,go to IdleState
,,,16459.0,2024-01-05 01:00:00,アイドル状態に遷移します。
,,,16460.0,2024-01-07 13:00:00,go to EntryPreparationState
,,,16461.0,2024-01-07 13:00:00,エントリー準備状態に遷移します。
,,,16462.0,2024-01-07 14:00:00,go to PositionState
,,,16463.0,2024-01-07 14:00:00,エントリーイベントが発生。ポジション状態に遷移します。
,,,16464.0,2024-01-07 15:00:00,"Current profit: -357.90000000000146,current price: 44061.0,entry price: 44418.9"
,,,16465.0,2024-01-07 16:00:00,"Current profit: -496.09999999999854,current price: 43922.8,entry price: 44418.9"
,,,16466.0,2024-01-07 16:00:00,go to IdleState
,,,16467.0,2024-01-07 16:00:00,アイドル状態に遷移します。
,,,16468.0,2024-01-08 00:00:00,go to EntryPreparationState
,,,16469.0,2024-01-08 00:00:00,エントリー準備状態に遷移します。
,,,16470.0,2024-01-08 01:00:00,go to PositionState
,,,16471.0,2024-01-08 01:00:00,エントリーイベントが発生。ポジション状態に遷移します。
,,,16472.0,2024-01-08 02:00:00,"Current profit: -353.0,current price: 43363.0,entry price: 43716.0"
,,,16473.0,2024-01-08 03:00:00,"Current profit: -188.3000000000029,current price: 43527.7,entry price: 43716.0"
,,,16474.0,2024-01-08 04:00:00,"Current profit: -104.09999999999854,current price: 43611.9,entry price: 43716.0"
,,,16475.0,2024-01-08 05:00:00,"Current profit: -62.0,current price: 43654.0,entry price: 43716.0"
,,,16476.0,2024-01-08 06:00:00,"Current profit: 204.3000000000029,current price: 43920.3,entry price: 43716.0"
,,,16477.0,2024-01-08 06:00:00,go to IdleState
,,,16478.0,2024-01-08 06:00:00,アイドル状態に遷移します。
,,,16479.0,2024-01-08 11:00:00,go to EntryPreparationState
,,,16480.0,2024-01-08 11:00:00,エントリー準備状態に遷移します。
,,,16481.0,2024-01-08 12:00:00,go to PositionState
,,,16482.0,2024-01-08 12:00:00,エントリーイベントが発生。ポジション状態に遷移します。
,,,16483.0,2024-01-08 13:00:00,"Current profit: -192.09999999999854,current price: 44925.9,entry price: 45118.0"
,,,16484.0,2024-01-08 14:00:00,"Current profit: -319.3000000000029,current price: 44798.7,entry price: 45118.0"
,,,16485.0,2024-01-08 15:00:00,"Current profit: -142.6999999999971,current price: 44975.3,entry price: 45118.0"
,,,16486.0,2024-01-08 16:00:00,"Current profit: -174.90000000000146,current price: 44943.1,entry price: 45118.0"
,,,16487.0,2024-01-08 17:00:00,"Current profit: 530.0,current price: 45648.0,entry price: 45118.0"
,,,16488.0,2024-01-08 18:00:00,"Current profit: 1863.199999999997,current price: 46981.2,entry price: 45118.0"
