start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction,profit_ma,entry_type,entry_volume
2023-01-06 07:00:00,16778.5,16793.5,16773.0,16781.5,1799.08,30192799.631,2023-01-06 07:00:00,-3.394e-05,-0.000671,71156.918,41.41,16839.28,16793.42,16816.35,16862.21,16770.5,16885.14,16747.57,-5.47,1.02,-6.5,14.35,25.12,13.07,13.52,1464.939857142858,-7.38,34.849999999998545,8.05,-0.97,16814.5,16793.19,80.70999999999913,-11.0,11.68999999999869,33.0,-28.590000000000003,11.409999999999997,-10.770000000000001,-6.49,91.70999999999913,None,None,16726.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,15887.823
2023-01-06 08:00:00,16781.5,16802.5,16781.0,16793.0,1219.119,20475297.483,2023-01-06 08:00:00,8.281e-05,-0.000401,71113.47199999,44.51,16837.83,16790.43,16814.13,16861.52,16766.73,16885.22,16743.03,-6.54,-0.48,-6.05,15.62,23.96,13.64,13.33,1390.291500000001,-74.64,21.13000000000102,3.02,1.77,16810.83,16793.11,68.52000000000044,-26.270000000000437,0.11000000000058208,17.830000000001746,-25.490000000000002,14.509999999999998,-8.340000000000002,-6.0600000000000005,94.79000000000087,None,None,16726.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,15887.823
2023-01-06 09:00:00,16793.0,16793.5,16754.5,16785.0,2960.112,49645286.779,2023-01-06 09:00:00,8.281e-05,-0.000238,71173.291,42.81,16833.78,16788.93,16811.35,16856.2,16766.51,16878.63,16744.08,-7.94,-1.97,-5.96,14.33,27.6,14.93,13.53,1488.6777142857152,98.38,26.349999999998545,-5.78,-3.66,16803.5,16789.87,71.20000000000073,-18.4900000000016,4.869999999998981,18.5,-27.189999999999998,12.810000000000002,-13.270000000000001,-5.970000000000001,89.69000000000233,None,None,16726.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,15887.823
2023-01-06 10:00:00,16785.0,16795.5,16760.0,16763.0,1353.297,22707973.414,2023-01-06 10:00:00,8.281e-05,-1.3e-05,71127.118,38.47,16832.39,16781.11,16806.75,16858.03,16755.47,16883.67,16729.82,-10.7,-3.72,-6.98,13.68,25.53,16.02,13.81,1476.8632857142868,-11.81,43.75,7.54,0.13,16797.11,16779.12,95.02999999999884,-7.529999999998836,16.11999999999898,34.11000000000058,-31.53,8.469999999999999,-11.850000000000001,-6.979999999999999,102.55999999999767,None,None,16726.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,15887.823
2023-01-06 11:00:00,16763.0,16766.5,16704.0,16738.0,8180.966,136912864.671,2023-01-06 11:00:00,8.281e-05,-0.000284,70985.072,34.22,16830.56,16769.84,16800.2,16860.91,16739.49,16891.27,16709.13,-14.74,-5.92,-8.81,11.97,33.51,18.26,14.67,1959.3269285714293,482.46,62.20000000000073,20.68,-10.33,16787.22,16762.67,122.90999999999985,1.4900000000016007,24.669999999998254,49.220000000001164,-35.78,4.219999999999999,-21.54,-8.82,121.41999999999825,EntryPreparationState,lower,16726.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,15887.823
2023-01-06 12:00:00,16738.0,16743.0,16712.5,16726.0,2465.029,41236727.867,2023-01-06 12:00:00,8.281e-05,-8.2e-05,70310.671,32.37,16828.57,16757.7,16793.13,16864.01,16722.26,16899.45,16686.82,-18.69,-8.48,-10.21,11.24,31.45,20.33,15.67,2087.7779285714296,128.45,67.13000000000102,23.21,-0.38,16776.33,16748.0,138.0099999999984,-3.7400000000016007,22.0,50.330000000001746,-37.63,2.3699999999999974,-20.21,-10.21,141.75,PositionState,lower,16726.0,16839.0,0.0,-113.0,0.0,-113.0,-43.375,0,-38.38999999999942,None,15887.823
2023-01-18 10:00:00,21218.0,21243.5,21147.0,21162.0,3157.028,66911407.712,2023-01-18 10:00:00,0.0001,-0.00081,54443.844,45.96,21296.58,21164.75,21230.67,21362.5,21098.83,21428.41,21032.92,17.41,32.06,-14.65,17.42,19.02,24.37,25.82,3861.0195714285724,-96.57,68.66999999999825,8.71,-2.32,21253.05,21211.5,200.5,-63.169999999998254,49.5,91.04999999999927,-24.04,15.96,-1.5999999999999979,-14.650000000000002,263.66999999999825,None,None,20877.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,11652.218
2023-01-18 11:00:00,21162.0,21219.0,21153.0,21192.0,2262.703,47950947.0695,2023-01-18 11:00:00,0.0001,-0.000635,54724.037,48.25,21291.82,21162.15,21226.98,21356.65,21097.31,21421.49,21032.48,12.56,28.16,-15.59,16.82,18.36,22.94,25.38,3788.1637142857153,-72.85,34.97999999999956,-6.27,-0.82,21242.72,21203.7,164.65000000000146,-94.68999999999869,11.700000000000728,50.720000000001164,-21.75,18.25,-1.5399999999999991,-15.6,259.34000000000015,None,None,20877.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,11652.218
2023-01-18 12:00:00,21192.0,21289.5,21188.5,21251.5,3236.796,68755371.4205,2023-01-18 12:00:00,0.0001,-0.000411,54811.375,52.53,21290.57,21168.06,21229.32,21351.83,21106.8,21413.09,21045.54,13.37,25.2,-11.83,19.66,17.38,21.74,24.7,3726.076071428572,-62.08,-22.18000000000029,-20.15,3.21,21242.27,21222.82,100.33000000000175,-144.70000000000073,-28.68000000000029,-9.229999999999563,-17.47,22.53,2.280000000000001,-11.83,245.03000000000247,None,None,20877.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,11652.218
2023-01-18 13:00:00,21251.5,21493.5,21165.0,21398.5,23373.39,498666128.218,2023-01-18 13:00:00,0.0001,-0.000172,54849.431,61.09,21313.66,21177.19,21245.43,21381.9,21108.96,21450.14,21040.72,25.58,25.28,0.29,26.38,14.63,22.24,24.74,5041.728357142858,1315.65,-153.0699999999997,23.09,12.3,21256.27,21293.09,-16.599999999998545,-289.5400000000009,-105.40999999999985,-142.22999999999956,-8.909999999999997,31.090000000000003,11.749999999999998,0.29999999999999716,272.9400000000023,EntryPreparationState,upper,20877.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,11652.218
2023-01-18 14:00:00,21398.5,21673.0,21305.0,21418.0,26685.668,572790366.394,2023-01-18 14:00:00,0.0001,-0.000146,53781.48,62.07,21335.78,21187.95,21261.86,21409.69,21114.03,21483.61,21040.12,36.4,27.5,8.9,29.97,12.28,23.64,25.35,6567.078285714287,1525.34,-156.13999999999942,52.78,12.65,21269.27,21343.05,-8.31000000000131,-303.97000000000116,-74.95000000000073,-148.72999999999956,-7.93,32.07,17.689999999999998,8.899999999999999,295.65999999999985,PositionState,upper,20877.5,21025.0,0.0,-393.0,0.0,-393.0,-196.5,0,-127.21999999999753,None,11652.218
2023-01-18 15:00:00,21418.0,21560.0,20800.0,21025.0,38695.299,818733162.1295,2023-01-18 15:00:00,0.0001,-0.000985,53984.553,40.16,21328.64,21149.97,21239.3,21417.98,21060.63,21507.32,20971.29,13.12,24.63,-11.5,22.09,26.51,22.6,25.04,9137.850071428573,2570.77,214.29999999999927,89.47,-18.52,21244.33,21215.83,392.97999999999956,35.63000000000102,190.83000000000175,219.33000000000175,-29.840000000000003,10.159999999999997,-4.420000000000002,-11.51,357.34999999999854,None,upper,20877.5,21025.0,-393.0,0.0,0.0,0.0,0.0,0,0.0,None,11652.218
2023-01-18 16:00:00,21025.0,21025.0,20385.0,20848.0,59761.303,1237028823.0935,2023-01-18 16:00:00,1.262e-05,0.00041,52668.35,34.29,21322.75,21081.32,21202.04,21443.46,20960.61,21564.18,20839.9,-19.38,15.82,-35.21,17.84,33.89,23.2,25.57,12994.763857142858,3856.91,354.0400000000009,133.79,-19.5,21194.88,21068.7,595.4599999999991,112.61000000000058,220.70000000000073,346.880000000001,-35.71,4.289999999999999,-16.05,-35.2,482.84999999999854,EntryPreparationState,lower,20877.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,11652.218
2023-01-18 17:00:00,20848.0,21150.0,20737.5,20877.5,36139.095,756637833.1304998,2023-01-18 17:00:00,1.262e-05,-0.000508,51636.245,35.97,21311.96,21030.3,21171.13,21452.79,20889.47,21593.62,20748.64,-42.28,4.2,-46.48,19.31,29.89,23.08,25.52,15217.8705,2223.1,293.630000000001,105.95,1.21,21154.5,20992.22,575.2900000000009,11.970000000001164,114.72000000000116,277.0,-34.03,5.969999999999999,-10.580000000000002,-46.480000000000004,563.3199999999997,PositionState,lower,20877.5,20855.0,0.0,22.5,203.5,-46.5,95.58695652173913,0,190.5500000000029,None,11652.218
2023-01-22 14:00:00,22904.0,23042.5,22865.5,22996.5,5025.53,115334764.885,2023-01-22 14:00:00,0.0001,-0.000204,47140.51,58.9,23010.63,22727.12,22868.87,23152.38,22585.37,23294.13,22443.61,71.4,96.07,-24.66,22.98,16.05,28.58,40.73,3719.527285714287,-63.68,-127.63000000000102,-94.97,5.98,22893.88,22924.66,155.88000000000102,-411.130000000001,-71.84000000000015,-102.61999999999898,-11.100000000000001,28.9,6.93,-24.669999999999987,567.010000000002,None,None,22590.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,3989.558
