,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,bb_direction,state,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,profit_ma
10,1696597200.0,27231.4,27696.2,27132.0,27510.9,24205.726,663591771.8505,2023-10-06 13:00:00,5.197e-05,-0.00055,62714.889,48.48,27655.3,27434.6,27544.95,27765.66,27324.25,27876.01,27213.9,-12.55,-10.31,-2.24,14.65,27.81,17.72,19.13,6227.0902857142855,1656.98,34.04999999999927,1.22,-5.15,27556.92,27503.47,254.7599999999984,-186.65000000000146,-7.430000000000291,46.0199999999968,-21.520000000000003,18.479999999999997,-13.159999999999998,-2.24,441.40999999999985,lower,PositionState,27510.9,27655.5,,-144.59999999999854,-144.59999999999854,-144.59999999999854,-144.59999999999854,-60.80999999999767
11,1696600800.0,27510.9,27695.0,27451.0,27655.5,9838.307,271414769.0772,2023-10-06 14:00:00,5.197e-05,-0.000361,61763.328,53.61,27669.98,27440.97,27555.48,27784.49,27326.47,27898.99,27211.97,-2.22,-8.69,6.47,13.27,25.2,18.67,19.2,6797.565357142857,570.47,-100.02000000000044,12.38,-2.96,27575.65,27564.28,128.9900000000016,-329.02999999999884,-91.22000000000116,-79.84999999999854,-16.39,23.61,-11.93,6.469999999999999,458.02000000000044,lower,,27510.9,27655.5,-144.59999999999854,,,,,
12,1696604400.0,27655.5,28043.1,27620.0,27931.0,21019.722,585628265.0008,2023-10-06 15:00:00,5.197e-05,-0.000346,61447.604,61.48,27735.52,27446.97,27591.24,27879.8,27302.69,28024.07,27158.41,27.87,-1.37,29.25,23.56,21.44,17.67,18.1,8077.539285714286,1279.97,-339.7599999999984,137.92,12.66,27626.04,27710.97,-51.20000000000073,-628.3100000000013,-220.02999999999884,-304.9599999999991,-8.520000000000003,31.479999999999997,2.1199999999999974,29.240000000000002,577.1100000000006,upper,EntryPreparationState,,,,,,,,
13,1696608000.0,27931.0,28014.4,27787.4,27864.2,11023.43,307459487.9526,2023-10-06 16:00:00,4.57e-06,-0.000598,62380.432,58.87,27776.04,27458.43,27617.24,27934.85,27299.63,28093.66,27140.82,45.81,8.05,37.75,21.69,19.74,16.75,17.08,8640.487642857142,562.94,-246.95999999999913,153.41,10.12,27652.57,27772.26,70.64999999999782,-564.5699999999997,-91.94000000000233,-211.63000000000102,-11.130000000000003,28.869999999999997,1.9500000000000028,37.760000000000005,635.2199999999975,upper,PositionState,27864.2,27871.6,,7.399999999997817,159.39999999999782,-5.600000000002183,56.242307692306824,129.12000000000262
14,1696611600.0,27864.2,27995.3,27773.8,27945.9,6166.941,172029073.0187,2023-10-06 17:00:00,4.57e-06,-0.000417,63280.579,61.05,27824.85,27472.23,27648.54,28001.15,27295.92,28177.46,27119.62,65.86,19.61,46.24,20.02,18.69,15.79,16.28,9006.096214285715,365.6,-297.3600000000006,125.06,-2.49,27691.02,27841.71,55.25,-649.9800000000032,-104.19000000000233,-254.88000000000102,-8.950000000000003,31.049999999999997,1.3299999999999983,46.25,705.2300000000032,upper,PositionState,27864.2,27871.6,81.70000000000073,,,,,
15,1696615200.0,27945.9,27980.0,27851.4,27889.6,3875.134,108146613.5782,2023-10-06 18:00:00,4.57e-06,-0.000513,63627.878,58.74,27855.15,27487.84,27671.5,28038.81,27304.19,28222.46,27120.53,76.32,30.96,45.36,19.1,17.83,14.91,15.63,9154.3395,148.24,-218.09999999999854,95.69,-1.72,27714.83,27860.87,149.21000000000276,-585.4099999999999,-28.729999999999563,-174.7699999999968,-11.259999999999998,28.740000000000002,1.2700000000000031,45.35999999999999,734.6200000000026,upper,PositionState,27864.2,27871.6,25.399999999997817,,,,,
16,1696618800.0,27889.6,28029.8,27860.1,27936.9,5117.39,143064073.8004,2023-10-06 19:00:00,4.57e-06,-0.000432,63568.456,60.11,27886.45,27507.1,27696.77,28076.12,27317.42,28265.8,27127.75,87.42,42.25,45.17,19.73,16.74,14.43,15.27,9423.671571428571,269.33,-240.13000000000102,61.73,0.8,27745.93,27891.28,139.21999999999753,-619.4800000000032,-45.62000000000262,-190.97000000000116,-9.89,30.11,2.990000000000002,45.17,758.7000000000007,upper,PositionState,27864.2,27871.6,72.70000000000073,,,,,
17,1696622400.0,27936.9,28003.8,27876.4,27966.8,2676.461,74804819.5761,2023-10-06 20:00:00,4.57e-06,-0.000397,63606.367,60.99,27919.6,27525.38,27722.49,28116.71,27328.27,28313.82,27131.15,97.51,53.3,44.2,18.8,15.95,13.99,14.73,9508.310642857143,84.63,-244.30999999999767,67.04,0.48,27770.24,27921.48,149.90999999999985,-638.5299999999988,-45.31999999999971,-196.55999999999767,-9.009999999999998,30.990000000000002,2.8500000000000014,44.21000000000001,788.4399999999987,upper,PositionState,27864.2,27871.6,102.59999999999854,,,,,
18,1696626000.0,27966.8,28285.0,27913.9,28023.6,12263.073,344909876.4502,2023-10-06 21:00:00,4.57e-06,-0.000476,63933.973,62.67,27959.27,27543.06,27751.17,28167.37,27334.96,28375.47,27126.86,108.83,64.41,44.42,26.15,13.89,15.17,15.12,10023.265357142856,514.95,-272.4300000000003,84.56,8.47,27858.26,27962.33,143.77000000000044,-688.6399999999994,-61.2699999999968,-165.34000000000015,-7.329999999999998,32.67,12.259999999999998,44.42,832.4099999999999,upper,PositionState,27864.2,27871.6,159.39999999999782,,,,,
19,1696629600.0,28023.6,28120.0,27953.1,27957.3,5057.794,141799854.903,2023-10-06 22:00:00,4.57e-06,-0.000435,64727.951,59.45,27983.07,27558.52,27770.8,28195.34,27346.25,28407.62,27133.98,111.18,73.76,37.41,24.61,13.08,16.27,15.63,10083.815785714285,60.55,-186.5,67.34,6.61,27907.86,27960.32,238.04000000000087,-611.0499999999993,3.0200000000004366,-49.43999999999869,-10.549999999999997,29.450000000000003,11.53,37.42,849.0900000000001,upper,PositionState,27864.2,27871.6,93.09999999999854,,,,,
