,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction,profit_ma
0,1704297600.0,43011.3,43615.5,41728.4,42616.6,60779.989,2602347659.308,2024-01-03 16:00:00,0.0001,0.00044394,57831.186,38.59,45091.55,42623.57,43857.56,46325.53,41389.58,47559.52,40155.6,272.36,487.63,-215.26,14.26,37.23,31.59,25.14,37715.53064285714,3801.74,1240.9599999999991,-149.82,-2.56,44502.34,43602.02,3708.9300000000003,-1227.0199999999968,985.4199999999983,1885.739999999998,-31.409999999999997,8.590000000000003,-22.97,-215.26999999999998,4935.949999999997,IdleState,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
1,1704312000.0,42616.6,42995.0,42535.2,42871.9,14760.097,631473747.7425,2024-01-03 20:00:00,0.0001,0.00070958,56854.362,41.7,44979.36,42548.01,43763.69,46195.04,41332.33,47410.72,40116.65,162.27,422.56,-260.28,13.77,35.96,32.52,25.75,38225.37242857142,509.84,891.7900000000009,-208.44,-1.44,44210.78,43309.97,3323.1399999999994,-1539.5699999999997,438.0699999999997,1338.8799999999974,-28.299999999999997,11.700000000000003,-22.19,-260.28999999999996,4862.709999999999,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2,1704326400.0,42871.9,43270.0,42637.0,43141.4,13765.715,591319792.8079,2024-01-04 00:00:00,0.0001,0.00083107,57947.856,44.88,44900.34,42508.5,43704.42,46096.26,41312.58,47292.18,40116.66,95.66,357.18,-261.51,15.2,34.22,32.95,26.61,37962.553785714284,-262.81,563.0199999999968,-209.51,2.68,43978.68,43242.54,2954.8600000000006,-1828.8199999999997,101.13999999999942,837.2799999999988,-25.119999999999997,14.880000000000003,-19.02,-261.52,4783.68,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
3,1704340800.0,43141.4,43317.1,42773.0,42795.3,16254.887,700368597.0251,2024-01-04 04:00:00,0.0001,0.00066789,59001.531,41.73,44786.79,42448.88,43617.84,45955.74,41279.93,47124.7,40110.98,14.78,288.7,-273.91,14.92,32.76,33.26,28.0,37054.874142857145,-907.67,822.5399999999936,-206.65,2.61,43723.87,43063.64,3160.439999999995,-1515.3700000000026,268.3399999999965,928.5699999999997,-28.270000000000003,11.729999999999997,-17.839999999999996,-273.92,4675.809999999998,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
4,1704355200.0,42795.3,43268.9,42677.4,43205.0,16389.839,704465977.2405,2024-01-04 08:00:00,0.0001,0.00049805,59045.21,46.51,44706.25,42450.79,43578.52,45833.98,41323.05,46961.72,40195.32,-16.07,227.74,-243.82,14.21,31.97,33.63,29.4,34517.26557142857,-2537.6,373.5199999999968,-305.4,-0.19,43525.65,43120.18,2628.980000000003,-1881.949999999997,-84.81999999999971,320.65000000000146,-23.490000000000002,16.509999999999998,-17.759999999999998,-243.81,4510.93,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
5,1704369600.0,43205.0,44390.0,43121.4,44089.9,43344.208,1894872101.5531,2024-01-04 12:00:00,0.0001,0.00066669,58335.797,55.07,44705.76,42548.68,43627.22,45784.31,41470.13,46862.85,40391.59,30.52,188.3,-157.77,21.57,28.8,32.26,29.9,36266.11521428571,1748.84,-462.6800000000003,-318.5,9.81,43390.17,43508.07,1694.4099999999962,-2619.770000000004,-581.8300000000017,-699.7300000000032,-14.93,25.07,-7.23,-157.78,4314.18,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
6,1704384000.0,44089.9,44477.9,43806.1,43962.8,32424.294,1429505814.5447,2024-01-04 16:00:00,0.0001,0.00016736,60434.133,53.74,44695.46,42622.9,43659.18,45731.75,41586.61,46768.03,40550.33,56.54,161.95,-105.4,21.11,27.25,30.86,29.82,36555.97964285714,289.86,-303.6200000000026,-218.71,8.44,43270.04,43689.96,1768.949999999997,-2376.1900000000023,-272.8400000000038,-692.760000000002,-16.259999999999998,23.740000000000002,-6.140000000000001,-105.41,4145.139999999999,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
7,1704398400.0,43962.8,44875.5,43910.1,44156.3,42499.03,1886738054.0754,2024-01-04 20:00:00,0.0001,0.0,58369.382,55.51,44700.17,42712.88,43706.52,45693.82,41719.23,46687.46,40725.59,91.72,147.9,-56.18,22.65,25.17,29.03,29.39,37031.69092857143,475.71,-449.7800000000061,-223.11,3.15,43316.72,43876.49,1537.5199999999968,-2437.0699999999997,-279.81000000000495,-839.5800000000017,-14.490000000000002,25.509999999999998,-2.520000000000003,-56.18000000000001,3974.5899999999965,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
8,1704412800.0,44156.3,44293.0,42181.0,43472.0,51159.327,2224092451.026,2024-01-05 00:00:00,0.0001,2.834e-05,57238.537,48.47,44681.04,42687.34,43684.19,45677.89,41690.48,46674.74,40693.63,63.65,131.05,-67.4,19.19,33.83,28.93,29.59,39016.59278571429,1984.9,212.19000000000233,-25.11,-10.57,43367.91,43714.69,2205.8899999999994,-1781.5199999999968,242.69000000000233,-104.08999999999651,-21.53,18.47,-14.639999999999997,-67.4,3987.409999999996,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
9,1704427200.0,43472.0,43950.0,43163.4,43793.8,17549.283,765554158.5163,2024-01-05 04:00:00,0.0001,0.00037393,54898.177,51.58,44694.66,42694.6,43694.63,45694.68,41694.57,46694.71,40694.54,66.6,118.16,-51.55,18.08,31.88,28.83,29.84,38686.00971428572,-330.58,-99.17000000000553,-3.22,-2.62,43498.71,43746.33,1900.8799999999974,-2099.230000000003,-47.470000000001164,-295.0900000000038,-18.42,21.58,-13.8,-51.56,4000.1100000000006,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
