,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,bb_direction,state,entry_price,current_profit,exit_price,bb_profit,profit_max,profit_min,profit_mean,profit_ma
1604,1699743600.0,36925.0,37193.8,36802.3,37163.0,4583.173,169511544.8593,2023-11-11 23:00:00,0.00025548,0.0007345,53670.165,53.6,37171.45,37016.91,37094.18,37248.73,36939.63,37326.0,36862.36,6.94,24.04,-17.09,18.04,26.65,12.53,14.15,2664.235357142857,182.0,-68.81999999999971,7.65,5.14,37091.67,37072.26,85.7300000000032,-223.37000000000262,-90.73999999999796,-71.33000000000175,-16.4,23.6,-8.61,-17.099999999999998,309.1000000000058,lower,PositionState,37163.0,,37135.8,27.19999999999709,236.90000000000146,27.19999999999709,157.33333333333334,14.029999999998836
1633,1699848000.0,36947.3,37003.0,36844.9,36959.4,3696.528,136518841.9371,2023-11-13 04:00:00,0.00031492,0.00074584,54587.931,41.2,37179.6,37035.89,37107.74,37251.46,36964.03,37323.31,36892.17,-8.33,12.68,-21.02,19.71,24.1,11.97,10.77,2678.764071428571,92.76,148.3399999999965,56.62,-4.48,37119.32,37033.94,292.0599999999977,4.629999999997381,74.54000000000087,159.91999999999825,-28.799999999999997,11.200000000000003,-4.390000000000001,-21.009999999999998,287.4300000000003,lower,PositionState,36959.4,,36677.5,281.90000000000146,693.0,-104.5,214.10384615384717,431.9800000000032
1669,1699977600.0,36173.6,36467.6,36137.1,36300.0,9489.837,344634115.0146,2023-11-14 16:00:00,0.00011821,0.00069522,56813.068,41.21,36677.12,36371.01,36524.06,36830.17,36217.96,36983.22,36064.9,-116.3,-105.85,-10.44,12.34,38.82,40.0,39.36,6434.872428571429,545.31,224.05999999999767,-76.33,-2.29,36453.18,36351.35,530.1699999999983,-82.04000000000087,51.349999999998545,153.1800000000003,-28.79,11.21,-26.48,-10.450000000000003,612.2099999999991,lower,PositionState,36300.0,,35813.9,486.09999999999854,1046.5,182.1999999999971,746.6062499999989,674.7200000000012
1835,1700575200.0,37031.6,37039.5,36424.0,36653.9,22769.256,836711182.2297,2023-11-21 14:00:00,0.0001,0.00056948,58194.24,29.42,37468.16,37044.63,37256.4,37679.92,36832.87,37891.69,36621.11,-65.35,20.92,-86.28,8.53,39.08,28.86,27.21,4313.596714285714,1362.12,602.5,300.04,-15.56,37211.53,36963.02,1026.0199999999968,178.97000000000116,309.11999999999534,557.6299999999974,-40.58,-0.5799999999999983,-30.549999999999997,-86.27,847.0499999999956,lower,PositionState,36653.9,,36702.3,-48.400000000001455,912.8000000000029,-546.0,79.68421052631732,386.41999999999825
1954,1701003600.0,37649.6,37650.0,37331.0,37536.0,6288.602,235741851.9138,2023-11-26 13:00:00,0.0001,0.00035059,58424.812,32.27,37791.08,37657.59,37724.34,37857.83,37590.84,37924.58,37524.09,-22.13,1.46,-23.59,9.25,32.86,17.65,19.11,1999.6245000000006,413.93,188.3399999999965,90.46,1.53,37724.03,37632.67,321.83000000000175,54.83999999999651,96.66999999999825,188.02999999999884,-37.73,2.270000000000003,-23.61,-23.59,266.99000000000524,lower,PositionState,37536.0,,37611.7,-75.69999999999709,294.0,-75.69999999999709,160.3857142857149,178.6999999999971
1976,1701082800.0,37112.5,37153.9,36865.0,37035.3,9220.193,341572721.4704,2023-11-27 11:00:00,0.0001,-0.00014383,58799.374,31.19,37519.86,37207.13,37363.49,37676.22,37050.76,37832.59,36894.4,-112.38,-88.25,-24.13,11.53,39.17,35.11,31.94,3948.4232142857145,467.87,328.18999999999505,75.18,-3.0,37272.88,37165.48,640.9199999999983,15.459999999999127,130.1800000000003,237.57999999999447,-38.81,1.1900000000000013,-27.64,-24.129999999999995,625.4599999999991,lower,PositionState,37035.3,,37091.5,-56.19999999999709,274.5,-56.19999999999709,95.12727272727551,161.92000000000553
2215,1701943200.0,43392.0,43471.5,43062.7,43170.0,13585.343,587364046.9471,2023-12-07 10:00:00,0.00010721,0.00062149,63054.111,33.16,43965.76,43538.92,43752.34,44179.18,43325.5,44392.6,43112.08,-17.78,90.69,-108.48,13.06,32.08,25.7,29.07,5639.099285714286,665.14,582.3399999999965,254.87,-1.55,43776.14,43453.58,1009.1800000000003,155.5,283.58000000000175,606.1399999999994,-36.84,3.1599999999999966,-19.019999999999996,-108.47,853.6800000000003,lower,PositionState,43170.0,,43706.6,-536.5999999999985,-51.69999999999709,-536.5999999999985,-270.6599999999991,-83.68000000000029
2287,1702202400.0,43637.6,43764.8,43637.6,43739.1,2817.32,123110063.5083,2023-12-10 10:00:00,0.0003097,0.00091618,59845.521,43.23,44002.33,43768.75,43885.54,44119.12,43651.96,44235.91,43535.17,-45.88,-24.12,-21.76,14.36,26.44,22.65,19.86,2605.793785714287,93.35,146.44000000000233,31.61,-0.78,43859.22,43773.01,380.0200000000041,-87.13999999999942,33.91000000000349,120.12000000000262,-26.770000000000003,13.229999999999997,-12.080000000000002,-21.76,467.1600000000035,lower,PositionState,43739.1,,43924.8,-185.70000000000437,-33.599999999998545,-185.70000000000437,-109.65000000000146,-60.63999999999942
2303,1702260000.0,43264.4,43280.9,40167.7,42002.6,62533.988,2621453482.6614,2023-12-11 02:00:00,0.00033285,0.00086895,61357.424,14.87,44051.27,43202.8,43627.03,44475.5,42778.57,44899.73,42354.34,-206.95,-65.2,-141.74,6.79,68.03,20.25,20.54,7613.055285714286,4298.08,1624.4300000000003,1134.19,-45.73,43571.18,42943.77,2472.9000000000015,775.9700000000012,941.1699999999983,1568.5800000000017,-55.13,-15.13,-61.24,-141.75,1696.9300000000003,lower,PositionState,42002.6,,41892.2,110.40000000000146,1199.4000000000015,-406.8000000000029,187.87083333333248,1255.8099999999977
2343,1702404000.0,40716.9,41463.6,40683.9,41347.9,12648.123,521008253.967,2023-12-12 18:00:00,0.0001,0.00067188,60598.728,44.33,41882.39,41277.71,41580.05,42184.73,40975.37,42487.07,40673.03,-204.72,-175.67,-29.04,13.02,29.14,36.98,45.08,7777.509500000001,566.36,232.15000000000146,26.18,2.34,41499.72,41247.05,836.8300000000017,-372.52999999999884,-100.84999999999854,151.8199999999997,-25.67,14.329999999999998,-16.12,-29.05000000000001,1209.3600000000006,lower,PositionState,41347.9,,41526.0,-178.09999999999854,211.20000000000437,-178.09999999999854,72.46000000000204,-99.7899999999936
