start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction,profit_ma,entry_type,entry_volume
2020-08-05 10:00:00,11389.5,11427.0,11373.0,11393.0,335.253,3819537.429,2020-08-05 10:00:00,0.0001,0.0001,5102.35999999,66.95,11329.64,11207.56,11268.6,11390.68,11146.52,11451.72,11085.48,28.06,6.81,21.25,31.07,19.37,18.58,20.27,193.58778571428573,12.94,-124.39999999999964,71.29,8.75,11288.88,11351.37,-2.319999999999709,-246.47999999999956,-41.6299999999992,-104.1200000000008,-3.049999999999997,36.95,11.7,21.25,244.15999999999985,PositionState,upper,11393.0,11740.0,0.0,347.0,477.5,0.0,305.7083333333333,0,453.7599999999984,None,300.037
2020-08-10 02:00:00,11855.0,12058.0,11855.0,11997.5,1799.255,21586561.8625,2020-08-10 02:00:00,0.0001,0.00052,5079.908,75.33,11809.5,11611.33,11710.41,11908.58,11512.24,12007.67,11413.15,38.34,1.82,36.52,45.34,13.35,21.21,19.7,483.8748571428572,115.66,-287.09000000000015,186.45,23.08,11728.5,11855.41,-88.92000000000007,-485.2600000000002,-142.09000000000015,-269.0,5.329999999999998,45.33,31.990000000000002,36.52,396.34000000000015,PositionState,upper,11997.5,11690.5,0.0,-307.0,22.5,-307.0,-45.111111111111114,0,4.0900000000001455,None,819.051
2020-08-13 22:00:00,11703.0,11790.0,11702.5,11736.0,1387.182,16279967.952,2020-08-13 22:00:00,0.0001,0.001502,5709.848,66.17,11638.14,11483.73,11560.93,11715.34,11406.52,11792.55,11329.32,31.14,7.87,23.27,32.35,15.8,18.41,21.07,893.415357142857,16.71,-175.0699999999997,93.47,9.48,11574.38,11662.55,-20.659999999999854,-329.47999999999956,-73.45000000000073,-161.6200000000008,-3.8299999999999983,36.17,16.55,23.27,308.8199999999997,PositionState,upper,11736.0,11769.5,0.0,33.5,200.0,-50.5,61.76923076923077,0,170.09000000000015,None,514.29
2020-08-17 14:00:00,12127.0,12204.0,12107.0,12170.0,1956.067,23805335.39,2020-08-17 14:00:00,0.00047435,0.001614,5111.26,76.96,12006.86,11824.29,11915.58,12098.14,11733.01,12189.42,11641.73,46.43,14.9,31.52,38.2,9.05,17.91,14.86,1236.6911428571427,99.15,-254.42000000000007,196.71,18.79,11930.05,12058.38,-71.86000000000058,-436.9899999999998,-111.6200000000008,-239.95000000000073,6.959999999999994,46.959999999999994,29.150000000000002,31.53,365.1299999999992,PositionState,upper,12170.0,12241.0,0.0,71.0,269.5,0.0,147.65,0,201.11000000000058,None,2852.957
2020-08-24 07:00:00,11754.0,11784.5,11746.5,11763.0,337.857,3974211.891,2020-08-24 07:00:00,0.0001,0.000532,5021.392,69.22,11710.13,11621.49,11665.81,11754.44,11577.18,11798.76,11532.86,26.98,17.17,9.8,37.65,14.76,23.53,21.9,138.3112857142857,21.3,-97.19000000000051,6.42,10.26,11679.55,11724.49,-8.55999999999949,-185.8199999999997,-38.51000000000022,-83.45000000000073,-0.7800000000000011,39.22,22.89,9.809999999999999,177.26000000000022,PositionState,upper,11763.0,11694.0,0.0,-69.0,34.0,-69.0,-2.375,0,8.090000000000146,None,191.973
2020-08-29 08:00:00,11559.0,11564.5,11532.0,11537.0,143.972,1661004.964,2020-08-29 08:00:00,0.0001,0.000266,4942.682,60.32,11519.62,11463.11,11491.37,11547.88,11434.86,11576.13,11406.6,30.58,29.34,1.23,30.15,8.59,33.71,28.65,99.85085714285715,5.25,-45.6299999999992,12.09,4.8,11508.94,11532.03,10.8799999999992,-102.13999999999942,-4.969999999999345,-28.05999999999949,-9.68,30.32,21.56,1.2399999999999984,113.01999999999862,PositionState,upper,11537.0,11460.0,0.0,-77.0,3.5,-77.0,-24.5,0,-26.780000000000655,None,105.372
2020-08-30 02:00:00,11617.0,11627.0,11607.0,11625.0,118.031,1372110.375,2020-08-30 02:00:00,0.0001,-0.000196,4947.624,68.25,11565.87,11472.56,11519.21,11612.53,11425.9,11659.19,11379.24,23.88,14.63,9.24,34.31,15.59,21.8,24.1,128.6687142857143,-0.07,-105.79000000000087,60.47,14.33,11531.77,11577.28,-12.469999999999345,-199.10000000000036,-47.719999999999345,-93.22999999999956,-1.75,38.25,18.720000000000002,9.249999999999998,186.63000000000102,PositionState,upper,11625.0,11628.0,0.0,3.0,85.0,-60.0,9.366666666666667,0,80.06999999999971,None,105.706
2020-08-31 13:00:00,11720.0,11775.0,11708.5,11726.5,365.993,4291816.9145,2020-08-31 13:00:00,0.0001,0.001495,4908.166,63.65,11694.31,11619.04,11656.68,11731.95,11581.41,11769.58,11543.78,21.01,19.38,1.63,29.14,14.35,22.93,22.73,178.15907142857142,-0.15,-69.81999999999971,25.09,3.36,11658.55,11695.43,5.450000000000728,-145.09000000000015,-31.06999999999971,-67.95000000000073,-6.350000000000001,33.65,14.790000000000001,1.6300000000000026,150.54000000000087,PositionState,upper,11726.5,11681.0,0.0,-45.5,19.5,-45.5,-3.5,0,12.090000000000146,None,244.134
2020-09-01 06:00:00,11796.0,11880.0,11785.0,11870.5,570.693,6774411.2565,2020-09-01 06:00:00,0.00013918,0.001152,4629.454,72.83,11759.58,11644.12,11701.85,11817.31,11586.39,11875.04,11528.66,26.4,12.4,13.99,37.01,20.25,22.3,23.21,195.95021428571428,31.79,-168.64999999999964,62.92,16.54,11696.66,11782.55,-53.19000000000051,-284.1100000000006,-87.95000000000073,-173.84000000000015,2.8299999999999983,42.83,16.759999999999998,13.999999999999998,230.92000000000007,PositionState,upper,11870.5,11896.5,0.0,26.0,184.0,0.0,80.76315789473684,0,157.82999999999993,None,752.684
2020-09-07 23:00:00,10386.0,10414.5,10349.5,10378.0,221.806,2301902.668,2020-09-07 23:00:00,0.0001,0.000328,2803.558,64.14,10285.84,10086.89,10186.37,10385.31,9987.42,10484.78,9887.95,24.69,-8.08,32.77,28.29,16.5,22.36,23.69,442.61107142857134,5.1,-191.6299999999992,120.46,12.25,10212.27,10299.43,7.309999999999491,-390.5799999999999,-78.56999999999971,-165.72999999999956,-5.859999999999999,34.14,11.79,32.77,397.8899999999994,PositionState,upper,10378.0,10181.5,0.0,-196.5,0.0,-196.5,-83.35,0,-56.659999999999854,None,503.62
