,Unnamed: 0.1,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction,entry_volume
11,57,189,1641646800000.0,41900.0,42100.0,41550.0,41885.0,2671.072,111746317.112,2022-01-08 13:00:00,0.0001,-0.000536,16597.066,46.74,42074.54,41807.31,41940.92,42208.15,41673.69,42341.77,41540.07,-78.66,-121.85,43.18,16.7,26.24,24.09,29.87,1400.2068571428572,107.86,55.919999999998254,-46.16,-2.84,41943.0,41906.51,323.15000000000146,-211.30999999999767,21.51000000000204,58.0,-23.26,16.740000000000002,-9.54,43.19,,,40845.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6390.18
12,58,190,1641650400000.0,41885.0,41970.0,41683.0,41739.5,1274.249,53323778.952,2022-01-08 14:00:00,0.0001,-8.1e-05,16604.49399999,43.4,42053.91,41789.56,41921.74,42186.09,41657.39,42318.26,41525.22,-87.02,-114.88,27.86,15.79,24.82,23.96,29.06,1345.9852857142855,-54.22,182.239999999998,-18.98,-1.38,41919.27,41823.0,446.5899999999965,-82.11000000000058,83.5,179.7699999999968,-26.6,13.4,-9.03,27.86,,,40845.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6390.18
13,59,191,1641654000000.0,41739.5,41788.0,41358.0,41609.5,3385.076,140810810.899,2022-01-08 15:00:00,0.0001,-3.2e-05,16561.238,40.61,42034.03,41749.97,41892.0,42176.06,41607.95,42318.08,41465.92,-102.94,-112.49,9.55,14.52,28.89,24.61,28.84,1447.1454285714285,101.16,282.5,17.34,-6.25,41885.38,41716.25,566.5599999999977,-1.5500000000029104,106.75,275.8799999999974,-29.39,10.61,-14.37,9.549999999999995,,,40845.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6390.18
14,60,192,1641657600000.0,41609.5,41715.0,41253.0,41349.0,3066.9,127187422.317,2022-01-08 16:00:00,0.0001,0.000322,16705.143,35.66,42019.8,41660.78,41840.29,42199.31,41481.27,42378.82,41301.76,-135.02,-117.0,-18.02,13.29,28.37,25.44,28.77,1587.0282142857145,139.88,491.2900000000009,139.9,-1.98,41822.44,41532.62,850.3099999999977,132.2699999999968,183.62000000000265,473.4400000000023,-34.34,5.659999999999997,-15.080000000000002,-18.02000000000001,EnterPreparationState,lower,40845.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6390.18
15,61,193,1641661200000.0,41349.0,41398.5,40808.0,40845.0,6225.291,256143278.531,2022-01-08 17:00:00,0.0001,0.000213,16688.766,28.44,42024.6,41466.39,41745.5,42303.7,41187.29,42582.8,40908.19,-198.82,-133.36,-65.45,11.9,33.29,27.0,29.0,1961.8585714285716,374.83,900.5,421.61,-7.53,41700.16,41188.81,1458.699999999997,342.2900000000009,343.8099999999977,855.1600000000035,-41.56,-1.5599999999999987,-21.39,-65.45999999999998,PositionState,lower,40845.0,41782.0,0.0,-937.0,154.0,-937.0,-192.9,0,6390.18
16,98,230,1641794400000.0,42016.5,42037.0,41831.0,41917.5,1431.252,59998611.3555,2022-01-10 06:00:00,0.0001,-0.000434,17452.61699999,49.74,42240.37,41664.27,41952.32,42528.42,41376.21,42816.48,41088.16,49.03,63.47,-14.43,21.3,22.1,10.31,11.78,1760.0052857142855,-97.94,34.81999999999971,-56.3,-4.0,41944.61,41973.64,610.9199999999983,-541.2900000000009,56.13999999999942,27.110000000000586,-20.26,19.74,-0.8000000000000007,-14.439999999999998,,,40791.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23192.538
17,99,231,1641798000000.0,41917.5,42128.0,41900.0,42019.5,1561.078,65594549.9735,2022-01-10 07:00:00,0.0001,-0.000407,17490.444,51.81,42245.58,41671.85,41958.72,42532.44,41384.99,42819.31,41098.13,48.46,60.47,-12.0,22.22,21.0,9.78,11.12,1687.574357142857,-72.43,-60.77999999999884,-25.62,1.03,41926.05,41996.57,512.9400000000023,-634.510000000002,-22.93000000000029,-93.44999999999708,-18.19,21.81,1.2199999999999989,-12.009999999999998,,,40791.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23192.538
18,100,232,1641801600000.0,42019.5,42070.0,41713.0,41805.0,1846.121,77253123.191,2022-01-10 08:00:00,0.0001,-3.5e-05,17475.22399999,47.39,42229.05,41659.11,41944.08,42514.02,41374.14,42798.99,41089.17,30.35,54.44,-24.09,20.5,23.43,9.56,11.24,1692.3945714285717,4.82,139.08000000000175,-3.55,-3.23,41920.38,41900.78,709.0199999999968,-430.8600000000006,95.77999999999884,115.37999999999738,-22.61,17.39,-2.93,-24.09,,,40791.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23192.538
19,101,233,1641805200000.0,41805.0,41900.0,41715.0,41796.0,1432.128,59897929.168,2022-01-10 09:00:00,0.0001,4.5e-05,17265.526,47.2,42196.86,41663.09,41929.97,42463.74,41396.21,42730.62,41129.33,15.1,46.58,-31.47,19.65,22.46,9.35,11.38,1537.0250714285717,-155.36,133.97000000000116,-90.77,-1.6,41935.22,41848.39,667.739999999998,-399.7900000000009,52.38999999999942,139.22000000000116,-22.8,17.200000000000003,-2.8100000000000023,-31.48,,,40791.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23192.538
20,102,234,1641808800000.0,41796.0,41960.0,41755.0,41786.5,1151.668,48208620.024,2022-01-10 10:00:00,0.0001,5.7e-05,17425.248,47.0,42168.27,41664.35,41916.31,42420.22,41412.39,42672.18,41160.44,2.22,37.7,-35.48,20.1,21.4,8.9,11.23,1498.1507857142856,-38.87,129.80999999999767,-109.97,0.66,41931.44,41817.44,633.7200000000012,-374.1100000000006,30.94000000000233,144.94000000000233,-23.0,17.0,-1.2999999999999972,-35.480000000000004,,,40791.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23192.538
21,103,235,1641812400000.0,41786.5,41787.0,41483.5,41567.5,3340.418,139032273.533,2022-01-10 11:00:00,0.0001,0.000256,17367.722,42.41,42140.15,41626.03,41883.09,42397.22,41368.96,42654.28,41111.9,-25.36,25.09,-50.45,18.7,26.16,9.46,11.25,1672.9312142857143,174.78,315.5899999999965,-23.08,-5.71,41891.38,41692.47,829.7200000000012,-198.54000000000087,124.97000000000116,323.8799999999974,-27.590000000000003,12.409999999999997,-7.460000000000001,-50.45,,,40791.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23192.538
22,104,236,1641816000000.0,41567.5,41614.5,40950.0,40968.0,5809.468,239633860.4245,2022-01-10 12:00:00,0.0001,0.000212,17726.588,32.94,42135.74,41456.14,41795.94,42475.53,41116.34,42815.33,40776.54,-94.5,1.17,-95.68,16.05,33.82,11.33,11.97,1998.477357142857,325.54,827.9400000000023,307.93,-11.71,41783.38,41330.23,1507.5299999999988,148.3399999999965,362.2300000000032,815.3799999999974,-37.06,2.9399999999999977,-17.77,-95.67,EnterPreparationState,lower,40791.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23192.538
23,105,237,1641819600000.0,40968.0,41068.0,40750.0,40791.0,5279.071,215949177.579,2022-01-10 13:00:00,0.0001,0.000417,17959.899,30.76,42120.56,41279.9,41700.23,42540.89,40859.57,42961.22,40439.24,-161.72,-31.4,-130.32,14.96,35.8,13.45,13.04,2192.7404285714288,194.26,909.2300000000032,400.43,-5.71,41629.72,41060.61,1749.8899999999994,68.56999999999971,269.6100000000006,838.7200000000012,-39.24,0.7600000000000016,-20.84,-130.32,PositionState,lower,40791.0,41899.0,0.0,-1108.0,2.0,-1108.0,-325.25,0,23192.538
24,175,307,1642071600000.0,43770.5,43810.5,43500.0,43619.0,2184.623,95358259.4755,2022-01-13 11:00:00,9.117e-05,-7.5e-05,17688.284,54.1,43713.71,43488.45,43601.08,43826.34,43375.82,43938.97,43263.19,181.73,226.08,-44.34,26.94,16.52,42.78,43.5,1261.278428571429,-85.79,-17.919999999998254,-0.68,-9.28,43696.88,43704.69,207.3399999999965,-243.1800000000003,85.69000000000233,77.87999999999738,-15.9,24.1,10.420000000000002,-44.35000000000002,PositionState,upper,42726.5,43197.5,1080.0,0.0,0.0,0.0,0.0,0,2623.878
25,176,308,1642075200000.0,43619.0,43789.0,43600.0,43788.5,1264.661,55299181.3735,2022-01-13 12:00:00,9.117e-05,-0.0002,17742.951,58.73,43730.79,43507.07,43618.93,43842.65,43395.21,43954.5,43283.35,175.94,216.05,-40.1,25.62,15.72,41.44,43.55,1290.5435714285718,29.26,-169.5699999999997,-8.54,-2.81,43729.5,43746.59,54.150000000001455,-393.2900000000009,-41.91000000000349,-59.0,-11.270000000000003,28.73,9.9,-40.110000000000014,PositionState,upper,42726.5,43197.5,1249.5,0.0,0.0,0.0,0.0,0,2623.878
26,177,309,1642078800000.0,43788.5,43926.5,43663.0,43897.0,1524.474,66794774.788,2022-01-13 13:00:00,9.117e-05,-0.000489,17890.38,61.41,43761.92,43528.91,43645.41,43878.42,43412.4,43994.93,43295.9,178.05,208.45,-30.39,27.44,14.64,40.65,43.45,1317.233428571429,26.68,-251.5899999999965,34.88,1.58,43760.61,43821.79,-18.580000000001743,-484.59999999999854,-75.20999999999913,-136.38999999999942,-8.590000000000003,31.41,12.8,-30.399999999999977,PositionState,upper,42726.5,43197.5,1358.0,0.0,0.0,0.0,0.0,0,2623.878
27,178,310,1642082400000.0,43897.0,44366.5,43842.5,44122.0,5928.683,261523622.8595,2022-01-13 14:00:00,9.117e-05,-0.000378,17920.95599999,66.3,43831.53,43550.07,43690.8,43972.26,43409.35,44112.98,43268.62,195.62,205.88,-10.25,34.65,12.77,41.04,43.63,1636.588642857143,319.35,-431.1999999999971,132.66,10.89,43810.27,43971.89,-149.73999999999796,-712.6500000000015,-150.11000000000058,-311.7300000000032,-3.700000000000003,36.3,21.88,-10.259999999999993,PositionState,upper,42726.5,43197.5,1583.0,0.0,0.0,0.0,0.0,0,2623.878
28,179,311,1642086000000.0,44122.0,44150.0,42847.5,43197.5,10605.642,459343638.3775,2022-01-13 15:00:00,9.117e-05,-0.000252,18271.645,42.48,43828.21,43459.43,43643.82,44012.59,43275.05,44196.98,43090.66,133.41,191.39,-57.97,25.83,28.97,38.52,42.36,2305.980857142857,669.39,446.3199999999997,268.46,-17.81,43754.5,43584.69,815.0899999999965,77.55000000000291,387.1900000000023,557.0,-27.520000000000003,12.479999999999997,-3.140000000000001,-57.97999999999999,IdleState,upper,42726.5,43197.5,658.5,0.0,0.0,0.0,0.0,0,2623.878
29,180,312,1642089600000.0,43197.5,43477.5,42973.5,43245.5,4780.256,206814829.085,2022-01-13 16:00:00,0.0001,-0.000117,17940.542,43.61,43815.93,43395.83,43605.88,44025.99,43185.78,44236.04,42975.73,86.98,170.51,-83.52,23.35,26.19,36.17,40.89,2575.2640714285712,269.28,360.3799999999974,143.0,-8.52,43706.72,43415.09,780.489999999998,-59.72000000000117,169.5899999999965,461.2200000000012,-26.39,13.61,-2.84,-83.52999999999999,,,42726.5,0.0,0.0,0.0,0.0,0.0,0.0,0,2623.878
30,181,313,1642093200000.0,43245.5,43245.5,42582.0,42830.0,6115.639,261910925.356,2022-01-13 17:00:00,0.0001,0.000132,18131.04599999,36.84,43812.73,43251.24,43531.99,44093.48,42970.5,44374.23,42689.75,16.47,139.7,-123.23,20.55,30.12,34.94,40.07,2920.7996428571428,345.53,701.989999999998,296.17,-9.2,43591.11,43122.54,1263.4800000000032,140.5,292.5400000000009,761.1100000000006,-33.16,6.840000000000003,-9.57,-123.23,EnterPreparationState,lower,42726.5,0.0,0.0,0.0,0.0,0.0,0.0,0,2623.878
31,182,314,1642096800000.0,42830.0,42996.5,42669.0,42726.5,2080.857,89146299.8565,2022-01-13 18:00:00,0.0001,0.000259,17989.025,35.37,43796.6,43113.95,43455.28,44137.93,42772.62,44479.26,42431.3,-47.21,102.32,-149.53,19.32,28.31,33.79,39.38,2992.807071428572,72.0,728.7799999999988,309.81,-2.21,43466.27,42924.52,1411.4300000000003,46.12000000000262,198.0199999999968,739.7699999999968,-34.63,5.369999999999997,-8.989999999999998,-149.53,PositionState,lower,42726.5,42951.5,0.0,-225.0,695.0,-225.0,147.02380952380952,0,2623.878
32,218,350,1642226400000.0,43005.5,43080.0,42902.0,43077.5,842.178,36198115.57,2022-01-15 06:00:00,0.0001,-0.000103,18125.293,54.09,43325.03,42597.64,42961.34,43688.73,42233.94,44052.43,41870.25,49.21,38.76,10.44,25.81,19.05,23.33,26.51,1317.8670000000002,-119.37,-116.16000000000348,-149.75,1.94,43040.88,43030.58,611.2300000000032,-843.5599999999977,-46.919999999998254,-36.62000000000262,-15.909999999999997,24.090000000000003,6.759999999999998,10.450000000000005,,,42909.5,0.0,0.0,0.0,0.0,0.0,0.0,0,3540.686
33,219,351,1642230000000.0,43077.5,43081.0,42950.0,43077.5,907.746,39047507.6625,2022-01-15 07:00:00,0.0001,0.0,18095.953,54.09,43276.94,42667.86,42972.4,43581.49,42363.31,43886.03,42058.77,51.77,41.36,10.41,24.98,18.42,22.75,25.32,1278.6787142857145,-39.18,-105.09999999999854,-299.19,-0.51,43021.05,43054.04,503.989999999998,-714.1900000000023,-23.459999999999127,-56.44999999999709,-15.909999999999997,24.090000000000003,6.559999999999999,10.410000000000004,,,42909.5,0.0,0.0,0.0,0.0,0.0,0.0,0,3540.686
34,220,352,1642233600000.0,43077.5,43111.0,42960.0,42996.5,669.393,28811860.471,2022-01-15 08:00:00,6.753e-05,-0.000244,18144.013,51.23,43196.96,42752.43,42974.69,43419.22,42530.16,43641.49,42307.9,46.73,42.44,4.29,24.78,17.7,22.31,25.05,1218.720785714286,-59.95,-21.80999999999767,-436.36,-0.3,43014.38,43025.27,422.7200000000012,-466.3399999999965,28.7699999999968,17.87999999999738,-18.770000000000003,21.23,7.080000000000002,4.289999999999999,,,42909.5,0.0,0.0,0.0,0.0,0.0,0.0,0,3540.686
35,221,353,1642237200000.0,42996.5,43060.0,42888.5,43059.5,863.316,37088855.841,2022-01-15 09:00:00,6.753e-05,-0.000324,18196.753,53.3,43078.29,42887.25,42982.77,43173.81,42791.73,43269.33,42696.21,47.27,43.4,3.87,23.64,18.8,21.53,24.6,1074.810785714286,-143.9,-76.7300000000032,-669.25,-2.44,43012.0,43042.38,114.30999999999769,-267.7699999999968,-17.12000000000262,-47.5,-16.700000000000003,23.3,4.84,3.870000000000005,,,43313.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2621.586
36,222,354,1642240800000.0,43059.5,43289.0,43000.0,43100.0,1956.294,84416089.62,2022-01-15 10:00:00,6.753e-05,-0.000204,18156.50999999,54.63,43087.08,42900.79,42993.93,43180.22,42807.65,43273.36,42714.51,50.39,44.8,5.59,27.92,17.35,21.66,24.88,1133.6025000000002,58.79,-106.06999999999972,-254.91,4.59,43026.83,43071.19,80.22000000000116,-292.34999999999854,-28.80999999999767,-73.16999999999825,-15.369999999999996,24.630000000000003,10.57,5.590000000000003,,,43313.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2621.586
37,223,355,1642244400000.0,43100.0,43100.5,42966.5,42993.0,981.719,42247588.739,2022-01-15 11:00:00,6.753e-05,-0.000475,18268.211,50.52,43088.11,42899.58,42993.84,43182.37,42805.32,43276.63,42711.06,43.72,44.58,-0.86,26.89,17.64,21.6,25.05,1079.6155714285717,-53.98,0.8399999999965075,10.89,2.96,43019.16,43032.09,189.37000000000265,-187.6800000000003,39.08999999999651,26.16000000000349,-19.48,20.520000000000003,9.25,-0.8599999999999994,,,43313.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2621.586
38,224,356,1642248000000.0,42993.0,43006.5,42563.0,42696.5,3415.409,146029169.0825,2022-01-15 12:00:00,6.753e-05,2.7e-05,18204.808,41.27,43084.56,42846.49,42965.53,43203.59,42727.46,43322.63,42608.42,14.35,38.54,-24.18,23.75,26.18,20.4,24.34,1247.7660714285716,168.15,269.02999999999884,101.22,-12.71,42993.44,42864.29,507.0899999999965,30.959999999999127,167.79000000000087,296.9400000000023,-28.73,11.270000000000003,-2.43,-24.19,EnterPreparationState,lower,43313.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2621.586
39,225,357,1642251600000.0,42696.5,42951.0,42661.5,42909.5,2154.395,92278604.688,2022-01-15 13:00:00,6.753e-05,-0.000428,18459.347,48.56,43078.06,42842.32,42960.19,43195.93,42724.45,43313.8,42606.58,8.16,32.46,-24.3,21.96,24.2,19.29,23.52,1317.526642857143,69.76,50.69000000000233,16.56,-2.94,42990.61,42886.89,286.4300000000003,-185.0500000000029,-22.610000000000586,81.11000000000058,-21.44,18.56,-2.2399999999999984,-24.3,PositionState,lower,43313.0,43154.0,0.0,-244.5,0.0,-244.5,-122.25,0,2621.586
40,249,381,1642338000000.0,43027.5,43231.5,42601.0,43139.0,4925.644,211097977.4755,2022-01-16 13:00:00,4.27e-05,4.9e-05,18243.763,52.53,43237.82,42920.13,43078.97,43396.66,42761.28,43555.51,42602.44,-11.42,-1.74,-9.68,18.79,29.46,13.11,17.03,1440.7806428571432,270.42,-60.02999999999884,-38.41,-8.5,43063.33,43074.83,257.6600000000035,-377.7200000000012,-64.16999999999825,-75.66999999999825,-17.47,22.53,-10.670000000000002,-9.68,,,43005.5,0.0,0.0,0.0,0.0,0.0,0.0,0,640.931
41,250,382,1642341600000.0,43139.0,43380.0,43025.0,43278.0,3476.788,150263049.369,2022-01-16 14:00:00,4.27e-05,-0.000419,18124.781,57.48,43256.17,42939.69,43097.93,43414.41,42781.45,43572.64,42623.21,6.21,-0.15,6.36,21.07,26.54,12.99,16.68,1597.7182142857146,156.93,-180.0699999999997,-10.5,1.05,43096.44,43176.41,136.4100000000035,-496.5500000000029,-101.58999999999652,-181.55999999999767,-12.520000000000003,27.48,-5.469999999999999,6.36,,,43005.5,0.0,0.0,0.0,0.0,0.0,0.0,0,640.931
