,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,bb_direction,state,entry_price,current_profit,exit_price,bb_profit,profit_max,profit_min,profit_mean,profit_ma,entry_volume
10,1694250000.0,25860.0,25891.0,25860.0,25868.7,576.863,14926095.4072,2023-09-09 09:00:00,4.25e-06,-0.000431,58878.257,47.26,25913.58,25848.74,25881.16,25946.0,25816.32,25978.42,25783.91,-22.47,-26.44,3.96,16.84,21.96,21.2,26.97,741.6175714285713,-136.17,12.459999999999129,-2.88,0.76,25861.03,25864.46,77.29999999999927,-52.38000000000102,-4.240000000001601,-7.670000000001892,-22.74,17.259999999999998,-5.120000000000001,3.9700000000000015,129.6800000000003,,,25835.8,,,,,,,,2383.132
11,1694253600.0,25868.7,25879.7,25843.3,25854.9,655.167,16940747.1421,2023-09-09 10:00:00,4.25e-06,-0.000536,58920.497,45.69,25909.86,25847.47,25878.66,25941.05,25816.27,25972.25,25785.08,-21.78,-25.51,3.72,16.2,22.88,20.91,26.04,687.7311428571429,-53.88,23.7599999999984,-6.35,-2.1,25861.0,25860.63,86.14999999999782,-38.63000000000102,5.729999999999563,6.099999999998545,-24.31,15.689999999999998,-6.68,3.73,124.77999999999884,,,25835.8,,,,,,,,2383.132
12,1694257200.0,25854.9,25857.0,25835.4,25849.7,363.564,9397391.5493,2023-09-09 11:00:00,4.25e-06,-0.000517,58901.169,45.08,25906.6,25845.2,25875.9,25937.3,25814.5,25968.0,25783.8,-21.41,-24.69,3.28,15.81,23.2,20.77,25.24,604.3778571428572,-83.35,26.200000000000728,-6.93,-1.34,25858.2,25856.26,87.59999999999854,-35.20000000000073,6.559999999997672,8.5,-24.92,15.079999999999998,-7.389999999999999,3.280000000000001,122.79999999999929,,,25835.8,,,,,,,,2383.132
13,1694260800.0,25849.7,25854.7,25838.4,25838.5,406.475,10505281.682,2023-09-09 12:00:00,4.25e-06,-0.000569,58937.383,43.73,25898.63,25846.05,25872.34,25924.92,25819.76,25951.21,25793.46,-21.76,-24.1,2.34,15.51,22.76,20.64,24.33,595.0778571428572,-9.3,33.840000000000146,-21.38,-0.25,25855.41,25849.15,86.41999999999825,-18.7400000000016,10.650000000001455,16.909999999999854,-26.270000000000003,13.729999999999997,-7.250000000000002,2.34,105.15999999999984,,,25835.8,,,,,,,,2383.132
14,1694264400.0,25838.5,25854.8,25784.8,25812.0,1830.07,47257407.1657,2023-09-09 13:00:00,4.25e-06,-0.000473,59056.78,40.63,25893.46,25839.72,25866.59,25920.33,25812.86,25947.2,25785.99,-23.91,-24.06,0.15,14.25,27.12,21.39,24.12,674.0999285714287,79.02,54.59000000000015,-10.06,-5.92,25850.36,25834.29,108.33000000000176,0.8600000000005821,22.290000000000877,38.36000000000058,-29.37,10.630000000000004,-12.87,0.1499999999999985,107.47000000000116,lower,EntryPreparationState,25835.8,,,,,,,,2383.132
15,1694268000.0,25812.0,25849.5,25812.0,25835.8,646.462,16697034.9485,2023-09-09 14:00:00,4.25e-06,-0.00043,59409.924,44.44,25885.64,25841.68,25863.66,25907.63,25819.69,25929.61,25797.71,-23.42,-23.93,0.51,13.62,25.91,22.08,23.93,663.4382142857143,-10.66,27.860000000000586,-24.11,-0.67,25851.0,25834.89,71.83000000000175,-16.110000000000582,-0.9099999999998544,15.200000000000728,-25.56,14.439999999999998,-12.29,0.509999999999998,87.94000000000233,lower,PositionState,25835.8,,25880.3,-44.5,-44.5,-44.5,-44.5,-18.15999999999985,2383.132
16,1694318400.0,25849.5,25849.5,25735.0,25820.8,3894.033,100412312.5188,2023-09-10 04:00:00,3.389e-05,-0.000433,59377.038,41.73,25879.76,25836.7,25858.23,25901.29,25815.18,25922.82,25793.65,-10.24,-8.95,-1.28,13.69,31.36,15.73,18.43,1009.6388571428572,231.96,37.43000000000029,4.76,-11.31,25858.07,25838.9,80.4900000000016,-5.619999999998981,18.100000000002183,37.27000000000044,-28.270000000000003,11.729999999999997,-17.67,-1.290000000000001,86.11000000000058,,,25784.0,,,,,,,,642.587
17,1694322000.0,25820.8,25844.4,25794.1,25834.8,886.934,22901376.9461,2023-09-10 05:00:00,3.389e-05,-0.000491,59346.278,44.72,25877.79,25834.21,25856.0,25899.59,25812.41,25921.38,25790.62,-10.9,-9.34,-1.55,12.75,29.18,17.4,18.55,902.7675714285714,-106.87,21.200000000000728,0.27,-1.32,25856.52,25837.26,64.79000000000087,-22.389999999999414,2.459999999999127,21.720000000001164,-25.28,14.72,-16.43,-1.5600000000000005,87.18000000000029,,,25784.0,,,,,,,,642.587
18,1694325600.0,25834.8,25861.0,25828.0,25842.3,763.789,19743900.4772,2023-09-10 06:00:00,3.389e-05,-0.000376,59343.466,46.31,25876.64,25832.74,25854.69,25898.59,25810.79,25920.54,25788.84,-10.69,-9.61,-1.07,14.5,27.82,18.41,18.48,866.8791428571428,-35.88,12.389999999999418,-1.08,2.17,25852.61,25839.27,56.29000000000087,-31.5099999999984,-3.029999999998836,10.31000000000131,-23.69,16.310000000000002,-13.32,-1.08,87.79999999999927,,,25784.0,,,,,,,,642.587
19,1694329200.0,25842.3,25860.0,25842.2,25842.3,478.73,12376064.4339,2023-09-10 07:00:00,3.389e-05,-0.000402,59168.486,46.31,25875.59,25831.44,25853.51,25897.67,25809.36,25919.74,25787.29,-10.41,-9.77,-0.63,14.11,27.09,19.34,18.63,859.8184285714285,-7.06,11.209999999999129,-0.49,2.09,25846.57,25840.48,55.36999999999898,-32.93999999999869,-1.819999999999709,4.270000000000437,-23.69,16.310000000000002,-12.98,-0.6400000000000006,88.30999999999767,,,25784.0,,,,,,,,642.587
20,1694332800.0,25842.3,25855.0,25812.0,25850.2,890.092,22997302.9542,2023-09-10 08:00:00,6.603e-05,-0.000307,59142.064,48.13,25875.03,25831.37,25853.2,25896.86,25809.54,25918.69,25787.71,-9.44,-9.7,0.26,13.21,29.86,20.72,19.03,893.477357142857,33.65,3.0,-1.9,-4.05,25842.18,25844.37,46.659999999999854,-40.659999999999854,-5.830000000001746,-8.020000000000437,-21.87,18.130000000000003,-16.65,0.2599999999999998,87.31999999999971,,,25784.0,,,,,,,,642.587
21,1694336400.0,25850.2,25854.8,25817.0,25817.4,554.404,14323466.5251,2023-09-10 09:00:00,6.603e-05,-0.000328,59299.71,41.79,25871.13,25828.45,25849.79,25892.46,25807.11,25913.8,25785.78,-11.19,-10.0,-1.18,12.45,28.15,22.0,19.26,905.544,12.06,32.38999999999942,-2.77,0.05,25837.47,25833.58,75.05999999999767,-10.290000000000871,16.18000000000029,20.06999999999971,-28.21,11.79,-15.7,-1.1899999999999995,85.34999999999854,,,25784.0,,,,,,,,642.587
22,1694340000.0,25817.4,25824.6,25793.0,25793.0,971.188,25061960.1391,2023-09-10 10:00:00,6.603e-05,-0.000499,59464.242,37.8,25869.3,25819.46,25844.38,25894.21,25794.54,25919.13,25769.63,-14.37,-10.88,-3.49,11.84,30.49,23.57,19.51,937.3543571428572,31.81,51.38000000000102,9.91,-3.71,25832.25,25817.34,101.20999999999913,1.5400000000008731,24.340000000000146,39.25,-32.2,7.799999999999997,-18.65,-3.4899999999999984,99.66999999999824,lower,EntryPreparationState,25784.0,,,,,,,,642.587
23,1694343600.0,25793.0,25812.6,25781.3,25784.0,869.592,22434087.1692,2023-09-10 11:00:00,6.603e-05,-0.000405,59258.409,36.41,25866.72,25810.54,25838.63,25894.81,25782.45,25922.9,25754.35,-17.43,-12.19,-5.24,11.25,30.83,25.21,19.92,952.8619285714284,15.5,54.63000000000102,14.44,-1.53,25826.03,25804.0,110.81000000000132,-1.5499999999992724,20.0,42.02999999999884,-33.59,6.409999999999997,-19.58,-5.24,112.36000000000058,lower,PositionState,25784.0,,25806.2,-22.200000000000728,97.09999999999854,-22.200000000000728,17.166666666666263,29.02000000000044,642.587
24,1694372400.0,25718.1,25858.0,25543.1,25786.2,9458.602,242848880.9904,2023-09-10 19:00:00,9.439e-05,-0.00024,60728.051,46.92,25838.95,25749.62,25794.28,25883.61,25704.96,25928.27,25660.3,-30.55,-25.35,-5.19,3.53,31.39,42.72,30.56,2154.7235,612.26,8.079999999998108,-20.16,-6.39,25764.36,25754.18,97.40999999999984,-81.2400000000016,-32.02000000000044,-21.840000000000146,-23.08,16.92,-27.86,-5.199999999999999,178.65000000000146,lower,PositionState,25723.2,-2.200000000000728,25806.2,,,,,,1027.291
25,1694376000.0,25786.2,25900.0,25756.5,25806.2,6588.729,170193337.7258,2023-09-10 20:00:00,9.439e-05,-0.00044,58903.901,49.86,25838.19,25752.65,25795.42,25880.96,25709.88,25923.73,25667.11,-25.8,-25.44,-0.35,6.66,27.56,44.02,31.68,2570.790642857143,416.06,-10.780000000002474,-15.53,5.57,25766.83,25774.98,74.7599999999984,-96.31999999999972,-31.220000000001164,-39.36999999999898,-20.14,19.86,-20.9,-0.3599999999999994,171.0799999999981,lower,,25723.2,-22.200000000000728,25806.2,,,,,,1027.291
26,1694379600.0,25806.2,25894.2,25800.4,25890.4,2969.412,76787022.5166,2023-09-10 21:00:00,9.439e-05,-0.000437,58827.309,59.92,25850.81,25758.12,25804.46,25897.15,25711.78,25943.49,25665.44,-15.06,-23.37,8.3,6.14,25.39,45.24,32.98,2748.6965,177.9,-85.94000000000233,11.64,4.77,25777.68,25821.15,6.75,-178.62000000000262,-69.25,-112.72000000000116,-10.079999999999998,29.92,-19.25,8.31,185.37000000000265,,,25723.2,,,,,,,,1027.291
27,1694383200.0,25890.4,26020.0,25839.9,25840.4,6828.79,177044330.4486,2023-09-10 22:00:00,9.439e-05,-0.000523,58800.79,53.11,25854.24,25761.53,25807.89,25900.6,25715.17,25946.96,25668.81,-10.46,-20.79,10.32,15.08,21.82,43.31,32.66,3172.8892142857144,424.19,-32.51000000000204,16.25,11.99,25782.3,25828.85,60.19999999999709,-125.2300000000032,-11.55000000000291,-58.10000000000218,-16.89,23.11,-6.74,10.329999999999998,185.4300000000003,,,25723.2,,,,,,,,1027.291
28,1694386800.0,25840.4,25854.4,25805.3,25826.4,1240.536,32040597.9708,2023-09-10 23:00:00,9.439e-05,-0.000519,58191.589,51.34,25855.12,25764.18,25809.65,25900.59,25718.7,25946.07,25673.23,-7.86,-18.2,10.34,14.48,23.75,41.95,32.76,3221.898642857143,49.0,-16.75,-0.09,6.41,25789.34,25827.87,74.18999999999869,-107.70000000000071,1.4699999999975262,-37.06000000000131,-18.66,21.340000000000003,-9.27,10.34,181.88999999999945,,,25723.2,,,,,,,,1027.291
29,1694390400.0,25826.4,25863.1,25646.0,25717.0,5720.007,147258800.6827,2023-09-11 00:00:00,7.35e-05,-0.000466,58257.564,40.14,25849.67,25751.98,25800.82,25898.52,25703.13,25947.37,25654.28,-14.46,-17.45,2.99,12.19,31.62,42.12,33.67,3561.0999999999995,339.2,83.81999999999971,13.49,-10.76,25783.95,25783.52,181.52000000000044,-13.86999999999898,66.52000000000044,66.95000000000073,-29.86,10.14,-19.43,2.9899999999999984,195.38999999999945,,,25723.2,,,,,,,,1027.291
30,1694394000.0,25717.0,25743.0,25650.1,25674.6,2582.219,66360093.1531,2023-09-11 01:00:00,7.35e-05,-0.00041,57965.838,36.79,25843.57,25734.04,25788.8,25898.34,25679.27,25953.1,25624.5,-22.84,-18.53,-4.31,11.36,29.46,42.28,34.51,3683.4305,122.33,114.20000000000071,21.61,-0.96,25771.8,25739.95,223.7400000000016,4.670000000001892,65.35000000000218,97.20000000000071,-33.21,6.789999999999999,-18.1,-4.309999999999999,219.0699999999997,lower,EntryPreparationState,25723.2,,,,,,,,1027.291
31,1694397600.0,25674.6,25731.0,25646.3,25723.2,1200.274,30842367.6798,2023-09-11 02:00:00,7.35e-05,-0.000585,58548.409,42.7,25837.67,25727.44,25782.55,25892.79,25672.32,25947.91,25617.2,-25.28,-19.88,-5.39,10.64,27.9,42.46,35.47,3723.2652857142857,39.83,59.34999999999855,1.22,0.01,25775.83,25733.25,169.59000000000017,-50.88000000000102,10.049999999999272,52.63000000000102,-27.3,12.700000000000005,-17.259999999999998,-5.400000000000002,220.4700000000012,lower,PositionState,25723.2,,25882.2,-159.0,-2.200000000000728,-159.0,-68.19999999999952,-66.45000000000073,1027.291
32,1694408400.0,25766.6,25884.3,25759.5,25882.2,2904.952,75029764.3036,2023-09-11 05:00:00,7.35e-05,-0.000312,58858.851,58.29,25842.81,25729.62,25786.21,25899.4,25673.02,25956.0,25616.43,-12.83,-20.05,7.21,20.19,23.86,38.95,37.08,3617.381071428572,-9.1,-95.9900000000016,11.71,9.3,25782.91,25799.7,17.200000000000728,-209.1800000000003,-82.5,-99.29000000000087,-11.71,28.29,-3.669999999999998,7.220000000000001,226.38000000000105,lower,,25707.4,-159.0,25882.2,,,,,,4171.205
33,1694412000.0,25882.2,25890.0,25806.7,25825.0,2368.204,61219629.3,2023-09-11 06:00:00,7.35e-05,-0.000476,58497.79,52.62,25847.4,25732.42,25789.91,25904.89,25674.92,25962.38,25617.43,-8.3,-17.7,9.39,19.34,22.33,36.68,37.15,3483.586642857143,-133.79,-35.090000000000146,22.65,8.16,25775.64,25809.82,79.88999999999942,-150.08000000000175,-15.180000000000293,-49.36000000000058,-17.380000000000003,22.62,-2.9899999999999984,9.4,229.9700000000012,,,25707.4,,,,,,,,4171.205
34,1694415600.0,25825.0,25831.3,25788.0,25803.8,1248.302,32212799.549,2023-09-11 07:00:00,7.35e-05,-0.000412,58904.935,50.66,25848.99,25733.47,25791.23,25906.75,25675.71,25964.5,25617.95,-6.34,-15.43,9.08,18.67,23.05,34.81,37.34,3330.4750714285715,-153.11,-12.569999999999707,6.55,-2.24,25771.57,25807.41,102.95000000000071,-128.09000000000017,3.610000000000582,-32.22999999999956,-19.340000000000003,20.66,-4.379999999999999,9.09,231.04000000000087,,,25707.4,,,,,,,,4171.205
35,1694419200.0,25803.8,25822.2,25742.1,25792.0,2249.733,58004521.8032,2023-09-11 08:00:00,2.295e-05,-0.000335,59150.092,49.55,25849.05,25733.55,25791.3,25906.8,25675.8,25964.55,25618.05,-5.68,-13.48,7.79,17.47,25.25,33.62,38.17,3406.0391428571425,75.56,-0.7000000000007276,1.81,-4.07,25767.75,25801.24,114.79999999999929,-116.20000000000071,9.2400000000016,-24.25,-20.450000000000003,19.55,-7.780000000000001,7.800000000000001,231.0,,,25707.4,,,,,,,,4171.205
36,1694422800.0,25792.0,25798.8,25650.7,25721.9,6827.921,175538925.7362,2023-09-11 09:00:00,2.295e-05,-0.000512,59426.39,43.46,25843.53,25725.85,25784.69,25902.37,25667.02,25961.2,25608.18,-10.68,-12.92,2.23,15.49,29.39,33.43,38.73,3218.133357142857,-187.9,62.78999999999724,4.39,-7.32,25768.3,25769.5,180.46999999999755,-54.88000000000102,47.59999999999855,46.39999999999782,-26.54,13.46,-13.9,2.24,235.34999999999852,,,25707.4,,,,,,,,4171.205
37,1694426400.0,25721.9,25727.2,25550.1,25698.7,9185.066,235600138.3914,2023-09-11 10:00:00,2.295e-05,-0.00049,59270.709,41.64,25837.62,25715.39,25776.5,25898.73,25654.27,25959.85,25593.16,-16.34,-13.6,-2.73,13.51,32.89,34.02,39.63,3403.586,185.45,77.79999999999927,4.68,-7.46,25770.97,25741.18,200.02999999999884,-44.43000000000029,42.47999999999956,72.27000000000044,-28.36,11.64,-19.380000000000003,-2.74,244.45999999999916,,,25707.4,,,,,,,,4171.205
38,1694430000.0,25698.7,25703.3,25571.9,25586.0,3858.411,98894582.5375,2023-09-11 11:00:00,2.295e-05,-0.000642,59316.617,34.15,25831.69,25685.03,25758.36,25905.02,25611.7,25978.35,25538.37,-29.57,-16.79,-12.77,12.26,29.85,34.57,38.94,3467.085928571429,63.49,172.36000000000058,45.22,-0.19,25755.73,25679.11,319.02000000000044,25.700000000000728,93.11000000000058,169.72999999999956,-35.85,4.149999999999999,-17.590000000000003,-12.78,293.3199999999997,lower,EntryPreparationState,25707.4,,,,,,,,4171.205
39,1694433600.0,25586.0,25710.2,25570.1,25707.4,3351.657,85939220.4245,2023-09-11 12:00:00,2.295e-05,-0.000507,59274.192,45.52,25827.62,25679.39,25753.5,25901.74,25605.27,25975.85,25531.16,-29.91,-19.42,-10.49,11.56,26.98,34.96,38.46,3218.7192857142863,-248.36,46.09999999999855,9.44,0.92,25753.73,25690.42,194.34000000000012,-102.13000000000102,-16.9800000000032,46.32999999999811,-24.48,15.520000000000003,-15.42,-10.489999999999998,296.4700000000012,lower,PositionState,25707.4,,25785.6,-78.19999999999709,699.6000000000022,-78.19999999999709,493.7266666666677,275.6399999999994,4171.205
40,1694754000.0,26627.3,26630.1,26561.4,26578.0,1187.057,31571139.3605,2023-09-15 05:00:00,-1.362e-05,-0.000434,63584.479,56.18,26611.52,26427.79,26519.65,26703.38,26335.93,26795.24,26244.07,74.85,87.63,-12.78,27.52,10.84,48.41,47.69,3161.4895,-427.79,-58.34999999999855,-84.06,-1.06,26553.35,26585.12,125.38000000000102,-242.0699999999997,7.119999999998981,-24.65000000000145,-13.82,26.18,16.68,-12.78,367.4500000000007,,,26349.0,,,,,,,,5953.135
41,1694757600.0,26578.0,26600.0,26552.0,26564.0,1220.304,32423950.1516,2023-09-15 06:00:00,-1.362e-05,-0.00043,63703.926,55.22,26598.09,26449.67,26523.88,26672.29,26375.46,26746.5,26301.25,69.69,84.04,-14.35,26.78,11.07,47.91,47.88,2834.4958571428574,-326.99,-40.11999999999898,-101.65,-2.0,26557.92,26576.67,108.29000000000087,-188.54000000000087,12.669999999998254,-6.080000000001746,-14.78,25.22,15.71,-14.350000000000009,296.83000000000175,,,26349.0,,,,,,,,5953.135
42,1694761200.0,26564.0,26583.9,26537.4,26559.1,1409.923,37449561.0961,2023-09-15 07:00:00,-1.362e-05,-0.000254,63752.9,54.87,26594.28,26460.18,26527.23,26661.34,26393.13,26728.39,26326.07,64.47,80.13,-15.66,26.05,11.63,47.22,48.23,2708.982857142857,-125.51,-31.86999999999898,-59.71,-2.02,26554.33,26569.64,102.2400000000016,-165.96999999999753,10.540000000000871,-4.769999999996799,-15.130000000000004,24.87,14.42,-15.659999999999997,268.2099999999991,,,26349.0,,,,,,,,5953.135
43,1694764800.0,26559.1,26627.9,26527.9,26622.6,2329.998,61933445.5699,2023-09-15 08:00:00,1.452e-05,-0.000384,63922.727,58.56,26597.03,26475.59,26536.31,26657.76,26414.87,26718.48,26354.15,64.71,77.04,-12.33,27.11,10.94,46.89,48.53,2204.1076428571428,-504.87,-86.28999999999724,-36.27,1.02,26566.84,26590.82,35.159999999999854,-207.7299999999996,-31.77999999999884,-55.7599999999984,-11.439999999999998,28.56,16.17,-12.330000000000013,242.88999999999945,,,26349.0,,,,,,,,5953.135
44,1694768400.0,26622.6,26683.5,26567.5,26603.9,2877.834,76619180.4352,2023-09-15 09:00:00,1.452e-05,-0.000453,63762.459,57.08,26603.46,26482.04,26542.75,26664.16,26421.34,26724.87,26360.63,62.66,74.17,-11.5,28.55,10.18,46.92,49.04,2214.3137142857145,10.2,-61.150000000001455,-3.65,3.26,26581.86,26596.05,60.2599999999984,-182.5600000000013,-7.850000000002183,-22.040000000000877,-12.920000000000002,27.08,18.37,-11.510000000000003,242.8199999999997,,,26349.0,,,,,,,,5953.135
45,1694772000.0,26603.9,26646.9,26590.5,26630.7,1494.163,39771896.9479,2023-09-15 10:00:00,1.452e-05,-0.000244,63791.559,58.69,26605.27,26496.98,26551.13,26659.41,26442.84,26713.56,26388.69,62.49,71.83,-9.34,27.55,9.83,46.96,49.0,2129.792214285714,-84.52,-79.56999999999971,-19.84,0.78,26597.85,26609.91,28.709999999999127,-187.86000000000055,-20.790000000000877,-32.85000000000218,-11.310000000000002,28.69,17.72,-9.339999999999996,216.5699999999997,,,26349.0,,,,,,,,5953.135
46,1694775600.0,26630.7,26632.1,26350.3,26415.5,9862.373,261191748.0004,2023-09-15 11:00:00,1.452e-05,-0.000455,63921.081,44.3,26598.99,26477.42,26538.21,26659.78,26416.64,26720.57,26355.85,44.47,66.36,-21.89,23.2,21.73,43.83,47.4,2574.2057142857147,444.41,122.70999999999913,21.81,-17.25,26578.06,26532.14,244.27999999999884,1.139999999999418,116.63999999999942,162.5600000000013,-25.700000000000003,14.299999999999995,1.4699999999999989,-21.89,243.13999999999945,lower,EntryPreparationState,26349.0,,,,,,,,5953.135
47,1694779200.0,26415.5,26460.5,26320.0,26349.0,7089.726,187148333.3656,2023-09-15 12:00:00,1.452e-05,-0.000463,62545.91,40.95,26596.93,26443.45,26520.19,26673.67,26366.7,26750.41,26289.96,24.54,58.0,-33.45,21.39,21.72,40.76,45.76,2927.172785714286,352.96,171.1899999999987,64.19,-6.14,26550.01,26458.88,324.66999999999825,17.700000000000728,109.88000000000102,201.0099999999984,-29.05,10.950000000000005,-0.3299999999999983,-33.46,306.9699999999975,lower,PositionState,26349.0,,26449.9,-100.90000000000146,126.59999999999854,-100.90000000000146,0.7333333333327674,56.10000000000218,5953.135
